factor,bucket,split,direction,bucket_candidate_n,bucket_n_excursion,bucket_mean_mfe_atr,bucket_median_mfe_atr,bucket_mean_mae_atr,bucket_median_mae_atr,bucket_mean_net_excursion_atr,bucket_n_rr,bucket_n_weighted_rr,bucket_mean_R_2R,bucket_median_R_2R,bucket_target_hit_rate,bucket_stop_hit_rate,bucket_timeout_rate,bucket_both_hit_rate,rest_candidate_n,rest_n_excursion,rest_mean_mfe_atr,rest_median_mfe_atr,rest_mean_mae_atr,rest_median_mae_atr,rest_mean_net_excursion_atr,rest_n_rr,rest_n_weighted_rr,rest_mean_R_2R,rest_median_R_2R,rest_target_hit_rate,rest_stop_hit_rate,rest_timeout_rate,rest_both_hit_rate,delta_mean_R_2R,delta_target_hit_pp,delta_mean_mfe_atr,delta_mean_mae_atr
touch_bin,2,DISCOVERY,FOLLOW,3383,1682,1.5811245755570515,1.2289380803460455,1.6669802319654283,1.1924963013649024,-0.08585565640837678,1682,1155.182,0.000135,-1.0,0.231272,0.557669,0.206302,0.004756,11430,6015,1.6311788141200836,1.296170938126224,1.7925315539067588,1.259664102293541,-0.1613527397866752,6015,3835.818,0.019671,-1.0,0.250873,0.558936,0.187365,0.002826,-0.019536,-1.9601000000000006,-0.05005423856303204,-0.12555132194133045
touch_bin,2,DISCOVERY,FADE,3383,1682,1.6669802319654283,1.1924963013649024,1.5811245755570515,1.2289380803460455,0.08585565640837678,1682,1155.182,-0.002166,-1.0,0.257432,0.568966,0.172414,0.001189,11430,6015,1.7925315539067588,1.259664102293541,1.6311788141200836,1.296170938126224,0.1613527397866752,6015,3835.818,0.002488,-1.0,0.263009,0.586534,0.148961,0.001496,-0.004654,-0.5576999999999999,-0.12555132194133045,-0.05005423856303204
touch_bin,2,VALIDATION,FOLLOW,1509,759,1.5260789714000205,1.2613735049718484,1.656639564505567,1.215285235720974,-0.13056059310554646,759,525.4969,-0.015801,-1.0,0.229249,0.578393,0.192358,0.0,5159,2758,1.6219535435873367,1.2827239716282564,1.6996382102467575,1.2734495740328797,-0.07768466665942086,2758,1764.5031,-0.016994,-1.0,0.250181,0.584482,0.165337,0.0,0.0011929999999999996,-2.0931999999999977,-0.09587457218731621,-0.04299864574119061
touch_bin,2,VALIDATION,FADE,1509,759,1.656639564505567,1.215285235720974,1.5260789714000205,1.2613735049718484,0.13056059310554646,759,525.4969,-0.018485,-1.0,0.250329,0.583663,0.166008,0.0,5159,2758,1.6996382102467575,1.2734495740328797,1.6219535435873367,1.2827239716282564,0.07768466665942086,2758,1764.5031,-0.005524,-1.0,0.260334,0.581943,0.157723,0.0,-0.012961,-1.0004999999999986,-0.04299864574119061,-0.09587457218731621
touch_bin,3,DISCOVERY,FOLLOW,1960,963,1.6098794183040388,1.3036193486210557,1.7395662527202063,1.2380552728145942,-0.12968683441616746,963,614.0156,0.034629,-1.0,0.253375,0.543094,0.202492,0.001038,12853,6734,1.6209563440548067,1.2808034772808763,1.7668259332226681,1.2406608412779017,-0.1458695891678614,6734,4376.9844,0.012417,-1.0,0.245619,0.560885,0.189932,0.003564,0.022212000000000003,0.7756000000000013,-0.011076925750767908,-0.027259680502461858
touch_bin,3,DISCOVERY,FADE,1960,963,1.7395662527202063,1.2380552728145942,1.6098794183040388,1.3036193486210557,0.12968683441616746,963,614.0156,-0.005358,-1.0,0.259605,0.577362,0.163032,0.0,12853,6734,1.7668259332226681,1.2406608412779017,1.6209563440548067,1.2808034772808763,0.1458695891678614,6734,4376.9844,0.00236,-1.0,0.262103,0.583457,0.152807,0.001634,-0.007718,-0.24980000000000002,-0.027259680502461858,-0.011076925750767908
touch_bin,3,VALIDATION,FOLLOW,849,422,1.5618173897457013,1.320200127624819,1.5575862176998638,1.172421549587289,0.00423117204583745,422,279.706,0.037403,-1.0,0.244076,0.559242,0.196682,0.0,5819,3095,1.6052588000984236,1.2691085411606127,1.7081629061054657,1.2550081772440382,-0.10290410600704214,3095,2010.294,-0.024251,-1.0,0.24588,0.58643,0.16769,0.0,0.061654,-0.1804,-0.04344141035272231,-0.1505766884056019
touch_bin,3,VALIDATION,FADE,849,422,1.5575862176998638,1.172421549587289,1.5618173897457013,1.320200127624819,-0.00423117204583745,422,279.706,-0.096588,-1.0,0.220379,0.609005,0.170616,0.0,5819,3095,1.7081629061054657,1.2550081772440382,1.6052588000984236,1.2691085411606127,0.10290410600704214,3095,2010.294,0.003759,-1.0,0.263328,0.578675,0.157997,0.0,-0.10034699999999999,-4.294900000000002,-0.1505766884056019,-0.04344141035272231
touch_bin,4+,DISCOVERY,FOLLOW,2987,1396,1.5579611587564122,1.2324375020300025,1.8653866112203827,1.2786618356481334,-0.30742545246397057,1396,871.7167,-0.032861,-1.0,0.234241,0.575931,0.188395,0.001433,11826,6301,1.6326361791880093,1.293207155445386,1.7419053702328453,1.229834964413354,-0.10926919104483601,6301,4119.2833,0.025309,-1.0,0.249326,0.554833,0.192192,0.00365,-0.05817,-1.5084999999999988,-0.07467502043159713,0.12348124098753743
touch_bin,4+,DISCOVERY,FADE,2987,1396,1.8653866112203827,1.2786618356481334,1.5579611587564122,1.2324375020300025,0.30742545246397057,1396,871.7167,0.085864,-1.0,0.282951,0.567335,0.148997,0.000716,11826,6301,1.7419053702328453,1.229834964413354,1.6326361791880093,1.293207155445386,0.10926919104483601,6301,4119.2833,-0.016461,-1.0,0.257102,0.586097,0.155213,0.001587,0.102325,2.584900000000001,0.12348124098753743,-0.07467502043159713
touch_bin,4+,VALIDATION,FOLLOW,1465,712,1.644993591212358,1.2080121592806543,1.644331999266351,1.1825977912578605,0.0006615919460071229,712,439.9069,-0.017099,-1.0,0.244382,0.575843,0.179775,0.0,5203,2805,1.5892431561117195,1.3006253291255252,1.7005754224847973,1.2549812280195982,-0.1113322663730778,2805,1850.0931,-0.01663,-1.0,0.245989,0.585027,0.168984,0.0,-0.00046900000000000067,-0.1607000000000025,0.055750435100638596,-0.05624342321844633
touch_bin,4+,VALIDATION,FADE,1465,712,1.644331999266351,1.1825977912578605,1.644993591212358,1.2080121592806543,-0.0006615919460071229,712,439.9069,0.024785,-1.0,0.273876,0.54073,0.185393,0.0,5203,2805,1.7005754224847973,1.2549812280195982,1.5892431561117195,1.3006253291255252,0.1113322663730778,2805,1850.0931,-0.016412,-1.0,0.254189,0.59287,0.152941,0.0,0.041197,1.968700000000001,-0.05624342321844633,0.055750435100638596
touch_behavior,NO_BREACH,DISCOVERY,FOLLOW,12871,6188,1.5974860700009288,1.261184437886297,1.7436724083701571,1.2208911301611725,-0.14618633836922834,6188,4304.5105,0.018317,-1.0,0.236749,0.554622,0.207822,0.000808,1942,1509,1.7582150049936964,1.4065854972549234,1.887624162033016,1.4063035918290296,-0.12940915703931966,1509,686.4895,-0.004711,-1.0,0.286945,0.575215,0.124586,0.013254,0.023028,-5.019600000000002,-0.16072893499276764,-0.14395175366285895
