factor,bucket,direction,status,discovery_delta_R,validation_delta_R,discovery_delta_target_hit_pp,validation_delta_target_hit_pp,discovery_bucket_n,validation_bucket_n,symbol_available,symbol_same_sign
touch_behavior,CLOSE_BEYOND,FADE,SURVIVES_POSITIVE,0.072186,0.156305,4.5016,6.746700000000006,801,348,4,3
quant_state,LOW,FOLLOW,FAIL_DISCOVERY_EFFECT,0.038301999999999996,-0.22286899999999998,-2.774500000000002,-7.858299999999999,397,303,4,3
quant_state,LOW,FADE,FAIL_DISCOVERY_EFFECT,-0.003654000000000001,0.191408,-2.566199999999999,3.7572999999999994,397,303,4,4
quant_state,MID,FOLLOW,FAIL_VALIDATION,-0.07692399999999999,0.077099,-1.369400000000001,1.4600000000000002,726,727,4,2
quant_state,MID,FADE,FAIL_VALIDATION,0.082946,-0.070494,2.7203999999999953,-1.3357000000000008,726,727,4,3
quant_state,HIGH,FOLLOW,FAIL_DISCOVERY_EFFECT,0.044301,0.057135,2.7081999999999997,2.9458999999999986,1263,822,4,2
quant_state,HIGH,FADE,SURVIVES_NEGATIVE,-0.06952799999999999,-0.044823,-0.8829000000000031,-0.7924999999999988,1263,822,4,3
smc_internal_align_count,0,FOLLOW,FAIL_DISCOVERY_EFFECT,-0.048235,-0.000895,0.014000000000000123,0.6559000000000009,1966,1192,4,2
smc_internal_align_count,0,FADE,FAIL_VALIDATION,0.065381,0.016401,2.822800000000003,-0.09449999999999736,1966,1192,4,3
smc_internal_align_count,1,FOLLOW,FAIL_DISCOVERY_EFFECT,0.019229,-0.0031290000000000033,1.4221999999999984,-0.44189999999999785,2737,1166,4,2
smc_internal_align_count,1,FADE,FAIL_DISCOVERY_EFFECT,-0.040628,-0.023265,-2.410800000000002,3.7166000000000032,2737,1166,4,1
smc_internal_align_count,2,FOLLOW,FAIL_DISCOVERY_EFFECT,-0.035988,0.0034259999999999985,-1.2544000000000026,-0.08589999999999987,2176,800,4,3
smc_internal_align_count,2,FADE,FAIL_DISCOVERY_EFFECT,0.00036899999999999997,-0.029603,0.40649999999999853,-3.4851999999999994,2176,800,4,2
smc_internal_align_count,3,FOLLOW,FAIL_VALIDATION,0.10121100000000001,0.0022509999999999995,-0.7811000000000012,-0.3702000000000011,818,359,4,1
smc_internal_align_count,3,FADE,FAIL_DISCOVERY_EFFECT,-0.023007,0.060465,-0.7037000000000015,-2.0737000000000005,818,359,4,3
smc_swing_align_count,0,FOLLOW,FAIL_DISCOVERY_EFFECT,0.0028979999999999995,-0.053762,2.0792000000000006,1.7624,1612,924,4,2
smc_swing_align_count,0,FADE,FAIL_DISCOVERY_EFFECT,0.004971,0.01861,0.15640000000000098,-1.255500000000001,1612,924,4,3
smc_swing_align_count,1,FOLLOW,FAIL_DISCOVERY_EFFECT,-0.041373,-0.021555000000000005,-0.43350000000000055,-1.5015,2332,1088,4,2
smc_swing_align_count,1,FADE,FAIL_DISCOVERY_EFFECT,0.033132999999999996,-0.035992,-0.2764999999999962,-1.849099999999998,2332,1088,4,3
smc_swing_align_count,2,FOLLOW,FAIL_DISCOVERY_EFFECT,-0.0002520000000000005,0.088176,-0.4735000000000017,2.6198999999999972,2257,944,4,3
smc_swing_align_count,2,FADE,FAIL_DISCOVERY_EFFECT,-0.035962999999999995,-0.012572000000000002,0.3220999999999974,1.3441000000000036,2257,944,4,3
smc_swing_align_count,3,FOLLOW,FAIL_DISCOVERY_EFFECT,0.049171,-0.021068,-0.987200000000002,-3.9908999999999972,1496,561,4,2
smc_swing_align_count,3,FADE,FAIL_DISCOVERY_EFFECT,-0.0021449999999999998,0.045851,-0.21889999999999965,2.7919000000000027,1496,561,4,2
