wf,rr_target,fill_model,fill_region,n_fills
WF1,1.5,STRICT_TRADE_THROUGH,R1,404
WF1,1.5,STRICT_TRADE_THROUGH,R2,412
WF1,1.5,STRICT_TRADE_THROUGH,R3,280
WF1,1.5,STRICT_TRADE_THROUGH,R4,419
WF1,1.5,TOUCH_FILL,R1,404
WF1,1.5,TOUCH_FILL,R2,413
WF1,1.5,TOUCH_FILL,R3,296
WF1,1.5,TOUCH_FILL,R4,429
WF1,2.0,STRICT_TRADE_THROUGH,R1,393
WF1,2.0,STRICT_TRADE_THROUGH,R2,325
WF1,2.0,STRICT_TRADE_THROUGH,R3,233
WF1,2.0,STRICT_TRADE_THROUGH,R4,286
WF1,2.0,TOUCH_FILL,R1,399
WF1,2.0,TOUCH_FILL,R2,361
WF1,2.0,TOUCH_FILL,R3,252
WF1,2.0,TOUCH_FILL,R4,293
WF1,3.0,STRICT_TRADE_THROUGH,R1,295
WF1,3.0,STRICT_TRADE_THROUGH,R2,225
WF1,3.0,STRICT_TRADE_THROUGH,R3,172
WF1,3.0,STRICT_TRADE_THROUGH,R4,181
WF1,3.0,TOUCH_FILL,R1,300
WF1,3.0,TOUCH_FILL,R2,228
WF1,3.0,TOUCH_FILL,R3,174
WF1,3.0,TOUCH_FILL,R4,224
WF2,0.25,STRICT_TRADE_THROUGH,R1,351
WF2,0.25,STRICT_TRADE_THROUGH,R2,661
WF2,0.25,STRICT_TRADE_THROUGH,R3,564
WF2,0.25,STRICT_TRADE_THROUGH,R4,600
WF2,0.25,TOUCH_FILL,R1,351
WF2,0.25,TOUCH_FILL,R2,661
WF2,0.25,TOUCH_FILL,R3,564
WF2,0.25,TOUCH_FILL,R4,600
WF2,0.5,STRICT_TRADE_THROUGH,R1,347
WF2,0.5,STRICT_TRADE_THROUGH,R2,595
WF2,0.5,STRICT_TRADE_THROUGH,R3,541
WF2,0.5,STRICT_TRADE_THROUGH,R4,531
WF2,0.5,TOUCH_FILL,R1,350
WF2,0.5,TOUCH_FILL,R2,597
WF2,0.5,TOUCH_FILL,R3,541
WF2,0.5,TOUCH_FILL,R4,531
WF2,0.75,STRICT_TRADE_THROUGH,R1,347
WF2,0.75,STRICT_TRADE_THROUGH,R2,542
WF2,0.75,STRICT_TRADE_THROUGH,R3,498
WF2,0.75,STRICT_TRADE_THROUGH,R4,495
WF2,0.75,TOUCH_FILL,R1,347
WF2,0.75,TOUCH_FILL,R2,542
WF2,0.75,TOUCH_FILL,R3,498
WF2,0.75,TOUCH_FILL,R4,495
WF2,1.0,STRICT_TRADE_THROUGH,R1,341
WF2,1.0,STRICT_TRADE_THROUGH,R2,477
WF2,1.0,STRICT_TRADE_THROUGH,R3,438
WF2,1.0,STRICT_TRADE_THROUGH,R4,467
WF2,1.0,TOUCH_FILL,R1,341
WF2,1.0,TOUCH_FILL,R2,496
WF2,1.0,TOUCH_FILL,R3,454
WF2,1.0,TOUCH_FILL,R4,477
WF2,1.25,STRICT_TRADE_THROUGH,R1,331
WF2,1.25,STRICT_TRADE_THROUGH,R2,433
WF2,1.25,STRICT_TRADE_THROUGH,R3,410
WF2,1.25,STRICT_TRADE_THROUGH,R4,420
WF2,1.25,TOUCH_FILL,R1,331
WF2,1.25,TOUCH_FILL,R2,442
WF2,1.25,TOUCH_FILL,R3,412
WF2,1.25,TOUCH_FILL,R4,421
WF2,1.5,STRICT_TRADE_THROUGH,R1,312
WF2,1.5,STRICT_TRADE_THROUGH,R2,393
WF2,1.5,STRICT_TRADE_THROUGH,R3,336
WF2,1.5,STRICT_TRADE_THROUGH,R4,366
WF2,1.5,TOUCH_FILL,R1,313
WF2,1.5,TOUCH_FILL,R2,399
WF2,1.5,TOUCH_FILL,R3,351
WF2,1.5,TOUCH_FILL,R4,373
WF2,2.0,STRICT_TRADE_THROUGH,R1,290
WF2,2.0,STRICT_TRADE_THROUGH,R2,275
WF2,2.0,STRICT_TRADE_THROUGH,R3,289
WF2,2.0,STRICT_TRADE_THROUGH,R4,278
WF2,2.0,TOUCH_FILL,R1,295
WF2,2.0,TOUCH_FILL,R2,291
WF2,2.0,TOUCH_FILL,R3,299
WF2,2.0,TOUCH_FILL,R4,306
WF2,3.0,STRICT_TRADE_THROUGH,R1,225
WF2,3.0,STRICT_TRADE_THROUGH,R2,205
WF2,3.0,STRICT_TRADE_THROUGH,R3,149
WF2,3.0,STRICT_TRADE_THROUGH,R4,200
WF2,3.0,TOUCH_FILL,R1,235
WF2,3.0,TOUCH_FILL,R2,225
WF2,3.0,TOUCH_FILL,R3,185
WF2,3.0,TOUCH_FILL,R4,216
WF3,0.25,STRICT_TRADE_THROUGH,R1,383
WF3,0.25,STRICT_TRADE_THROUGH,R2,645
WF3,0.25,STRICT_TRADE_THROUGH,R3,519
WF3,0.25,STRICT_TRADE_THROUGH,R4,846
WF3,0.25,TOUCH_FILL,R1,383
WF3,0.25,TOUCH_FILL,R2,645
WF3,0.25,TOUCH_FILL,R3,519
WF3,0.25,TOUCH_FILL,R4,846
WF3,0.5,STRICT_TRADE_THROUGH,R1,380
WF3,0.5,STRICT_TRADE_THROUGH,R2,567
WF3,0.5,STRICT_TRADE_THROUGH,R3,488
WF3,0.5,STRICT_TRADE_THROUGH,R4,789
WF3,0.5,TOUCH_FILL,R1,380
WF3,0.5,TOUCH_FILL,R2,570
WF3,0.5,TOUCH_FILL,R3,489
WF3,0.5,TOUCH_FILL,R4,789
WF3,0.75,STRICT_TRADE_THROUGH,R1,378
WF3,0.75,STRICT_TRADE_THROUGH,R2,493
WF3,0.75,STRICT_TRADE_THROUGH,R3,431
WF3,0.75,STRICT_TRADE_THROUGH,R4,704
WF3,0.75,TOUCH_FILL,R1,380
WF3,0.75,TOUCH_FILL,R2,498
WF3,0.75,TOUCH_FILL,R3,433
WF3,0.75,TOUCH_FILL,R4,717
WF3,1.0,STRICT_TRADE_THROUGH,R1,377
WF3,1.0,STRICT_TRADE_THROUGH,R2,433
WF3,1.0,STRICT_TRADE_THROUGH,R3,366
WF3,1.0,STRICT_TRADE_THROUGH,R4,612
WF3,1.0,TOUCH_FILL,R1,377
WF3,1.0,TOUCH_FILL,R2,438
WF3,1.0,TOUCH_FILL,R3,384
WF3,1.0,TOUCH_FILL,R4,637
WF3,1.25,STRICT_TRADE_THROUGH,R1,375
WF3,1.25,STRICT_TRADE_THROUGH,R2,399
WF3,1.25,STRICT_TRADE_THROUGH,R3,330
WF3,1.25,STRICT_TRADE_THROUGH,R4,579
WF3,1.25,TOUCH_FILL,R1,375
WF3,1.25,TOUCH_FILL,R2,408
WF3,1.25,TOUCH_FILL,R3,336
WF3,1.25,TOUCH_FILL,R4,582
WF3,1.5,STRICT_TRADE_THROUGH,R1,365
WF3,1.5,STRICT_TRADE_THROUGH,R2,337
WF3,1.5,STRICT_TRADE_THROUGH,R3,276
WF3,1.5,STRICT_TRADE_THROUGH,R4,494
WF3,1.5,TOUCH_FILL,R1,365
WF3,1.5,TOUCH_FILL,R2,345
WF3,1.5,TOUCH_FILL,R3,280
WF3,1.5,TOUCH_FILL,R4,504
WF3,2.0,STRICT_TRADE_THROUGH,R1,345
WF3,2.0,STRICT_TRADE_THROUGH,R2,295
WF3,2.0,STRICT_TRADE_THROUGH,R3,210
WF3,2.0,STRICT_TRADE_THROUGH,R4,391
WF3,2.0,TOUCH_FILL,R1,345
WF3,2.0,TOUCH_FILL,R2,307
WF3,2.0,TOUCH_FILL,R3,224
WF3,2.0,TOUCH_FILL,R4,410
WF3,3.0,STRICT_TRADE_THROUGH,R1,298
WF3,3.0,STRICT_TRADE_THROUGH,R2,207
WF3,3.0,STRICT_TRADE_THROUGH,R3,129
WF3,3.0,STRICT_TRADE_THROUGH,R4,268
WF3,3.0,TOUCH_FILL,R1,300
WF3,3.0,TOUCH_FILL,R2,219
WF3,3.0,TOUCH_FILL,R3,134
WF3,3.0,TOUCH_FILL,R4,284
