wf,rr_target,fill_model,n_signals,filled_n,fill_rate_per_signal,miss_target_before_fill_rate,stop_invalid_before_fill_rate,expired_rate,ambiguity_rate,median_bars_to_fill,median_actual_RR,mean_actual_RR,filled_win_rate,filled_profit_factor,E_R_lower_filled,E_R_upper_filled,EV_R_lower_per_signal,EV_R_upper_per_signal,censor_worst_EV_per_signal,delta_EV_vs_E1_market,cost_R,net_EV_per_signal
WF1,2.0,TOUCH_FILL,3160,1288,0.40759493670886077,0.14208860759493672,0.0,0.18449367088607596,0.029430379746835444,0.0,2.000000000000124,2.783809518300134,0.3100581878636742,1.1119684040917137,0.07725168362104948,0.09603805103584605,0.012320814998772947,0.056814485884848984,-0.014577919178442242,-0.02970092603667071,0.0,0.012320814998772947
WF2,2.0,TOUCH_FILL,2847,1173,0.41201264488935724,0.1703547593958553,0.0,0.16649104320337196,0.04039339655778012,0.0,2.0000000000000684,2.936350324070281,0.31523642732049034,1.148252209321412,0.10151771251256059,0.10677165296790211,0.004894003403352366,0.050556103859973375,-0.005994651320918797,-0.0426249055073528,0.0,0.004894003403352366
WF3,2.0,TOUCH_FILL,3008,1251,0.4158909574468085,0.1379654255319149,0.0,0.23404255319148937,0.025930851063829786,0.0,2.0000000000000973,2.9471006138678213,0.3389121338912134,1.3164166372654624,0.20917919953114256,0.21420012003323471,0.06115995460096919,0.09174506098394797,0.04254293332437344,-0.015214846716666945,0.0,0.06115995460096919
WF1,2.0,STRICT_TRADE_THROUGH,3160,1217,0.385126582278481,0.1468354430379747,0.0,0.20126582278481012,0.030379746835443037,0.0,2.0000000000001408,2.829537107288885,0.299469964664311,1.0781005994906967,0.05471181572095629,0.07467648003191059,-0.0006538685455308503,0.04257397955573506,-0.02755260272274604,-0.04267560958097451,0.0,-0.0006538685455308503
WF2,2.0,STRICT_TRADE_THROUGH,2847,1109,0.3895328415876361,0.17140850017562345,0.0,0.1882683526519143,0.040042149631190724,0.0,2.000000000000092,2.9903867719877724,0.31261595547309834,1.1497074597696952,0.10290651919234153,0.10847238190106144,0.0024352749172266122,0.04669238766749006,-0.008453379807044551,-0.045083633993478554,0.0,0.0024352749172266122
WF3,2.0,STRICT_TRADE_THROUGH,3008,1207,0.40126329787234044,0.140625,0.0,0.2473404255319149,0.024601063829787235,0.0,2.0000000000000973,2.9816262369085704,0.32523850823937556,1.2596004414392228,0.17516838112724664,0.18037219725907674,0.04520250779245856,0.07312803970735221,0.02725038013288409,-0.031172293525177572,0.0,0.04520250779245856
WF1,3.0,TOUCH_FILL,3160,910,0.2879746835443038,0.15253164556962026,0.0,0.2759493670886076,0.04715189873417722,0.0,3.0,3.666660596054551,0.2850521436848204,1.3535739016654518,0.25278690304470885,0.2859271116194481,0.029163005483412573,0.09327692953404548,0.014289587761893586,-0.012858735552031084,0.0,0.029163005483412573
WF2,3.0,TOUCH_FILL,2847,840,0.2950474183350896,0.17597471022128555,0.0,0.25851773796979277,0.0593607305936073,0.0,3.0,3.9080221164363858,0.2709599027946537,1.290528679627544,0.21180705683660542,0.21666732415130777,0.00467762830225721,0.07000955664788419,-0.0012935694497624595,-0.04284128060844796,0.0,0.00467762830225721
WF3,3.0,TOUCH_FILL,3008,906,0.3011968085106383,0.14627659574468085,0.0,0.32413563829787234,0.04222074468085106,0.0,3.0,3.8868394273636917,0.30192962542565266,1.5369728792585822,0.3748448589603041,0.38392544919866955,0.0688957183324561,0.11444093109841354,0.060584548119690135,-0.007479082985180033,0.0,0.0688957183324561
WF1,3.0,STRICT_TRADE_THROUGH,3160,859,0.2718354430379747,0.1550632911392405,0.0,0.2908227848101266,0.04588607594936709,0.0,3.0,3.7062411436666367,0.2684729064039409,1.2645708709218582,0.19354076025564498,0.22876243513249225,0.008909840926450545,0.06732756244543789,-0.0059635767950684425,-0.03311190010899311,0.0,0.008909840926450545
WF2,3.0,STRICT_TRADE_THROUGH,2847,756,0.2655426765015806,0.17667720407446436,0.0,0.2813487881981033,0.06533192834562697,0.0,3.0,4.0089134627070955,0.26450742240215924,1.2721416656450026,0.20015817513701253,0.20555628579828109,-0.010777236467676055,0.05982339577679181,-0.01604594036651694,-0.05829614537838122,0.0,-0.010777236467676055
WF3,3.0,STRICT_TRADE_THROUGH,3008,871,0.28956117021276595,0.14760638297872342,0.0,0.3351063829787234,0.041555851063829786,0.0,3.0,3.9224759141119456,0.30260047281323876,1.5512513910915728,0.38444245950830724,0.39389872428372097,0.0672334842899029,0.11078401620479653,0.058922314077136946,-0.009141317027733228,0.0,0.0672334842899029
WF1,0.25,TOUCH_FILL,3160,2282,0.7221518987341772,0.009810126582278481,0.0,0.0,0.03196202531645569,0.0,1.0,1.5861421314915547,0.5146654445462878,1.1077743014620054,0.05230659268939678,0.060830882331926316,0.036118033306412584,0.04936170419248835,0.0044724636861594195,-0.005903707729031073,0.01,0.02889651431907081
WF2,0.25,TOUCH_FILL,2847,2149,0.7548296452406041,0.01053740779768177,0.0,0.0,0.02423603793466807,0.0,1.0,1.6227834395036762,0.5147058823529411,1.1228146783588326,0.05960124096825706,0.061892916797591055,0.04413045871481766,0.05162285514904178,0.029729334724652577,-0.003388450195887509,0.01,0.03658216226241162
WF3,0.25,TOUCH_FILL,3008,2364,0.785904255319149,0.005319148936170213,0.0,0.0,0.025930851063829786,0.0,0.8571428571428571,1.5675910223174871,0.5397175639894086,1.2129083904389422,0.09799799259833031,0.10853050215996611,0.0734918388390347,0.08716094344896383,0.04091205160499216,-0.002882962478601425,0.01,0.06563279628584322
