wf,rr_target,fill_model,n_signals,filled_n,fill_rate_per_signal,R_lower_sum,R_upper_sum,censored_n,EV_R_lower_per_signal,EV_R_upper_per_signal,censor_worst_EV_per_signal,single_attempt_EV_per_signal,incremental_EV_vs_single,delta_EV_vs_E1_market,recovery_rate
WF1,1.25,STRICT_TRADE_THROUGH,3160,1636,0.5177215189873418,40.56477209251731,58.914772092517765,91,0.01283695319383459,0.01864391521915119,-0.015960515160595788,0.009909738003961228,0.002927215189873362,-0.029184787841609064,0.5177215189873418
WF2,1.25,STRICT_TRADE_THROUGH,2847,1594,0.5598876009834914,123.1882131788295,129.93821317882941,41,0.04326948127110274,0.045640398025581105,0.028868357280937652,0.023063913563988733,0.02020556770711401,-0.004249427639602427,0.5598876009834914
WF3,1.25,STRICT_TRADE_THROUGH,3008,1683,0.5595079787234043,203.25243490841964,231.8357682417532,79,0.06757062330732036,0.07707306125058284,0.04130732543497993,0.060007458413703474,0.007563164893616886,-0.008804178010315772,0.5595079787234043
WF1,1.5,TOUCH_FILL,3160,1542,0.4879746835443038,93.45531869284065,113.05531869284121,90,0.029574467940772356,0.03577699958634215,0.0010934552825445092,0.02110927806735466,0.008465189873417697,-0.0124472730946713,0.4879746835443038
WF2,1.5,TOUCH_FILL,2847,1436,0.5043905865823674,87.24207556713804,94.74207556713795,33,0.030643510912236757,0.03327786286165716,0.01905236233478681,0.006934343367452579,0.02370916754478418,-0.016875397998468412,0.5043905865823674
WF3,1.5,TOUCH_FILL,3008,1494,0.4966755319148936,215.14326429872386,245.9765976320575,63,0.0715236915886715,0.08177413485108294,0.05057954265250129,0.05988805329079888,0.01163563829787262,-0.004851109728964631,0.4966755319148936
WF1,1.5,STRICT_TRADE_THROUGH,3160,1515,0.47943037974683544,80.45531869284065,100.05531869284121,90,0.025460543890139447,0.03166307553570925,-0.003020468768088402,0.016995354016721746,0.0084651898734177,-0.01656119714530421,0.47943037974683544
WF2,1.5,STRICT_TRADE_THROUGH,2847,1407,0.49420442571127504,83.74207556713804,88.74207556713795,33,0.02941414666917388,0.031170381302120808,0.017822998091723937,0.005704979124389705,0.023709167544784176,-0.018104762241531288,0.49420442571127504
WF3,1.5,STRICT_TRADE_THROUGH,3008,1472,0.48936170212765956,197.14326429872386,227.9765976320575,63,0.06553964903548001,0.07579009229789145,0.04459550009930979,0.053904010737607394,0.01163563829787262,-0.010835152282156119,0.48936170212765956
WF1,2.0,TOUCH_FILL,3160,1305,0.4129746835443038,84.93377539612251,107.53377539612279,85,0.026877777024089403,0.03402967575826671,-2.0957153125786945e-05,0.012320814998772956,0.014556962025316447,-0.015143964011354254,0.4129746835443038
WF2,2.0,TOUCH_FILL,2847,1191,0.4183350895679663,115.9332276893444,121.93322768934445,31,0.04072118991547046,0.04282867147500683,0.0298325351911993,0.004894003403352373,0.03582718651211809,-0.006797718995234708,0.4183350895679663
WF3,2.0,TOUCH_FILL,3008,1286,0.4275265957446808,251.96914343971574,275.9691434397159,57,0.08376633757969273,0.09174506098394809,0.06481686949458634,0.061159954600969194,0.02260638297872354,0.007391536262056603,0.4275265957446808
WF1,2.0,STRICT_TRADE_THROUGH,3160,1237,0.3914556962025316,47.93377539612251,70.53377539612279,85,0.015168916264595732,0.022320814998773034,-0.011729817912619457,-0.0006538685455308457,0.015822784810126576,-0.026852824770847925,0.3914556962025316
WF2,2.0,STRICT_TRADE_THROUGH,2847,1132,0.3976115208991921,96.93322768934442,102.93322768934445,31,0.03404749831027201,0.036154979869808375,0.02315884358600085,0.002435274917226627,0.03161222339304538,-0.013471410600433158,0.3976115208991921
WF3,2.0,STRICT_TRADE_THROUGH,3008,1241,0.41256648936170215,204.96914343971574,225.96914343971585,55,0.06814133757969273,0.07512272055841618,0.049856763111607624,0.04520250779245857,0.022938829787234168,-0.008233463737943397,0.41256648936170215
WF1,3.0,TOUCH_FILL,3160,926,0.2930379746835443,214.15509732758372,242.7550973275837,47,0.06777060042012142,0.07682123333151383,0.05289718269860244,0.02916300548341257,0.03860759493670886,0.025748859384677768,0.2930379746835443
WF2,3.0,TOUCH_FILL,2847,861,0.30242360379346683,169.31720777652626,173.31720777652626,17,0.05947214885020241,0.06087713655655998,0.05350095109818274,0.004677628302257207,0.0547945205479452,0.011953239939497241,0.30242360379346683
WF3,3.0,TOUCH_FILL,3008,937,0.3115026595744681,343.23832074402793,371.23832074402793,25,0.1141084842899029,0.12341699492820077,0.10579731407713694,0.0688957183324561,0.045212765957446804,0.03773368297226677,0.3115026595744681
WF1,3.0,STRICT_TRADE_THROUGH,3160,873,0.2762658227848101,155.15509732758372,183.7550973275837,47,0.04909971434417206,0.058150347255564463,0.03422629662265308,0.008909840926450545,0.04018987341772152,0.007077973308728405,0.2762658227848101
WF2,3.0,STRICT_TRADE_THROUGH,2847,779,0.2736213558131366,141.31720777652626,145.31720777652626,15,0.04963723490569942,0.051042222612056994,0.04436853100685854,-0.010777236467676053,0.060414471373375474,0.002118325994994251,0.2736213558131366
WF3,3.0,STRICT_TRADE_THROUGH,3008,902,0.29986702127659576,338.23832074402793,366.23832074402793,25,0.11244625024734971,0.12175476088564759,0.10413508003458376,0.0672334842899029,0.045212765957446804,0.036071448929713576,0.29986702127659576
