wf,rr_target,fill_model,status,n
WF2,0.5,STRICT_TRADE_THROUGH,BOTH_BOUNDARIES_TOUCHED_BEFORE_ENTRY,2
WF2,0.5,STRICT_TRADE_THROUGH,EXPIRED_UNFILLED,6
WF2,0.5,STRICT_TRADE_THROUGH,FILLED,267
WF2,0.5,STRICT_TRADE_THROUGH,FILLED_AT_OPEN,1730
WF2,0.5,STRICT_TRADE_THROUGH,GAP_INVALID_BEFORE_LIMIT_ACTIVATION,12
WF2,0.5,STRICT_TRADE_THROUGH,MISS_TARGET_BEFORE_FILL,149
WF2,0.5,STRICT_TRADE_THROUGH,STOP_INVALIDATED_BEFORE_ENTRY,113
WF2,0.5,STRICT_TRADE_THROUGH,TARGET_CONSUMED_BEFORE_ENTRY,475
WF2,0.5,TOUCH_FILL,AMBIGUOUS_FILL_STOP_ORDER,11
WF2,0.5,TOUCH_FILL,AMBIGUOUS_FILL_TARGET_ORDER,97
WF2,0.5,TOUCH_FILL,BOTH_BOUNDARIES_TOUCHED_BEFORE_ENTRY,2
WF2,0.5,TOUCH_FILL,EXPIRED_UNFILLED,6
WF2,0.5,TOUCH_FILL,FILLED,272
WF2,0.5,TOUCH_FILL,FILLED_AT_OPEN,1730
WF2,0.5,TOUCH_FILL,GAP_INVALID_BEFORE_LIMIT_ACTIVATION,12
WF2,0.5,TOUCH_FILL,MISS_TARGET_BEFORE_FILL,129
WF2,0.5,TOUCH_FILL,STOP_INVALIDATED_BEFORE_ENTRY,113
WF2,0.5,TOUCH_FILL,TARGET_CONSUMED_BEFORE_ENTRY,475
WF2,0.75,STRICT_TRADE_THROUGH,AMBIGUOUS_FILL_STOP_ORDER,21
WF2,0.75,STRICT_TRADE_THROUGH,AMBIGUOUS_FILL_TARGET_ORDER,69
WF2,0.75,STRICT_TRADE_THROUGH,BOTH_BOUNDARIES_TOUCHED_BEFORE_ENTRY,2
WF2,0.75,STRICT_TRADE_THROUGH,EXPIRED_UNFILLED,37
WF2,0.75,STRICT_TRADE_THROUGH,FILLED,535
WF2,0.75,STRICT_TRADE_THROUGH,FILLED_AT_OPEN,1326
WF2,0.75,STRICT_TRADE_THROUGH,GAP_INVALID_BEFORE_LIMIT_ACTIVATION,12
WF2,0.75,STRICT_TRADE_THROUGH,MISS_TARGET_BEFORE_FILL,257
WF2,0.75,STRICT_TRADE_THROUGH,STOP_INVALIDATED_BEFORE_ENTRY,113
WF2,0.75,STRICT_TRADE_THROUGH,TARGET_CONSUMED_BEFORE_ENTRY,475
WF2,0.75,TOUCH_FILL,AMBIGUOUS_FILL_STOP_ORDER,21
WF2,0.75,TOUCH_FILL,AMBIGUOUS_FILL_TARGET_ORDER,71
WF2,0.75,TOUCH_FILL,BOTH_BOUNDARIES_TOUCHED_BEFORE_ENTRY,2
WF2,0.75,TOUCH_FILL,EXPIRED_UNFILLED,37
WF2,0.75,TOUCH_FILL,FILLED,535
WF2,0.75,TOUCH_FILL,FILLED_AT_OPEN,1326
WF2,0.75,TOUCH_FILL,GAP_INVALID_BEFORE_LIMIT_ACTIVATION,12
WF2,0.75,TOUCH_FILL,MISS_TARGET_BEFORE_FILL,255
WF2,0.75,TOUCH_FILL,STOP_INVALIDATED_BEFORE_ENTRY,113
WF2,0.75,TOUCH_FILL,TARGET_CONSUMED_BEFORE_ENTRY,475
WF2,1.0,STRICT_TRADE_THROUGH,AMBIGUOUS_FILL_STOP_ORDER,24
WF2,1.0,STRICT_TRADE_THROUGH,AMBIGUOUS_FILL_TARGET_ORDER,28
WF2,1.0,STRICT_TRADE_THROUGH,BOTH_BOUNDARIES_TOUCHED_BEFORE_ENTRY,2
WF2,1.0,STRICT_TRADE_THROUGH,EXPIRED_UNFILLED,128
WF2,1.0,STRICT_TRADE_THROUGH,FILLED,586
WF2,1.0,STRICT_TRADE_THROUGH,FILLED_AT_OPEN,1114
WF2,1.0,STRICT_TRADE_THROUGH,GAP_INVALID_BEFORE_LIMIT_ACTIVATION,12
WF2,1.0,STRICT_TRADE_THROUGH,MISS_TARGET_BEFORE_FILL,365
WF2,1.0,STRICT_TRADE_THROUGH,STOP_INVALIDATED_BEFORE_ENTRY,113
WF2,1.0,STRICT_TRADE_THROUGH,TARGET_CONSUMED_BEFORE_ENTRY,475
