instrument,horizon,feature_set,model,decile,n,mean_prediction,realized_mean,realized_median,positive_rate
AG,8,F1_DIRECTION,gbr_quantile,3,225,-0.0013695437373996058,8.500200463835132e-05,-0.0001363605374717,0.48444444444444446
AG,8,F1_DIRECTION,gbr_quantile,4,225,-0.000874226682204555,-0.00019855975622328856,-0.0003975352864915,0.4711111111111111
AG,8,F1_DIRECTION,gbr_quantile,5,225,-0.0006180146075776139,0.0007416399635268473,0.000542675402989,0.5288888888888889
AG,8,F1_DIRECTION,gbr_quantile,6,225,-0.00041700572266796,-0.0007427048397212617,-0.0018296979066541,0.4266666666666667
AG,8,F1_DIRECTION,gbr_quantile,7,225,-0.00023637345225180543,0.0009587258657503175,-0.0004393994944368,0.48444444444444446
AG,8,F1_DIRECTION,gbr_quantile,8,225,-3.442671608623107e-05,-0.0009884573047497169,-0.0012239462991634,0.44
AG,8,F1_DIRECTION,gbr_quantile,9,225,0.0002615075067144346,0.001526014415414219,0.0012475866760033,0.6133333333333333
AG,8,F1_DIRECTION,gbr_quantile,10,225,0.0011032310733197553,0.0022146632817817654,0.0003114779654524,0.5111111111111111
AG,8,F2_ACTIVITY,linear_qr,1,225,-0.003655350578187907,0.0006521800554283337,0.0003114779654524,0.5111111111111111
AG,8,F2_ACTIVITY,linear_qr,2,225,-0.002224277258355715,-0.0013057891959898339,-0.0013395849290564,0.4488888888888889
AG,8,F2_ACTIVITY,linear_qr,3,225,-0.001550549837466219,0.000621822945002129,-0.0004001333831312,0.48
AG,8,F2_ACTIVITY,linear_qr,4,225,-0.0010876240529260593,-0.0005089974198510859,-0.000314693019559,0.4711111111111111
AG,8,F2_ACTIVITY,linear_qr,5,225,-0.0006938482302310232,-0.0010136676955071447,-0.0007397196127626,0.4577777777777778
AG,8,F2_ACTIVITY,linear_qr,6,225,-0.0003237108354226574,-0.0001536492658885919,0.0002377273278758,0.52
AG,8,F2_ACTIVITY,linear_qr,7,225,-3.555032663599868e-05,0.0007661337159976848,-0.0003975879715749,0.48444444444444446
AG,8,F2_ACTIVITY,linear_qr,8,225,0.00022517154311896815,0.0019402276352333825,0.0012475866760033,0.5333333333333333
AG,8,F2_ACTIVITY,linear_qr,9,225,0.0005184661021297921,0.0008591276847043063,0.0005593710329515,0.5333333333333333
AG,8,F2_ACTIVITY,linear_qr,10,225,0.0011601551065854594,-0.0009132430381865924,-0.0010918521625168,0.44
AG,8,F2_ACTIVITY,gbr_quantile,1,225,-0.005038420469747295,-0.00086018202264997,-0.0010442411057154,0.4711111111111111
