instrument,horizon,feature_set,model,quantile,fold,train_rows,test_rows,pinball_loss,baseline_pinball_loss,pinball_skill,calibration,calibration_error
AG,4,F2_ACTIVITY,linear_qr,0.1,0,1000,450,0.0022284295176332515,0.0022131635591266297,-0.0068977995068046916,0.11333333333333333,0.013333333333333322
AG,4,F2_ACTIVITY,linear_qr,0.5,0,1000,450,0.003929487162877292,0.0038965812717716643,-0.008444810671346836,0.5355555555555556,0.03555555555555556
AG,4,F2_ACTIVITY,linear_qr,0.9,0,1000,450,0.002017178532605627,0.0019876491681571676,-0.01485642683906696,0.8666666666666667,-0.033333333333333326
AG,4,F2_ACTIVITY,linear_qr,0.1,1,1450,450,0.0015834237543692863,0.001600511023573019,0.010676133404933785,0.06222222222222222,-0.037777777777777785
AG,4,F2_ACTIVITY,linear_qr,0.5,1,1450,450,0.0030446447656564245,0.0030266058746611806,-0.005960105723135545,0.5133333333333333,0.013333333333333308
AG,4,F2_ACTIVITY,linear_qr,0.9,1,1450,450,0.0018184594534044964,0.001875722676738755,0.030528619206022456,0.8955555555555555,-0.004444444444444473
AG,4,F2_ACTIVITY,linear_qr,0.1,2,1900,450,0.0016708988454977839,0.0016032818951619134,-0.04217408712710613,0.08222222222222222,-0.01777777777777778
AG,4,F2_ACTIVITY,linear_qr,0.5,2,1900,450,0.0029012931829613775,0.0028605489099869834,-0.014243515582671673,0.5,0.0
AG,4,F2_ACTIVITY,linear_qr,0.9,2,1900,450,0.0015079237599581628,0.001441514368876182,-0.04606918426609519,0.8911111111111111,-0.008888888888888946
AG,4,F2_ACTIVITY,linear_qr,0.1,3,2350,450,0.0013464075741360564,0.0013498345857777092,0.002538838223409612,0.051111111111111114,-0.04888888888888889
AG,4,F2_ACTIVITY,linear_qr,0.5,3,2350,450,0.002614988449481876,0.0025854804636983035,-0.01141296025937244,0.4288888888888889,-0.07111111111111112
AG,4,F2_ACTIVITY,linear_qr,0.9,3,2350,450,0.0012519323478075038,0.0012546179649508802,0.0021405855952983943,0.9066666666666666,0.006666666666666599
AG,4,F2_ACTIVITY,linear_qr,0.1,4,2800,450,0.0016138949896384723,0.001627214706834306,0.00818559292752874,0.07777777777777778,-0.022222222222222227
AG,4,F2_ACTIVITY,linear_qr,0.5,4,2800,450,0.0028863222112563204,0.002896338645773347,0.0034583091765335583,0.4311111111111111,-0.06888888888888889
AG,4,F2_ACTIVITY,linear_qr,0.9,4,2800,450,0.0015016819176062297,0.0015010705420276313,-0.0004072930361904703,0.9111111111111111,0.011111111111111072
AG,4,F2_ACTIVITY,gbr_quantile,0.1,0,1000,450,0.0022577291983911533,0.0022131635591266297,-0.02013662256490001,0.15333333333333332,0.053333333333333316
AG,4,F2_ACTIVITY,gbr_quantile,0.5,0,1000,450,0.0040069127175924295,0.0038965812717716643,-0.0283149350996601,0.5355555555555556,0.03555555555555556
AG,4,F2_ACTIVITY,gbr_quantile,0.9,0,1000,450,0.002007509074207057,0.0019876491681571676,-0.009991655654353782,0.86,-0.040000000000000036
AG,4,F2_ACTIVITY,gbr_quantile,0.1,1,1450,450,0.0014297221744177257,0.001600511023573019,0.10670894897932048,0.06444444444444444,-0.03555555555555556
AG,4,F2_ACTIVITY,gbr_quantile,0.5,1,1450,450,0.003050514652174404,0.0030266058746611806,-0.00789953449617875,0.5022222222222222,0.0022222222222222365
AG,4,F2_ACTIVITY,gbr_quantile,0.9,1,1450,450,0.0017852738957461257,0.001875722676738755,0.048220764249589876,0.8866666666666667,-0.013333333333333308
AG,4,F2_ACTIVITY,gbr_quantile,0.1,2,1900,450,0.0015372747360087406,0.0016032818951619134,0.04117002715015794,0.08888888888888889,-0.011111111111111113
AG,4,F2_ACTIVITY,gbr_quantile,0.5,2,1900,450,0.002886863908893996,0.0028605489099869834,-0.009199282982066626,0.4777777777777778,-0.0222222222222222
AG,4,F2_ACTIVITY,gbr_quantile,0.9,2,1900,450,0.0014633501513070025,0.001441514368876182,-0.015147807682169612,0.9044444444444445,0.004444444444444473
AG,4,F2_ACTIVITY,gbr_quantile,0.1,3,2350,450,0.0012419168539533033,0.0013498345857777092,0.0799488566684109,0.04888888888888889,-0.051111111111111114
AG,4,F2_ACTIVITY,gbr_quantile,0.5,3,2350,450,0.002597842192741144,0.0025854804636983035,-0.004781211545167974,0.43555555555555553,-0.06444444444444447
AG,4,F2_ACTIVITY,gbr_quantile,0.9,3,2350,450,0.0011404101164293945,0.0012546179649508802,0.09102998021071473,0.9088888888888889,0.008888888888888835
AG,4,F2_ACTIVITY,gbr_quantile,0.1,4,2800,450,0.0015698403812438896,0.001627214706834306,0.03525922261484249,0.08,-0.020000000000000004
AG,4,F2_ACTIVITY,gbr_quantile,0.5,4,2800,450,0.0029041065124739687,0.002896338645773347,-0.0026819607962478287,0.42444444444444446,-0.07555555555555554
AG,4,F2_ACTIVITY,gbr_quantile,0.9,4,2800,450,0.0014198884932965724,0.0015010705420276313,0.05408276723717387,0.9088888888888889,0.008888888888888835
AG,4,F3_VOL,linear_qr,0.1,0,1000,450,0.0022013389816436615,0.0022131635591266297,0.005342839409318012,0.11777777777777777,0.017777777777777767
AG,4,F3_VOL,linear_qr,0.5,0,1000,450,0.0038967068249024304,0.0038965812717716643,-3.2221355595885015e-05,0.5355555555555556,0.03555555555555556
AG,4,F3_VOL,linear_qr,0.9,0,1000,450,0.0019879110632288056,0.0019876491681571676,-0.00013176121613089897,0.8688888888888889,-0.03111111111111109
AG,4,F3_VOL,linear_qr,0.1,1,1450,450,0.0015722634088166368,0.001600511023573019,0.01764912227428561,0.06222222222222222,-0.037777777777777785
AG,4,F3_VOL,linear_qr,0.5,1,1450,450,0.003097652137044973,0.0030266058746611806,-0.023473906192607696,0.5044444444444445,0.004444444444444473
AG,4,F3_VOL,linear_qr,0.9,1,1450,450,0.0018114631274359473,0.001875722676738755,0.03425855543556844,0.8977777777777778,-0.0022222222222222365
AG,4,F3_VOL,linear_qr,0.1,2,1900,450,0.0016599054930541025,0.0016032818951619134,-0.035317306372046886,0.08222222222222222,-0.01777777777777778
AG,4,F3_VOL,linear_qr,0.5,2,1900,450,0.002902699810758679,0.0028605489099869834,-0.014735249107097781,0.49777777777777776,-0.0022222222222222365
AG,4,F3_VOL,linear_qr,0.9,2,1900,450,0.0015453178037159864,0.001441514368876182,-0.07200998968933647,0.8911111111111111,-0.008888888888888946
AG,4,F3_VOL,linear_qr,0.1,3,2350,450,0.0013315250359267378,0.0013498345857777092,0.013564291539042372,0.051111111111111114,-0.04888888888888889
AG,4,F3_VOL,linear_qr,0.5,3,2350,450,0.002611215685694306,0.0025854804636983035,-0.0099537483873271,0.4288888888888889,-0.07111111111111112
AG,4,F3_VOL,linear_qr,0.9,3,2350,450,0.001260099829087893,0.0012546179649508802,-0.004369349308040116,0.9044444444444445,0.004444444444444473
AG,4,F3_VOL,linear_qr,0.1,4,2800,450,0.0016119850999988588,0.001627214706834306,0.009359309973959062,0.08444444444444445,-0.015555555555555559
AG,4,F3_VOL,linear_qr,0.5,4,2800,450,0.0028791718789546363,0.002896338645773347,0.005927057888676979,0.43777777777777777,-0.062222222222222234
AG,4,F3_VOL,linear_qr,0.9,4,2800,450,0.0015016793708103728,0.0015010705420276313,-0.0004055963831779419,0.9133333333333333,0.013333333333333308
AG,4,F3_VOL,gbr_quantile,0.1,0,1000,450,0.0022451106723995044,0.0022131635591266297,-0.014435043962806704,0.16,0.06
AG,4,F3_VOL,gbr_quantile,0.5,0,1000,450,0.003980587251014421,0.0038965812717716643,-0.021558893138282187,0.5377777777777778,0.0377777777777778
AG,4,F3_VOL,gbr_quantile,0.9,0,1000,450,0.0020002929793024723,0.0019876491681571676,-0.00636118855775103,0.86,-0.040000000000000036
AG,4,F3_VOL,gbr_quantile,0.1,1,1450,450,0.0014410358321811996,0.001600511023573019,0.09964017057239827,0.06888888888888889,-0.031111111111111117
AG,4,F3_VOL,gbr_quantile,0.5,1,1450,450,0.003097512839599261,0.0030266058746611806,-0.023427881883041124,0.49777777777777776,-0.0022222222222222365
AG,4,F3_VOL,gbr_quantile,0.9,1,1450,450,0.0018129602846047345,0.001875722676738755,0.0334603792513416,0.88,-0.020000000000000018
AG,4,F3_VOL,gbr_quantile,0.1,2,1900,450,0.0015235127164560638,0.0016032818951619134,0.04975368270954861,0.09555555555555556,-0.004444444444444445
AG,4,F3_VOL,gbr_quantile,0.5,2,1900,450,0.0028894207209137373,0.0028605489099869834,-0.010093101651209135,0.4888888888888889,-0.011111111111111127
AG,4,F3_VOL,gbr_quantile,0.9,2,1900,450,0.001442139157303894,0.001441514368876182,-0.0004334250432751485,0.8955555555555555,-0.004444444444444473
AG,4,F3_VOL,gbr_quantile,0.1,3,2350,450,0.0012327569206626214,0.0013498345857777092,0.08673482391743081,0.05555555555555555,-0.04444444444444445
AG,4,F3_VOL,gbr_quantile,0.5,3,2350,450,0.0026104131351772785,0.0025854804636983035,-0.00964334166474834,0.42,-0.08000000000000002
AG,4,F3_VOL,gbr_quantile,0.9,3,2350,450,0.0011595525479305491,0.0012546179649508802,0.07577240217826231,0.9044444444444445,0.004444444444444473
AG,4,F3_VOL,gbr_quantile,0.1,4,2800,450,0.0015735480299273992,0.001627214706834306,0.03298069804894621,0.07777777777777778,-0.022222222222222227
AG,4,F3_VOL,gbr_quantile,0.5,4,2800,450,0.002902382616243719,0.002896338645773347,-0.002086762360883343,0.43555555555555553,-0.06444444444444447
AG,4,F3_VOL,gbr_quantile,0.9,4,2800,450,0.0014055502694858518,0.0015010705420276313,0.06363476590030981,0.9044444444444445,0.004444444444444473
AG,8,F1_DIRECTION,linear_qr,0.1,0,1000,450,0.0030372615546806515,0.003107742341015748,0.022679095819784112,0.12,0.01999999999999999
AG,8,F1_DIRECTION,linear_qr,0.5,0,1000,450,0.005811784252188242,0.005767034747833467,-0.007759534372770327,0.5488888888888889,0.04888888888888887
AG,8,F1_DIRECTION,linear_qr,0.9,0,1000,450,0.003108686041734306,0.0029610845117010627,-0.049847118327754236,0.8733333333333333,-0.026666666666666727
AG,8,F1_DIRECTION,linear_qr,0.1,1,1450,450,0.0024188978421696007,0.0024635252106368286,0.018115247318979733,0.04,-0.060000000000000005
AG,8,F1_DIRECTION,linear_qr,0.5,1,1450,450,0.004756525094184859,0.004760179558554576,0.0007677156554208864,0.5088888888888888,0.008888888888888835
AG,8,F1_DIRECTION,linear_qr,0.9,1,1450,450,0.0029633201420896367,0.0029876106461279132,0.008130411527940584,0.8644444444444445,-0.03555555555555556
AG,8,F1_DIRECTION,linear_qr,0.1,2,1900,450,0.0024028378424787115,0.0023355242786567074,-0.028821607395458138,0.09111111111111111,-0.00888888888888889
AG,8,F1_DIRECTION,linear_qr,0.5,2,1900,450,0.004280469188121988,0.004256754268236013,-0.00557112729361342,0.45111111111111113,-0.04888888888888887
AG,8,F1_DIRECTION,linear_qr,0.9,2,1900,450,0.0021005680336362597,0.0019183091156502721,-0.09501019230897256,0.8911111111111111,-0.008888888888888946
AG,8,F1_DIRECTION,linear_qr,0.1,3,2350,450,0.002103617567878504,0.002099341635614789,-0.0020367967705565704,0.04,-0.060000000000000005
AG,8,F1_DIRECTION,linear_qr,0.5,3,2350,450,0.004078891712842988,0.003995527321547676,-0.020864427792980367,0.40444444444444444,-0.09555555555555556
AG,8,F1_DIRECTION,linear_qr,0.9,3,2350,450,0.0017760241548836829,0.001819760824561221,0.024034295654256632,0.9088888888888889,0.008888888888888835
AG,8,F1_DIRECTION,linear_qr,0.1,4,2800,450,0.0023164622496810216,0.002272870322498147,-0.019179240782625007,0.06444444444444444,-0.03555555555555556
AG,8,F1_DIRECTION,linear_qr,0.5,4,2800,450,0.004392541170429576,0.0044208888492261265,0.006412212512764914,0.4666666666666667,-0.033333333333333326
AG,8,F1_DIRECTION,linear_qr,0.9,4,2800,450,0.002208784548431762,0.0021503036982829676,-0.027196553768424225,0.9088888888888889,0.008888888888888835
AG,8,F1_DIRECTION,gbr_quantile,0.1,0,1000,450,0.0029930429395993033,0.003107742341015748,0.03690762902144451,0.13555555555555557,0.03555555555555556
AG,8,F1_DIRECTION,gbr_quantile,0.5,0,1000,450,0.005824770093041409,0.005767034747833467,-0.010011270563200947,0.54,0.040000000000000036
AG,8,F1_DIRECTION,gbr_quantile,0.9,0,1000,450,0.003040186212510206,0.0029610845117010627,-0.026713759940509618,0.88,-0.020000000000000018
AG,8,F1_DIRECTION,gbr_quantile,0.1,1,1450,450,0.0022806505745132056,0.0024635252106368286,0.07423290629786139,0.06,-0.04000000000000001
AG,8,F1_DIRECTION,gbr_quantile,0.5,1,1450,450,0.004776247330365827,0.004760179558554576,-0.003375454983074233,0.5266666666666666,0.026666666666666616
AG,8,F1_DIRECTION,gbr_quantile,0.9,1,1450,450,0.002944630244344429,0.0029876106461279132,0.014386212553897826,0.8577777777777778,-0.04222222222222227
AG,8,F1_DIRECTION,gbr_quantile,0.1,2,1900,450,0.002392998272164702,0.0023355242786567074,-0.024608604600356188,0.08888888888888889,-0.011111111111111113
AG,8,F1_DIRECTION,gbr_quantile,0.5,2,1900,450,0.004302904390120075,0.004256754268236013,-0.010841622272733664,0.44666666666666666,-0.053333333333333344
AG,8,F1_DIRECTION,gbr_quantile,0.9,2,1900,450,0.0020936260992219157,0.0019183091156502721,-0.09139141452299993,0.8911111111111111,-0.008888888888888946
AG,8,F1_DIRECTION,gbr_quantile,0.1,3,2350,450,0.0019233927608051592,0.002099341635614789,0.08381145394570488,0.04666666666666667,-0.05333333333333334
AG,8,F1_DIRECTION,gbr_quantile,0.5,3,2350,450,0.004127255770440834,0.003995527321547676,-0.032968977131692556,0.41555555555555557,-0.08444444444444443
AG,8,F1_DIRECTION,gbr_quantile,0.9,3,2350,450,0.0016533059367161197,0.001819760824561221,0.09147075022083562,0.9155555555555556,0.015555555555555545
AG,8,F1_DIRECTION,gbr_quantile,0.1,4,2800,450,0.002257056624343244,0.002272870322498147,0.006957589264275144,0.06444444444444444,-0.03555555555555556
AG,8,F1_DIRECTION,gbr_quantile,0.5,4,2800,450,0.004272634228214782,0.0044208888492261265,0.03353502566283617,0.46,-0.03999999999999998
AG,8,F1_DIRECTION,gbr_quantile,0.9,4,2800,450,0.0021337404112481686,0.0021503036982829676,0.007702766380407011,0.9044444444444445,0.004444444444444473
AG,8,F2_ACTIVITY,linear_qr,0.1,0,1000,450,0.00306343858138635,0.003107742341015748,0.014255930758699131,0.11555555555555555,0.015555555555555545
AG,8,F2_ACTIVITY,linear_qr,0.5,0,1000,450,0.0057964235324325045,0.005767034747833467,-0.005095995755891369,0.5488888888888889,0.04888888888888887
AG,8,F2_ACTIVITY,linear_qr,0.9,0,1000,450,0.003065312778764359,0.0029610845117010627,-0.035199355726398984,0.8866666666666667,-0.013333333333333308
AG,8,F2_ACTIVITY,linear_qr,0.1,1,1450,450,0.002415675240500312,0.0024635252106368286,0.019423373436534552,0.035555555555555556,-0.06444444444444444
AG,8,F2_ACTIVITY,linear_qr,0.5,1,1450,450,0.004731852866873684,0.004760179558554576,0.005950761170339769,0.5288888888888889,0.028888888888888853
AG,8,F2_ACTIVITY,linear_qr,0.9,1,1450,450,0.0029396835280924146,0.0029876106461279132,0.016041955834377064,0.8711111111111111,-0.028888888888888964
AG,8,F2_ACTIVITY,linear_qr,0.1,2,1900,450,0.00243300523030051,0.0023355242786567074,-0.041738359363093114,0.09333333333333334,-0.006666666666666668
AG,8,F2_ACTIVITY,linear_qr,0.5,2,1900,450,0.004368281907739842,0.004256754268236013,-0.02620015920017993,0.43777777777777777,-0.062222222222222234
AG,8,F2_ACTIVITY,linear_qr,0.9,2,1900,450,0.0021492338314287526,0.0019183091156502721,-0.12037930378087225,0.8755555555555555,-0.02444444444444449
AG,8,F2_ACTIVITY,linear_qr,0.1,3,2350,450,0.0021156424660357166,0.002099341635614789,-0.007764734497896164,0.04,-0.060000000000000005
AG,8,F2_ACTIVITY,linear_qr,0.5,3,2350,450,0.004087327241664481,0.003995527321547676,-0.022975670726047337,0.39555555555555555,-0.10444444444444445
AG,8,F2_ACTIVITY,linear_qr,0.9,3,2350,450,0.0017697482767463461,0.001819760824561221,0.02748303356125603,0.9066666666666666,0.006666666666666599
AG,8,F2_ACTIVITY,linear_qr,0.1,4,2800,450,0.002326201912611965,0.002272870322498147,-0.023464422754748693,0.06666666666666667,-0.03333333333333334
AG,8,F2_ACTIVITY,linear_qr,0.5,4,2800,450,0.004406639379013281,0.0044208888492261265,0.00322321386011315,0.46,-0.03999999999999998
AG,8,F2_ACTIVITY,linear_qr,0.9,4,2800,450,0.0021693524299819015,0.0021503036982829676,-0.008858623883754024,0.9133333333333333,0.013333333333333308
AG,8,F2_ACTIVITY,gbr_quantile,0.1,0,1000,450,0.0031087676546591265,0.003107742341015748,-0.000329922345828626,0.14666666666666667,0.04666666666666666
AG,8,F2_ACTIVITY,gbr_quantile,0.5,0,1000,450,0.005826590831169083,0.005767034747833467,-0.010326985346843953,0.5555555555555556,0.05555555555555558
AG,8,F2_ACTIVITY,gbr_quantile,0.9,0,1000,450,0.003025622107509578,0.0029610845117010627,-0.02179525628312451,0.8733333333333333,-0.026666666666666727
AG,8,F2_ACTIVITY,gbr_quantile,0.1,1,1450,450,0.0023159969994969625,0.0024635252106368286,0.059885001583454334,0.04888888888888889,-0.051111111111111114
AG,8,F2_ACTIVITY,gbr_quantile,0.5,1,1450,450,0.004768819797317507,0.004760179558554576,-0.0018151077405059723,0.5288888888888889,0.028888888888888853
AG,8,F2_ACTIVITY,gbr_quantile,0.9,1,1450,450,0.002891026981999378,0.0029876106461279132,0.03232806264554988,0.8577777777777778,-0.04222222222222227
AG,8,F2_ACTIVITY,gbr_quantile,0.1,2,1900,450,0.002399623110672529,0.0023355242786567074,-0.027445157646868168,0.09555555555555556,-0.004444444444444445
AG,8,F2_ACTIVITY,gbr_quantile,0.5,2,1900,450,0.004335966015942046,0.004256754268236013,-0.018608484942885584,0.4444444444444444,-0.05555555555555558
AG,8,F2_ACTIVITY,gbr_quantile,0.9,2,1900,450,0.0020972067600812665,0.0019183091156502721,-0.09325798588532042,0.8755555555555555,-0.02444444444444449
AG,8,F2_ACTIVITY,gbr_quantile,0.1,3,2350,450,0.0019140545644688726,0.002099341635614789,0.08825960863280613,0.04888888888888889,-0.051111111111111114
AG,8,F2_ACTIVITY,gbr_quantile,0.5,3,2350,450,0.004104123848123004,0.003995527321547676,-0.0271795229605043,0.4111111111111111,-0.0888888888888889
AG,8,F2_ACTIVITY,gbr_quantile,0.9,3,2350,450,0.0016526385074379145,0.001819760824561221,0.09183751780325466,0.9155555555555556,0.015555555555555545
AG,8,F2_ACTIVITY,gbr_quantile,0.1,4,2800,450,0.002278796423432944,0.002272870322498147,-0.0026073203016192537,0.06888888888888889,-0.031111111111111117
AG,8,F2_ACTIVITY,gbr_quantile,0.5,4,2800,450,0.0043522068897608205,0.0044208888492261265,0.015535780655812848,0.4488888888888889,-0.05111111111111111
AG,8,F2_ACTIVITY,gbr_quantile,0.9,4,2800,450,0.00211239890556086,0.0021503036982829676,0.017627646156389343,0.8977777777777778,-0.0022222222222222365
AG,8,F3_VOL,linear_qr,0.1,0,1000,450,0.003227944989842539,0.003107742341015748,-0.03867844745053861,0.1288888888888889,0.02888888888888888
AG,8,F3_VOL,linear_qr,0.5,0,1000,450,0.005739288951857348,0.005767034747833467,0.00481110261847173,0.54,0.040000000000000036
AG,8,F3_VOL,linear_qr,0.9,0,1000,450,0.003104531150606874,0.0029610845117010627,-0.04844395299727711,0.88,-0.020000000000000018
AG,8,F3_VOL,linear_qr,0.1,1,1450,450,0.0024286957386783535,0.0024635252106368286,0.014138061915539124,0.042222222222222223,-0.05777777777777778
AG,8,F3_VOL,linear_qr,0.5,1,1450,450,0.004805896724408157,0.004760179558554576,-0.009604084318925121,0.5422222222222223,0.04222222222222227
AG,8,F3_VOL,linear_qr,0.9,1,1450,450,0.0029431380977669895,0.0029876106461279132,0.01488565734579983,0.86,-0.040000000000000036
AG,8,F3_VOL,linear_qr,0.1,2,1900,450,0.0024481829679298102,0.0023355242786567074,-0.04823700198822145,0.09333333333333334,-0.006666666666666668
AG,8,F3_VOL,linear_qr,0.5,2,1900,450,0.00439737985189835,0.004256754268236013,-0.03303587071297209,0.43777777777777777,-0.062222222222222234
AG,8,F3_VOL,linear_qr,0.9,2,1900,450,0.00214378839074839,0.0019183091156502721,-0.11754063683406124,0.8688888888888889,-0.03111111111111109
AG,8,F3_VOL,linear_qr,0.1,3,2350,450,0.0021262657385276392,0.002099341635614789,-0.012825022119358653,0.04,-0.060000000000000005
AG,8,F3_VOL,linear_qr,0.5,3,2350,450,0.004093332090073759,0.003995527321547676,-0.024478563317194002,0.39555555555555555,-0.10444444444444445
AG,8,F3_VOL,linear_qr,0.9,3,2350,450,0.0018055294793221386,0.001819760824561221,0.007820448185829054,0.9111111111111111,0.011111111111111072
AG,8,F3_VOL,linear_qr,0.1,4,2800,450,0.00231664878611795,0.002272870322498147,-0.019261311649177326,0.06444444444444444,-0.03555555555555556
AG,8,F3_VOL,linear_qr,0.5,4,2800,450,0.004419525443410479,0.0044208888492261265,0.0003084008357021606,0.46,-0.03999999999999998
AG,8,F3_VOL,linear_qr,0.9,4,2800,450,0.0021539402047677935,0.0021503036982829676,-0.0016911594802768715,0.9155555555555556,0.015555555555555545
AG,8,F3_VOL,gbr_quantile,0.1,0,1000,450,0.003096974997880837,0.003107742341015748,0.0034646833467512073,0.1511111111111111,0.05111111111111111
AG,8,F3_VOL,gbr_quantile,0.5,0,1000,450,0.005758041015662596,0.005767034747833467,0.0015595071928861115,0.5533333333333333,0.053333333333333344
AG,8,F3_VOL,gbr_quantile,0.9,0,1000,450,0.0029682274557322756,0.0029610845117010627,-0.0024122729368198925,0.8911111111111111,-0.008888888888888946
AG,8,F3_VOL,gbr_quantile,0.1,1,1450,450,0.0023423696598619905,0.0024635252106368286,0.04917974869983932,0.04888888888888889,-0.051111111111111114
AG,8,F3_VOL,gbr_quantile,0.5,1,1450,450,0.004759900255861877,0.004760179558554576,5.8674822926985115e-05,0.5311111111111111,0.03111111111111109
AG,8,F3_VOL,gbr_quantile,0.9,1,1450,450,0.002939299786211528,0.0029876106461279132,0.016170400242413896,0.8555555555555555,-0.04444444444444451
AG,8,F3_VOL,gbr_quantile,0.1,2,1900,450,0.00240328158980249,0.0023355242786567074,-0.0290116064153072,0.09333333333333334,-0.006666666666666668
AG,8,F3_VOL,gbr_quantile,0.5,2,1900,450,0.00436436120100506,0.004256754268236013,-0.02527910374625364,0.4488888888888889,-0.05111111111111111
AG,8,F3_VOL,gbr_quantile,0.9,2,1900,450,0.002124989407603458,0.0019183091156502721,-0.10774086942871297,0.8888888888888888,-0.011111111111111183
AG,8,F3_VOL,gbr_quantile,0.1,3,2350,450,0.0019493165755446562,0.002099341635614789,0.07146290890677165,0.042222222222222223,-0.05777777777777778
