instrument,horizon,feature_set,model,quantile,oos_rows,pinball_loss,baseline_pinball_loss,pinball_skill,calibration,calibration_error,positive_skill_fold_share,median_fold_skill
CU,4,F3_VOL,gbr_quantile,0.5,2250,0.0010365108312834438,0.0010256538684288974,-0.010585406235709138,0.5097777777777778,0.009777777777777774,0.0,-0.00937391907928764
CU,4,F3_VOL,gbr_quantile,0.9,2250,0.000516215119731832,0.0005248422420498359,0.016437553281362427,0.9155555555555556,0.015555555555555545,0.8,0.013730330752856124
CU,8,F1_DIRECTION,linear_qr,0.1,2250,0.0007665723123644261,0.0007645836912104369,-0.00260092018290492,0.072,-0.02800000000000001,0.2,-0.0017750149498481083
CU,8,F1_DIRECTION,linear_qr,0.5,2250,0.0015241122320346794,0.0015232447796977536,-0.0005694766517421179,0.5031111111111111,0.0031111111111110645,0.2,-0.005633892530847229
CU,8,F1_DIRECTION,linear_qr,0.9,2250,0.0007510810288698375,0.0007453119458343059,-0.007740494524173691,0.9368888888888889,0.03688888888888886,0.4,-0.017057905048852406
CU,8,F1_DIRECTION,gbr_quantile,0.1,2250,0.0007688248601753267,0.0007645836912104369,-0.005547030382214269,0.08577777777777777,-0.014222222222222233,0.8,0.01575821277550049
CU,8,F1_DIRECTION,gbr_quantile,0.5,2250,0.0015410271759371417,0.0015232447796977536,-0.011674024080959855,0.508,0.008000000000000007,0.2,-0.016400909410723585
CU,8,F1_DIRECTION,gbr_quantile,0.9,2250,0.0007439710629840241,0.0007453119458343059,0.0017990894386923362,0.9324444444444444,0.03244444444444439,0.6,0.011080799597117497
CU,8,F2_ACTIVITY,linear_qr,0.1,2250,0.0007777631827567997,0.0007645836912104369,-0.01723747406317022,0.07511111111111111,-0.02488888888888889,0.2,-0.0057452942433093845
CU,8,F2_ACTIVITY,linear_qr,0.5,2250,0.0015345233854660995,0.0015232447796977536,-0.007404329178521074,0.4955555555555556,-0.0044444444444444176,0.4,-0.011143716776847112
CU,8,F2_ACTIVITY,linear_qr,0.9,2250,0.0007590212983512298,0.0007453119458343059,-0.018394113489724973,0.9355555555555556,0.03555555555555556,0.0,-0.01748394283334953
CU,8,F2_ACTIVITY,gbr_quantile,0.1,2250,0.0007724416091845307,0.0007645836912104369,-0.010277381095657123,0.08622222222222223,-0.013777777777777778,0.6,0.006913266414684149
CU,8,F2_ACTIVITY,gbr_quantile,0.5,2250,0.0015351993347976717,0.0015232447796977536,-0.00784808538932924,0.5075555555555555,0.007555555555555538,0.2,-0.018359593772828475
CU,8,F2_ACTIVITY,gbr_quantile,0.9,2250,0.0007496562744585,0.0007453119458343059,-0.00582887292827583,0.9311111111111111,0.03111111111111109,0.4,-0.01953219049727406
CU,8,F3_VOL,linear_qr,0.1,2250,0.0007819157248807963,0.0007645836912104369,-0.022668589285393503,0.07288888888888889,-0.027111111111111114,0.2,-0.020911089126083082
CU,8,F3_VOL,linear_qr,0.5,2250,0.0015359336782425272,0.0015232447796977536,-0.008330176944569168,0.4951111111111111,-0.004888888888888887,0.4,-0.0072799399317695634
CU,8,F3_VOL,linear_qr,0.9,2250,0.0007611612663149129,0.0007453119458343059,-0.02126535146684816,0.9257777777777778,0.02577777777777779,0.0,-0.01932194437681445
CU,8,F3_VOL,gbr_quantile,0.1,2250,0.0007725979315059903,0.0007645836912104369,-0.010481835262357908,0.09111111111111111,-0.00888888888888889,0.6,0.00848675246620112
CU,8,F3_VOL,gbr_quantile,0.5,2250,0.0015344196147758728,0.0015232447796977536,-0.007336204415114844,0.5088888888888888,0.008888888888888835,0.4,-0.021021061290131815
CU,8,F3_VOL,gbr_quantile,0.9,2250,0.0007481731911172777,0.0007453119458343059,-0.0038389902361875006,0.932,0.03200000000000003,0.2,-0.004750437622359938
CU,16,F1_DIRECTION,linear_qr,0.1,2250,0.0011179785360398524,0.0011027360421207383,-0.013822431966402648,0.08044444444444444,-0.019555555555555562,0.2,-0.008622158147446823
CU,16,F1_DIRECTION,linear_qr,0.5,2250,0.0022717547179365006,0.0022714850746807236,-0.00011870791438717276,0.5022222222222222,0.0022222222222222365,0.4,-0.0010309886871282536
CU,16,F1_DIRECTION,linear_qr,0.9,2250,0.001121241974051799,0.001097870378030853,-0.021288119698488872,0.9506666666666667,0.05066666666666664,0.6,0.0035687451076340526
CU,16,F1_DIRECTION,gbr_quantile,0.1,2250,0.0011181331843231916,0.0011027360421207383,-0.01396267249308547,0.08933333333333333,-0.010666666666666672,0.2,-0.013646392521361683
CU,16,F1_DIRECTION,gbr_quantile,0.5,2250,0.002283179971780733,0.0022714850746807236,-0.005148568762510131,0.5022222222222222,0.0022222222222222365,0.6,0.0012475750847588118
CU,16,F1_DIRECTION,gbr_quantile,0.9,2250,0.001084583617814522,0.001097870378030853,0.012102303224686861,0.9484444444444444,0.0484444444444444,0.6,0.04093774287868668
CU,16,F2_ACTIVITY,linear_qr,0.1,2250,0.001121870303206143,0.0011027360421207383,-0.017351623919543258,0.08088888888888889,-0.01911111111111112,0.2,-0.008039032157250992
