group,horizon,model,from_feature_set,to_feature_set,instrument_count,median_delta_mean_pinball_skill,positive_share_delta_mean_pinball_skill,median_delta_tail_pinball_skill,positive_share_delta_tail_pinball_skill,median_delta_q10_pinball_skill,positive_share_delta_q10_pinball_skill,median_delta_q50_pinball_skill,positive_share_delta_q50_pinball_skill,median_delta_q90_pinball_skill,positive_share_delta_q90_pinball_skill,median_delta_interval_score_skill,positive_share_delta_interval_score_skill,median_delta_q50_decile_monotonicity,positive_share_delta_q50_decile_monotonicity,median_delta_width_path_range_monotonicity,positive_share_delta_width_path_range_monotonicity
ALL_8,16,linear_qr,F1_DIRECTION,F2_ACTIVITY,8,-0.003963852474903199,0.25,-0.004274081579140443,0.25,-0.0029144872907456154,0.375,-0.002315152788143149,0.125,-0.005784748050339017,0.25,-0.0009560171242982696,0.375,0.006771444803134095,0.5,-0.036363636363636334,0.25
ALL_8,16,linear_qr,F2_ACTIVITY,F3_VOL,8,-7.87695840643865e-05,0.5,-0.0005370950279917908,0.375,-0.0013175874171853508,0.25,-0.0008413894528075394,0.5,0.001584808347726785,0.625,0.0011088096205623676,0.625,-0.006060606060606155,0.5,0.23636363636363633,0.875
HOLDOUT_7,4,gbr_quantile,F1_DIRECTION,F2_ACTIVITY,7,-0.0032260562922480363,0.14285714285714285,-0.0059976246019049495,0.14285714285714285,-0.0061764947346458765,0.14285714285714285,-0.003436255891678952,0.2857142857142857,-0.006095362498513279,0.14285714285714285,-0.006000853754316138,0.14285714285714285,-0.018237166310401953,0.2857142857142857,0.024242424242424288,0.5714285714285714
HOLDOUT_7,4,gbr_quantile,F2_ACTIVITY,F3_VOL,7,0.0011263805744453625,0.7142857142857143,0.002399922348438943,0.7142857142857143,-0.002717352516772964,0.42857142857142855,-0.0004028165167286879,0.14285714285714285,0.006273467849807313,0.8571428571428571,0.0023872111505686133,0.7142857142857143,-0.12474630231420669,0.2857142857142857,0.012121212121212088,0.5714285714285714
HOLDOUT_7,4,linear_qr,F1_DIRECTION,F2_ACTIVITY,7,-0.0029256797340047784,0.14285714285714285,-0.0033642173478997117,0.14285714285714285,-0.0030258809857848235,0.0,-0.0014224329999152907,0.0,-0.0005881852574900481,0.42857142857142855,-0.0001648904612043811,0.42857142857142855,0.012111261178769706,0.5714285714285714,0.024242424242424176,0.5714285714285714
HOLDOUT_7,4,linear_qr,F2_ACTIVITY,F3_VOL,7,-0.001652459362928275,0.42857142857142855,-0.003143624259227207,0.42857142857142855,-0.0032443530624073347,0.42857142857142855,-0.0024156108295849688,0.2857142857142857,0.003691176104805627,0.5714285714285714,0.0008837577482587733,0.7142857142857143,0.0820233426908302,0.5714285714285714,0.0,0.2857142857142857
HOLDOUT_7,8,gbr_quantile,F1_DIRECTION,F2_ACTIVITY,7,1.950996179641163e-05,0.5714285714285714,0.00021942144261594132,0.5714285714285714,0.002944996807537903,0.7142857142857143,-0.0017691872531568897,0.42857142857142855,-0.007627962366968166,0.2857142857142857,0.0004028909577779016,0.5714285714285714,-0.036363636363636376,0.42857142857142855,-0.03636363636363649,0.42857142857142855
HOLDOUT_7,8,gbr_quantile,F2_ACTIVITY,F3_VOL,7,0.002498494026902498,0.7142857142857143,0.0018681065137679531,0.7142857142857143,-0.00020445416670078487,0.42857142857142855,0.0005118809742143959,0.5714285714285714,0.0020204456170008767,0.7142857142857143,0.0017346515500975546,0.7142857142857143,0.24242424242424232,0.7142857142857143,0.036363636363636265,0.5714285714285714
HOLDOUT_7,8,linear_qr,F1_DIRECTION,F2_ACTIVITY,7,-0.005975090766265307,0.0,-0.008404040238545796,0.14285714285714285,-0.009053011137919231,0.14285714285714285,-0.0027317267305657644,0.14285714285714285,-0.0014465034600739113,0.42857142857142855,-0.0006241160128415135,0.42857142857142855,0.031265269974036,0.7142857142857143,0.04848484848484847,0.7142857142857143
HOLDOUT_7,8,linear_qr,F2_ACTIVITY,F3_VOL,7,-0.003076066988464854,0.14285714285714285,-0.004151176599673234,0.14285714285714285,-0.005431115222223282,0.14285714285714285,-0.00243920188213842,0.2857142857142857,-0.006647621755600408,0.2857142857142857,-0.0017589691549346753,0.42857142857142855,-0.06060606060606066,0.2857142857142857,0.024242424242424288,0.5714285714285714
HOLDOUT_7,16,gbr_quantile,F1_DIRECTION,F2_ACTIVITY,7,-0.0016204710212851525,0.42857142857142855,-0.0006114641248561314,0.42857142857142855,0.0004356551973292433,0.5714285714285714,0.0015532280749888105,0.5714285714285714,-0.0005464799581764712,0.42857142857142855,-0.0006134848840060325,0.42857142857142855,0.048484848484848464,0.5714285714285714,-0.07272727272727275,0.42857142857142855
HOLDOUT_7,16,gbr_quantile,F2_ACTIVITY,F3_VOL,7,0.004267849321600551,0.8571428571428571,0.006571491648681427,0.8571428571428571,0.008089148132192525,0.7142857142857143,0.0007369452452479219,0.5714285714285714,0.0030753551908055954,0.8571428571428571,0.006544588746414615,0.8571428571428571,-0.08484848484848484,0.14285714285714285,0.10909090909090902,0.8571428571428571
HOLDOUT_7,16,linear_qr,F1_DIRECTION,F2_ACTIVITY,7,-0.004094935802474367,0.14285714285714285,-0.0044344729268783745,0.14285714285714285,-0.003529191953140609,0.42857142857142855,-0.00256430196697488,0.14285714285714285,-0.006229742200061894,0.14285714285714285,-0.0010335851608926916,0.2857142857142857,0.02566410172748039,0.5714285714285714,-0.04848484848484849,0.2857142857142857
HOLDOUT_7,16,linear_qr,F2_ACTIVITY,F3_VOL,7,0.0002581092784024186,0.5714285714285714,-0.0003453827196837622,0.42857142857142855,-0.0023515832393410374,0.2857142857142857,0.0003540568818758416,0.5714285714285714,0.0026401536868183584,0.7142857142857143,0.0008092882668813139,0.5714285714285714,0.012121212121212088,0.5714285714285714,0.2545454545454545,0.8571428571428571
METAL_HOLDOUT,4,gbr_quantile,F1_DIRECTION,F2_ACTIVITY,4,-0.004550874446301701,0.0,-0.007150586313218438,0.0,-0.007409458254837631,0.25,-0.0022520647867202426,0.25,-0.006129555293967304,0.0,-0.0072103660388131985,0.0,0.007350787771920426,0.5,0.030303030303030276,0.75
METAL_HOLDOUT,4,gbr_quantile,F2_ACTIVITY,F3_VOL,4,0.0008410838181823572,0.75,0.0023069537966503295,0.75,0.00018308219226986777,0.5,-0.00034738681925039483,0.0,0.003752599441058546,1.0,0.002297173855567991,0.75,-0.06643113787470475,0.25,0.0060606060606061,0.5
METAL_HOLDOUT,4,linear_qr,F1_DIRECTION,F2_ACTIVITY,4,-0.0025300880813589055,0.0,-0.002434889773511806,0.0,-0.0023186248345005156,0.0,-0.0017355187530651017,0.0,-0.0010885943770206907,0.25,-0.000430875788481333,0.25,0.02218524866828836,0.5,0.12121212121212122,0.75
METAL_HOLDOUT,4,linear_qr,F2_ACTIVITY,F3_VOL,4,-0.0004925335228814778,0.5,-0.0009934046043385547,0.5,-0.0003262398885932605,0.5,-0.0015301839218382352,0.25,0.002290592401840208,0.5,0.000965572052121999,0.75,0.04234941729344998,0.5,-0.04242424242424231,0.25
METAL_HOLDOUT,8,gbr_quantile,F1_DIRECTION,F2_ACTIVITY,4,-0.0008275162587250326,0.5,-0.0007038993248376646,0.5,0.0030323316367060205,0.75,-0.0006619678301759135,0.5,-0.008302620436173413,0.25,-0.0002635367797805821,0.5,0.026811492867862635,0.5,-0.04242424242424242,0.25
METAL_HOLDOUT,8,gbr_quantile,F2_ACTIVITY,F3_VOL,4,0.001632131930051572,0.75,0.0013804103882308627,0.75,-0.00034012917701231604,0.25,0.0010816971857104951,0.75,0.002005164154544603,0.75,0.0013066809818628178,0.75,0.25454545454545446,1.0,-0.0060606060606061,0.5
METAL_HOLDOUT,8,linear_qr,F1_DIRECTION,F2_ACTIVITY,4,-0.006589135351068197,0.0,-0.008410561563932717,0.0,-0.009682026868809035,0.0,-0.0036061367054704974,0.0,-0.00920434415236182,0.25,-0.004928839770061422,0.25,0.0065203229724790646,0.5,-0.054545454545454536,0.5
METAL_HOLDOUT,8,linear_qr,F2_ACTIVITY,F3_VOL,4,-0.0035633385435724545,0.25,-0.005652559605875573,0.25,-0.0050396071591601865,0.0,-0.0016825248240932567,0.25,-0.0053511268795811695,0.25,-0.0006302223607440594,0.5,-0.03030303030303033,0.25,-0.030303030303030165,0.5
METAL_HOLDOUT,16,gbr_quantile,F1_DIRECTION,F2_ACTIVITY,4,-0.0028358565649644523,0.25,-0.005275485221292148,0.0,-0.003932966079424394,0.25,1.905392847378895e-05,0.5,-0.00705279382287044,0.0,-0.005403850528567289,0.0,0.14609104893325864,0.75,-0.15757575757575748,0.25
METAL_HOLDOUT,16,gbr_quantile,F2_ACTIVITY,F3_VOL,4,0.0037811842749915963,0.75,0.003995207250379773,0.75,0.003337805149102424,0.5,-0.0023634278375749274,0.25,0.0032493198686480707,0.75,0.003978145572592018,0.75,-0.08312799670723661,0.0,0.03030303030303033,0.75
METAL_HOLDOUT,16,linear_qr,F1_DIRECTION,F2_ACTIVITY,4,-0.003963852474903199,0.0,-0.004274081579140443,0.0,-0.0013848505768955244,0.5,-0.003343394266428712,0.25,-0.006345661640310585,0.0,-0.0038307596099341756,0.0,-0.10303030303030286,0.25,-0.09696969696969696,0.25
METAL_HOLDOUT,16,linear_qr,F2_ACTIVITY,F3_VOL,4,-0.0006879744310330782,0.25,-0.0012642695897966405,0.25,-0.0032359411313437336,0.0,-0.0008413894528075394,0.5,0.001584808347726785,0.75,0.0002270222164006963,0.5,-0.006060606060606155,0.5,0.23636363636363633,1.0
DRIVER_DIVERSE_HOLDOUT,4,gbr_quantile,F1_DIRECTION,F2_ACTIVITY,5,-0.003064342837891217,0.2,-0.0028544403461177037,0.2,-0.0011569995524041143,0.2,-0.0034841478214382438,0.2,-0.006163748089421328,0.2,-0.00288058156436799,0.2,-0.11880802590133716,0.2,0.0,0.4
DRIVER_DIVERSE_HOLDOUT,4,gbr_quantile,F2_ACTIVITY,F3_VOL,5,0.0011263805744453625,0.8,0.002399922348438943,0.8,-0.002717352516772964,0.4,-0.0012305840973068083,0.2,0.006580715848213736,0.8,0.0023872111505686133,0.8,-0.1945297739776207,0.2,0.012121212121212088,0.6
DRIVER_DIVERSE_HOLDOUT,4,linear_qr,F1_DIRECTION,F2_ACTIVITY,5,-0.0029256797340047784,0.2,-0.0033642173478997117,0.2,-0.0030258809857848235,0.0,-0.0014224329999152907,0.0,-0.0005881852574900481,0.4,-0.0001648904612043811,0.4,0.012111261178769706,0.6,0.0,0.4
DRIVER_DIVERSE_HOLDOUT,4,linear_qr,F2_ACTIVITY,F3_VOL,5,-0.001652459362928275,0.4,-0.003143624259227207,0.4,-0.0032443530624073347,0.4,-0.000311453149604235,0.4,0.003691176104805627,0.6,0.0008837577482587733,0.8,-0.012270862382796968,0.4,0.0,0.4
DRIVER_DIVERSE_HOLDOUT,8,gbr_quantile,F1_DIRECTION,F2_ACTIVITY,5,1.950996179641163e-05,0.6,0.001352062948868027,0.6,0.00034182495261592116,0.6,-0.002645596012346818,0.4,-0.0012653199536016846,0.4,0.0013788946419073245,0.6,0.04655606663405121,0.6,0.09696969696969704,0.6
DRIVER_DIVERSE_HOLDOUT,8,gbr_quantile,F2_ACTIVITY,F3_VOL,5,0.002607131959624809,0.8,0.00211767454771572,0.8,3.9264381942683e-05,0.6,0.0005118809742143959,0.6,0.0020204456170008767,0.8,0.002351228502182501,0.8,0.24242424242424232,0.6,-0.048484848484848464,0.4
DRIVER_DIVERSE_HOLDOUT,8,linear_qr,F1_DIRECTION,F2_ACTIVITY,5,-0.007203179935871088,0.0,-0.008417082889319638,0.2,-0.005252021261384687,0.2,-0.004307368631581543,0.2,-0.0014465034600739113,0.4,-0.0006241160128415135,0.4,0.031265269974036114,0.8,0.12121212121212124,0.8
DRIVER_DIVERSE_HOLDOUT,8,linear_qr,F2_ACTIVITY,F3_VOL,5,-0.003076066988464854,0.0,-0.004151176599673234,0.0,-0.005431115222223282,0.2,-0.0009258477660480935,0.4,-0.006647621755600408,0.2,-0.0017589691549346753,0.4,-0.1313141338909517,0.2,0.16969696969696968,0.6
DRIVER_DIVERSE_HOLDOUT,16,gbr_quantile,F1_DIRECTION,F2_ACTIVITY,5,0.00011009994175885038,0.6,0.0013267597815602716,0.6,0.0004356551973292433,0.6,0.0015532280749888105,0.6,0.0008415252360534087,0.6,0.0013242983075107961,0.6,0.15007610017197381,0.6,0.07272727272727272,0.6
DRIVER_DIVERSE_HOLDOUT,16,gbr_quantile,F2_ACTIVITY,F3_VOL,5,0.004267849321600551,1.0,0.006571491648681427,1.0,0.008089148132192525,0.8,0.001183522086150468,0.8,0.0030753551908055954,1.0,0.006544588746414615,1.0,-0.03292266008113981,0.2,0.1454545454545455,0.8
DRIVER_DIVERSE_HOLDOUT,16,linear_qr,F1_DIRECTION,F2_ACTIVITY,5,-0.004626276730655146,0.2,-0.006444580291085744,0.2,-0.003529191953140609,0.4,-0.00256430196697488,0.0,-0.006229742200061894,0.2,-0.0010335851608926916,0.4,0.02566410172748039,0.6,-0.18181818181818177,0.2
DRIVER_DIVERSE_HOLDOUT,16,linear_qr,F2_ACTIVITY,F3_VOL,5,0.0002581092784024186,0.6,-0.0003453827196837622,0.4,-0.0023515832393410374,0.4,0.00043212057154307093,0.8,0.0026401536868183584,0.8,0.0008092882668813139,0.6,0.048484848484848464,0.6,0.303030303030303,0.8
