instrument,horizon,feature_set,model,oos_rows,crossing_rate,ordered_share,interval_80_coverage_ordered,interval_score,baseline_interval_score,interval_score_skill,q50_spearman,q50_sign_accuracy,positive_interval_skill_fold_share,median_fold_interval_skill,q50_decile_monotonicity,q50_top_minus_bottom_median,width_abs_return_monotonicity,width_path_range_monotonicity,width_top_minus_bottom_path_range
AL,16,F2_ACTIVITY,gbr_quantile,2250,0.0,1.0,0.8306666666666667,0.02198283371915588,0.02153126033205043,-0.020972919380537247,0.008508443513758783,0.5275555555555556,0.6,0.008210710604629856,0.35757575757575755,0.00040732201492539995,-0.6969696969696969,-0.6,-0.0008941087242946002
AL,16,F3_VOL,linear_qr,2250,0.0017777777777777779,0.9982222222222222,0.844612644701692,0.02215322620730737,0.02152587476547385,-0.029144062606912158,0.035726953626492995,0.5097777777777778,0.0,-0.031629911648425324,0.3939393939393939,-0.00025123128796649996,-0.406060606060606,-0.23636363636363633,0.000431544114901
AL,16,F3_VOL,gbr_quantile,2250,0.0,1.0,0.8297777777777777,0.02213560749390659,0.02153126033205043,-0.028068359795759834,-0.03345352817822615,0.49422222222222223,0.6,0.00871434726125353,-0.10303030303030303,-0.0002011033629702,-0.49090909090909085,-0.5636363636363636,-0.0007577545983131996
SN,4,F1_DIRECTION,linear_qr,2250,0.0,1.0,0.86,0.02268881707844281,0.022587069741208433,-0.004504671849874686,0.035601687433341404,0.5102222222222222,0.6,0.0013668506735922126,0.34545454545454546,0.0011959117015001,0.8303030303030302,0.9272727272727272,0.0036155579691956995
SN,4,F1_DIRECTION,gbr_quantile,2250,0.0,1.0,0.8462222222222222,0.0218207986376831,0.022587069741208433,0.03392521085315148,0.021147711216144855,0.508,0.8,0.05538109359324506,-0.01818181818181818,-9.437188850520812e-05,0.9757575757575757,0.9636363636363635,0.0077589506505186985
SN,4,F2_ACTIVITY,linear_qr,2250,0.0017777777777777779,0.9982222222222222,0.8606411398040962,0.022714555378619404,0.022597016253651094,-0.005201532965632971,0.0515908685126731,0.5155555555555555,0.6,0.010468310633253486,0.406060606060606,0.0010137301071083,0.8545454545454544,0.9515151515151514,0.003686392027290899
SN,4,F2_ACTIVITY,gbr_quantile,2250,0.0,1.0,0.8444444444444444,0.02195634033993863,0.022587069741208433,0.02792435709883534,0.02144938424380457,0.49955555555555553,1.0,0.03570434749263618,-0.0303030303030303,-0.0002784898173594,0.9393939393939393,0.9878787878787878,0.007128613437002799
SN,4,F3_VOL,linear_qr,2250,0.0017777777777777779,0.9982222222222222,0.850845948352627,0.022418983649702014,0.022597016253651094,0.007878589011516723,0.05202328210969693,0.5053333333333333,0.8,0.012228268147584598,0.5030303030303029,0.0013487916368841,0.9636363636363635,0.9515151515151514,0.004550371338151585
SN,4,F3_VOL,gbr_quantile,2250,0.0,1.0,0.8426666666666667,0.02203941624253889,0.022587069741208433,0.024246327874500206,0.02600804910314188,0.5088888888888888,1.0,0.00964657392968482,0.006060606060606061,-0.00021184138429959133,0.8787878787878788,0.9757575757575757,0.007459737940690199
SN,8,F1_DIRECTION,linear_qr,2250,0.0,1.0,0.8533333333333334,0.03274278915594728,0.03253150580159015,-0.006494730236151547,0.1100989362789929,0.544,0.6,0.007123739208775848,0.7818181818181817,0.0023261972199378,0.9030303030303028,0.9515151515151514,0.00604002177284
SN,8,F1_DIRECTION,gbr_quantile,2250,0.0,1.0,0.8342222222222222,0.032452296553960557,0.03253150580159015,0.0024348472558476386,0.0921619100339581,0.5253333333333333,0.8,0.041812928505238656,0.6242424242424242,0.0014577798370988,0.8787878787878788,0.9636363636363635,0.005839941813919199
SN,8,F2_ACTIVITY,linear_qr,2250,0.0022222222222222222,0.9977777777777778,0.8481069042316258,0.0327280423509206,0.032548811528487834,-0.005506524325040063,0.11908037147110688,0.5484444444444444,0.6,0.022675744423824806,0.7696969696969697,0.0031925749125282002,0.8181818181818182,0.9636363636363635,0.0040612220788468
SN,8,F2_ACTIVITY,gbr_quantile,2250,0.0,1.0,0.8284444444444444,0.0324391899044302,0.03253150580159015,0.0028377382136255402,0.08695060620910597,0.528,0.8,0.02796293556925833,0.5878787878787878,0.0018035448567299,0.7939393939393938,0.9151515151515152,0.005389495941651399
SN,8,F3_VOL,linear_qr,2250,0.0008888888888888889,0.9991111111111111,0.8411921708185054,0.03229592468824412,0.03253807194611567,0.007441967006298178,0.12453337956202616,0.5435555555555556,0.6,0.04347971428990782,0.709090909090909,0.0031687001379,0.8424242424242423,0.9878787878787878,0.0068261013065580994
