instrument,horizon,quantile,fold,feature,coefficient
AG,4,0.9,1,feat_15m_oi_log_change_4,-0.00098309615392719
AG,4,0.9,1,feat_5m_1h_rv,0.0010505700488783719
AG,4,0.9,1,feat_5m_rv_rate_ratio_1h_4h,-0.0011850414064179542
AG,4,0.1,2,feat_15m_ret_1,9.274912503640097e-05
AG,4,0.1,2,feat_15m_ret_4,-0.00048166287462341747
AG,4,0.1,2,feat_15m_ret_8,0.000487524948938322
AG,4,0.1,2,feat_15m_ret_16,0.0012682738563959074
AG,4,0.1,2,feat_15m_location_32,0.00047401354684025186
AG,4,0.1,2,feat_time_bars_since_segment_start,-0.0013701473424460567
AG,4,0.1,2,feat_time_after_long_gap,-0.00041044828951498875
AG,4,0.1,2,feat_15m_volume_ratio_32,-8.00941928696552e-06
AG,4,0.1,2,feat_15m_oi_log_change_4,-0.0003870025607718212
AG,4,0.1,2,feat_5m_1h_rv,-0.00041557709318998013
AG,4,0.1,2,feat_5m_rv_rate_ratio_1h_4h,-0.0010743959701082714
AG,4,0.5,2,feat_15m_ret_1,6.913631340576424e-05
AG,4,0.5,2,feat_15m_ret_4,-0.0004462446885387728
AG,4,0.5,2,feat_15m_ret_8,0.0009458065350433852
AG,4,0.5,2,feat_15m_ret_16,-0.00035348842418886497
AG,4,0.5,2,feat_15m_location_32,-2.6531438331944106e-05
AG,4,0.5,2,feat_time_bars_since_segment_start,-0.0003054088558745728
AG,4,0.5,2,feat_time_after_long_gap,-0.0005202830408051773
AG,4,0.5,2,feat_15m_volume_ratio_32,0.00012280465968770806
AG,4,0.5,2,feat_15m_oi_log_change_4,-0.00045890375304984387
AG,4,0.5,2,feat_5m_1h_rv,0.00016124763265643432
AG,4,0.5,2,feat_5m_rv_rate_ratio_1h_4h,-0.0005699905807590798
AG,4,0.9,2,feat_15m_ret_1,-0.0006017039943773732
AG,4,0.9,2,feat_15m_ret_4,0.0005494693642948827
AG,4,0.9,2,feat_15m_ret_8,0.0011233311991686009
AG,4,0.9,2,feat_15m_ret_16,-0.0020430098517127356
AG,4,0.9,2,feat_15m_location_32,0.0008830857839896343
AG,4,0.9,2,feat_time_bars_since_segment_start,-0.0018999721294158864
AG,4,0.9,2,feat_time_after_long_gap,-0.0005269412990490584
AG,4,0.9,2,feat_15m_volume_ratio_32,-0.000580188537728244
AG,4,0.9,2,feat_15m_oi_log_change_4,-0.0010434987975863862
AG,4,0.9,2,feat_5m_1h_rv,0.0010287533454701066
AG,4,0.9,2,feat_5m_rv_rate_ratio_1h_4h,-0.00094986721653406
AG,4,0.1,3,feat_15m_ret_1,-0.0002074750651270789
AG,4,0.1,3,feat_15m_ret_4,-0.00046577252398129145
AG,4,0.1,3,feat_15m_ret_8,0.0006921406601724029
AG,4,0.1,3,feat_15m_ret_16,-0.00020338857292680678
AG,4,0.1,3,feat_15m_location_32,0.0015148109991344365
AG,4,0.1,3,feat_time_bars_since_segment_start,-0.0009034176006446266
AG,4,0.1,3,feat_time_after_long_gap,-0.00040290340877145617
AG,4,0.1,3,feat_15m_volume_ratio_32,0.00043183733283804236
AG,4,0.1,3,feat_15m_oi_log_change_4,-0.00033469279008865025
AG,4,0.1,3,feat_5m_1h_rv,-0.00030807223177076073
AG,4,0.1,3,feat_5m_rv_rate_ratio_1h_4h,-0.0010887502987743296
AG,4,0.5,3,feat_15m_ret_1,0.00011794038597516922
AG,4,0.5,3,feat_15m_ret_4,-0.0004734149891967796
AG,4,0.5,3,feat_15m_ret_8,0.0006695039909231179
AG,4,0.5,3,feat_15m_ret_16,-0.0005033377877946282
AG,4,0.5,3,feat_15m_location_32,0.00020250212826898045
AG,4,0.5,3,feat_time_bars_since_segment_start,-0.0002905398777151041
AG,4,0.5,3,feat_time_after_long_gap,-0.00045529474485231836
AG,4,0.5,3,feat_15m_volume_ratio_32,0.0003390797424199823
AG,4,0.5,3,feat_15m_oi_log_change_4,-0.0004007647556927541
AG,4,0.5,3,feat_5m_1h_rv,7.784570080618501e-05
AG,4,0.5,3,feat_5m_rv_rate_ratio_1h_4h,-0.0005664080441071591
AG,4,0.9,3,feat_15m_ret_1,-0.00048050125354098463
AG,4,0.9,3,feat_15m_ret_4,0.0005224421892177653
AG,4,0.9,3,feat_15m_ret_8,0.0006625341473074925
AG,4,0.9,3,feat_15m_ret_16,-0.0022267843466943034
AG,4,0.9,3,feat_15m_location_32,0.0013833223501170694
AG,4,0.9,3,feat_time_bars_since_segment_start,-0.0014213834852003914
AG,4,0.9,3,feat_time_after_long_gap,-0.0002712776385662302
AG,4,0.9,3,feat_15m_volume_ratio_32,-0.0007136316028610678
AG,4,0.9,3,feat_15m_oi_log_change_4,3.350416017250378e-05
AG,4,0.9,3,feat_5m_1h_rv,0.000587681225266805
AG,4,0.9,3,feat_5m_rv_rate_ratio_1h_4h,-0.0003829459956059086
AG,4,0.1,4,feat_15m_ret_1,5.626095281971694e-05
AG,4,0.1,4,feat_15m_ret_4,-0.0005939480012950787
AG,4,0.1,4,feat_15m_ret_8,0.0004953615088895157
AG,4,0.1,4,feat_15m_ret_16,2.4457645993916273e-06
AG,4,0.1,4,feat_15m_location_32,0.0013778022618172801
AG,4,0.1,4,feat_time_bars_since_segment_start,-0.0005545999691255653
AG,4,0.1,4,feat_time_after_long_gap,-0.00034942571295707694
AG,4,0.1,4,feat_15m_volume_ratio_32,0.0003899602386720398
AG,4,0.1,4,feat_15m_oi_log_change_4,-0.0002724460292137049
AG,4,0.1,4,feat_5m_1h_rv,-0.0005221918578245551
AG,4,0.1,4,feat_5m_rv_rate_ratio_1h_4h,-0.001005332985529614
AG,4,0.5,4,feat_15m_ret_1,0.00018627208937262716
AG,4,0.5,4,feat_15m_ret_4,-0.00038833393695673093
AG,4,0.5,4,feat_15m_ret_8,0.0005569153341333833
AG,4,0.5,4,feat_15m_ret_16,-0.0006157523742724395
AG,4,0.5,4,feat_15m_location_32,0.00025519064325396146
AG,4,0.5,4,feat_time_bars_since_segment_start,-8.295497582779942e-05
AG,4,0.5,4,feat_time_after_long_gap,-0.00038116872878182415
AG,4,0.5,4,feat_15m_volume_ratio_32,0.0004844924635558156
AG,4,0.5,4,feat_15m_oi_log_change_4,-0.0002981952903539547
AG,4,0.5,4,feat_5m_1h_rv,-3.855305292163353e-05
AG,4,0.5,4,feat_5m_rv_rate_ratio_1h_4h,-0.0005148542204197293
AG,4,0.9,4,feat_15m_ret_1,-0.0006246352479302185
AG,4,0.9,4,feat_15m_ret_4,0.00046600704965062074
AG,4,0.9,4,feat_15m_ret_8,0.0003298288096800878
AG,4,0.9,4,feat_15m_ret_16,-0.0019359901335535509
AG,4,0.9,4,feat_15m_location_32,0.0018264902479403309
AG,4,0.9,4,feat_time_bars_since_segment_start,-0.0012548797673979713
AG,4,0.9,4,feat_time_after_long_gap,3.3813288779848046e-05
AG,4,0.9,4,feat_15m_volume_ratio_32,-0.0006318267489607014
AG,4,0.9,4,feat_15m_oi_log_change_4,0.00010801058816319412
AG,4,0.9,4,feat_5m_1h_rv,0.0005153739709149003
AG,4,0.9,4,feat_5m_rv_rate_ratio_1h_4h,-0.00018660432773091393
AG,8,0.1,0,feat_15m_ret_1,-0.0005042834282959934
AG,8,0.1,0,feat_15m_ret_4,-0.00023487462508558414
AG,8,0.1,0,feat_15m_ret_8,-0.003497461830718007
AG,8,0.1,0,feat_15m_ret_16,0.0019720019725085578
AG,8,0.1,0,feat_15m_location_32,0.003806739130177135
AG,8,0.1,0,feat_time_bars_since_segment_start,0.0008652675692027524
AG,8,0.1,0,feat_time_after_long_gap,-0.0016550732580409358
AG,8,0.1,0,feat_15m_volume_ratio_32,0.0028859065906527916
AG,8,0.1,0,feat_15m_oi_log_change_4,0.00037104616661610116
AG,8,0.1,0,feat_5m_1h_rv,-0.002921079385428134
AG,8,0.1,0,feat_5m_rv_rate_ratio_1h_4h,-0.0005148385784069178
AG,8,0.5,0,feat_15m_ret_1,7.116399458056904e-05
AG,8,0.5,0,feat_15m_ret_4,-0.00010374049862764783
AG,8,0.5,0,feat_15m_ret_8,0.0001759298609951872
AG,8,0.5,0,feat_15m_ret_16,0.0018052522501383276
AG,8,0.5,0,feat_15m_location_32,-0.0014632434851469273
AG,8,0.5,0,feat_time_bars_since_segment_start,-0.001221460116986936
AG,8,0.5,0,feat_time_after_long_gap,-0.0009474700427814995
AG,8,0.5,0,feat_15m_volume_ratio_32,0.00016699982072004111
AG,8,0.5,0,feat_15m_oi_log_change_4,-0.0009352356149933709
AG,8,0.5,0,feat_5m_1h_rv,-0.00012551473925284407
AG,8,0.5,0,feat_5m_rv_rate_ratio_1h_4h,-0.0020997368573175703
AG,8,0.9,0,feat_15m_ret_1,5.5536832126361494e-05
AG,8,0.9,0,feat_15m_ret_4,-0.00279494540973503
AG,8,0.9,0,feat_15m_ret_8,0.0048091973424701255
AG,8,0.9,0,feat_15m_ret_16,-0.0006249103529672919
AG,8,0.9,0,feat_15m_location_32,0.00015438531480342537
AG,8,0.9,0,feat_time_bars_since_segment_start,-0.002551806359548909
AG,8,0.9,0,feat_time_after_long_gap,0.0001917166432617092
AG,8,0.9,0,feat_15m_volume_ratio_32,-0.0011843382675405325
AG,8,0.9,0,feat_15m_oi_log_change_4,-0.0019380547104215617
AG,8,0.9,0,feat_5m_1h_rv,-4.7619382447327855e-06
AG,8,0.9,0,feat_5m_rv_rate_ratio_1h_4h,-0.0014704016586123156
AG,8,0.1,1,feat_15m_ret_1,-0.00042632788372595293
AG,8,0.1,1,feat_15m_ret_4,-0.00019808846519879308
AG,8,0.1,1,feat_15m_ret_8,-0.0016781392296968626
AG,8,0.1,1,feat_15m_ret_16,0.005094423340996887
AG,8,0.1,1,feat_15m_location_32,0.0008667400528203036
AG,8,0.1,1,feat_time_bars_since_segment_start,-0.0015325929631668214
AG,8,0.1,1,feat_time_after_long_gap,-0.001612609770735455
AG,8,0.1,1,feat_15m_volume_ratio_32,-3.527780349075464e-05
AG,8,0.1,1,feat_15m_oi_log_change_4,-0.0004081520945354094
AG,8,0.1,1,feat_5m_1h_rv,0.0012794436413210988
AG,8,0.1,1,feat_5m_rv_rate_ratio_1h_4h,-0.0009565043511430772
AG,8,0.5,1,feat_15m_ret_1,-2.03103583375731e-06
AG,8,0.5,1,feat_15m_ret_4,-0.0005323410676495744
AG,8,0.5,1,feat_15m_ret_8,0.0007383691968697137
AG,8,0.5,1,feat_15m_ret_16,0.0014254727806874013
AG,8,0.5,1,feat_15m_location_32,-0.001312118947579558
AG,8,0.5,1,feat_time_bars_since_segment_start,-0.0018141133428845554
AG,8,0.5,1,feat_time_after_long_gap,-0.0005326512069809785
AG,8,0.5,1,feat_15m_volume_ratio_32,-0.00020393237568046234
AG,8,0.5,1,feat_15m_oi_log_change_4,-0.0008752580897871195
AG,8,0.5,1,feat_5m_1h_rv,0.0007884907811430809
AG,8,0.5,1,feat_5m_rv_rate_ratio_1h_4h,-0.0019683426294557975
AG,8,0.9,1,feat_15m_ret_1,-0.00028820653415864684
AG,8,0.9,1,feat_15m_ret_4,-0.00043335843612402476
AG,8,0.9,1,feat_15m_ret_8,0.0008240154321914546
AG,8,0.9,1,feat_15m_ret_16,-0.0009086707289130644
AG,8,0.9,1,feat_15m_location_32,0.0023309597283125336
AG,8,0.9,1,feat_time_bars_since_segment_start,-0.0020817663207829554
AG,8,0.9,1,feat_time_after_long_gap,-0.0005325331606818967
AG,8,0.9,1,feat_15m_volume_ratio_32,-0.001439559357607454
AG,8,0.9,1,feat_15m_oi_log_change_4,-0.0018173387076679318
AG,8,0.9,1,feat_5m_1h_rv,0.00032834718675425333
AG,8,0.9,1,feat_5m_rv_rate_ratio_1h_4h,-0.0009808001545696925
AG,8,0.1,2,feat_15m_ret_1,-0.00041107703884817233
AG,8,0.1,2,feat_15m_ret_4,0.0001364277198532201
AG,8,0.1,2,feat_15m_ret_8,-0.0014312678987878438
AG,8,0.1,2,feat_15m_ret_16,0.004910447721189464
AG,8,0.1,2,feat_15m_location_32,-6.207482777103683e-05
AG,8,0.1,2,feat_time_bars_since_segment_start,-0.0022073834559553796
AG,8,0.1,2,feat_time_after_long_gap,-0.00046615080047158813
AG,8,0.1,2,feat_15m_volume_ratio_32,-4.2990679155737386e-05
AG,8,0.1,2,feat_15m_oi_log_change_4,-0.0004161993815611187
AG,8,0.1,2,feat_5m_1h_rv,0.00024075844617680746
AG,8,0.1,2,feat_5m_rv_rate_ratio_1h_4h,-0.0006591581599153545
AG,8,0.5,2,feat_15m_ret_1,-8.726837179314218e-05
AG,8,0.5,2,feat_15m_ret_4,1.4742144367728659e-05
AG,8,0.5,2,feat_15m_ret_8,0.0006718572186556722
AG,8,0.5,2,feat_15m_ret_16,0.00028200462572585755
AG,8,0.5,2,feat_15m_location_32,-0.0005062886883112322
AG,8,0.5,2,feat_time_bars_since_segment_start,-0.0019553608832437778
AG,8,0.5,2,feat_time_after_long_gap,-0.0003169113115001204
AG,8,0.5,2,feat_15m_volume_ratio_32,-0.00023700611385149025
AG,8,0.5,2,feat_15m_oi_log_change_4,-0.0008063433788264759
AG,8,0.5,2,feat_5m_1h_rv,0.0003395555272808055
AG,8,0.5,2,feat_5m_rv_rate_ratio_1h_4h,-0.0014291897294852758
AG,8,0.9,2,feat_15m_ret_1,-0.0004177758467508726
AG,8,0.9,2,feat_15m_ret_4,0.000582307419497049
AG,8,0.9,2,feat_15m_ret_8,0.0022604012343045757
AG,8,0.9,2,feat_15m_ret_16,-0.0030358990763392955
AG,8,0.9,2,feat_15m_location_32,0.0013218502592506022
AG,8,0.9,2,feat_time_bars_since_segment_start,-0.0036913400841462004
AG,8,0.9,2,feat_time_after_long_gap,0.00017976740373295134
AG,8,0.9,2,feat_15m_volume_ratio_32,-0.0012694110889713848
AG,8,0.9,2,feat_15m_oi_log_change_4,-0.001720338426701205
AG,8,0.9,2,feat_5m_1h_rv,0.0008861649439384402
AG,8,0.9,2,feat_5m_rv_rate_ratio_1h_4h,-0.0014500712094967635
AG,8,0.1,3,feat_15m_ret_1,-0.00019143733133681912
AG,8,0.1,3,feat_15m_ret_4,0.0006142714522390277
AG,8,0.1,3,feat_15m_ret_8,-0.002224118626312082
AG,8,0.1,3,feat_15m_ret_16,0.0030606861835182787
AG,8,0.1,3,feat_15m_location_32,0.0017216567890918008
AG,8,0.1,3,feat_time_bars_since_segment_start,-0.0003106345766461855
AG,8,0.1,3,feat_time_after_long_gap,-0.00010800973795827947
AG,8,0.1,3,feat_15m_volume_ratio_32,0.0005586116570172213
AG,8,0.1,3,feat_15m_oi_log_change_4,-0.0003460968033886587
AG,8,0.1,3,feat_5m_1h_rv,3.7437157071506166e-05
AG,8,0.1,3,feat_5m_rv_rate_ratio_1h_4h,0.0002890954508642639
AG,8,0.5,3,feat_15m_ret_1,-0.00014222214726068645
AG,8,0.5,3,feat_15m_ret_4,-0.000123843147170649
AG,8,0.5,3,feat_15m_ret_8,0.0004269415039950295
AG,8,0.5,3,feat_15m_ret_16,-5.484413702498395e-05
AG,8,0.5,3,feat_15m_location_32,-7.070293604213012e-05
AG,8,0.5,3,feat_time_bars_since_segment_start,-0.0015139193701317747
AG,8,0.5,3,feat_time_after_long_gap,-0.00017099880661161415
AG,8,0.5,3,feat_15m_volume_ratio_32,8.450841464758935e-05
AG,8,0.5,3,feat_15m_oi_log_change_4,0.00015747306777221713
AG,8,0.5,3,feat_5m_1h_rv,0.0002742329931078019
AG,8,0.5,3,feat_5m_rv_rate_ratio_1h_4h,-0.0011907100126375678
AG,8,0.9,3,feat_15m_ret_1,-1.2603204841803599e-05
AG,8,0.9,3,feat_15m_ret_4,0.0005234760009787743
AG,8,0.9,3,feat_15m_ret_8,-0.00015163417897934493
AG,8,0.9,3,feat_15m_ret_16,-0.0025491271052848615
AG,8,0.9,3,feat_15m_location_32,0.00283384588251728
AG,8,0.9,3,feat_time_bars_since_segment_start,-0.002413281350519472
AG,8,0.9,3,feat_time_after_long_gap,-8.995626290405128e-06
AG,8,0.9,3,feat_15m_volume_ratio_32,-0.0013665449680861199
AG,8,0.9,3,feat_15m_oi_log_change_4,-0.0005345511834435674
AG,8,0.9,3,feat_5m_1h_rv,0.0003800368641556439
AG,8,0.9,3,feat_5m_rv_rate_ratio_1h_4h,-0.0010654184008230096
AG,8,0.1,4,feat_15m_ret_1,6.1003649243221236e-05
AG,8,0.1,4,feat_15m_ret_4,0.0002862405095316474
AG,8,0.1,4,feat_15m_ret_8,-0.002078824322551908
AG,8,0.1,4,feat_15m_ret_16,0.0029014574709505876
AG,8,0.1,4,feat_15m_location_32,0.0012614534596435804
AG,8,0.1,4,feat_time_bars_since_segment_start,-0.0005753686304746882
AG,8,0.1,4,feat_time_after_long_gap,-0.0004014324602952756
AG,8,0.1,4,feat_15m_volume_ratio_32,0.0007254289065245296
AG,8,0.1,4,feat_15m_oi_log_change_4,-0.00015747008466710877
AG,8,0.1,4,feat_5m_1h_rv,-0.00018870161277393125
AG,8,0.1,4,feat_5m_rv_rate_ratio_1h_4h,-0.000310966141400597
AG,8,0.5,4,feat_15m_ret_1,-0.00014249435738043575
AG,8,0.5,4,feat_15m_ret_4,-0.000130166002558444
AG,8,0.5,4,feat_15m_ret_8,0.00024697481891238756
AG,8,0.5,4,feat_15m_ret_16,-0.00039818648743768204
AG,8,0.5,4,feat_15m_location_32,0.0003884672565521674
AG,8,0.5,4,feat_time_bars_since_segment_start,-0.00092966366176876
AG,8,0.5,4,feat_time_after_long_gap,-0.0001433548235253916
AG,8,0.5,4,feat_15m_volume_ratio_32,0.0002324898122185774
AG,8,0.5,4,feat_15m_oi_log_change_4,0.00045302465226841577
AG,8,0.5,4,feat_5m_1h_rv,0.00026170560351946237
AG,8,0.5,4,feat_5m_rv_rate_ratio_1h_4h,-0.001113809632544523
AG,8,0.9,4,feat_15m_ret_1,-0.0002616455314308565
AG,8,0.9,4,feat_15m_ret_4,0.00035546495877701064
AG,8,0.9,4,feat_15m_ret_8,-0.00012859279901496397
AG,8,0.9,4,feat_15m_ret_16,-0.0024604305514265372
AG,8,0.9,4,feat_15m_location_32,0.003347124146020822
AG,8,0.9,4,feat_time_bars_since_segment_start,-0.0020771905307519546
AG,8,0.9,4,feat_time_after_long_gap,0.0002474790483541913
AG,8,0.9,4,feat_15m_volume_ratio_32,-0.001339797422095573
AG,8,0.9,4,feat_15m_oi_log_change_4,-0.0003874566901526928
AG,8,0.9,4,feat_5m_1h_rv,0.00028621690629041684
AG,8,0.9,4,feat_5m_rv_rate_ratio_1h_4h,-0.000575879512663109
AG,16,0.1,0,feat_15m_ret_1,2.039617393475511e-05
AG,16,0.1,0,feat_15m_ret_4,-0.0010539541137362493
AG,16,0.1,0,feat_15m_ret_8,0.00021875234259217336
AG,16,0.1,0,feat_15m_ret_16,0.007458931623062832
AG,16,0.1,0,feat_15m_location_32,0.0018744044786636596
AG,16,0.1,0,feat_time_bars_since_segment_start,-0.0011148385566482858
AG,16,0.1,0,feat_time_after_long_gap,-0.0020587783255881487
AG,16,0.1,0,feat_15m_volume_ratio_32,0.0020149644273993444
AG,16,0.1,0,feat_15m_oi_log_change_4,0.00013239434631585534
AG,16,0.1,0,feat_5m_1h_rv,-0.00042490243286400517
AG,16,0.1,0,feat_5m_rv_rate_ratio_1h_4h,-0.003511641920317366
AG,16,0.5,0,feat_15m_ret_1,0.00033609033865570584
AG,16,0.5,0,feat_15m_ret_4,-0.00033261834677941933
AG,16,0.5,0,feat_15m_ret_8,-0.00014063564653649644
AG,16,0.5,0,feat_15m_ret_16,0.002955100733642872
AG,16,0.5,0,feat_15m_location_32,-0.0005356607266833454
AG,16,0.5,0,feat_time_bars_since_segment_start,-0.0030828623594171523
AG,16,0.5,0,feat_time_after_long_gap,-0.0007685712832739233
AG,16,0.5,0,feat_15m_volume_ratio_32,0.0005151466617068279
AG,16,0.5,0,feat_15m_oi_log_change_4,-0.0009820528711678301
AG,16,0.5,0,feat_5m_1h_rv,-0.0006681085893361699
AG,16,0.5,0,feat_5m_rv_rate_ratio_1h_4h,-0.001173856867915477
AG,16,0.9,0,feat_15m_ret_1,0.0009425431458668229
AG,16,0.9,0,feat_15m_ret_4,-0.003036390312515194
AG,16,0.9,0,feat_15m_ret_8,0.0032266434095993505
AG,16,0.9,0,feat_15m_ret_16,0.0003639756515894495
AG,16,0.9,0,feat_15m_location_32,0.00016698962988603334
AG,16,0.9,0,feat_time_bars_since_segment_start,-0.006588176930620116
AG,16,0.9,0,feat_time_after_long_gap,0.0023540600521599064
AG,16,0.9,0,feat_15m_volume_ratio_32,-0.00442725033733405
AG,16,0.9,0,feat_15m_oi_log_change_4,-0.0017011346470907724
AG,16,0.9,0,feat_5m_1h_rv,-0.0017783387836819479
AG,16,0.9,0,feat_5m_rv_rate_ratio_1h_4h,0.004152399304865852
AG,16,0.1,1,feat_15m_ret_1,-0.001763713723916154
AG,16,0.1,1,feat_15m_ret_4,-0.0011982102613525075
AG,16,0.1,1,feat_15m_ret_8,0.00211641426247352
AG,16,0.1,1,feat_15m_ret_16,0.005788527313076677
AG,16,0.1,1,feat_15m_location_32,0.00028510679499326006
AG,16,0.1,1,feat_time_bars_since_segment_start,-0.0018277041016174942
AG,16,0.1,1,feat_time_after_long_gap,-0.001036557572357959
AG,16,0.1,1,feat_15m_volume_ratio_32,0.00042368209873475907
AG,16,0.1,1,feat_15m_oi_log_change_4,0.0004090961958670604
AG,16,0.1,1,feat_5m_1h_rv,-0.0001102927932498913
AG,16,0.1,1,feat_5m_rv_rate_ratio_1h_4h,-0.003059937612631625
AG,16,0.5,1,feat_15m_ret_1,-8.636784292896512e-05
AG,16,0.5,1,feat_15m_ret_4,0.00013413484697602306
AG,16,0.5,1,feat_15m_ret_8,0.0004344292336457573
AG,16,0.5,1,feat_15m_ret_16,0.002009806299328648
AG,16,0.5,1,feat_15m_location_32,-0.0008802767831713211
AG,16,0.5,1,feat_time_bars_since_segment_start,-0.0034118470407809853
AG,16,0.5,1,feat_time_after_long_gap,0.0003266458843052782
AG,16,0.5,1,feat_15m_volume_ratio_32,0.00013157480988700931
AG,16,0.5,1,feat_15m_oi_log_change_4,-0.0008923764181556505
AG,16,0.5,1,feat_5m_1h_rv,-0.0006110791345136684
AG,16,0.5,1,feat_5m_rv_rate_ratio_1h_4h,-0.0004427736693868282
AG,16,0.9,1,feat_15m_ret_1,4.3596284404006294e-05
AG,16,0.9,1,feat_15m_ret_4,-0.0013646916771023442
AG,16,0.9,1,feat_15m_ret_8,0.00048414668313560193
AG,16,0.9,1,feat_15m_ret_16,-0.0030753823933148882
AG,16,0.9,1,feat_15m_location_32,0.006537205474517702
AG,16,0.9,1,feat_time_bars_since_segment_start,-0.004458674856838242
AG,16,0.9,1,feat_time_after_long_gap,0.0010129661474355548
AG,16,0.9,1,feat_15m_volume_ratio_32,-0.003267462503541017
AG,16,0.9,1,feat_15m_oi_log_change_4,-0.0018604420498968541
AG,16,0.9,1,feat_5m_1h_rv,-0.0016057631236952802
AG,16,0.9,1,feat_5m_rv_rate_ratio_1h_4h,0.004264067031776585
AG,16,0.1,2,feat_15m_ret_1,-0.0021843866019904215
AG,16,0.1,2,feat_15m_ret_4,-0.0011229074840620203
AG,16,0.1,2,feat_15m_ret_8,0.0023281347184645473
AG,16,0.1,2,feat_15m_ret_16,0.0038353980674340573
AG,16,0.1,2,feat_15m_location_32,0.0009618777548114106
