instrument,horizon,quantile,feature,mean_coefficient,positive_fold_share,fold_sign_consistency
AG,8,0.1,feat_5m_rv_rate_ratio_1h_4h,-0.00043047435600033655,0.2,0.8
AG,8,0.1,feat_time_after_long_gap,-0.0008486552055003068,0.0,1.0
AG,8,0.1,feat_time_bars_since_segment_start,-0.0007521424114080644,0.2,0.8
AG,8,0.5,feat_15m_location_32,-0.000592777360105536,0.2,0.8
AG,8,0.5,feat_15m_oi_log_change_4,-0.0004012678727132667,0.4,0.6
AG,8,0.5,feat_15m_ret_1,-6.057038353749053e-05,0.2,0.8
AG,8,0.5,feat_15m_ret_16,0.0006119398064177841,0.6,0.6
AG,8,0.5,feat_15m_ret_4,-0.00017506971432771728,0.2,0.8
AG,8,0.5,feat_15m_ret_8,0.000452014519885598,1.0,1.0
AG,8,0.5,feat_15m_volume_ratio_32,8.611911610851045e-06,0.6,0.6
AG,8,0.5,feat_5m_1h_rv,0.0003076940331596613,0.8,0.8
AG,8,0.5,feat_5m_rv_rate_ratio_1h_4h,-0.001560357772288147,0.0,1.0
AG,8,0.5,feat_time_after_long_gap,-0.00042227723827992084,0.0,1.0
AG,8,0.5,feat_time_bars_since_segment_start,-0.0014869034750031609,0.0,1.0
AG,8,0.9,feat_15m_location_32,0.0019976330661809327,1.0,1.0
AG,8,0.9,feat_15m_oi_log_change_4,-0.0012795479436773917,0.0,1.0
AG,8,0.9,feat_15m_ret_1,-0.0001849388570111636,0.2,0.8
AG,8,0.9,feat_15m_ret_16,-0.00191580756298621,0.0,1.0
AG,8,0.9,feat_15m_ret_4,-0.00035341109332124416,0.6,0.6
AG,8,0.9,feat_15m_ret_8,0.0015226774061943694,0.6,0.6
AG,8,0.9,feat_15m_volume_ratio_32,-0.001319930220860213,0.0,1.0
AG,8,0.9,feat_5m_1h_rv,0.0003752007925788043,0.8,0.8
AG,8,0.9,feat_5m_rv_rate_ratio_1h_4h,-0.001108514187232978,0.0,1.0
AG,8,0.9,feat_time_after_long_gap,1.5486861675310003e-05,0.6,0.6
AG,8,0.9,feat_time_bars_since_segment_start,-0.002563076929149898,0.0,1.0
AG,16,0.1,feat_15m_location_32,0.001066838925280683,1.0,1.0
AG,16,0.1,feat_15m_oi_log_change_4,0.0002576800241771697,1.0,1.0
AG,16,0.1,feat_15m_ret_1,-0.0013156252300137717,0.2,0.8
AG,16,0.1,feat_15m_ret_16,0.004909706922761398,1.0,1.0
AG,16,0.1,feat_15m_ret_4,-0.0009534781113356046,0.0,1.0
AG,16,0.1,feat_15m_ret_8,0.0011807563088942004,1.0,1.0
AG,16,0.1,feat_15m_volume_ratio_32,0.0010033816313405421,1.0,1.0
AG,16,0.1,feat_5m_1h_rv,-0.0007339158835116348,0.0,1.0
AG,16,0.1,feat_5m_rv_rate_ratio_1h_4h,-0.001806752410602818,0.0,1.0
AG,16,0.1,feat_time_after_long_gap,-0.0010806793993680445,0.0,1.0
AG,16,0.1,feat_time_bars_since_segment_start,-0.0015259051139556918,0.0,1.0
AG,16,0.5,feat_15m_location_32,6.261014781924323e-06,0.4,0.6
AG,16,0.5,feat_15m_oi_log_change_4,-0.0007010860231705556,0.0,1.0
AG,16,0.5,feat_15m_ret_1,-8.649447429555977e-05,0.4,0.6
AG,16,0.5,feat_15m_ret_16,0.0011071676220520096,0.8,0.8
AG,16,0.5,feat_15m_ret_4,-0.00029941188114772913,0.2,0.8
AG,16,0.5,feat_15m_ret_8,0.00041872242452802336,0.8,0.8
AG,16,0.5,feat_15m_volume_ratio_32,0.0002199136028136887,0.8,0.8
AG,16,0.5,feat_5m_1h_rv,-0.00046971052466335765,0.0,1.0
AG,16,0.5,feat_5m_rv_rate_ratio_1h_4h,-0.00039944995102711564,0.0,1.0
AG,16,0.5,feat_time_after_long_gap,0.00014603182405149536,0.8,0.8
AG,16,0.5,feat_time_bars_since_segment_start,-0.0029631620549639462,0.0,1.0
AG,16,0.9,feat_15m_location_32,0.0030330328711268783,1.0,1.0
AG,16,0.9,feat_15m_oi_log_change_4,-0.0016499414991863418,0.0,1.0
AG,16,0.9,feat_15m_ret_1,0.00048525990931164756,1.0,1.0
AG,16,0.9,feat_15m_ret_16,-0.002255728006356444,0.2,0.8
AG,16,0.9,feat_15m_ret_4,-0.0014975350891968876,0.0,1.0
AG,16,0.9,feat_15m_ret_8,0.001056532113684011,1.0,1.0
AG,16,0.9,feat_15m_volume_ratio_32,-0.0037483566687012545,0.0,1.0
AG,16,0.9,feat_5m_1h_rv,-0.0011501810735574554,0.0,1.0
AG,16,0.9,feat_5m_rv_rate_ratio_1h_4h,0.0035745127799039615,1.0,1.0
AG,16,0.9,feat_time_after_long_gap,0.0018978241169383494,1.0,1.0
AG,16,0.9,feat_time_bars_since_segment_start,-0.004966290902785067,0.0,1.0
AL,4,0.1,feat_15m_location_32,-0.0001256903707572896,0.2,0.8
AL,4,0.1,feat_15m_oi_log_change_4,0.00018932361844697378,1.0,1.0
AL,4,0.1,feat_15m_ret_1,-1.8336058863752216e-05,0.4,0.6
AL,4,0.1,feat_15m_ret_16,1.0813697052552599e-05,0.4,0.6
AL,4,0.1,feat_15m_ret_4,-9.426707637469549e-05,0.4,0.6
AL,4,0.1,feat_15m_ret_8,0.0002474023602699957,0.8,0.8
AL,4,0.1,feat_15m_volume_ratio_32,-0.00041616018240376175,0.0,1.0
AL,4,0.1,feat_5m_1h_rv,1.1543353289463907e-06,0.6,0.6
AL,4,0.1,feat_5m_rv_rate_ratio_1h_4h,-1.625185396358948e-05,0.6,0.6
AL,4,0.1,feat_time_after_long_gap,-0.0003383907250016866,0.0,1.0
AL,4,0.1,feat_time_bars_since_segment_start,4.432649784638985e-05,0.6,0.6
AL,4,0.5,feat_15m_location_32,-0.00023833172737333752,0.0,1.0
AL,4,0.5,feat_15m_oi_log_change_4,4.367737251578545e-05,0.8,0.8
AL,4,0.5,feat_15m_ret_1,-7.33555018779716e-05,0.0,1.0
AL,4,0.5,feat_15m_ret_16,0.00019803611977233632,1.0,1.0
AL,4,0.5,feat_15m_ret_4,-6.41680113365792e-05,0.2,0.8
AL,4,0.5,feat_15m_ret_8,-8.130636016785256e-05,0.2,0.8
AL,4,0.5,feat_15m_volume_ratio_32,-0.00014687127050659545,0.0,1.0
AL,4,0.5,feat_5m_1h_rv,0.00017998772894717532,1.0,1.0
AL,4,0.5,feat_5m_rv_rate_ratio_1h_4h,-0.00011785859753747441,0.2,0.8
AL,4,0.5,feat_time_after_long_gap,-7.93980076859561e-05,0.0,1.0
AL,4,0.5,feat_time_bars_since_segment_start,1.3915626515448768e-05,0.6,0.6
AL,4,0.9,feat_15m_location_32,-0.0004976473180210017,0.0,1.0
AL,4,0.9,feat_15m_oi_log_change_4,-0.00015445380242619177,0.0,1.0
AL,4,0.9,feat_15m_ret_1,0.00010571471739653044,0.8,0.8
AL,4,0.9,feat_15m_ret_16,0.0003449614151716453,1.0,1.0
AL,4,0.9,feat_15m_ret_4,-0.000103812593325847,0.2,0.8
AL,4,0.9,feat_15m_ret_8,-9.340014286264459e-05,0.4,0.6
AL,4,0.9,feat_15m_volume_ratio_32,8.388592515747437e-05,1.0,1.0
AL,4,0.9,feat_5m_1h_rv,0.0004869344049479742,1.0,1.0
AL,4,0.9,feat_5m_rv_rate_ratio_1h_4h,-0.00030535095565819355,0.0,1.0
AL,4,0.9,feat_time_after_long_gap,0.0001491029585301437,1.0,1.0
AL,4,0.9,feat_time_bars_since_segment_start,9.82282501221553e-06,0.6,0.6
AL,8,0.1,feat_15m_location_32,-0.0001558978671504069,0.4,0.6
AL,8,0.1,feat_15m_oi_log_change_4,0.0002442872689393313,1.0,1.0
AL,8,0.1,feat_15m_ret_1,-1.1473008549681057e-05,0.6,0.6
AL,8,0.1,feat_15m_ret_16,-0.0007620706617849011,0.0,1.0
AL,8,0.1,feat_15m_ret_4,9.525860539388582e-05,0.8,0.8
AL,8,0.1,feat_15m_ret_8,0.0006593948981116279,0.8,0.8
AL,8,0.1,feat_15m_volume_ratio_32,-0.00021534940281425766,0.0,1.0
AL,8,0.1,feat_5m_1h_rv,5.9616520801711476e-05,0.4,0.6
AL,8,0.1,feat_5m_rv_rate_ratio_1h_4h,0.00023322281054697307,0.8,0.8
AL,8,0.1,feat_time_after_long_gap,-0.00025453309639435456,0.0,1.0
AL,8,0.1,feat_time_bars_since_segment_start,-0.00018959029968637907,0.4,0.6
AL,8,0.5,feat_15m_location_32,-0.0004543888966333178,0.0,1.0
AL,8,0.5,feat_15m_oi_log_change_4,-1.1235566185965652e-05,0.4,0.6
AL,8,0.5,feat_15m_ret_1,-7.03088221501639e-05,0.0,1.0
AL,8,0.5,feat_15m_ret_16,0.0002449003373770633,1.0,1.0
AL,8,0.5,feat_15m_ret_4,4.885633675134456e-05,0.6,0.6
AL,8,0.5,feat_15m_ret_8,3.311981798274497e-05,0.4,0.6
AL,8,0.5,feat_15m_volume_ratio_32,-0.00019868181672147114,0.0,1.0
AL,8,0.5,feat_5m_1h_rv,0.0002461166265150244,0.8,0.8
AL,8,0.5,feat_5m_rv_rate_ratio_1h_4h,-0.00015352176754611715,0.4,0.6
AL,8,0.5,feat_time_after_long_gap,-4.213293561379129e-05,0.2,0.8
AL,8,0.5,feat_time_bars_since_segment_start,-0.00018034088949347643,0.0,1.0
AL,8,0.9,feat_15m_location_32,-0.0008779505494826279,0.0,1.0
AL,8,0.9,feat_15m_oi_log_change_4,0.0004398483467868918,0.8,0.8
AL,8,0.9,feat_15m_ret_1,-3.98057968389254e-05,0.4,0.6
AL,8,0.9,feat_15m_ret_16,0.0007607491696422586,1.0,1.0
AL,8,0.9,feat_15m_ret_4,-0.00016543335042848803,0.0,1.0
AL,8,0.9,feat_15m_ret_8,-0.00026062835111068333,0.0,1.0
AL,8,0.9,feat_15m_volume_ratio_32,5.618811277888107e-05,0.6,0.6
AL,8,0.9,feat_5m_1h_rv,-0.00028944140422047153,0.2,0.8
AL,8,0.9,feat_5m_rv_rate_ratio_1h_4h,0.0005022382185584863,1.0,1.0
AL,8,0.9,feat_time_after_long_gap,0.0001644025881213592,1.0,1.0
AL,8,0.9,feat_time_bars_since_segment_start,0.00011811052427325409,0.8,0.8
AL,16,0.1,feat_15m_location_32,-0.0007633567152022121,0.0,1.0
AL,16,0.1,feat_15m_oi_log_change_4,0.0003803771040641151,1.0,1.0
AL,16,0.1,feat_15m_ret_1,0.0003060296405510791,1.0,1.0
AL,16,0.1,feat_15m_ret_16,-0.0009250869990573721,0.0,1.0
AL,16,0.1,feat_15m_ret_4,0.00027551740205001136,1.0,1.0
AL,16,0.1,feat_15m_ret_8,0.0006088646735361914,1.0,1.0
AL,16,0.1,feat_15m_volume_ratio_32,0.0003810994164850015,1.0,1.0
AL,16,0.1,feat_5m_1h_rv,0.0002501498121129027,0.8,0.8
AL,16,0.1,feat_5m_rv_rate_ratio_1h_4h,-0.0005623793941970976,0.0,1.0
AL,16,0.1,feat_time_after_long_gap,-0.0004316485728242031,0.2,0.8
AL,16,0.1,feat_time_bars_since_segment_start,0.00022079364098338117,0.8,0.8
AL,16,0.5,feat_15m_location_32,-0.0008930832264078491,0.0,1.0
AL,16,0.5,feat_15m_oi_log_change_4,0.0003122488102919242,1.0,1.0
AL,16,0.5,feat_15m_ret_1,-8.72429856946187e-05,0.2,0.8
AL,16,0.5,feat_15m_ret_16,-6.892762179988601e-05,0.2,0.8
AL,16,0.5,feat_15m_ret_4,0.00019793476611134662,1.0,1.0
AL,16,0.5,feat_15m_ret_8,0.00029834695873788867,0.8,0.8
AL,16,0.5,feat_15m_volume_ratio_32,-9.974236282807043e-05,0.4,0.6
AL,16,0.5,feat_5m_1h_rv,-0.0003020860991783345,0.0,1.0
AL,16,0.5,feat_5m_rv_rate_ratio_1h_4h,0.0003509994512520905,1.0,1.0
AL,16,0.5,feat_time_after_long_gap,9.012387079764432e-05,1.0,1.0
AL,16,0.5,feat_time_bars_since_segment_start,-0.0002854358288805172,0.0,1.0
AL,16,0.9,feat_15m_location_32,-0.0003524502616701045,0.0,1.0
AL,16,0.9,feat_15m_oi_log_change_4,0.00045309242957762016,1.0,1.0
AL,16,0.9,feat_15m_ret_1,-3.37119367994387e-05,0.4,0.6
AL,16,0.9,feat_15m_ret_16,0.0009365467899057018,1.0,1.0
AL,16,0.9,feat_15m_ret_4,-0.0003708707873901469,0.0,1.0
AL,16,0.9,feat_15m_ret_8,-5.301279870285219e-05,0.2,0.8
AL,16,0.9,feat_15m_volume_ratio_32,2.122633409163014e-05,0.4,0.6
AL,16,0.9,feat_5m_1h_rv,-0.0009137436443150095,0.0,1.0
AL,16,0.9,feat_5m_rv_rate_ratio_1h_4h,0.0017112867417732104,1.0,1.0
AL,16,0.9,feat_time_after_long_gap,0.000227322650809222,1.0,1.0
AL,16,0.9,feat_time_bars_since_segment_start,8.733746381946014e-05,0.8,0.8
CF,4,0.1,feat_15m_location_32,0.00022483323905804703,0.6,0.6
CF,4,0.1,feat_15m_oi_log_change_4,0.00032195550114960875,1.0,1.0
CF,4,0.1,feat_15m_ret_1,2.8797857327626997e-06,0.6,0.6
CF,4,0.1,feat_15m_ret_16,-0.0007275978107172298,0.0,1.0
CF,4,0.1,feat_15m_ret_4,-4.551158357970968e-05,0.2,0.8
CF,4,0.1,feat_15m_ret_8,-0.0003765248389504281,0.0,1.0
CF,4,0.1,feat_15m_volume_ratio_32,-0.00011710106588019319,0.2,0.8
CF,4,0.1,feat_5m_1h_rv,-0.00046207082687450845,0.0,1.0
CF,4,0.1,feat_5m_rv_rate_ratio_1h_4h,0.00045459154560912836,1.0,1.0
CF,4,0.1,feat_time_after_long_gap,0.00011332757568634555,1.0,1.0
CF,4,0.1,feat_time_bars_since_segment_start,-0.00033527931359412296,0.0,1.0
CF,4,0.5,feat_15m_location_32,-0.00015678486768490692,0.0,1.0
CF,4,0.5,feat_15m_oi_log_change_4,0.00020627052556551764,1.0,1.0
CF,4,0.5,feat_15m_ret_1,-6.927463251086244e-05,0.0,1.0
CF,4,0.5,feat_15m_ret_16,-9.858787279548413e-05,0.2,0.8
CF,4,0.5,feat_15m_ret_4,-0.0003204431600004107,0.0,1.0
CF,4,0.5,feat_15m_ret_8,0.0002848579360687122,1.0,1.0
CF,4,0.5,feat_15m_volume_ratio_32,0.0001373471101571681,1.0,1.0
CF,4,0.5,feat_5m_1h_rv,-0.00018068541371141613,0.0,1.0
CF,4,0.5,feat_5m_rv_rate_ratio_1h_4h,7.213515953743554e-05,1.0,1.0
CF,4,0.5,feat_time_after_long_gap,-0.00010934855787043097,0.0,1.0
CF,4,0.5,feat_time_bars_since_segment_start,0.00025077865921468084,1.0,1.0
CF,4,0.9,feat_15m_location_32,-0.0003413802267452719,0.0,1.0
CF,4,0.9,feat_15m_oi_log_change_4,-7.263676497246015e-05,0.0,1.0
CF,4,0.9,feat_15m_ret_1,5.183435466201115e-05,0.8,0.8
CF,4,0.9,feat_15m_ret_16,0.00014612137522784462,0.8,0.8
CF,4,0.9,feat_15m_ret_4,2.888744939237513e-05,0.8,0.8
CF,4,0.9,feat_15m_ret_8,0.0006355537104136536,1.0,1.0
CF,4,0.9,feat_15m_volume_ratio_32,0.0010433755768463403,1.0,1.0
CF,4,0.9,feat_5m_1h_rv,0.0001534787557941495,0.4,0.6
CF,4,0.9,feat_5m_rv_rate_ratio_1h_4h,-0.0004521360274869421,0.0,1.0
CF,4,0.9,feat_time_after_long_gap,-0.0005758928156688115,0.0,1.0
CF,4,0.9,feat_time_bars_since_segment_start,0.0015354719607263891,1.0,1.0
CF,8,0.1,feat_15m_location_32,1.1316743653430898e-05,0.6,0.6
CF,8,0.1,feat_15m_oi_log_change_4,0.00029625074936762266,0.6,0.6
CF,8,0.1,feat_15m_ret_1,4.050819197447543e-05,0.8,0.8
CF,8,0.1,feat_15m_ret_16,-0.0004378408886536787,0.6,0.6
CF,8,0.1,feat_15m_ret_4,-0.00016442029530044407,0.0,1.0
CF,8,0.1,feat_15m_ret_8,-0.0005086983599069774,0.0,1.0
CF,8,0.1,feat_15m_volume_ratio_32,0.00035267749483302137,1.0,1.0
CF,8,0.1,feat_5m_1h_rv,-0.0013175312917606506,0.0,1.0
CF,8,0.1,feat_5m_rv_rate_ratio_1h_4h,0.0003212134577268772,1.0,1.0
CF,8,0.1,feat_time_after_long_gap,-0.00028963933684035163,0.0,1.0
CF,8,0.1,feat_time_bars_since_segment_start,-1.567166248519827e-06,0.4,0.6
CF,8,0.5,feat_15m_location_32,-0.0009162311855778914,0.0,1.0
CF,8,0.5,feat_15m_oi_log_change_4,0.00025378886547815243,1.0,1.0
CF,8,0.5,feat_15m_ret_1,-5.75662608414946e-05,0.0,1.0
CF,8,0.5,feat_15m_ret_16,0.00033997831437450484,1.0,1.0
CF,8,0.5,feat_15m_ret_4,-6.210059414378589e-05,0.2,0.8
CF,8,0.5,feat_15m_ret_8,0.00020566546675847172,1.0,1.0
CF,8,0.5,feat_15m_volume_ratio_32,0.00021115679914190025,1.0,1.0
CF,8,0.5,feat_5m_1h_rv,-0.00046981433108988596,0.0,1.0
CF,8,0.5,feat_5m_rv_rate_ratio_1h_4h,1.268948653791755e-05,0.4,0.6
CF,8,0.5,feat_time_after_long_gap,-0.0001326233745350887,0.0,1.0
CF,8,0.5,feat_time_bars_since_segment_start,0.00010391151702974386,1.0,1.0
CF,8,0.9,feat_15m_location_32,-0.00034232255929680114,0.2,0.8
CF,8,0.9,feat_15m_oi_log_change_4,-0.00025014138687226383,0.0,1.0
CF,8,0.9,feat_15m_ret_1,-5.405531121677507e-06,0.8,0.8
CF,8,0.9,feat_15m_ret_16,0.00013351681016130556,0.8,0.8
CF,8,0.9,feat_15m_ret_4,0.0005486818694832177,1.0,1.0
CF,8,0.9,feat_15m_ret_8,0.0007727797894950232,1.0,1.0
CF,8,0.9,feat_15m_volume_ratio_32,0.0007701531047905846,1.0,1.0
CF,8,0.9,feat_5m_1h_rv,-0.00037619910856567855,0.0,1.0
CF,8,0.9,feat_5m_rv_rate_ratio_1h_4h,2.2617309667054295e-05,0.8,0.8
CF,8,0.9,feat_time_after_long_gap,-0.00017505943472655394,0.2,0.8
CF,8,0.9,feat_time_bars_since_segment_start,0.0007617467218645369,1.0,1.0
CF,16,0.1,feat_15m_location_32,-0.001120624810747068,0.0,1.0
CF,16,0.1,feat_15m_oi_log_change_4,-0.0005281234091284729,0.0,1.0
CF,16,0.1,feat_15m_ret_1,-0.000393111739348556,0.0,1.0
CF,16,0.1,feat_15m_ret_16,0.00020164322689948498,0.6,0.6
CF,16,0.1,feat_15m_ret_4,0.00024283235272364007,0.8,0.8
CF,16,0.1,feat_15m_ret_8,-0.00036922315696471706,0.0,1.0
CF,16,0.1,feat_15m_volume_ratio_32,-0.00042658274049468613,0.0,1.0
CF,16,0.1,feat_5m_1h_rv,-0.0018211282344148274,0.0,1.0
CF,16,0.1,feat_5m_rv_rate_ratio_1h_4h,0.0008983269984321239,1.0,1.0
CF,16,0.1,feat_time_after_long_gap,3.814341069654713e-05,0.6,0.6
CF,16,0.1,feat_time_bars_since_segment_start,-0.0005991760062655441,0.0,1.0
CF,16,0.5,feat_15m_location_32,-0.0018318780984085928,0.0,1.0
CF,16,0.5,feat_15m_oi_log_change_4,0.00019029263994894705,1.0,1.0
CF,16,0.5,feat_15m_ret_1,-2.9316663573963578e-05,0.4,0.6
CF,16,0.5,feat_15m_ret_16,0.000329435156810637,1.0,1.0
CF,16,0.5,feat_15m_ret_4,-6.53138064909649e-05,0.2,0.8
CF,16,0.5,feat_15m_ret_8,0.0005189588417303331,1.0,1.0
CF,16,0.5,feat_15m_volume_ratio_32,-3.020238232157254e-05,0.4,0.6
CF,16,0.5,feat_5m_1h_rv,-9.701601362344453e-05,0.2,0.8
CF,16,0.5,feat_5m_rv_rate_ratio_1h_4h,-0.0003266310401004135,0.0,1.0
CF,16,0.5,feat_time_after_long_gap,-7.681224683160921e-05,0.0,1.0
CF,16,0.5,feat_time_bars_since_segment_start,4.574418194267878e-06,0.6,0.6
CF,16,0.9,feat_15m_location_32,-0.0015666304861501126,0.0,1.0
CF,16,0.9,feat_15m_oi_log_change_4,-0.0005626102927269263,0.0,1.0
CF,16,0.9,feat_15m_ret_1,-1.813045502145141e-05,0.6,0.6
CF,16,0.9,feat_15m_ret_16,0.0005818856803619361,1.0,1.0
CF,16,0.9,feat_15m_ret_4,0.000804696535656209,1.0,1.0
CF,16,0.9,feat_15m_ret_8,0.0009135666573619119,1.0,1.0
CF,16,0.9,feat_15m_volume_ratio_32,0.0010175912776198878,1.0,1.0
CF,16,0.9,feat_5m_1h_rv,-0.0005100936055568337,0.0,1.0
CF,16,0.9,feat_5m_rv_rate_ratio_1h_4h,-6.23493844002203e-05,0.4,0.6
CF,16,0.9,feat_time_after_long_gap,0.0006581136003506495,1.0,1.0
CF,16,0.9,feat_time_bars_since_segment_start,-0.0006194831211267439,0.0,1.0
CU,4,0.1,feat_15m_location_32,-0.0007064964104686825,0.0,1.0
CU,4,0.1,feat_15m_oi_log_change_4,0.0001669214189189621,1.0,1.0
CU,4,0.1,feat_15m_ret_1,-2.3178919291043842e-05,0.4,0.6
CU,4,0.1,feat_15m_ret_16,0.00039980097239897727,1.0,1.0
CU,4,0.1,feat_15m_ret_4,-1.9578079446479168e-05,0.2,0.8
CU,4,0.1,feat_15m_ret_8,0.0004035324221730393,1.0,1.0
CU,4,0.1,feat_15m_volume_ratio_32,-0.0003588766076013839,0.0,1.0
CU,4,0.1,feat_5m_1h_rv,-0.00010004557524480846,0.0,1.0
CU,4,0.1,feat_5m_rv_rate_ratio_1h_4h,0.00022798559686351984,1.0,1.0
CU,4,0.1,feat_time_after_long_gap,0.0001045242405321503,1.0,1.0
CU,4,0.1,feat_time_bars_since_segment_start,-0.00046123413328031667,0.0,1.0
CU,4,0.5,feat_15m_location_32,-0.00029687790087425716,0.0,1.0
CU,4,0.5,feat_15m_oi_log_change_4,8.963008623713811e-05,1.0,1.0
CU,4,0.5,feat_15m_ret_1,-4.796025020559258e-05,0.0,1.0
CU,4,0.5,feat_15m_ret_16,0.0002487411470251762,1.0,1.0
CU,4,0.5,feat_15m_ret_4,-0.00015308579734945574,0.0,1.0
CU,4,0.5,feat_15m_ret_8,0.00010223651999346277,0.8,0.8
CU,4,0.5,feat_15m_volume_ratio_32,7.422004168035322e-05,1.0,1.0
CU,4,0.5,feat_5m_1h_rv,2.7001614386043683e-05,1.0,1.0
CU,4,0.5,feat_5m_rv_rate_ratio_1h_4h,-6.129179400307072e-05,0.0,1.0
CU,4,0.5,feat_time_after_long_gap,-1.5276651943619066e-05,0.4,0.6
CU,4,0.5,feat_time_bars_since_segment_start,-4.64729823422132e-05,0.0,1.0
CU,4,0.9,feat_15m_location_32,-0.00024379489413931728,0.0,1.0
CU,4,0.9,feat_15m_oi_log_change_4,-6.832780956808335e-05,0.4,0.6
CU,4,0.9,feat_15m_ret_1,-3.2010852751889e-05,0.4,0.6
CU,4,0.9,feat_15m_ret_16,-2.404099797332842e-05,0.4,0.6
CU,4,0.9,feat_15m_ret_4,-0.00022901161689829248,0.0,1.0
CU,4,0.9,feat_15m_ret_8,0.0004171361861854985,1.0,1.0
CU,4,0.9,feat_15m_volume_ratio_32,0.0001924417334213631,1.0,1.0
CU,4,0.9,feat_5m_1h_rv,-1.1038747563518791e-06,0.6,0.6
CU,4,0.9,feat_5m_rv_rate_ratio_1h_4h,-0.0001980646513236442,0.0,1.0
CU,4,0.9,feat_time_after_long_gap,-6.688923766543521e-05,0.2,0.8
CU,4,0.9,feat_time_bars_since_segment_start,-0.00015125693249564692,0.2,0.8
CU,8,0.1,feat_15m_location_32,-0.0011776308978318386,0.0,1.0
CU,8,0.1,feat_15m_oi_log_change_4,0.0003028108941515445,1.0,1.0
CU,8,0.1,feat_15m_ret_1,1.2659187566606486e-05,0.4,0.6
CU,8,0.1,feat_15m_ret_16,0.00033640142020379695,1.0,1.0
CU,8,0.1,feat_15m_ret_4,-6.26097070935196e-05,0.0,1.0
CU,8,0.1,feat_15m_ret_8,0.0006421995848884824,1.0,1.0
CU,8,0.1,feat_15m_volume_ratio_32,-0.00033667235881329824,0.0,1.0
CU,8,0.1,feat_5m_1h_rv,0.00024043305025858337,0.8,0.8
CU,8,0.1,feat_5m_rv_rate_ratio_1h_4h,-0.00025959816656663504,0.0,1.0
