n_events,mean_signed_return,median_signed_return,win_rate,mean_mfe,mean_mae,instrument,horizon,strategy,opportunity
458,-0.00012667070103163935,0.0,0.49563318777292575,0.0033626091010580993,-0.0036597100563280525,MA,H15,FADE,TOP30
750,-8.2156040497674e-06,0.0,0.44133333333333336,0.001823313330281523,-0.0017841113924274917,TA,H5,FOLLOW,ALL
475,1.460322388419895e-05,0.0,0.45052631578947366,0.0021048685333735716,-0.0020698252513905364,TA,H5,FOLLOW,TOP30
750,8.2156040497674e-06,0.0,0.48133333333333334,0.0017841113924274917,-0.001823313330281523,TA,H5,FADE,ALL
475,-1.460322388419895e-05,0.0,0.4905263157894737,0.0020698252513905364,-0.0021048685333735716,TA,H5,FADE,TOP30
750,-3.8555864336489906e-05,0.0,0.45066666666666666,0.0030923228899127626,-0.002943448340865064,TA,H15,FOLLOW,ALL
477,-0.00011698418455081655,0.0,0.45073375262054505,0.0036025290517101628,-0.003437234924917037,TA,H15,FOLLOW,TOP30
750,3.8555864336489906e-05,0.0,0.48933333333333334,0.002943448340865064,-0.0030923228899127626,TA,H15,FADE,ALL
477,0.00011698418455081655,0.0,0.4968553459119497,0.003437234924917037,-0.0036025290517101628,TA,H15,FADE,TOP30
750,-6.400983174814752e-05,0.0,0.35333333333333333,0.0006975651590557625,-0.0007800696225719401,M,H5,FOLLOW,ALL
187,-4.604444139064891e-05,0.0,0.39037433155080214,0.0008601205767652181,-0.000941889540892851,M,H5,FOLLOW,TOP30
750,6.400983174814752e-05,0.0,0.4666666666666667,0.0007800696225719401,-0.0006975651590557625,M,H5,FADE,ALL
187,4.604444139064891e-05,0.0,0.44919786096256686,0.000941889540892851,-0.0008601205767652181,M,H5,FADE,TOP30
750,-0.000149512648534828,-0.0003280848723703489,0.38133333333333336,0.001153933384254105,-0.0012395852460998387,M,H15,FOLLOW,ALL
188,-0.000128541965820173,-0.0003222403465472645,0.3882978723404255,0.0014631875889765437,-0.0015054764356338432,M,H15,FOLLOW,TOP30
750,0.000149512648534828,0.0003280848723703489,0.5093333333333333,0.0012395852460998387,-0.001153933384254105,M,H15,FADE,ALL
188,0.000128541965820173,0.0003222403465472645,0.5053191489361702,0.0015054764356338432,-0.0014631875889765437,M,H15,FADE,TOP30
1000,-3.8230686176372156e-05,-0.0001051921196075778,0.427,0.0009200726209983594,-0.0008966525717358072,P,H5,FOLLOW,ALL
303,2.3060405189316215e-05,0.0,0.429042904290429,0.0009281633889368667,-0.0008335106085329923,P,H5,FOLLOW,TOP30
1000,3.8230686176372156e-05,0.0001051921196075778,0.511,0.0008966525717358072,-0.0009200726209983594,P,H5,FADE,ALL
303,-2.3060405189316215e-05,0.0,0.49834983498349833,0.0008335106085329923,-0.0009281633889368667,P,H5,FADE,TOP30
1000,4.913997586228025e-05,-0.00010671789502103568,0.455,0.0015988369711624876,-0.001454882119487097,P,H15,FOLLOW,ALL
303,0.00016525622194069403,0.0,0.49504950495049505,0.0015906516313317202,-0.0013585548883240071,P,H15,FOLLOW,TOP30
1000,-4.913997586228025e-05,0.00010671789502103568,0.505,0.001454882119487097,-0.0015988369711624876,P,H15,FADE,ALL
303,-0.00016525622194069403,0.0,0.45874587458745875,0.0013585548883240071,-0.0015906516313317202,P,H15,FADE,TOP30
750,-0.00011014432623866025,0.0,0.332,0.0007422660920144422,-0.000893346149354931,CF,H5,FOLLOW,ALL
372,-0.00015148155095825831,-0.0003059979921630762,0.3387096774193548,0.0007815608425879714,-0.0009876264157189893,CF,H5,FOLLOW,TOP30
750,0.00011014432623866025,0.0,0.49866666666666665,0.000893346149354931,-0.0007422660920144422,CF,H5,FADE,ALL
372,0.00015148155095825831,0.0003059979921630762,0.5134408602150538,0.0009876264157189893,-0.0007815608425879714,CF,H5,FADE,TOP30
750,-0.0001233200601690975,-0.0003142196732516256,0.356,0.0012449187724168167,-0.0013814383910544976,CF,H15,FOLLOW,ALL
372,-0.00019207511736895808,-0.00032191707820455884,0.3548387096774194,0.0013162455667356467,-0.001534075483193976,CF,H15,FOLLOW,TOP30
750,0.0001233200601690975,0.0003142196732516256,0.5293333333333333,0.0013814383910544976,-0.0012449187724168167,CF,H15,FADE,ALL
372,0.00019207511736895808,0.00032191707820455884,0.5483870967741935,0.001534075483193976,-0.0013162455667356467,CF,H15,FADE,TOP30
