n_events,mean_signed_return,median_signed_return,win_rate,mean_mfe,mean_mae,instrument,horizon,strategy,opportunity,fold
248,-0.0007693087443987786,-4.8529554498688565e-05,0.4798387096774194,0.0024505619978659817,-0.003284240425376455,CU,H15,FADE,TOP30,1
273,-3.174186955382075e-05,-0.00019254837777993306,0.43956043956043955,0.0018132839423462628,-0.0018633497963995065,CU,H15,FOLLOW,ALL,2
146,-0.00011057046351945882,-0.0001978044198479023,0.4452054794520548,0.002263895518093923,-0.002327048188971599,CU,H15,FOLLOW,TOP30,2
273,3.174186955382075e-05,0.00019254837777993306,0.5347985347985348,0.0018633497963995065,-0.0018132839423462628,CU,H15,FADE,ALL,2
146,0.00011057046351945882,0.0001978044198479023,0.541095890410959,0.002327048188971599,-0.002263895518093923,CU,H15,FADE,TOP30,2
273,-9.039057836290562e-05,-0.00019837333862327,0.3992673992673993,0.0013617169174791413,-0.0012715912447831667,CU,H15,FOLLOW,ALL,3
118,-9.0291963646246e-05,-0.00039422971102609505,0.3983050847457627,0.0017298068730592139,-0.0015362143830013717,CU,H15,FOLLOW,TOP30,3
273,9.039057836290562e-05,0.00019837333862327,0.5641025641025641,0.0012715912447831667,-0.0013617169174791413,CU,H15,FADE,ALL,3
118,9.0291963646246e-05,0.00039422971102609505,0.5847457627118644,0.0015362143830013717,-0.0017298068730592139,CU,H15,FADE,TOP30,3
273,-0.0001081743284697788,-9.698380370481985e-05,0.42857142857142855,0.00104063228453067,-0.0011168722338344003,CU,H15,FOLLOW,ALL,4
97,-0.0003849283180843249,-0.0002862595419846903,0.3402061855670103,0.0012052768932441307,-0.001470066341754318,CU,H15,FOLLOW,TOP30,4
273,0.0001081743284697788,9.698380370481985e-05,0.5201465201465202,0.0011168722338344003,-0.00104063228453067,CU,H15,FADE,ALL,4
97,0.0003849283180843249,0.0002862595419846903,0.5979381443298969,0.001470066341754318,-0.0012052768932441307,CU,H15,FADE,TOP30,4
273,-0.00014478917189326792,-0.00018953752843064997,0.37362637362637363,0.0007673249893489864,-0.0008639410864603777,CU,H15,FOLLOW,ALL,5
63,-0.00027099729414448864,-0.0002936857562407802,0.25396825396825395,0.0009212230178848586,-0.0010578324148786589,CU,H15,FOLLOW,TOP30,5
273,0.00014478917189326792,0.00018953752843064997,0.5531135531135531,0.0008639410864603777,-0.0007673249893489864,CU,H15,FADE,ALL,5
63,0.00027099729414448864,0.0002936857562407802,0.6507936507936508,0.0010578324148786589,-0.0009212230178848586,CU,H15,FADE,TOP30,5
267,-6.179869957449855e-06,-9.258401999812094e-05,0.45318352059925093,0.0007710205222758968,-0.0007453945194435973,CU,H15,FOLLOW,ALL,6
27,-0.00040787929750901524,-0.00036825630638925855,0.2962962962962963,0.0005088145668321609,-0.0010561631591899277,CU,H15,FOLLOW,TOP30,6
267,6.179869957449855e-06,9.258401999812094e-05,0.5093632958801498,0.0007453945194435973,-0.0007710205222758968,CU,H15,FADE,ALL,6
27,0.00040787929750901524,0.00036825630638925855,0.5925925925925926,0.0010561631591899277,-0.0005088145668321609,CU,H15,FADE,TOP30,6
250,-8.786692635807025e-05,0.0,0.384,0.0009419762533382543,-0.0010090210026206833,AL,H5,FOLLOW,ALL,0
142,-0.00017230388303295937,-0.0002093491862922292,0.38028169014084506,0.001124864707632731,-0.0012371492390481154,AL,H5,FOLLOW,TOP30,0
250,8.786692635807025e-05,0.0,0.496,0.0010090210026206833,-0.0009419762533382543,AL,H5,FADE,ALL,0
142,0.00017230388303295937,0.0002093491862922292,0.5352112676056338,0.0012371492390481154,-0.001124864707632731,AL,H5,FADE,TOP30,0
250,-1.2619362941208135e-05,-0.00020894289563594404,0.416,0.0010799715984226314,-0.001126151797833431,AL,H5,FOLLOW,ALL,1
190,3.0034309251174796e-05,-0.00020506512757439976,0.4473684210526316,0.00120826032346859,-0.001213215748414035,AL,H5,FOLLOW,TOP30,1
250,1.2619362941208135e-05,0.00020894289563594404,0.528,0.001126151797833431,-0.0010799715984226314,AL,H5,FADE,ALL,1
190,-3.0034309251174796e-05,0.00020506512757439976,0.5052631578947369,0.001213215748414035,-0.00120826032346859,AL,H5,FADE,TOP30,1
250,-4.986081215764138e-05,-0.00019865772257032788,0.408,0.0009328809627117196,-0.0009621661932534748,AL,H5,FOLLOW,ALL,2
168,-0.0001146883966790623,-0.00019865772257032788,0.40476190476190477,0.0009853443952178788,-0.0010938603578771315,AL,H5,FOLLOW,TOP30,2
250,4.986081215764138e-05,0.00019865772257032788,0.512,0.0009621661932534748,-0.0009328809627117196,AL,H5,FADE,ALL,2
168,0.0001146883966790623,0.00019865772257032788,0.5119047619047619,0.0010938603578771315,-0.0009853443952178788,AL,H5,FADE,TOP30,2
250,1.99271313642031e-05,0.0,0.384,0.0005743199592674495,-0.0005139024278474813,AL,H5,FOLLOW,ALL,3
75,9.25553515327356e-05,-0.00019849146486694558,0.41333333333333333,0.0007202541967555461,-0.0005796149848111831,AL,H5,FOLLOW,TOP30,3
250,-1.99271313642031e-05,0.0,0.468,0.0005139024278474813,-0.0005743199592674495,AL,H5,FADE,ALL,3
75,-9.25553515327356e-05,0.00019849146486694558,0.5066666666666667,0.0005796149848111831,-0.0007202541967555461,AL,H5,FADE,TOP30,3
250,3.602111132851205e-05,0.0,0.436,0.0007279792979213649,-0.0005877355657279861,AL,H5,FOLLOW,ALL,4
