instrument,horizon,features,stratum,learner,n,up_rate,auc,brier_skill,logloss_skill,calibration_slope,return_spread,mfe_up_top20,folds_evaluated
AG,H30,P1,ALL,logistic,13887,0.5232951681428675,0.5025852600236885,-0.0009159967572482941,-0.0006604744658624817,-0.018459245209606626,-0.000641247149628272,0.005691722322148348,7
AG,H30,P1,ALL,gbr,13887,0.5232951681428675,0.5138509472735459,-0.0025033915096375203,-0.0018379681000340042,0.09511330196970762,-0.00011217696084682889,0.00549380653725459,7
AG,H30,P1,TOP50,logistic,11407,0.5285351100201631,0.49293223326624924,-0.0031844636675630866,-0.002311382300022924,-0.12016660382056132,-0.0004998175943353252,0.0059398525616216995,7
AG,H30,P1,TOP50,gbr,11407,0.5285351100201631,0.5037038656781057,-0.005286194631181296,-0.00389132151546856,0.047452845682730976,2.633283308814974e-05,0.005782686691042475,7
AG,H30,P1,TOP30,logistic,9729,0.5311953952101963,0.5153956633946577,-0.001269672696067481,-0.000934800599128538,0.09875588721899287,0.00010509698635246455,0.006194654335087251,7
AG,H30,P1,TOP30,gbr,9729,0.5311953952101963,0.5154927308049196,-0.005242734302886687,-0.0039010125394554063,0.0692414831421666,0.00014654513659672865,0.005802583789876389,7
AG,H30,P1,TOP20,logistic,8216,0.5332278481012658,0.5196137046693572,-0.0026377844874567735,-0.0020207423662979007,0.08189446576461692,0.0006067516216937893,0.005858362017830639,7
AG,H30,P1,TOP20,gbr,8216,0.5332278481012658,0.5188474171536626,-0.007965203244095997,-0.006031313505292513,0.06710318354261988,0.0007761207066207892,0.005621699051467534,7
AG,H30,P2,ALL,logistic,13096,0.5258857666463043,0.5014371261097893,-0.0013459077936728292,-0.000974194788127436,-0.005546529436216131,-0.0003030042707712598,0.0048349521057431035,7
AG,H30,P2,ALL,gbr,13096,0.5258857666463043,0.5122684525895713,-0.003346948022141083,-0.0024547520142075285,0.07230522867269987,4.8038071028416875e-06,0.005347253838561494,7
AG,H30,P2,TOP50,logistic,10661,0.5320326423412438,0.49390679947223803,-0.0052587666207410955,-0.003880670707589573,-0.05532005768572935,-8.497365159703524e-05,0.005436873265673215,7
