column,role,family,causal_feature
feat_5m_2h_positive_return_share,FEATURE,5m_realized_state,True
feat_5m_2h_realized_vol,FEATURE,5m_realized_state,True
feat_5m_2h_ret_sum,FEATURE,5m_realized_state,True
feat_5m_2h_rsv_neg,FEATURE,5m_realized_state,True
feat_5m_2h_rsv_pos,FEATURE,5m_realized_state,True
feat_5m_2h_rv,FEATURE,5m_realized_state,True
feat_5m_2h_rv_continuous,FEATURE,5m_realized_state,True
feat_5m_2h_signed_semivariance,FEATURE,5m_realized_state,True
feat_5m_2h_volume_cv,FEATURE,5m_realized_state,True
feat_5m_4h_bpv_continuous,FEATURE,5m_realized_state,True
feat_5m_4h_gap_sq,FEATURE,5m_realized_state,True
feat_5m_4h_jump_share,FEATURE,5m_realized_state,True
feat_5m_4h_jump_var,FEATURE,5m_realized_state,True
feat_5m_4h_log_volume_mean,FEATURE,5m_realized_state,True
feat_5m_4h_max_abs_return,FEATURE,5m_realized_state,True
feat_5m_4h_neg_semivar_share,FEATURE,5m_realized_state,True
feat_5m_4h_oi_log_change,FEATURE,5m_realized_state,True
feat_5m_4h_positive_return_share,FEATURE,5m_realized_state,True
feat_5m_4h_realized_vol,FEATURE,5m_realized_state,True
feat_5m_4h_ret_sum,FEATURE,5m_realized_state,True
feat_5m_4h_rsv_neg,FEATURE,5m_realized_state,True
feat_5m_4h_rsv_pos,FEATURE,5m_realized_state,True
feat_5m_4h_rv,FEATURE,5m_realized_state,True
feat_5m_4h_rv_continuous,FEATURE,5m_realized_state,True
feat_5m_4h_signed_semivariance,FEATURE,5m_realized_state,True
feat_5m_4h_volume_cv,FEATURE,5m_realized_state,True
feat_5m_8h_bpv_continuous,FEATURE,5m_realized_state,True
feat_5m_8h_gap_sq,FEATURE,5m_realized_state,True
feat_5m_8h_jump_share,FEATURE,5m_realized_state,True
feat_5m_8h_jump_var,FEATURE,5m_realized_state,True
feat_5m_8h_log_volume_mean,FEATURE,5m_realized_state,True
feat_5m_8h_max_abs_return,FEATURE,5m_realized_state,True
feat_5m_8h_neg_semivar_share,FEATURE,5m_realized_state,True
feat_5m_8h_oi_log_change,FEATURE,5m_realized_state,True
feat_5m_8h_positive_return_share,FEATURE,5m_realized_state,True
feat_5m_8h_realized_vol,FEATURE,5m_realized_state,True
feat_5m_8h_ret_sum,FEATURE,5m_realized_state,True
feat_5m_8h_rsv_neg,FEATURE,5m_realized_state,True
feat_5m_8h_rsv_pos,FEATURE,5m_realized_state,True
feat_5m_8h_rv,FEATURE,5m_realized_state,True
feat_5m_8h_rv_continuous,FEATURE,5m_realized_state,True
feat_5m_8h_signed_semivariance,FEATURE,5m_realized_state,True
feat_5m_8h_volume_cv,FEATURE,5m_realized_state,True
feat_5m_rv_rate_ratio_1h_4h,FEATURE,5m_realized_state,True
feat_5m_rv_rate_ratio_2h_4h,FEATURE,5m_realized_state,True
feat_5m_rv_rate_ratio_4h_8h,FEATURE,5m_realized_state,True
target_raw_return_h4,TARGET,future_outcome,False
target_norm_return_h4,TARGET,future_outcome,False
target_long_mfe_h4,TARGET,future_outcome,False
target_long_mae_h4,TARGET,future_outcome,False
target_short_mfe_h4,TARGET,future_outcome,False
target_short_mae_h4,TARGET,future_outcome,False
target_raw_return_h8,TARGET,future_outcome,False
target_norm_return_h8,TARGET,future_outcome,False
target_long_mfe_h8,TARGET,future_outcome,False
target_long_mae_h8,TARGET,future_outcome,False
target_short_mfe_h8,TARGET,future_outcome,False
target_short_mae_h8,TARGET,future_outcome,False
target_raw_return_h16,TARGET,future_outcome,False
target_norm_return_h16,TARGET,future_outcome,False
target_long_mfe_h16,TARGET,future_outcome,False
target_long_mae_h16,TARGET,future_outcome,False
target_short_mfe_h16,TARGET,future_outcome,False
target_short_mae_h16,TARGET,future_outcome,False
reference_dp_oracle_consensus,HINDSIGHT_REFERENCE,oracle_reference,False
reference_dp_oracle_unanimous,HINDSIGHT_REFERENCE,oracle_reference,False
