contact_id,symbol,cluster
CF|CF|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-11-25 21:00:00|13625.0009765625|1,CF,-1
AL|AL|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-12-03 10:30:00|21835.0|1,AL,-1
MA|MA|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-07-30 21:00:00|2415.0|1,MA,6
I|I|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-08-15 21:00:00|778.5|1,I,-1
P|P|CONFIRMED_SWING_LOW|5m|2026-04-16 14:55:00|9325.0009765625|1,P,-1
SC|SC|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-07-29 21:00:00|514.2000122070312|1,SC,-1
RB|RB|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2026-04-01 21:00:00|3136.0|1,RB,-1
AU|AU|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-12-12 09:00:00|955.5800170898438|1,AU,-1
AU|AU|CONFIRMED_SWING_LOW|5m|2025-12-19 21:55:00|975.5399780273438|1,AU,-1
SN|SN|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2026-07-01 13:30:00|390230.03125|1,SN,-1
TA|TA|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-08-29 09:00:00|4752.0|1,TA,-1
NI|NI|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-10-30 13:30:00|121290.0|2,NI,-1
RU|RU|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-12-09 09:00:00|15050.0009765625|1,RU,-1
AU|AU|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2026-08-28 09:00:00|988.5|1,AU,-1
AL|AL|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-05-28 10:30:00|20190.0|4,AL,-1
NI|NI|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2026-03-23 13:30:00|135600.0|1,NI,-1
SC|SC|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2026-04-10 09:00:00|647.9000244140625|1,SC,-1
AU|AU|PREV_TRADING_WEEK_LOW|TRADING_WEEK|2026-06-12 21:00:00|885.47998046875|1,AU,-1
M|M|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-08-11 10:30:00|3082.0|1,M,-1
AL|AL|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-08-18 10:30:00|20550.0|2,AL,-1
M|M|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-04-07 21:00:00|3078.0|1,M,-1
SN|SN|CONFIRMED_SWING_HIGH|5m|2026-03-20 22:15:00|356430.03125|1,SN,-1
I|I|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2026-01-13 21:00:00|818.0|1,I,-1
AU|AU|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-01-06 13:30:00|627.8800048828125|3,AU,-1
P|P|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-10-23 13:30:00|9092.0009765625|4,P,-1
TA|TA|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-07-08 21:00:00|4698.0|1,TA,-1
MA|MA|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2026-01-07 09:00:00|2286.0|1,MA,-1
SN|SN|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-02-25 13:30:00|262960.0|1,SN,-1
AU|AU|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-01-20 21:00:00|637.9199829101562|1,AU,-1
I|I|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-02-20 21:00:00|822.5|1,I,-1
NI|NI|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-03-31 21:00:00|128500.0|1,NI,-1
AG|AG|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-12-04 09:00:00|13825.0009765625|1,AG,-1
CF|CF|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2026-05-20 21:00:00|16150.0009765625|2,CF,7
MA|MA|CANONICAL_EQH|5m|2026-08-19 21:50:00|2847.0|1,MA,-1
AU|AU|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2026-02-24 21:00:00|1153.6800537109375|1,AU,-1
AG|AG|CANONICAL_EQH|5m|2025-06-24 00:45:00|8804.0009765625|2,AG,7
P|P|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-07-25 13:30:00|8916.0009765625|1,P,1
TA|TA|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-02-25 09:00:00|5042.0|4,TA,-1
RB|RB|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-10-20 10:30:00|3060.0|1,RB,4
SC|SC|PREV_TRADING_DAY_HIGH|TRADING_DAY|2026-04-14 21:00:00|661.7999877929688|1,SC,-1
CF|CF|CONFIRMED_SWING_LOW|5m|2025-03-17 13:50:00|13620.0009765625|4,CF,-1
RU|RU|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2026-03-19 10:30:00|16455.001953125|1,RU,-1
SN|SN|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2026-04-29 13:30:00|385990.03125|1,SN,-1
NI|NI|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-12-31 13:30:00|133320.0|1,NI,-1
P|P|CONFIRMED_SWING_LOW|15m|2025-10-31 10:15:00|8758.0009765625|1,P,-1
CU|CU|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-08-27 21:00:00|79340.0|1,CU,-1
I|I|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2026-07-20 10:30:00|757.0|1,I,-1
CF|CF|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-01-07 13:30:00|13430.0009765625|2,CF,-1
M|M|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-07-21 13:30:00|3058.0|3,M,-1
TA|TA|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2026-07-20 10:30:00|5880.0|1,TA,-1
AU|AU|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2026-07-24 09:00:00|882.02001953125|1,AU,-1
M|M|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2026-08-03 10:30:00|3065.0|1,M,-1
AU|AU|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2026-03-10 10:30:00|1153.699951171875|1,AU,-1
CU|CU|CANONICAL_EQH|5m|2026-08-10 22:00:00|107690.0|2,CU,-1
AU|AU|CONFIRMED_SWING_LOW|5m|2025-12-16 23:45:00|967.0800170898438|1,AU,-1
I|I|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-11-14 09:00:00|773.0|2,I,-1
RU|RU|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2026-06-30 13:30:00|16775.001953125|2,RU,-1
TA|TA|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2026-01-22 09:00:00|5180.0|1,TA,-1
P|P|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-04-28 10:30:00|8258.0|1,P,-1
CF|CF|CONFIRMED_SWING_LOW|5m|2025-07-03 22:00:00|13745.0009765625|1,CF,-1
AL|AL|CONFIRMED_SWING_LOW|15m|2025-11-11 14:15:00|21535.0|1,AL,-1
AG|AG|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2026-06-24 13:30:00|14705.0009765625|1,AG,-1
CF|CF|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-06-23 21:00:00|13480.0009765625|1,CF,-1
M|M|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-12-02 09:00:00|3030.0|2,M,-1
RU|RU|CANONICAL_EQL|5m|2026-04-28 13:55:00|17210.0|1,RU,5
CF|CF|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-01-08 21:00:00|13405.0009765625|1,CF,-1
CF|CF|CONFIRMED_SWING_HIGH|5m|2026-04-21 10:45:00|16060.0009765625|1,CF,-1
AL|AL|CONFIRMED_SWING_LOW|15m|2025-07-09 09:30:00|20385.0|1,AL,-1
RB|RB|PREV_TRADING_DAY_HIGH|TRADING_DAY|2025-06-03 21:00:00|2948.0|1,RB,-1
AL|AL|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-05-06 10:30:00|20045.0|1,AL,-1
I|I|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2026-04-29 21:00:00|788.0|8,I,-1
CU|CU|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2026-03-26 13:30:00|95560.0|1,CU,-1
RB|RB|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2026-03-06 21:00:00|3091.0|1,RB,5
NI|NI|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2026-07-24 09:00:00|131770.0|1,NI,-1
SC|SC|CONFIRMED_SWING_HIGH|1h|2025-08-06 15:00:00|535.9000244140625|1,SC,-1
AU|AU|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-04-14 13:30:00|763.3599853515625|1,AU,6
MA|MA|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-02-10 10:30:00|2581.0|1,MA,-1
SC|SC|CONFIRMED_SWING_LOW|15m|2026-03-12 11:30:00|620.0|1,SC,-1
AL|AL|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2026-07-31 10:30:00|23755.0|2,AL,-1
TA|TA|CANONICAL_EQL|5m|2025-03-28 22:55:00|4852.0|1,TA,-1
P|P|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2026-04-01 09:00:00|10192.0009765625|1,P,-1
AL|AL|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-06-05 13:30:00|20080.0|3,AL,-1
P|P|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2026-05-12 10:30:00|9704.0009765625|1,P,2
CF|CF|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-07-17 10:30:00|14125.0009765625|1,CF,-1
AU|AU|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-12-31 13:30:00|974.719970703125|1,AU,-1
AL|AL|CONFIRMED_SWING_HIGH|15m|2025-04-23 10:00:00|19900.0|2,AL,-1
RB|RB|PREV_TRADING_DAY_HIGH|TRADING_DAY|2025-05-19 21:00:00|3095.0|3,RB,-1
CU|CU|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-11-17 09:00:00|85900.0|1,CU,-1
NI|NI|CONFIRMED_SWING_LOW|5m|2026-07-29 10:10:00|128880.0|1,NI,-1
SC|SC|PREV_TRADING_WEEK_LOW|TRADING_WEEK|2025-09-19 21:00:00|483.5|1,SC,-1
SN|SN|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-07-04 13:30:00|267000.0|1,SN,-1
M|M|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2026-07-23 09:00:00|3198.0|1,M,-1
RB|RB|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2026-01-20 09:00:00|3133.0|2,RB,7
MA|MA|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-07-01 09:00:00|2381.0|2,MA,-1
CU|CU|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-01-06 21:00:00|73740.0|1,CU,-1
NI|NI|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2026-01-08 10:30:00|141340.0|1,NI,-1
AL|AL|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2026-07-09 13:30:00|22990.0|1,AL,-1
M|M|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2026-04-16 21:00:00|2994.0|2,M,-1
AU|AU|CANONICAL_EQL|5m|2025-06-13 14:35:00|795.5599975585938|1,AU,-1
AL|AL|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2026-08-18 13:30:00|23920.0|3,AL,-1
TA|TA|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2026-06-18 13:30:00|5828.0|1,TA,-1
NI|NI|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-01-08 21:00:00|124880.0|1,NI,-1
TA|TA|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-11-14 21:00:00|4722.0|1,TA,-1
AU|AU|PREV_TRADING_DAY_HIGH|TRADING_DAY|2025-08-05 21:00:00|786.1799926757812|1,AU,-1
AL|AL|CONFIRMED_SWING_LOW|15m|2025-02-17 14:15:00|20470.0|1,AL,-1
AG|AG|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-10-15 10:30:00|11903.0009765625|1,AG,-1
SN|SN|PREV_TRADING_DAY_HIGH|TRADING_DAY|2026-05-06 09:00:00|387670.03125|1,SN,-1
NI|NI|CONFIRMED_SWING_LOW|5m|2025-02-27 14:20:00|124530.0|1,NI,-1
P|P|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2026-03-11 10:30:00|9358.0009765625|1,P,-1
AL|AL|CONFIRMED_SWING_LOW|5m|2025-03-07 09:10:00|20835.0|1,AL,-1
I|I|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-01-23 21:00:00|796.5|1,I,-1
TA|TA|CONFIRMED_SWING_LOW|5m|2025-07-21 09:30:00|4708.0|2,TA,-1
CF|CF|CONFIRMED_SWING_LOW|5m|2026-06-22 22:30:00|15910.0009765625|1,CF,-1
TA|TA|PREV_TRADING_DAY_LOW|TRADING_DAY|2026-08-05 21:00:00|5676.0|2,TA,-1
CF|CF|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-01-20 21:00:00|13690.0009765625|2,CF,7
RB|RB|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-04-15 13:30:00|3127.0|1,RB,-1
NI|NI|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2026-03-16 13:30:00|135340.0|1,NI,-1
SC|SC|CANONICAL_EQH|5m|2026-03-28 01:45:00|759.5999755859375|1,SC,-1
MA|MA|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-09-23 09:00:00|2336.0|2,MA,-1
CF|CF|PREV_TRADING_DAY_HIGH|TRADING_DAY|2025-12-24 21:00:00|14195.0009765625|2,CF,-1
RB|RB|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2026-03-30 13:30:00|3136.0|1,RB,-1
I|I|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2026-02-04 09:00:00|786.0|3,I,-1
AL|AL|PREV_TRADING_DAY_HIGH|TRADING_DAY|2026-01-05 09:00:00|23030.0|1,AL,-1
MA|MA|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-05-14 21:00:00|2346.0|2,MA,-1
SN|SN|CONFIRMED_SWING_LOW|5m|2026-07-22 09:45:00|415060.0|1,SN,-1
RB|RB|PREV_TRADING_DAY_HIGH|TRADING_DAY|2025-10-10 21:00:00|3124.0|1,RB,-1
CF|CF|PREV_TRADING_DAY_HIGH|TRADING_DAY|2025-08-08 21:00:00|13695.0009765625|1,CF,7
AL|AL|CONFIRMED_SWING_LOW|5m|2025-08-28 09:35:00|20660.0|1,AL,-1
CU|CU|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2026-03-12 13:30:00|101140.0|1,CU,-1
CF|CF|CANONICAL_EQL|5m|2025-09-25 10:40:00|13455.0009765625|3,CF,-1
I|I|PREV_TRADING_WEEK_HIGH|TRADING_WEEK|2025-08-29 21:00:00|791.5|1,I,0
P|P|PREV_TRADING_DAY_LOW|TRADING_DAY|2026-04-21 21:00:00|9434.0009765625|1,P,-1
CF|CF|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-05-22 21:00:00|13400.0009765625|2,CF,-1
CF|CF|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2026-03-12 13:30:00|15505.0009765625|1,CF,-1
CU|CU|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2026-04-24 13:30:00|102360.0|1,CU,-1
P|P|CONFIRMED_SWING_HIGH|15m|2026-03-18 14:45:00|10050.0009765625|1,P,-1
CU|CU|PREV_TRADING_DAY_HIGH|TRADING_DAY|2026-07-16 21:00:00|104680.0|3,CU,-1
P|P|CONFIRMED_SWING_HIGH|15m|2025-06-24 10:00:00|8600.0009765625|1,P,-1
RU|RU|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2026-01-19 13:30:00|15780.0009765625|1,RU,-1
I|I|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2026-08-26 09:00:00|717.0|1,I,-1
RU|RU|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2026-07-03 09:00:00|16715.001953125|1,RU,-1
I|I|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2026-01-21 09:00:00|791.5|1,I,-1
TA|TA|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-10-17 10:30:00|4422.0|1,TA,-1
RB|RB|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2026-04-29 09:00:00|3166.0|3,RB,-1
AL|AL|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-04-15 10:30:00|19590.0|1,AL,-1
MA|MA|CONFIRMED_SWING_HIGH|5m|2026-03-10 09:50:00|2881.0|1,MA,-1
SC|SC|CONFIRMED_SWING_HIGH|5m|2026-08-21 01:45:00|597.7000122070312|1,SC,-1
CU|CU|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2026-04-03 13:30:00|96350.0|1,CU,-1
RB|RB|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-09-03 13:30:00|3113.0|1,RB,-1
AL|AL|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-06-13 09:00:00|20345.0|5,AL,-1
CU|CU|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-10-16 09:00:00|85400.0|1,CU,-1
SN|SN|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-08-22 09:00:00|267500.0|1,SN,-1
CF|CF|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-01-22 09:00:00|13680.0009765625|3,CF,-1
SC|SC|CONFIRMED_SWING_HIGH|5m|2025-07-11 02:25:00|516.5999755859375|1,SC,-1
CF|CF|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-11-28 09:00:00|13740.0009765625|3,CF,-1
CU|CU|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2026-08-13 13:30:00|107690.0|1,CU,-1
AG|AG|CANONICAL_EQH|1h|2025-10-21 12:00:00|11978.0009765625|1,AG,-1
RB|RB|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-07-01 21:00:00|3004.0|1,RB,-1
CU|CU|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-08-15 09:00:00|79000.0|1,CU,-1
I|I|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-04-24 09:00:00|730.0|1,I,-1
TA|TA|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2026-03-11 21:00:00|6682.0|1,TA,-1
CF|CF|CANONICAL_EQL|5m|2026-07-30 10:35:00|15705.0009765625|1,CF,-1
SC|SC|CANONICAL_EQL|15m|2025-06-18 14:30:00|548.5|1,SC,-1
P|P|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-05-08 09:00:00|7904.0|1,P,-1
I|I|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2026-04-02 10:30:00|795.5|1,I,-1
I|I|CANONICAL_EQH|15m|2025-08-18 09:45:00|784.0|2,I,-1
AU|AU|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-04-10 21:00:00|744.8599853515625|1,AU,-1
AL|AL|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2026-07-31 13:30:00|23680.0|1,AL,-1
AG|AG|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2026-01-12 21:00:00|20996.0|1,AG,-1
MA|MA|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-12-18 09:00:00|2187.0|1,MA,-1
AL|AL|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-11-27 09:00:00|21515.0|5,AL,-1
AU|AU|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-11-05 10:30:00|909.1400146484376|1,AU,-1
P|P|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-04-16 13:30:00|8074.0|1,P,-1
M|M|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-01-02 21:00:00|2720.0|1,M,-1
CU|CU|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-02-25 21:00:00|77090.0|1,CU,-1
I|I|CANONICAL_EQL|5m|2025-04-16 11:20:00|702.0|3,I,-1
RU|RU|CANONICAL_EQL|15m|2025-07-24 09:45:00|14935.0009765625|2,RU,-1
SN|SN|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2026-07-15 13:30:00|418969.96875|1,SN,-1
I|I|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-12-05 10:30:00|784.0|1,I,-1
I|I|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-02-11 10:30:00|823.0|1,I,-1
P|P|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-02-05 09:00:00|8402.0009765625|1,P,-1
M|M|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-01-23 09:00:00|2841.0|1,M,-1
TA|TA|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2026-05-13 13:30:00|6420.0|1,TA,-1
RB|RB|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-04-23 09:00:00|3073.0|3,RB,-1
SC|SC|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-07-14 21:00:00|526.2999877929688|1,SC,-1
SN|SN|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-12-05 13:30:00|315320.0|1,SN,-1
P|P|PREV_TRADING_DAY_LOW|TRADING_DAY|2026-01-08 21:00:00|8562.0009765625|1,P,-1
RU|RU|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-12-18 13:30:00|15420.0009765625|2,RU,-1
SN|SN|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2026-02-03 13:30:00|364000.0|1,SN,-1
AL|AL|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2026-04-20 21:00:00|25195.0|1,AL,-1
SC|SC|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2026-07-28 21:00:00|530.9000244140625|2,SC,-1
CU|CU|CANONICAL_EQL|5m|2025-07-16 00:35:00|78000.0|1,CU,-1
AL|AL|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-07-21 13:30:00|20800.0|1,AL,0
RB|RB|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-11-03 13:30:00|3090.0|1,RB,-1
TA|TA|CONFIRMED_SWING_HIGH|5m|2025-02-11 11:30:00|5206.0|1,TA,-1
NI|NI|CONFIRMED_SWING_LOW|5m|2026-03-16 23:20:00|135340.0|1,NI,-1
AL|AL|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-09-16 21:00:00|20980.0|1,AL,-1
RB|RB|CONFIRMED_SWING_LOW|15m|2026-04-09 10:15:00|3087.0|1,RB,-1
P|P|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-02-05 21:00:00|8636.0009765625|1,P,-1
AL|AL|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-06-25 21:00:00|20310.0|1,AL,-1
I|I|PREV_TRADING_DAY_LOW|TRADING_DAY|2026-04-23 21:00:00|779.0|1,I,-1
M|M|CANONICAL_EQH|5m|2025-06-30 21:20:00|2968.0|1,M,-1
SC|SC|CANONICAL_EQH|5m|2025-03-06 10:55:00|510.8999938964844|1,SC,-1
TA|TA|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-10-16 09:00:00|4452.0|1,TA,-1
