horizon,feature_set,model,fold,train_rows,test_rows,purge_rows,train_end_time,test_start_time,test_end_time,oos_r2_vs_hist_mean,mae,rmse,pearson_ic,spearman_ic,sign_accuracy_raw
8,stats_15m_1h,ridge,0,3500,750,8,2025-12-12 01:30:00,2025-12-12 10:30:00,2026-01-14 02:15:00,-0.11529858066320609,1.1073344604951072,1.5524710576305698,-0.02436363089624761,0.02579109296194304,0.508
8,stats_15m_1h,ridge,1,4250,750,8,2026-01-14 00:15:00,2026-01-14 09:00:00,2026-02-11 13:45:00,-0.16767158234646717,1.3501778696988211,2.802319139750693,-0.11749172477446021,-0.06817979585513073,0.532
8,stats_15m_1h,ridge,2,5000,750,8,2026-02-11 09:30:00,2026-02-11 14:00:00,2026-03-20 10:30:00,-0.01839021690866005,1.0257553372810166,1.6031736812386068,-0.01628939159072463,-0.02732829036140508,0.476
8,stats_15m_1h,ridge,3,5750,750,8,2026-03-20 01:45:00,2026-03-20 10:45:00,2026-04-21 09:00:00,-0.06641239815417976,1.0029453823248344,1.4596693246021595,-0.08405128170184652,-0.10326635958463924,0.46
8,stats_15m_1h,ridge,4,6500,750,8,2026-04-21 00:30:00,2026-04-21 09:15:00,2026-05-23 01:15:00,0.02119957777340553,0.9971744984311569,1.4600337150515137,0.10754110466381919,0.11876704491919095,0.5506666666666666
8,stats_15m_1h,ridge,5,7250,750,8,2026-05-22 23:15:00,2026-05-23 01:30:00,2026-06-24 00:00:00,0.033003156684138335,0.9008089301049551,1.2914974546117752,0.10233671809318166,0.06036227662884575,0.49066666666666664
8,stats_15m_1h,ridge,6,8000,750,8,2026-06-23 22:00:00,2026-06-24 00:15:00,2026-07-22 09:00:00,-0.06385597703890378,0.9366374622522402,1.2980110493340704,-0.1041595375795397,-0.10286068712259223,0.472
8,stats_15m_1h,ridge,7,8750,750,8,2026-07-22 00:30:00,2026-07-22 09:15:00,2026-08-19 13:45:00,0.0035520615875093142,1.0408365408194828,1.5189955986562318,0.07286341772085561,0.0009179180762988021,0.492
8,stats_15m_1h,ridge,8,9500,463,8,2026-08-19 09:30:00,2026-08-19 14:00:00,2026-09-05 00:30:00,-0.08092403911980406,0.8622883489131176,1.2177667706787605,-0.10097146406084789,-0.08544955454168233,0.4946004319654428
8,stats_15m_1h,elastic,0,3500,750,8,2025-12-12 01:30:00,2025-12-12 10:30:00,2026-01-14 02:15:00,-0.1183907647948812,1.1086599786100801,1.5546216940933135,-0.025614323051869885,0.02661305353431739,0.508
8,stats_15m_1h,elastic,1,4250,750,8,2026-01-14 00:15:00,2026-01-14 09:00:00,2026-02-11 13:45:00,-0.16983338444284946,1.3532272852370626,2.8049120169495985,-0.11682339690575486,-0.0680063106951987,0.5306666666666666
8,stats_15m_1h,elastic,2,5000,750,8,2026-02-11 09:30:00,2026-02-11 14:00:00,2026-03-20 10:30:00,-0.01911401157288939,1.0265592505340195,1.6037432872868365,-0.017131506991984412,-0.028294834301927644,0.4746666666666667
8,stats_15m_1h,elastic,3,5750,750,8,2026-03-20 01:45:00,2026-03-20 10:45:00,2026-04-21 09:00:00,-0.06627414596518166,1.0028196582829765,1.4595747040685607,-0.08351770744169512,-0.1023176787869845,0.4613333333333333
8,stats_15m_1h,elastic,4,6500,750,8,2026-04-21 00:30:00,2026-04-21 09:15:00,2026-05-23 01:15:00,0.021204271649291617,0.9971626100784992,1.4600302142227908,0.1076160469309572,0.11910988641757583,0.552
8,stats_15m_1h,elastic,5,7250,750,8,2026-05-22 23:15:00,2026-05-23 01:30:00,2026-06-24 00:00:00,0.03318841677099871,0.900636855518982,1.291373734253717,0.10277322019702409,0.06094376744452002,0.49066666666666664
8,stats_15m_1h,elastic,6,8000,750,8,2026-06-23 22:00:00,2026-06-24 00:15:00,2026-07-22 09:00:00,-0.06349686466405857,0.9363141517777985,1.2977919542762069,-0.10379412982062884,-0.10266393654499475,0.4706666666666667
