wf,model,symbol,n,auc,accuracy,balanced_accuracy
WF1,M_IDENTITY_MAP,AG,686,0.6455,0.5787,0.6055
WF1,M_IDENTITY_MAP,AL,1500,0.5413,0.5367,0.5228
WF1,M_IDENTITY_MAP,AU,706,0.6516,0.5552,0.5707
WF1,M_IDENTITY_MAP,CF,1842,0.5514,0.5385,0.5596
WF1,M_IDENTITY_MAP,CU,1015,0.5728,0.5665,0.5514
WF1,M_IDENTITY_MAP,I,1893,0.5145,0.4379,0.4965
WF1,M_IDENTITY_MAP,M,1482,0.5858,0.5951,0.5587
WF1,M_IDENTITY_MAP,MA,1369,0.5437,0.5471,0.5402
WF1,M_IDENTITY_MAP,NI,1026,0.5623,0.577,0.5104
WF1,M_IDENTITY_MAP,P,1005,0.6249,0.4308,0.5132
WF1,M_IDENTITY_MAP,RB,1504,0.606,0.6124,0.5561
WF1,M_IDENTITY_MAP,RU,1120,0.6007,0.5866,0.538
WF1,M_IDENTITY_MAP,SC,939,0.5524,0.5357,0.5052
WF1,M_IDENTITY_MAP,SN,915,0.6229,0.6295,0.5533
WF1,M_IDENTITY_MAP,TA,1387,0.5478,0.558,0.5286
WF1,M_MAP_CORE,AG,686,0.6516,0.5758,0.5984
WF1,M_MAP_CORE,AL,1500,0.5499,0.54,0.5258
WF1,M_MAP_CORE,AU,706,0.6621,0.5921,0.6076
WF1,M_MAP_CORE,CF,1842,0.5508,0.5315,0.5536
WF1,M_MAP_CORE,CU,1015,0.5906,0.5773,0.5622
WF1,M_MAP_CORE,I,1893,0.5194,0.4353,0.4933
WF1,M_MAP_CORE,M,1482,0.5948,0.5924,0.5579
WF1,M_MAP_CORE,MA,1369,0.5332,0.5391,0.5289
WF1,M_MAP_CORE,NI,1026,0.5647,0.5887,0.519
WF1,M_MAP_CORE,P,1005,0.6228,0.4299,0.5124
WF1,M_MAP_CORE,RB,1504,0.6024,0.617,0.5578
WF1,M_MAP_CORE,RU,1120,0.6017,0.5848,0.5392
WF1,M_MAP_CORE,SC,939,0.5732,0.5751,0.5407
WF1,M_MAP_CORE,SN,915,0.6184,0.6393,0.5669
WF1,M_MAP_CORE,TA,1387,0.5609,0.5523,0.522
WF1,N_GLOBAL4,AG,686,0.6607,0.6166,0.5683
WF1,N_GLOBAL4,AL,1500,0.6061,0.594,0.5725
WF1,N_GLOBAL4,AU,706,0.6589,0.6728,0.6265
WF1,N_GLOBAL4,CF,1842,0.6731,0.6227,0.6201
WF1,N_GLOBAL4,CU,1015,0.6557,0.6483,0.6174
WF1,N_GLOBAL4,I,1893,0.628,0.5927,0.5805
WF1,N_GLOBAL4,M,1482,0.6659,0.6478,0.6196
WF1,N_GLOBAL4,MA,1369,0.652,0.6114,0.5876
WF1,N_GLOBAL4,NI,1026,0.6129,0.6228,0.5599
WF1,N_GLOBAL4,P,1005,0.6421,0.608,0.5563
WF1,N_GLOBAL4,RB,1504,0.6344,0.6396,0.584
WF1,N_GLOBAL4,RU,1120,0.6272,0.6098,0.573
WF1,N_GLOBAL4,SC,939,0.5751,0.6049,0.5613
WF1,N_GLOBAL4,SN,915,0.6401,0.6208,0.5769
WF1,N_GLOBAL4,TA,1387,0.6211,0.5854,0.5657
WF1,N_IDENTITY_MAP,AG,686,0.6745,0.6487,0.5808
WF1,N_IDENTITY_MAP,AL,1500,0.5909,0.5767,0.5514
