symbol,source_tf,native_direction,candidate_count,first_time,last_time
NI,15m,-1,875,2025-01-03 10:35:00,2026-09-04 13:45:00
NI,15m,1,897,2025-01-06 13:35:00,2026-09-04 10:45:00
NI,1h,-1,294,2025-01-21 10:05:00,2026-09-04 09:15:00
NI,1h,1,390,2025-01-16 21:10:00,2026-09-01 21:35:00
NI,5m,-1,1951,2025-01-03 10:35:00,2026-09-04 01:00:00
NI,5m,1,2006,2025-01-08 11:15:00,2026-09-04 10:35:00
P,15m,-1,607,2025-01-03 13:55:00,2026-08-28 13:50:00
P,15m,1,632,2025-01-06 11:25:00,2026-09-02 09:50:00
P,1h,-1,330,2025-01-13 09:05:00,2026-08-28 14:35:00
P,1h,1,295,2025-01-09 09:05:00,2026-08-27 21:55:00
P,5m,-1,1438,2025-01-03 13:55:00,2026-09-04 09:05:00
P,5m,1,1499,2025-01-03 10:05:00,2026-09-03 21:05:00
RB,15m,-1,725,2025-01-03 21:55:00,2026-09-04 14:05:00
RB,15m,1,678,2025-01-06 09:45:00,2026-08-31 22:10:00
RB,1h,-1,322,2025-01-14 11:05:00,2026-08-28 10:55:00
RB,1h,1,273,2025-02-05 09:50:00,2026-08-17 21:35:00
RB,5m,-1,1420,2025-01-03 21:55:00,2026-09-04 14:50:00
RB,5m,1,1433,2025-01-02 13:35:00,2026-09-04 14:40:00
RU,15m,-1,653,2025-01-06 21:05:00,2026-08-26 11:30:00
RU,15m,1,669,2025-01-08 11:30:00,2026-09-03 21:10:00
RU,1h,-1,314,2025-01-08 09:40:00,2026-09-04 10:10:00
RU,1h,1,397,2025-01-21 14:50:00,2026-09-04 14:50:00
RU,5m,-1,1481,2025-01-02 10:10:00,2026-09-04 10:10:00
RU,5m,1,1371,2025-01-03 21:40:00,2026-09-03 13:35:00
SC,15m,-1,868,2025-01-08 23:05:00,2026-09-03 21:05:00
SC,15m,1,927,2025-01-07 02:25:00,2026-09-03 13:35:00
SC,1h,-1,386,2025-01-21 23:40:00,2026-09-03 21:05:00
SC,1h,1,396,2025-01-07 02:25:00,2026-08-26 14:45:00
SC,5m,-1,1944,2025-01-03 10:35:00,2026-09-04 14:55:00
SC,5m,1,1951,2025-01-03 09:10:00,2026-09-04 13:55:00
SN,15m,-1,818,2025-01-03 10:35:00,2026-09-04 00:15:00
SN,15m,1,797,2025-01-06 22:45:00,2026-09-04 13:55:00
SN,1h,-1,343,2025-01-17 10:05:00,2026-09-01 09:50:00
SN,1h,1,385,2025-01-13 21:30:00,2026-09-02 10:05:00
SN,5m,-1,1704,2025-01-03 09:20:00,2026-09-04 13:35:00
SN,5m,1,1724,2025-01-03 09:20:00,2026-09-04 14:25:00
TA,15m,-1,631,2025-01-03 22:10:00,2026-09-02 09:05:00
TA,15m,1,601,2025-01-06 14:30:00,2026-09-04 10:35:00
TA,1h,-1,279,2025-01-08 22:30:00,2026-09-02 09:30:00
TA,1h,1,274,2025-01-06 14:10:00,2026-08-26 09:45:00
TA,5m,-1,1359,2025-01-03 21:50:00,2026-09-01 22:50:00
TA,5m,1,1270,2025-01-06 14:30:00,2026-09-03 14:15:00
