wf,model_type,half_life,feature_block,score_ev_cw,if1_ev,if2_ev,if3_ev
WF2,HistGBR,240,S1,0.020378785766614105,-0.03441646875326444,0.06853840158007232,0.027014424473034433
WF2,HistGBR,240,S2,0.002043191823919868,-0.04133298564021054,0.03538620679214662,0.012076354319823521
WF2,HistGBR,240,S3,0.012061393045940066,-0.004733219401827824,0.02879990065537404,0.01211749788427398
WF2,HistGBR,240,S4,0.0029236143247369055,-0.012862623608231831,0.015045877940749628,0.006587588641692919
WF2,HistGBR,480,S1,-0.005633197170215922,-0.03537360236938888,0.02705513244458888,-0.008581121585847768
WF2,HistGBR,480,S2,0.006316425749172926,-0.01999404190487002,0.05196109816628912,-0.013017779013900327
WF2,HistGBR,480,S3,-0.0072102954278557415,-0.015358641047423644,-0.006450651949503632,0.00017840671336005434
WF2,HistGBR,480,S4,0.012111987178221898,-0.027414155167116476,0.037363742513092595,0.026386374188689575
WF3,Linear,None,S1,0.00622793529745005,-0.014229170660849139,0.02208596663745316,0.010827009915746125
WF3,Linear,None,S2,0.02667250342445879,0.010694485176280596,0.024955512019317446,0.04436751307777834
WF3,Linear,None,S3,0.017220428176627764,-0.007289465053635624,0.0159685311664294,0.04298221841708952
WF3,Linear,None,S4,0.027586569196807173,0.017172431635343696,0.024943872185137477,0.04064340376994034
WF3,Linear,60,S1,0.03820980716515151,-0.004562379284086488,0.032136995199547595,0.08705480557999343
WF3,Linear,60,S2,0.029693363515430508,0.021719607751167137,0.015214642936086592,0.0521458398590378
WF3,Linear,60,S3,0.02573444292247164,0.02395576737664677,0.020322300523986724,0.03292526086678144
WF3,Linear,60,S4,0.028666884159380925,0.027711209949891683,0.024065716799172833,0.03422372572907825
WF3,Linear,120,S1,0.026461098432705277,-0.009250094773518807,0.034118836536780606,0.05451455353485402
WF3,Linear,120,S2,0.03167582438905563,0.02230406966899348,0.009594765595140909,0.0631286379030325
WF3,Linear,120,S3,0.020451692503885274,0.025061136090952646,0.01777158354203349,0.018522357878669685
WF3,Linear,120,S4,0.025751637001683775,0.0198615620576931,0.018295204176240656,0.03909814477111758
WF3,Linear,240,S1,0.01178046911680406,-0.018690821441319724,0.026987935700071,0.0270442930916609
WF3,Linear,240,S2,0.030497531436967956,0.01854372699712922,0.01470547310399539,0.05824339420977926
WF3,Linear,240,S3,0.007185836537589123,-0.0003256298695191928,0.006789963578641103,0.015093175903645456
WF3,Linear,240,S4,0.025370628118180288,0.01631513498175514,0.010863952933651637,0.048932796439134084
WF3,Linear,480,S1,0.00925377956760167,-0.013410937552984325,0.02368710458245043,0.01748517167333891
WF3,Linear,480,S2,0.02717447750119313,0.009831723235896463,0.01771967907710465,0.05397203019057828
WF3,Linear,480,S3,0.01464020242105698,-0.004828536046578689,0.019369803178831545,0.029379340130918086
WF3,Linear,480,S4,0.02741780639585621,0.018998572418651327,0.013678276443212265,0.04957657032570503
WF3,HistGBR,None,S1,0.016110820060726422,-0.01661571520550128,0.02457477419604855,0.04037340119163199
WF3,HistGBR,None,S2,0.015888356259208803,0.012838625164488237,-0.012026536578745209,0.04685298019188339
WF3,HistGBR,None,S3,0.009235465529267501,-0.0261195727676856,0.013889164835594181,0.03993680451989392
WF3,HistGBR,None,S4,0.027252163745564533,0.012941651768468319,-0.009306236323126951,0.07812107579135223
WF3,HistGBR,60,S1,0.039707312608408395,0.010892719390059346,0.035075616525227796,0.07315360190993803
WF3,HistGBR,60,S2,0.046642104702396846,0.0017988439217649155,0.04504843987202751,0.09307903031339812
WF3,HistGBR,60,S3,0.03196468385183322,-0.0045972420261845585,0.032419352724633595,0.06807194085705064
WF3,HistGBR,60,S4,0.04216923187490799,0.016350408495376497,0.04630319407731173,0.06385409305203574
WF3,HistGBR,120,S1,0.040652242143206584,0.009799111635263813,0.02128537649248966,0.09087223830186628
WF3,HistGBR,120,S2,0.04090199199371977,0.024641959181068762,0.023576926215141084,0.07448709058494947
WF3,HistGBR,120,S3,0.03460165871290371,-0.01050440948097927,0.03236613756922506,0.08194324805046532
WF3,HistGBR,120,S4,0.027826716300764307,0.021357091003186057,0.008336765150087551,0.05378629274901932
WF3,HistGBR,240,S1,0.017766080152702462,0.013969474039391758,-0.003445369190738786,0.042774135609454415
WF3,HistGBR,240,S2,0.014891379119163625,-0.004219363527928148,-0.009314553983523178,0.0582080548689422
WF3,HistGBR,240,S3,0.005294081737079814,-0.024859951067468574,0.0176890126242962,0.023053183654411818
WF3,HistGBR,240,S4,0.020329634483678412,0.02391052082327795,0.009673377666588432,0.027405004961168846
