task,wf,model,half_life,auc,log_loss,brier,n_train,n_test,r2,spearman,mae
action_target_first,WF2,GBDT,480,0.8301998153563712,0.3771970510892657,0.11895085306070562,1000000,720027,,,
action_target_first,WF3,Linear,None,0.8238337339898911,0.38629144759229433,0.12107770325599851,1000000,703702,,,
action_target_first,WF3,Linear,60,0.8233071105309444,0.3867573288109856,0.12131140571084954,1000000,703702,,,
action_target_first,WF3,Linear,120,0.8236069103575455,0.3865035906941853,0.12119591580714176,1000000,703702,,,
action_target_first,WF3,Linear,240,0.823723640022636,0.3863862380735787,0.12112342579037605,1000000,703702,,,
action_target_first,WF3,Linear,480,0.823945992419582,0.38622398792064655,0.12108379175489102,1000000,703702,,,
action_target_first,WF3,GBDT,None,0.8335153828329768,0.37262719947977146,0.11736422322225334,1000000,703702,,,
action_target_first,WF3,GBDT,60,0.8318900448577816,0.37425323280018,0.1179209261316725,1000000,703702,,,
action_target_first,WF3,GBDT,120,0.8330566386347555,0.37305696893409873,0.11750370632101219,1000000,703702,,,
action_target_first,WF3,GBDT,240,0.8335006625179405,0.3727010924600972,0.1173797815806365,1000000,703702,,,
action_target_first,WF3,GBDT,480,0.8337575841925728,0.3724283974304405,0.11728650616426803,1000000,703702,,,
wait_value,WF1,Linear,None,,,,508545,598325,0.0006941152267315731,0.09681764259462161,0.9224574504373895
wait_value,WF1,Linear,60,,,,508545,598325,0.000826579607665745,0.09865256104550295,0.9219921106115201
wait_value,WF1,Linear,120,,,,508545,598325,0.0007792926199086114,0.09776094026933282,0.9219398827308203
wait_value,WF1,Linear,240,,,,508545,598325,0.0007399100735110409,0.09726580047519293,0.9221349270946878
wait_value,WF1,Linear,480,,,,508545,598325,0.0007176077797802494,0.09703147857394032,0.9222813179500153
wait_value,WF1,GBDT,None,,,,508545,598325,-0.049688243575549684,0.15995300448208788,0.9553424641121603
wait_value,WF1,GBDT,60,,,,508545,598325,-0.03746155361224912,0.16080036420714552,0.9599884122336624
wait_value,WF1,GBDT,120,,,,508545,598325,-0.04958467963788071,0.16434547600581667,0.9574446763466752
wait_value,WF1,GBDT,240,,,,508545,598325,-0.05019094575463923,0.16839451744456638,0.9567214068560649
wait_value,WF1,GBDT,480,,,,508545,598325,-0.04865548977622525,0.16550358841274024,0.954235671976461
wait_value,WF2,Linear,None,,,,1107509,577549,0.0022675114261080376,0.11703813836102075,0.930310593548462
