symbol,source_tf,touch_behavior,direction,n,n_weighted,mean_R,mean_R_event,target_hit_rate_w,ci025,ci975,p_gt_0
AG,15m,CLOSE_BEYOND,fade,105,40.0736,-0.056733,-0.057901,0.254205,,,
AG,1h,NO_BREACH,fade,395,270.0294,0.074625,0.017802,0.257847,-0.063037,0.219798,0.875
AG,1h,BREACH_RECLAIM,fade,26,13.9437,0.136511,-0.013847,0.196198,,,
AG,1h,CLOSE_BEYOND,fade,30,15.5244,0.565219,0.261724,0.359267,,,
CU,5m,NO_BREACH,fade,1484,1099.8946,-0.038439,-0.022354,0.242162,-0.121358,0.040764,0.177
CU,5m,BREACH_RECLAIM,fade,231,124.3821,-0.088981,-0.092775,0.226989,,,
CU,5m,CLOSE_BEYOND,fade,221,104.8473,0.202901,0.122372,0.363227,,,
CU,15m,NO_BREACH,fade,824,547.4905,-0.094529,-0.063849,0.22492,-0.198421,0.011399,0.044
CU,15m,BREACH_RECLAIM,fade,71,27.544,-0.163657,-0.069959,0.192419,,,
CU,15m,CLOSE_BEYOND,fade,70,25.8488,-0.061791,-0.035664,0.275104,,,
CU,1h,NO_BREACH,fade,319,216.6894,0.019865,0.024644,0.247243,-0.140324,0.183645,0.588
CU,1h,BREACH_RECLAIM,fade,21,12.2083,0.55993,0.290308,0.419795,,,
CU,1h,CLOSE_BEYOND,fade,25,14.0949,0.271425,0.298452,0.301134,,,
RB,5m,NO_BREACH,fade,891,624.9671,0.046023,0.067306,0.243327,-0.046457,0.137829,0.818
RB,5m,BREACH_RECLAIM,fade,116,53.5242,-0.056293,0.106304,0.25627,,,
RB,5m,CLOSE_BEYOND,fade,110,42.273,0.306299,0.218587,0.372268,,,
RB,15m,NO_BREACH,fade,522,315.5226,0.060373,0.098302,0.233626,-0.074272,0.186374,0.801
RB,15m,BREACH_RECLAIM,fade,27,7.7524,0.225538,-0.083799,0.339834,,,
RB,15m,CLOSE_BEYOND,fade,35,9.4611,-0.221822,-0.014204,0.166471,,,
RB,1h,NO_BREACH,fade,212,126.3885,-0.114824,-0.003252,0.201636,-0.285152,0.070712,0.109
RB,1h,BREACH_RECLAIM,fade,11,8.375,-0.457711,-0.272727,0.134328,,,
RB,1h,CLOSE_BEYOND,fade,15,7.7361,-0.499102,-0.4,0.166966,,,
M,5m,NO_BREACH,fade,951,685.9347,-0.018456,-0.049172,0.25335,-0.122124,0.083838,0.348
M,5m,BREACH_RECLAIM,fade,118,55.5037,-0.088736,-0.005154,0.286563,,,
M,5m,CLOSE_BEYOND,fade,137,51.4978,-0.194877,-0.047913,0.229945,,,
M,15m,NO_BREACH,fade,477,296.3291,-0.125288,-0.076468,0.22792,-0.26696,0.014367,0.04
M,15m,BREACH_RECLAIM,fade,33,14.2076,-0.005962,0.133352,0.17063,,,
M,15m,CLOSE_BEYOND,fade,53,15.4794,-0.109438,-0.00929,0.209956,,,
M,1h,NO_BREACH,fade,232,141.0846,0.010238,0.005359,0.295385,-0.176589,0.213283,0.525
M,1h,BREACH_RECLAIM,fade,12,5.025,0.939267,0.768843,0.26534,,,
M,1h,CLOSE_BEYOND,fade,11,2.9381,-0.46041,-0.194821,0.085088,,,
