symbol,direction,stop_atr,target_r,horizon,n,both_hit_rate_w,both_hit_rate_event,gap_stop_rate_w,granularity_status
ALL,follow,2.0,1.0,6,16483,0.00053,0.000607,8.8e-05,5m_OK
ALL,follow,2.0,1.5,6,16483,0.000265,0.000243,8.8e-05,5m_OK
ALL,follow,2.0,2.0,6,16483,0.000177,0.000182,8.8e-05,5m_OK
ALL,follow,2.0,2.5,6,16483,0.000177,0.000182,8.8e-05,5m_OK
ALL,follow,2.0,3.0,6,16483,0.000177,0.000182,8.8e-05,5m_OK
ALL,follow,0.5,1.0,12,11214,0.097239,0.110844,0.000549,BORDERLINE
ALL,follow,0.5,1.5,12,11214,0.040207,0.050473,0.000687,BORDERLINE
ALL,follow,0.5,2.0,12,11214,0.016516,0.022472,0.000961,5m_OK
ALL,follow,0.5,2.5,12,11214,0.008412,0.011682,0.000961,5m_OK
ALL,follow,0.5,3.0,12,11214,0.004773,0.007847,0.000961,5m_OK
ALL,follow,0.75,1.0,12,11214,0.017305,0.022026,0.000687,5m_OK
ALL,follow,0.75,1.5,12,11214,0.005356,0.007669,0.000824,5m_OK
ALL,follow,0.75,2.0,12,11214,0.002472,0.004548,0.000824,5m_OK
ALL,follow,0.75,2.5,12,11214,0.001236,0.002675,0.000824,5m_OK
ALL,follow,0.75,3.0,12,11214,0.000687,0.001783,0.000824,5m_OK
ALL,follow,1.0,1.0,12,11214,0.003708,0.004994,0.000961,5m_OK
ALL,follow,1.0,1.5,12,11214,0.001373,0.002854,0.000961,5m_OK
ALL,follow,1.0,2.0,12,11214,0.000687,0.002229,0.000961,5m_OK
ALL,follow,1.0,2.5,12,11214,0.000412,0.001516,0.001099,5m_OK
ALL,follow,1.0,3.0,12,11214,0.000412,0.001516,0.001099,5m_OK
ALL,follow,1.25,1.0,12,11214,0.001373,0.003032,0.000275,5m_OK
ALL,follow,1.25,1.5,12,11214,0.000687,0.001962,0.000275,5m_OK
ALL,follow,1.25,2.0,12,11214,0.000412,0.001516,0.000275,5m_OK
ALL,follow,1.25,2.5,12,11214,0.000412,0.001516,0.000275,5m_OK
ALL,follow,1.25,3.0,12,11214,0.000137,0.001338,0.000275,5m_OK
ALL,follow,1.5,1.0,12,11214,0.000687,0.000981,0.001648,5m_OK
ALL,follow,1.5,1.5,12,11214,0.000275,0.000178,0.001785,5m_OK
ALL,follow,1.5,2.0,12,11214,0.000275,0.000178,0.001785,5m_OK
ALL,follow,1.5,2.5,12,11214,0.0,0.0,0.001785,5m_OK
ALL,follow,1.5,3.0,12,11214,0.000137,0.000268,0.001785,5m_OK
ALL,follow,2.0,1.0,12,11214,0.000275,0.000446,0.000137,5m_OK
ALL,follow,2.0,1.5,12,11214,0.000137,8.9e-05,0.000137,5m_OK
ALL,follow,2.0,2.0,12,11214,0.000137,0.000268,0.000137,5m_OK
ALL,follow,2.0,2.5,12,11214,0.000137,0.000268,0.000137,5m_OK
ALL,follow,2.0,3.0,12,11214,0.0,0.0,0.000137,5m_OK
ALL,follow,0.5,1.0,24,4101,0.082599,0.089003,0.000367,BORDERLINE
ALL,follow,0.5,1.5,24,4101,0.030103,0.035601,0.000734,BORDERLINE
ALL,follow,0.5,2.0,24,4101,0.012849,0.016337,0.000734,5m_OK
ALL,follow,0.5,2.5,24,4101,0.006241,0.008535,0.000734,5m_OK
ALL,follow,0.5,3.0,24,4101,0.003671,0.006096,0.000734,5m_OK
ALL,follow,0.75,1.0,24,4101,0.017254,0.018288,0.0,5m_OK
ALL,follow,0.75,1.5,24,4101,0.005874,0.007559,0.000367,5m_OK
ALL,follow,0.75,2.0,24,4101,0.003304,0.004877,0.000367,5m_OK
ALL,follow,0.75,2.5,24,4101,0.002203,0.00317,0.000367,5m_OK
ALL,follow,0.75,3.0,24,4101,0.001101,0.000975,0.000367,5m_OK
ALL,follow,1.0,1.0,24,4101,0.004772,0.004633,0.002203,5m_OK
ALL,follow,1.0,1.5,24,4101,0.001836,0.002438,0.002203,5m_OK
ALL,follow,1.0,2.0,24,4101,0.001468,0.002438,0.002203,5m_OK
