symbol,fold,stop_atr,target_r,mean_R_LOW,mean_R_MID,mean_R_HIGH,delta_high_low
CU,5,1.25,1.5,-0.06998,-0.229265,0.030344,0.100324
CU,5,1.25,2.0,-0.058487,-0.216607,0.094851,0.153338
CU,5,1.25,2.5,0.004013,-0.206944,0.113504,0.10949099999999999
CU,5,1.25,3.0,-0.004177,-0.199607,0.132341,0.13651799999999997
CU,6,0.75,1.5,-0.188189,0.131485,-0.166202,0.021987000000000007
CU,6,0.75,2.0,-0.357539,0.220748,-0.118788,0.238751
CU,6,0.75,2.5,-0.509713,0.233569,-0.041273,0.46843999999999997
CU,6,0.75,3.0,-0.549725,0.317613,-0.103773,0.445952
CU,6,1.0,1.5,-0.346621,0.210801,-0.142727,0.20389400000000002
CU,6,1.0,2.0,-0.469936,0.24056,-0.068966,0.40097000000000005
CU,6,1.0,2.5,-0.471127,0.283929,-0.110632,0.360495
CU,6,1.0,3.0,-0.463928,0.208655,-0.20753,0.256398
CU,6,1.25,1.5,-0.388961,0.128909,-0.106906,0.282055
CU,6,1.25,2.0,-0.402775,0.202405,-0.12774,0.27503500000000003
CU,6,1.25,2.5,-0.394842,0.149256,-0.205258,0.18958400000000003
CU,6,1.25,3.0,-0.383972,0.123192,-0.205258,0.17871399999999998
CU,ALL,0.75,1.5,-0.057053,0.032963,0.073328,0.130381
CU,ALL,0.75,2.0,-0.079388,0.086023,0.043013,0.12240100000000001
CU,ALL,0.75,2.5,-0.105355,0.133715,0.043041,0.148396
CU,ALL,0.75,3.0,-0.086391,0.137136,0.061493,0.147884
CU,ALL,1.0,1.5,-0.005631,0.079146,0.03539,0.041020999999999995
CU,ALL,1.0,2.0,-0.04783,0.134829,0.044915,0.092745
CU,ALL,1.0,2.5,-0.0088,0.126672,0.070182,0.078982
CU,ALL,1.0,3.0,-0.031839,0.082134,0.083822,0.11566099999999999
CU,ALL,1.25,1.5,-0.019,0.075462,0.038627,0.057627
CU,ALL,1.25,2.0,0.019241,0.093147,0.057554,0.038313
CU,ALL,1.25,2.5,0.001764,0.062114,0.068848,0.067084
CU,ALL,1.25,3.0,-0.001024,0.071043,0.081455,0.082479
RB,0,0.75,1.5,-0.375,-0.400252,-0.374629,0.0003710000000000102
RB,0,0.75,2.0,-0.25,-0.397431,-0.413961,-0.16396100000000002
RB,0,0.75,2.5,-0.125,-0.330765,-0.363331,-0.23833100000000002
RB,0,0.75,3.0,0.0,-0.264098,-0.381844,-0.381844
RB,0,1.0,1.5,-0.320019,-0.446903,-0.358941,-0.03892200000000001
RB,0,1.0,2.0,-0.195019,-0.380236,-0.354084,-0.159065
RB,0,1.0,2.5,-0.070019,-0.31357,-0.403881,-0.333862
RB,0,1.0,3.0,-0.513377,-0.346466,-0.39106,0.12231699999999995
RB,0,1.25,1.5,0.238315,-0.35109,-0.283153,-0.521468
RB,0,1.25,2.0,0.363315,-0.284423,-0.349482,-0.712797
RB,0,1.25,2.5,0.008628,-0.318237,-0.360726,-0.369354
RB,0,1.25,3.0,0.008628,-0.318237,-0.360726,-0.369354
RB,1,0.75,1.5,1.366564,0.160714,-0.035275,-1.4018389999999998
RB,1,0.75,2.0,1.451041,0.075013,0.123816,-1.327225
RB,1,0.75,2.5,1.576041,0.091314,0.085619,-1.4904220000000001
RB,1,0.75,3.0,1.701041,0.106124,0.028319,-1.672722
RB,1,1.0,1.5,1.088281,0.206378,0.263763,-0.8245180000000001
RB,1,1.0,2.0,1.213281,0.125102,0.210815,-1.002466
RB,1,1.0,2.5,1.338281,0.010194,0.159039,-1.1792420000000001
RB,1,1.0,3.0,1.463281,-0.114806,0.204494,-1.258787
RB,1,1.25,1.5,0.945625,0.071312,0.172718,-0.772907
RB,1,1.25,2.0,1.070625,-0.063273,0.154025,-0.9166
RB,1,1.25,2.5,1.195625,-0.170416,0.187849,-1.007776
RB,1,1.25,3.0,1.073236,-0.170416,0.15266,-0.9205760000000001
RB,2,0.75,1.5,0.33176,0.357143,0.25,-0.08176
RB,2,0.75,2.0,0.33176,0.47817,0.5,0.16824
RB,2,0.75,2.5,0.312042,0.60646,0.75,0.437958
RB,2,0.75,3.0,0.437042,0.575604,0.820024,0.382982
RB,2,1.0,1.5,0.15507,0.272139,0.524294,0.369224
RB,2,1.0,2.0,0.171532,0.415976,0.774294,0.602762
RB,2,1.0,2.5,0.296532,0.319704,0.858063,0.561531
RB,2,1.0,3.0,-0.050825,0.414942,0.964247,1.015072
RB,2,1.25,1.5,0.037225,0.286425,0.544435,0.50721
RB,2,1.25,2.0,0.162225,0.247502,0.66145,0.499225
RB,2,1.25,2.5,-0.11566,0.34274,0.758898,0.874558
RB,2,1.25,3.0,-0.11566,0.33837,0.821398,0.937058
RB,3,0.75,1.5,0.068182,-0.336746,0.341228,0.27304599999999996
RB,3,0.75,2.0,0.253317,-0.336746,0.516574,0.26325699999999996
RB,3,0.75,2.5,0.241606,-0.265317,0.644302,0.40269600000000005
RB,3,0.75,3.0,0.29808,-0.365237,0.680868,0.382788
RB,3,1.0,1.5,0.198928,-0.211814,0.292193,0.09326499999999999
RB,3,1.0,2.0,0.270108,-0.111814,0.423703,0.15359499999999998
RB,3,1.0,2.5,0.346555,-0.20862,0.463032,0.116477
RB,3,1.0,3.0,0.443477,-0.211008,0.336965,-0.106512
RB,3,1.25,1.5,0.213101,-0.075102,0.383071,0.16996999999999998
RB,3,1.25,2.0,0.306077,-0.141825,0.466915,0.16083800000000004
RB,3,1.25,2.5,0.401797,-0.138022,0.357299,-0.04449800000000004
