symbol,fold,stop_atr,target_r,quant_bin,n,n_weighted,n_result,mean_R,mean_R_event,median_R,positive_R_rate_w,positive_R_rate_event,p10_R,p90_R,target_hit_rate_w,target_hit_rate_event,stop_hit_rate_w,stop_hit_rate_event,timeout_rate_w,timeout_rate_event,both_hit_rate_w,both_hit_rate_event,gap_stop_rate_w,gap_stop_rate_event
AG,0,1.25,3.0,HIGH,87,57.0,87,0.075632,-0.070914,-1.0,0.461988,0.390805,-1.0,1.695409,0.05848,0.057471,0.502924,0.574713,0.438596,0.367816,0.0,0.0,0.0,0.0
AG,1,0.75,1.5,LOW,27,25.0,27,0.051119,-0.026742,-1.0,0.48,0.444444,-1.0,1.5,0.36,0.333333,0.52,0.555556,0.12,0.111111,0.0,0.0,0.0,0.0
AG,1,0.75,1.5,MID,65,55.0,65,0.055385,0.085326,-1.0,0.418182,0.430769,-1.0,1.5,0.4,0.415385,0.545455,0.538462,0.054545,0.046154,0.0,0.0,0.0,0.0
AG,1,0.75,1.5,HIGH,137,102.0,137,-0.066345,0.017515,-1.0,0.385621,0.416058,-1.0,1.5,0.356209,0.394161,0.614379,0.583942,0.029412,0.021898,0.0,0.0,0.0,0.0
AG,1,0.75,2.0,LOW,27,25.0,27,0.022998,-0.05278,-1.0,0.44,0.407407,-1.0,2.0,0.24,0.222222,0.56,0.592593,0.2,0.185185,0.0,0.0,0.0,0.0
AG,1,0.75,2.0,MID,65,55.0,65,0.049797,0.072905,-1.0,0.345455,0.353846,-1.0,2.0,0.327273,0.338462,0.6,0.6,0.072727,0.061538,0.0,0.0,0.0,0.0
AG,1,0.75,2.0,HIGH,137,102.0,137,-0.086977,-0.070871,-1.0,0.326797,0.328467,-1.0,2.0,0.25817,0.270073,0.663399,0.664234,0.078431,0.065693,0.0,0.0,0.0,0.0
AG,1,0.75,2.5,LOW,27,25.0,27,0.091075,0.010254,-1.0,0.44,0.407407,-1.0,2.5,0.2,0.185185,0.56,0.592593,0.24,0.222222,0.0,0.0,0.0,0.0
AG,1,0.75,2.5,MID,65,55.0,65,-0.066,-0.060186,-1.0,0.290909,0.307692,-1.0,2.5,0.218182,0.2,0.654545,0.646154,0.127273,0.153846,0.0,0.0,0.0,0.0
AG,1,0.75,2.5,HIGH,137,102.0,137,-0.133016,-0.095329,-1.0,0.277778,0.284672,-1.0,2.5,0.179739,0.19708,0.69281,0.693431,0.127451,0.109489,0.0,0.0,0.0,0.0
AG,1,0.75,3.0,LOW,27,25.0,27,-0.131955,-0.196254,-1.0,0.44,0.407407,-1.0,1.201919,0.04,0.037037,0.56,0.592593,0.4,0.37037,0.0,0.0,0.0,0.0
AG,1,0.75,3.0,MID,65,55.0,65,-0.002955,-0.011877,-1.0,0.290909,0.307692,-1.0,3.0,0.163636,0.138462,0.654545,0.646154,0.181818,0.215385,0.0,0.0,0.0,0.0
AG,1,0.75,3.0,HIGH,137,102.0,137,-0.160794,-0.08438,-1.0,0.248366,0.262774,-1.0,3.0,0.150327,0.175182,0.722222,0.715328,0.127451,0.109489,0.0,0.0,0.0,0.0
AG,1,1.0,1.5,LOW,27,25.0,27,-0.053172,-0.123308,-1.0,0.44,0.407407,-1.0,1.5,0.24,0.222222,0.48,0.518519,0.28,0.259259,0.0,0.0,0.0,0.0
AG,1,1.0,1.5,MID,65,55.0,65,-0.010927,0.020673,-1.0,0.4,0.415385,-1.0,1.5,0.345455,0.353846,0.545455,0.538462,0.109091,0.107692,0.0,0.0,0.0,0.0
AG,1,1.0,1.5,HIGH,137,102.0,137,-0.054518,-0.017908,-1.0,0.395425,0.408759,-1.0,1.5,0.30719,0.328467,0.555556,0.547445,0.137255,0.124088,0.0,0.0,0.0,0.0
AG,1,1.0,2.0,LOW,27,25.0,27,-0.031577,-0.103312,-1.0,0.44,0.407407,-1.0,2.0,0.16,0.148148,0.48,0.518519,0.36,0.333333,0.0,0.0,0.0,0.0
AG,1,1.0,2.0,MID,65,55.0,65,-0.081784,-0.069392,-1.0,0.345455,0.369231,-1.0,2.0,0.218182,0.184615,0.6,0.584615,0.181818,0.230769,0.0,0.0,0.0,0.0
AG,1,1.0,2.0,HIGH,137,102.0,137,-0.108247,-0.033514,-1.0,0.326797,0.350365,-1.0,2.0,0.20915,0.240876,0.604575,0.591241,0.186275,0.167883,0.0,0.0,0.0,0.0
AG,1,1.0,2.5,LOW,27,25.0,27,-0.159387,-0.221654,-1.0,0.44,0.407407,-1.0,0.90144,0.04,0.037037,0.48,0.518519,0.48,0.444444,0.0,0.0,0.0,0.0
AG,1,1.0,2.5,MID,65,55.0,65,-0.005037,-0.004451,-1.0,0.345455,0.369231,-1.0,2.5,0.181818,0.153846,0.6,0.584615,0.218182,0.261538,0.0,0.0,0.0,0.0
AG,1,1.0,2.5,HIGH,137,102.0,137,-0.109428,-0.039888,-1.0,0.30719,0.328467,-1.0,2.5,0.130719,0.138686,0.624183,0.613139,0.245098,0.248175,0.0,0.0,0.0,0.0
AG,1,1.0,3.0,LOW,27,25.0,27,-0.139387,-0.203136,-1.0,0.44,0.407407,-1.0,0.90144,0.04,0.037037,0.48,0.518519,0.48,0.444444,0.0,0.0,0.0,0.0
AG,1,1.0,3.0,MID,65,55.0,65,-0.031143,-0.026541,-1.0,0.327273,0.353846,-1.0,2.418444,0.072727,0.061538,0.6,0.584615,0.327273,0.353846,0.0,0.0,0.0,0.0
AG,1,1.0,3.0,HIGH,137,102.0,137,-0.134817,-0.075322,-1.0,0.30719,0.328467,-1.0,1.91716,0.062092,0.065693,0.624183,0.613139,0.313725,0.321168,0.0,0.0,0.0,0.0
AG,1,1.25,1.5,LOW,27,25.0,27,0.079162,0.18441,0.130333,0.52,0.555556,-1.0,1.5,0.24,0.296296,0.36,0.333333,0.4,0.37037,0.0,0.0,0.0,0.0
AG,1,1.25,1.5,MID,65,55.0,65,-0.076082,-0.076891,-1.0,0.418182,0.430769,-1.0,1.5,0.254545,0.230769,0.527273,0.523077,0.218182,0.246154,0.0,0.0,0.0,0.0
AG,1,1.25,1.5,HIGH,137,102.0,137,-0.159196,-0.111789,-1.0,0.356209,0.372263,-1.0,1.5,0.228758,0.255474,0.565359,0.554745,0.205882,0.189781,0.0,0.0,0.0,0.0
AG,1,1.25,2.0,LOW,27,25.0,27,-0.026655,0.123467,0.130333,0.52,0.555556,-1.0,1.103936,0.08,0.148148,0.36,0.333333,0.56,0.518519,0.0,0.0,0.0,0.0
AG,1,1.25,2.0,MID,65,55.0,65,0.012654,-0.004829,-1.0,0.418182,0.430769,-1.0,2.0,0.2,0.169231,0.527273,0.523077,0.272727,0.307692,0.0,0.0,0.0,0.0
AG,1,1.25,2.0,HIGH,137,102.0,137,-0.192167,-0.133677,-1.0,0.316993,0.335766,-1.0,2.0,0.130719,0.138686,0.604575,0.591241,0.264706,0.270073,0.0,0.0,0.0,0.0
AG,1,1.25,2.5,LOW,27,25.0,27,0.013345,0.197541,0.130333,0.52,0.555556,-1.0,1.103936,0.08,0.148148,0.36,0.333333,0.56,0.518519,0.0,0.0,0.0,0.0
AG,1,1.25,2.5,MID,65,55.0,65,0.008133,-0.008655,-1.0,0.4,0.415385,-1.0,2.069123,0.090909,0.076923,0.527273,0.523077,0.381818,0.4,0.0,0.0,0.0,0.0
AG,1,1.25,2.5,HIGH,137,102.0,137,-0.236942,-0.178292,-1.0,0.316993,0.335766,-1.0,1.463256,0.042484,0.051095,0.604575,0.591241,0.352941,0.357664,0.0,0.0,0.0,0.0
AG,1,1.25,3.0,LOW,27,25.0,27,-0.029044,0.19533,0.130333,0.52,0.555556,-1.0,0.940292,0.04,0.111111,0.36,0.333333,0.6,0.555556,0.0,0.0,0.0,0.0
AG,1,1.25,3.0,MID,65,55.0,65,-0.027642,-0.038926,-1.0,0.381818,0.4,-1.0,1.934755,0.054545,0.046154,0.545455,0.538462,0.4,0.415385,0.0,0.0,0.0,0.0
AG,1,1.25,3.0,HIGH,137,102.0,137,-0.225097,-0.15974,-1.0,0.316993,0.335766,-1.0,1.463256,0.03268,0.043796,0.604575,0.591241,0.362745,0.364964,0.0,0.0,0.0,0.0
AG,2,0.75,1.5,LOW,14,12.0,14,-0.583333,-0.464286,-1.0,0.166667,0.214286,-1.0,1.5,0.166667,0.214286,0.833333,0.785714,0.0,0.0,0.0,0.0,0.0,0.0
AG,2,0.75,1.5,MID,48,41.0,48,-0.120242,-0.09229,-1.0,0.365854,0.375,-1.0,1.5,0.341463,0.354167,0.634146,0.625,0.02439,0.020833,0.0,0.0,0.0,0.0
AG,2,0.75,1.5,HIGH,196,157.0,196,0.08654,0.183689,-1.0,0.43949,0.479592,-1.0,1.5,0.426752,0.464286,0.55414,0.515306,0.012739,0.015306,0.006369,0.005102,0.0,0.0
AG,2,0.75,2.0,LOW,14,12.0,14,-0.631657,-0.469991,-1.0,0.166667,0.214286,-1.0,1.052072,0.083333,0.142857,0.833333,0.785714,0.083333,0.071429,0.0,0.0,0.0,0.0
AG,2,0.75,2.0,MID,48,41.0,48,-0.179553,-0.111702,-1.0,0.317073,0.333333,-1.0,2.0,0.243902,0.270833,0.682927,0.666667,0.073171,0.0625,0.0,0.0,0.0,0.0
AG,2,0.75,2.0,HIGH,196,157.0,196,0.074152,0.148098,-1.0,0.382166,0.403061,-1.0,2.0,0.312102,0.341837,0.611465,0.586735,0.076433,0.071429,0.0,0.0,0.0,0.0
AG,2,0.75,2.5,LOW,14,12.0,14,-0.58999,-0.398563,-1.0,0.166667,0.214286,-1.0,1.252072,0.083333,0.142857,0.833333,0.785714,0.083333,0.071429,0.0,0.0,0.0,0.0
AG,2,0.75,2.5,MID,48,41.0,48,-0.27466,-0.161689,-1.0,0.268293,0.291667,-1.0,2.5,0.170732,0.208333,0.731707,0.708333,0.097561,0.083333,0.0,0.0,0.0,0.0
AG,2,0.75,2.5,HIGH,196,157.0,196,0.014025,0.127997,-1.0,0.33121,0.357143,-1.0,2.5,0.235669,0.27551,0.66242,0.632653,0.101911,0.091837,0.0,0.0,0.0,0.0
AG,2,0.75,3.0,LOW,14,12.0,14,-0.548323,-0.327134,-1.0,0.166667,0.214286,-1.0,1.452072,0.083333,0.142857,0.833333,0.785714,0.083333,0.071429,0.0,0.0,0.0,0.0
AG,2,0.75,3.0,MID,48,41.0,48,-0.207749,-0.073285,-1.0,0.268293,0.291667,-1.0,3.0,0.146341,0.1875,0.731707,0.708333,0.121951,0.104167,0.0,0.0,0.0,0.0
AG,2,0.75,3.0,HIGH,196,157.0,196,0.066876,0.184537,-1.0,0.324841,0.346939,-1.0,3.0,0.197452,0.229592,0.66879,0.642857,0.133758,0.127551,0.0,0.0,0.0,0.0
AG,2,1.0,1.5,LOW,14,12.0,14,-0.321121,-0.239533,-1.0,0.333333,0.357143,-1.0,1.5,0.166667,0.214286,0.583333,0.571429,0.25,0.214286,0.0,0.0,0.0,0.0
AG,2,1.0,1.5,MID,48,41.0,48,-0.250235,-0.195716,-1.0,0.341463,0.354167,-1.0,1.5,0.243902,0.270833,0.609756,0.583333,0.146341,0.145833,0.0,0.0,0.0,0.0
AG,2,1.0,1.5,HIGH,196,157.0,196,0.097711,0.143223,-0.454875,0.458599,0.469388,-1.0,1.5,0.375796,0.397959,0.515924,0.489796,0.10828,0.112245,0.0,0.0,0.0,0.0
AG,2,1.0,2.0,LOW,14,12.0,14,-0.237788,-0.13239,-1.0,0.333333,0.357143,-1.0,2.0,0.166667,0.214286,0.583333,0.571429,0.25,0.214286,0.0,0.0,0.0,0.0
AG,2,1.0,2.0,MID,48,41.0,48,-0.320163,-0.224196,-1.0,0.292683,0.3125,-1.0,2.0,0.146341,0.1875,0.658537,0.625,0.195122,0.1875,0.0,0.0,0.0,0.0
AG,2,1.0,2.0,HIGH,196,157.0,196,0.042239,0.128658,-1.0,0.401274,0.418367,-1.0,2.0,0.248408,0.285714,0.573248,0.540816,0.178344,0.173469,0.0,0.0,0.0,0.0
AG,2,1.0,2.5,LOW,14,12.0,14,-0.154455,-0.025247,-1.0,0.333333,0.357143,-1.0,2.5,0.166667,0.214286,0.583333,0.571429,0.25,0.214286,0.0,0.0,0.0,0.0
AG,2,1.0,2.5,MID,48,41.0,48,-0.293495,-0.170167,-1.0,0.292683,0.3125,-1.0,2.5,0.121951,0.166667,0.658537,0.625,0.219512,0.208333,0.0,0.0,0.0,0.0
AG,2,1.0,2.5,HIGH,196,157.0,196,0.052565,0.132919,-1.0,0.388535,0.403061,-1.0,2.5,0.165605,0.183673,0.585987,0.556122,0.248408,0.260204,0.0,0.0,0.0,0.0
AG,2,1.0,3.0,LOW,14,12.0,14,-0.071121,0.081896,-1.0,0.333333,0.357143,-1.0,3.0,0.166667,0.214286,0.583333,0.571429,0.25,0.214286,0.0,0.0,0.0,0.0
AG,2,1.0,3.0,MID,48,41.0,48,-0.232519,-0.086834,-1.0,0.292683,0.3125,-1.0,3.0,0.121951,0.166667,0.658537,0.625,0.219512,0.208333,0.0,0.0,0.0,0.0
AG,2,1.0,3.0,HIGH,196,157.0,196,0.033514,0.110677,-1.0,0.388535,0.403061,-1.0,2.704282,0.095541,0.112245,0.585987,0.556122,0.318471,0.331633,0.0,0.0,0.0,0.0
AG,2,1.25,1.5,LOW,14,12.0,14,-0.11523,-0.063055,-0.586596,0.416667,0.428571,-1.0,1.5,0.25,0.285714,0.5,0.5,0.25,0.214286,0.0,0.0,0.0,0.0
AG,2,1.25,1.5,MID,48,41.0,48,-0.317039,-0.19805,-1.0,0.317073,0.354167,-1.0,1.5,0.195122,0.25,0.609756,0.5625,0.195122,0.1875,0.0,0.0,0.0,0.0
AG,2,1.25,1.5,HIGH,196,157.0,196,0.009595,0.087385,-0.333601,0.43949,0.464286,-1.0,1.5,0.299363,0.331633,0.503185,0.469388,0.197452,0.19898,0.0,0.0,0.0,0.0
AG,2,1.25,2.0,LOW,14,12.0,14,0.00977,0.079802,-0.586596,0.416667,0.428571,-1.0,2.0,0.25,0.285714,0.5,0.5,0.25,0.214286,0.0,0.0,0.0,0.0
AG,2,1.25,2.0,MID,48,41.0,48,-0.272631,-0.118451,-1.0,0.317073,0.354167,-1.0,2.0,0.146341,0.208333,0.609756,0.5625,0.243902,0.229167,0.0,0.0,0.0,0.0
AG,2,1.25,2.0,HIGH,196,157.0,196,0.048712,0.129619,-0.357173,0.433121,0.459184,-1.0,2.0,0.184713,0.19898,0.509554,0.47449,0.305732,0.326531,0.0,0.0,0.0,0.0
AG,2,1.25,2.5,LOW,14,12.0,14,0.13477,0.22266,-0.586596,0.416667,0.428571,-1.0,2.5,0.25,0.285714,0.5,0.5,0.25,0.214286,0.0,0.0,0.0,0.0
AG,2,1.25,2.5,MID,48,41.0,48,-0.19946,-0.014285,-1.0,0.317073,0.354167,-1.0,2.5,0.146341,0.208333,0.609756,0.5625,0.243902,0.229167,0.0,0.0,0.0,0.0
AG,2,1.25,2.5,HIGH,196,157.0,196,0.0201,0.104686,-0.387472,0.426752,0.454082,-1.0,2.164528,0.095541,0.112245,0.515924,0.479592,0.388535,0.408163,0.0,0.0,0.0,0.0
AG,2,1.25,3.0,LOW,14,12.0,14,0.112912,0.239639,-0.586596,0.416667,0.428571,-1.0,2.688668,0.083333,0.142857,0.5,0.5,0.416667,0.357143,0.0,0.0,0.0,0.0
AG,2,1.25,3.0,MID,48,41.0,48,-0.172457,0.036612,-1.0,0.317073,0.354167,-1.0,2.384639,0.073171,0.125,0.609756,0.5625,0.317073,0.3125,0.0,0.0,0.0,0.0
AG,2,1.25,3.0,HIGH,196,157.0,196,0.019515,0.080839,-0.387472,0.420382,0.438776,-1.0,1.795337,0.057325,0.061224,0.515924,0.479592,0.426752,0.459184,0.0,0.0,0.0,0.0
AG,3,0.75,1.5,MID,11,8.0,11,-0.6875,-0.545455,-1.0,0.125,0.181818,-1.0,1.25,0.125,0.181818,0.875,0.818182,0.0,0.0,0.0,0.0,0.0,0.0
AG,3,0.75,1.5,HIGH,236,154.0,236,0.085659,0.136405,-1.0,0.435065,0.45339,-1.0,1.5,0.422078,0.444915,0.538961,0.512712,0.025974,0.021186,0.012987,0.021186,0.0,0.0
AG,3,0.75,2.0,MID,11,8.0,11,-0.845722,-0.775595,-1.0,0.125,0.181818,-1.0,0.110804,0.0,0.0,0.875,0.818182,0.125,0.181818,0.0,0.0,0.0,0.0
AG,3,0.75,2.0,HIGH,236,154.0,236,0.157945,0.231861,-1.0,0.409091,0.423729,-1.0,2.0,0.344156,0.355932,0.564935,0.529661,0.084416,0.097458,0.006494,0.016949,0.0,0.0
AG,3,0.75,2.5,MID,11,8.0,11,-0.845722,-0.775595,-1.0,0.125,0.181818,-1.0,0.110804,0.0,0.0,0.875,0.818182,0.125,0.181818,0.0,0.0,0.0,0.0
AG,3,0.75,2.5,HIGH,236,154.0,236,0.113359,0.092233,-1.0,0.383117,0.360169,-1.0,2.5,0.220779,0.220339,0.577922,0.580508,0.194805,0.182203,0.006494,0.016949,0.0,0.0
AG,3,0.75,3.0,MID,11,8.0,11,-0.845722,-0.775595,-1.0,0.125,0.181818,-1.0,0.110804,0.0,0.0,0.875,0.818182,0.125,0.181818,0.0,0.0,0.0,0.0
AG,3,0.75,3.0,HIGH,236,154.0,236,0.176782,0.162648,-1.0,0.383117,0.360169,-1.0,3.0,0.201299,0.20339,0.584416,0.597458,0.214286,0.199153,0.0,0.0,0.0,0.0
AG,3,1.0,1.5,MID,11,8.0,11,-0.570796,-0.462344,-1.0,0.25,0.363636,-1.0,0.291991,0.0,0.0,0.625,0.545455,0.375,0.454545,0.0,0.0,0.0,0.0
AG,3,1.0,1.5,HIGH,236,154.0,236,0.086207,0.124248,-0.819548,0.454545,0.457627,-1.0,1.5,0.37013,0.377119,0.5,0.478814,0.123377,0.127119,0.006494,0.016949,0.0,0.0
AG,3,1.0,2.0,MID,11,8.0,11,-0.570796,-0.462344,-1.0,0.25,0.363636,-1.0,0.291991,0.0,0.0,0.625,0.545455,0.375,0.454545,0.0,0.0,0.0,0.0
AG,3,1.0,2.0,HIGH,236,154.0,236,0.043798,0.003072,-1.0,0.428571,0.394068,-1.0,2.0,0.214286,0.211864,0.512987,0.529661,0.266234,0.241525,0.006494,0.016949,0.0,0.0
AG,3,1.0,2.5,MID,11,8.0,11,-0.570796,-0.462344,-1.0,0.25,0.363636,-1.0,0.291991,0.0,0.0,0.625,0.545455,0.375,0.454545,0.0,0.0,0.0,0.0
AG,3,1.0,2.5,HIGH,236,154.0,236,0.132046,0.093258,-1.0,0.428571,0.394068,-1.0,2.5,0.188312,0.190678,0.519481,0.54661,0.292208,0.262712,0.0,0.0,0.0,0.0
AG,3,1.0,3.0,MID,11,8.0,11,-0.570796,-0.462344,-1.0,0.25,0.363636,-1.0,0.291991,0.0,0.0,0.625,0.545455,0.375,0.454545,0.0,0.0,0.0,0.0
AG,3,1.0,3.0,HIGH,236,154.0,236,0.143823,0.067335,-1.0,0.428571,0.394068,-1.0,3.0,0.116883,0.097458,0.519481,0.54661,0.363636,0.355932,0.0,0.0,0.0,0.0
AG,3,1.25,1.5,MID,11,8.0,11,0.02372,0.019161,0.140536,0.5,0.545455,-0.880038,1.141936,0.125,0.090909,0.125,0.090909,0.75,0.818182,0.0,0.0,0.0,0.0
AG,3,1.25,1.5,HIGH,236,154.0,236,-0.004785,-0.033475,-1.0,0.454545,0.423729,-1.0,1.5,0.253247,0.254237,0.474026,0.487288,0.266234,0.241525,0.006494,0.016949,0.0,0.0
AG,3,1.25,2.0,MID,11,8.0,11,0.027917,0.022213,0.140536,0.5,0.545455,-0.880038,1.165438,0.0,0.0,0.125,0.090909,0.875,0.909091,0.0,0.0,0.0,0.0
AG,3,1.25,2.0,HIGH,236,154.0,236,0.066162,0.048268,-1.0,0.454545,0.423729,-1.0,2.0,0.201299,0.211864,0.480519,0.504237,0.318182,0.283898,0.0,0.0,0.0,0.0
AG,3,1.25,2.5,MID,11,8.0,11,0.027917,0.022213,0.140536,0.5,0.545455,-0.880038,1.165438,0.0,0.0,0.125,0.090909,0.875,0.909091,0.0,0.0,0.0,0.0
