architecture,population,table,decile,n,weight_sum,mean_predicted,mean_actual,actual_win_rate,avg_win,avg_loss,payoff_ratio
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,p_win,8,4269,2134.5,0.607727456459006,0.04638481831302967,0.6294214101663153,1.237489076372449,1.9766854354200045,0.6260424922438448
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,p_win,9,4268,2134.0,0.6934685105945426,0.17716251270208092,0.6947047797563262,1.5063252650153254,2.847371302039876,0.5290231252721357
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,ev,0,4269,2134.5,-0.467740247842345,0.0036423238845460964,0.5108924806746311,2.2188867090232347,2.3102695554198025,0.9604449419410012
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,ev,1,4268,2134.0,-0.13772266721487647,-0.08477507278582731,0.4761012183692596,1.3064329292132533,1.3490571211141509,0.96840445728073
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,ev,2,4268,2134.0,-0.0779970761206724,0.033109810464043696,0.4948453608247423,1.1236381624365104,1.0351628608559238,1.08546993417773
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,ev,3,4268,2134.0,-0.04353684924040373,0.007482524879507009,0.47352389878163076,0.9990988340952703,0.8843984546154008,1.1296931025617287
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,ev,4,4268,2134.0,-0.016468727072458056,-0.019546812877134084,0.47492970946579194,0.9294387669954841,0.8779108335829784,1.0586938119925084
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,ev,5,4268,2134.0,0.008710394139362298,-0.012401237723904873,0.46790065604498593,0.99782164948624,0.9007390209729841,1.1077810844792608
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,ev,6,4268,2134.0,0.03619531351645193,-0.018262839404418713,0.4709465791940019,1.0221638612618267,0.9444176969505453,1.0823217995197654
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,ev,7,4268,2134.0,0.07207178903305347,0.04332355254329041,0.46649484536082475,1.2084242414541528,0.9754359870357728,1.2388555041181144
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,ev,8,4268,2134.0,0.1423573769090325,0.03827683313145695,0.489456419868791,1.4670212225721422,1.3314556265021327,1.1018175847332996
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,ev,9,4269,2134.5,0.5240860611021524,0.009147921111262823,0.5008198641368002,2.3738038602827314,2.363275541088925,1.0044549689660627
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,mu_win,0,2060,1030.0,0.5829219421002648,0.5552378267721021,1.0,0.5552378267721021,,
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,mu_win,1,2132,1066.0,0.7353209364717066,0.6018427547965278,1.0,0.6018427547965278,,
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,mu_win,2,1988,994.0,0.8096364218222037,0.6737419754346914,1.0,0.6737419754346914,,
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,mu_win,3,2060,1030.0,0.8936714162183702,0.7330176352546126,1.0,0.7330176352546126,,
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,mu_win,4,2059,1029.5,1.0136272160687818,0.9020363769256602,1.0,0.9020363769256602,,
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,mu_win,5,2060,1030.0,1.1971989165671906,1.0987431501978568,1.0,1.0987431501978568,,
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,mu_win,6,2059,1029.5,1.4190914244957311,1.3631200995070112,1.0,1.3631200995070112,,
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,mu_win,7,2060,1030.0,1.759621950244245,1.703759771265431,1.0,1.703759771265431,,
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,mu_win,8,2060,1030.0,2.3261668438419374,2.4166717306907928,1.0,2.4166717306907928,,
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,mu_win,9,2060,1030.0,3.7701007170643575,3.7240385313440916,1.0,3.7240385313440916,,
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,mu_loss,0,2212,1106.0,0.5793907398085172,0.4871483452767188,0.9018987341772152,0.5401364109033092,0.0,
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,mu_loss,1,2267,1133.5,0.6725672373769135,0.5197612706955179,0.8769298632554036,0.5927056341381988,0.0,
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,mu_loss,2,2147,1073.5,0.7264353523951326,0.5971562170829264,0.8942710759198882,0.6677574989984599,0.0,
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,mu_loss,3,2209,1104.5,0.8013816526992383,0.6159706534231036,0.8895427795382526,0.6924575946115195,0.0,
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,mu_loss,4,2209,1104.5,0.9205966848127629,0.8039479030822834,0.9189678587596197,0.8748378905954501,0.0,
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,mu_loss,5,2206,1103.0,1.0939294327981004,0.9799697557290983,0.9388032638259293,1.0438499667495849,0.0,
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,mu_loss,6,2209,1104.5,1.327725168578476,1.2499513679029142,0.9674060660932549,1.2920648440325397,0.0,
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,mu_loss,7,2210,1105.0,1.6373153614075586,1.6204802271670269,0.9710407239819004,1.6688076896734059,0.0,
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,mu_loss,8,2206,1103.0,2.187179114631475,2.2638283287954843,0.9764279238440616,2.318479709063528,0.0,
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,mu_loss,9,2209,1104.5,3.5946852695769675,3.7077965220155367,0.9923042100497963,3.7365522432172997,0.0,
A1_SHARE_TO_WIN,ALL_TD5_OOF,p_win,0,8321,4160.5,0.2742266920732584,-0.12289055527711511,0.2741257060449465,3.641280353630038,1.5444259597832768,2.3576917563215556
A1_SHARE_TO_WIN,ALL_TD5_OOF,p_win,1,8319,4159.5,0.3481486062278497,-0.04379935546127326,0.333453540088953,2.3878939285301874,1.2603038044770194,1.894697072283359
A1_SHARE_TO_WIN,ALL_TD5_OOF,p_win,2,8318,4159.0,0.39181070593917133,0.007795524539157233,0.38458764125991823,1.8862601069861513,1.1661072297581536,1.6175700303113245
A1_SHARE_TO_WIN,ALL_TD5_OOF,p_win,3,8322,4161.0,0.4279917376700644,0.044409510821716125,0.4252583513578467,1.5926514724791727,1.1011535881341148,1.4463481658157173
A1_SHARE_TO_WIN,ALL_TD5_OOF,p_win,4,8317,4158.5,0.46780504072742174,0.01619025988230031,0.4591799927858603,1.6722320780012376,1.389862141939892,1.2031639883846534
A1_SHARE_TO_WIN,ALL_TD5_OOF,p_win,5,8319,4159.5,0.5052106093516983,-0.008385567105742156,0.5070320952037505,1.31910633056844,1.3737503133602411,0.9602227695525397
A1_SHARE_TO_WIN,ALL_TD5_OOF,p_win,6,8320,4160.0,0.5408582865649959,0.008213760969636181,0.541826923076923,1.3507911832254722,1.5794932221178006,0.8552054319133561
A1_SHARE_TO_WIN,ALL_TD5_OOF,p_win,7,8319,4159.5,0.5816786911001506,0.03864111658202229,0.5981488159634571,1.3312347503711175,1.8853630478614531,0.7060893401306039
A1_SHARE_TO_WIN,ALL_TD5_OOF,p_win,8,8319,4159.5,0.6270024383629423,0.015755468628167135,0.6420242817646352,1.4099599952505484,2.4847302186418587,0.5674499326615932
A1_SHARE_TO_WIN,ALL_TD5_OOF,p_win,9,8320,4160.0,0.7125651765023905,0.044081909140482434,0.7034855769230769,1.6762428170665773,3.828247962805781,0.43786161015495806
A1_SHARE_TO_WIN,ALL_TD5_OOF,ev,0,8320,4160.0,-0.6440524306898681,0.08471686669181033,0.5063701923076923,2.971493755067139,2.876566559343072,1.033000173563078
A1_SHARE_TO_WIN,ALL_TD5_OOF,ev,1,8319,4159.5,-0.16590191342205968,-0.05748484829475348,0.47529751172015866,1.7973026462164856,1.7376291216733195,1.0343419224498844
A1_SHARE_TO_WIN,ALL_TD5_OOF,ev,2,8319,4159.5,-0.08147628540224286,-0.03951690232959194,0.46135352806827745,1.3958603877516633,1.2689250789267486,1.1000337300703964
A1_SHARE_TO_WIN,ALL_TD5_OOF,ev,3,8322,4161.0,-0.041916036872192,-0.013945551243475032,0.4741648642153328,1.167535398587733,1.0793303382713424,1.0817220244708956
A1_SHARE_TO_WIN,ALL_TD5_OOF,ev,4,8317,4158.5,-0.015840592808805447,0.025126433275674216,0.4813033545749669,1.075421946819739,0.9494523661487327,1.1326760405916698
A1_SHARE_TO_WIN,ALL_TD5_OOF,ev,5,8319,4159.5,0.007304194767308534,0.014362702983349997,0.48791922106022356,1.0984151859621165,1.0185408248126155,1.0784203825744498
A1_SHARE_TO_WIN,ALL_TD5_OOF,ev,6,8320,4160.0,0.03468456394416184,0.02322712113444515,0.4859375,1.2261103694625717,1.1138448856438143,1.100790949678659
A1_SHARE_TO_WIN,ALL_TD5_OOF,ev,7,8320,4160.0,0.07754482115483292,0.04735149649291892,0.4984375,1.4404876497140782,1.3371046806957096,1.0773185304867658
A1_SHARE_TO_WIN,ALL_TD5_OOF,ev,8,8318,4159.0,0.17432001628215563,0.004067598395022372,0.49110363068045204,1.888876709724614,1.8148422101996815,1.0407939043454288
A1_SHARE_TO_WIN,ALL_TD5_OOF,ev,9,8320,4160.0,0.6848909023738243,-0.08790145958719588,0.5072115384615384,2.7501528784783518,3.0090208026692955,0.9139693803508097
A1_SHARE_TO_WIN,ALL_TD5_OOF,mu_win,0,4056,2028.0,0.6226930952988332,0.5919430010072199,1.0,0.5919430010072199,,
A1_SHARE_TO_WIN,ALL_TD5_OOF,mu_win,1,4049,2024.5,0.7813252470524487,0.6642000905811383,1.0,0.6642000905811383,,
A1_SHARE_TO_WIN,ALL_TD5_OOF,mu_win,2,4049,2024.5,0.8889523514125969,0.7628004717693028,1.0,0.7628004717693028,,
A1_SHARE_TO_WIN,ALL_TD5_OOF,mu_win,3,4052,2026.0,1.0270852367153518,0.9644750052619392,1.0,0.9644750052619392,,
A1_SHARE_TO_WIN,ALL_TD5_OOF,mu_win,4,4048,2024.0,1.2230908375711367,1.1501105504812963,1.0,1.1501105504812963,,
A1_SHARE_TO_WIN,ALL_TD5_OOF,mu_win,5,4051,2025.5,1.4368306483930187,1.3955998183815588,1.0,1.3955998183815588,,
A1_SHARE_TO_WIN,ALL_TD5_OOF,mu_win,6,4050,2025.0,1.7407121806039532,1.670225402110195,1.0,1.670225402110195,,
A1_SHARE_TO_WIN,ALL_TD5_OOF,mu_win,7,4051,2025.5,2.1844515079281313,2.226190078501033,1.0,2.226190078501033,,
A1_SHARE_TO_WIN,ALL_TD5_OOF,mu_win,8,4051,2025.5,2.8182438840607054,2.975237001063854,1.0,2.975237001063854,,
A1_SHARE_TO_WIN,ALL_TD5_OOF,mu_win,9,4051,2025.5,4.663537144496712,4.535740273972228,1.0,4.535740273972228,,
A1_SHARE_TO_WIN,ALL_TD5_OOF,mu_loss,0,4269,2134.5,0.6034828843370159,0.5235452492871746,0.8959943780744906,0.58431756057698,0.0,
A1_SHARE_TO_WIN,ALL_TD5_OOF,mu_loss,1,4270,2135.0,0.7070838478950421,0.5681996591737835,0.8915690866510538,0.637303006218034,0.0,
A1_SHARE_TO_WIN,ALL_TD5_OOF,mu_loss,2,4267,2133.5,0.7989674126437915,0.6782529658962316,0.9046168268104054,0.749768239761456,0.0,
A1_SHARE_TO_WIN,ALL_TD5_OOF,mu_loss,3,4269,2134.5,0.9418532995215045,0.8626673202442864,0.9327711407823847,0.9248434932503411,0.0,
A1_SHARE_TO_WIN,ALL_TD5_OOF,mu_loss,4,4268,2134.0,1.1309396780983612,1.0382880728256738,0.950796626054358,1.0920190968013743,0.0,
A1_SHARE_TO_WIN,ALL_TD5_OOF,mu_loss,5,4269,2134.5,1.3531499547224353,1.3141222126425554,0.9742328414148512,1.3488789915294708,0.0,
A1_SHARE_TO_WIN,ALL_TD5_OOF,mu_loss,6,4269,2134.5,1.6327783035878716,1.5808618228986075,0.9751698289997658,1.6211143699145223,0.0,
A1_SHARE_TO_WIN,ALL_TD5_OOF,mu_loss,7,4268,2134.0,2.068514619321532,2.1014214380859624,0.9814901593252109,2.1410519689068717,0.0,
A1_SHARE_TO_WIN,ALL_TD5_OOF,mu_loss,8,4268,2134.0,2.6976177705780993,2.901748142511214,0.9920337394564198,2.92504985173308,0.0,
A1_SHARE_TO_WIN,ALL_TD5_OOF,mu_loss,9,4269,2134.5,4.485793757144101,4.5031884489776735,0.9910986179433122,4.54363306279501,0.0,
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,p_win,0,4269,2134.5,0.29087272488783084,-0.18002173931736803,0.2724291403138908,2.8006005322441347,1.2960757321782912,2.160830931952731
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,p_win,1,4268,2134.0,0.36229359399135813,-0.06459473602335464,0.341377694470478,1.8835883453404614,1.0743787095370794,1.7531884507950166
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,p_win,2,4268,2134.0,0.40201704481382533,0.0007422135493064737,0.39128397375820057,1.4760751979689517,0.9476050089221362,1.557690371062865
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,p_win,3,4268,2134.0,0.4326138499186773,0.03282764901449899,0.42830365510777885,1.2396787292090843,0.8713214389345592,1.422757060499909
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,p_win,4,4268,2134.0,0.46754213385870375,0.014035182900486002,0.4564198687910028,1.3084385242771817,1.0728172778761533,1.2196284970982996
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,p_win,5,4268,2134.0,0.4995149005539412,-0.028330380193104708,0.5014058106841612,1.015028818672134,1.0775731835632225,0.9419581279071251
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,p_win,6,4268,2134.0,0.5281682198734261,-0.0025122764187437757,0.5241330834114339,1.1009958784894724,1.2179469108499006,0.9039769046428977
