candidate_decision_index,candidate_decision_time,candidate_fill_time,oracle_direction,candidate_fill_price,oracle_entry_fill_time,oracle_entry_fill_price,oracle_exit_fill_time,oracle_exit_fill_price,bars_to_oracle_entry,bars_to_oracle_exit,entry_quality_atr,group
1696,2025-03-17 21:15:00,2025-03-17 21:30:00,LONG,8251.0,2025-03-17 21:30:00,8251.0,2025-03-17 22:30:00,8325.0,0.0,4.0,4.024593437384766,near_entry
7470,2025-11-08 01:15:00,2025-11-08 01:30:00,LONG,11382.0009765625,2025-11-08 01:30:00,11382.0009765625,2025-11-11 09:30:00,11940.0009765625,0.0,43.0,14.85584658288,near_entry
8556,2025-12-19 11:15:00,2025-12-19 13:30:00,LONG,15229.0009765625,2025-12-19 11:15:00,15100.0009765625,2025-12-19 22:45:00,15522.0009765625,-1.0,13.0,3.5942814233920157,near_entry
13987,2026-08-05 02:15:00,2026-08-05 09:00:00,LONG,14590.0009765625,2026-08-04 14:45:00,14388.0009765625,2026-08-06 09:00:00,15336.0009765625,-23.0,37.0,11.704540368367356,in_position
14379,2026-08-19 22:30:00,2026-08-19 22:45:00,LONG,16057.0009765625,2026-08-19 14:15:00,15335.0009765625,2026-08-20 11:15:00,16382.0009765625,-10.0,23.0,4.506609974857114,in_position
2906,2025-05-08 14:15:00,2025-05-08 14:30:00,SHORT,8108.0,2025-05-06 21:30:00,8273.0,2025-05-08 14:45:00,8097.0,-70.0,1.0,0.5214733900723793,in_position
11452,2026-04-23 13:45:00,2026-04-23 14:00:00,SHORT,18993.0,2026-04-22 14:30:00,19565.0,2026-04-30 02:15:00,17564.0,-35.0,173.0,13.828835288099594,in_position
3105,2025-05-15 23:45:00,2025-05-16 00:00:00,LONG,8139.0,2025-05-15 13:45:00,7964.0,2025-05-22 13:30:00,8337.0,-17.0,167.0,9.782839124062,in_position
5009,2025-07-30 00:15:00,2025-07-30 00:30:00,SHORT,9222.0009765625,2025-07-29 23:15:00,9239.0009765625,2025-07-31 23:00:00,8909.0009765625,-5.0,68.0,15.161561066405802,in_position
11442,2026-04-23 09:00:00,2026-04-23 09:15:00,SHORT,19480.0,2026-04-22 14:30:00,19565.0,2026-04-30 02:15:00,17564.0,-25.0,183.0,18.78487942414277,in_position
9002,2026-01-09 01:15:00,2026-01-09 01:30:00,LONG,18409.0,2026-01-08 22:45:00,17910.0,2026-01-10 00:00:00,19651.0,-11.0,31.0,7.319337395620198,in_position
479,2025-01-21 02:00:00,2025-01-21 02:15:00,LONG,7729.0,2025-01-20 10:30:00,7705.0,2025-01-22 13:30:00,7841.0,-31.0,47.0,6.358547437333003,in_position
13773,2026-07-28 11:00:00,2026-07-28 11:15:00,SHORT,14050.0009765625,2026-07-27 10:00:00,14671.0009765625,2026-07-28 13:45:00,13938.0009765625,-41.0,2.0,1.6054568319587879,in_position
1698,2025-03-17 21:45:00,2025-03-17 22:00:00,LONG,8290.0,2025-03-17 21:30:00,8251.0,2025-03-17 22:30:00,8325.0,-2.0,2.0,1.8936662478438486,in_position
13259,2026-07-08 14:00:00,2026-07-08 14:15:00,SHORT,14870.0009765625,2026-07-06 09:00:00,15338.0009765625,2026-07-09 00:00:00,14040.0009765625,-86.0,15.0,9.490404346393637,in_position
6845,2025-10-16 02:15:00,2025-10-16 09:00:00,LONG,12150.0009765625,2025-10-16 01:15:00,11920.0009765625,2025-10-16 09:15:00,12168.0009765625,-5.0,1.0,0.3360852077607109,near_exit
2575,2025-04-22 00:30:00,2025-04-22 00:45:00,SHORT,8173.0,2025-04-21 21:00:00,8284.0,2025-04-22 01:15:00,8151.0,-15.0,2.0,0.9925134807217002,near_exit
2266,2025-04-09 21:15:00,2025-04-09 21:30:00,LONG,7753.0,2025-04-09 09:15:00,7640.0,2025-04-09 22:30:00,7798.0,-16.0,4.0,1.7551029709685386,near_exit
8075,2025-12-02 11:15:00,2025-12-02 13:30:00,LONG,13498.0009765625,2025-12-02 09:15:00,13384.0009765625,2025-12-02 14:15:00,13514.0009765625,-8.0,3.0,0.2803085767884304,near_exit
8456,2025-12-16 22:00:00,2025-12-16 22:15:00,LONG,14766.0009765625,2025-12-16 21:15:00,14656.0009765625,2025-12-16 22:45:00,14784.0009765625,-4.0,2.0,0.24145059318501633,near_exit
606,2025-01-24 14:45:00,2025-01-24 21:00:00,LONG,7786.0,2025-01-23 21:30:00,7618.0,2025-01-24 21:45:00,7818.0,-35.0,3.0,1.8682970234666076,near_exit
13172,2026-07-04 02:00:00,2026-07-04 02:15:00,LONG,15220.0009765625,2026-07-02 13:45:00,14576.0009765625,2026-07-06 09:00:00,15338.0009765625,-63.0,1.0,1.244487625359651,near_exit
7510,2025-11-11 02:00:00,2025-11-11 02:15:00,LONG,11849.0009765625,2025-11-08 01:30:00,11382.0009765625,2025-11-11 09:30:00,11940.0009765625,-40.0,3.0,2.395350184493097,near_exit
3800,2025-06-13 09:45:00,2025-06-13 10:00:00,LONG,8874.0009765625,2025-06-12 22:15:00,8773.0009765625,2025-06-13 10:30:00,8900.0009765625,-21.0,1.0,1.364955703273284,near_exit
11870,2026-05-14 10:45:00,2026-05-14 11:00:00,SHORT,21380.0,2026-05-14 09:30:00,21537.0,2026-05-14 11:15:00,21282.0,-5.0,1.0,0.8568021997216115,near_exit
4689,2025-07-17 10:00:00,2025-07-17 10:30:00,LONG,9162.0009765625,2025-07-16 10:45:00,9120.0009765625,2025-07-17 13:30:00,9183.0009765625,-36.0,4.0,1.1304262950146506,near_exit
14657,2026-08-31 09:45:00,2026-08-31 10:00:00,SHORT,16206.0009765625,2026-08-28 21:30:00,17292.0,2026-08-31 10:45:00,16090.0009765625,-24.0,2.0,1.3024063618026822,near_exit
