symbol,direction_system,evaluation_horizon,n_rows,n_gids,delta_ev_gross,baseline_gross_mean,stop_gross_mean,stop_eligible_rate,stop_signal_rate,stop_executable_rate,raw_n_rows,raw_delta_ev_gross,raw_baseline_gross_mean,raw_stop_gross_mean
AL,E9,td3,1074,34,1.0471907132908886,-1.7588857417854307,-0.7116950284945418,0.9979946524064173,0.6871114713309515,0.6819234205008633,1074,-0.3596152529820753,-0.2463518337872657,-0.6059670867693412
AL,E9,td5,1074,34,-0.6309401335078055,-0.09204690185862674,-0.7229870353664323,0.9979946524064173,0.7071830490877974,0.7071830490877974,1074,-1.8445665140041883,1.1935688366106803,-0.6509976773935081
AU,A9,td1,965,73,0.23413769347769717,-0.37049355238393433,-0.13635585890623708,0.9828625997290379,0.3413913434874897,0.33670219701752124,965,0.1525004198011188,-0.3330983769277227,-0.18059795712660387
AU,A9,td3,965,73,0.3145974712313815,0.13023308046645793,0.44483055169783936,0.9828625997290379,0.6143118949414879,0.6143118949414879,965,0.5761226667480933,-0.42189133415844854,0.15423133258964472
AU,A9,td5,965,73,0.7205218142785688,-1.3426489814141833,-0.6221271671356144,0.9828625997290379,0.7154259260696042,0.7154259260696042,965,0.13664628074916696,-0.20648774342391985,-0.06984146267475286
AU,E9,td1,965,73,0.2565587218832962,-0.6457744686561746,-0.38921574677287835,0.9942169702443676,0.35811046900153826,0.35020741315327697,965,0.08915025957611004,-0.20296357740986304,-0.113813317833753
AU,E9,td3,965,73,0.4881411338265459,-0.8087138964206355,-0.3205727625940895,0.9942169702443676,0.6642586459736344,0.6642586459736344,965,0.4014326339133703,0.095001322152648,0.4964339560660184
AU,E9,td5,965,73,0.42763870512932894,-1.3630231694168324,-0.9353844642875032,0.9942169702443676,0.7560438343106897,0.7560438343106897,965,-0.0406647839105669,0.5799071464795269,0.5392423625689599
CF,A9,td1,799,41,-0.07029512395342868,0.2261119253852028,0.15581680143177404,0.9767485590656323,0.22759182008436457,0.22759182008436457,799,-0.1238024106690915,0.13513259164538094,0.011330180976289433
CF,A9,td3,799,41,0.251284553242399,-1.4026014052634024,-1.1513168520210033,0.9767485590656323,0.6758249866109867,0.6758249866109867,799,0.38937772483987476,-0.8086106899059052,-0.4192329650660307
CF,A9,td5,799,41,0.4971990604707645,-2.4326287021337785,-1.935429641663014,0.9767485590656323,0.7534024120382196,0.7534024120382196,799,0.5771415600558351,-1.2934741468995474,-0.7163325868437125
CF,E9,td1,799,41,-0.0545613235002061,0.33036634852448643,0.2758050250242803,0.9994358805334416,0.198937295311396,0.19808149727973146,799,-0.031259791831140867,-0.026017934175119606,-0.05727772600626047
CF,E9,td3,799,41,-0.0016369323799057737,-0.4936343969095324,-0.49527132928943807,0.9994358805334416,0.5983219183822065,0.5983219183822065,799,0.5613956510013106,-1.1930665422253846,-0.6316708912240739
CF,E9,td5,799,41,0.5449027891200643,-1.8432929615277172,-1.2983901724076528,0.9994358805334416,0.6574284559386798,0.6574284559386798,799,0.88350479508182,-1.71493304601343,-0.8314282509316098
CU,A9,td1,1202,38,0.06405355122454395,0.24709368065541923,0.31114723187996307,0.9994152046783625,0.3341302955441171,0.3278425172749147,1202,0.06444636586478299,-0.0978394744496868,-0.0333931085849038
CU,A9,td3,1202,38,0.2840698853262263,-0.8284833741004403,-0.5444134887742139,0.9994152046783625,0.6522130576712147,0.6522130576712147,1202,-0.5594151476719322,0.25076515659145937,-0.30864999108047264
CU,A9,td5,1202,38,-0.22339119197840426,-0.774492248323867,-0.9978834403022712,0.9994152046783625,0.7567800856809147,0.7567800856809147,1202,-0.8363585307946062,0.36430439448847857,-0.47205413630612775
CU,E9,td1,1202,38,0.054365803680699765,0.2948894487768061,0.3492552524575059,0.9871916761508013,0.3384714209584332,0.3321836426892307,1202,0.06983982672506704,-0.11604885758145349,-0.04620903085638644
CU,E9,td3,1202,38,0.24117527476554193,-0.7087354776083131,-0.4675602028427709,0.9871916761508013,0.6857744700842039,0.6857744700842039,1202,-0.3191765333888881,-0.0940500649003998,-0.4132265982892878
CU,E9,td5,1202,38,0.16899000044785895,-0.9567100869530752,-0.7877200865052165,0.9871916761508013,0.7576547129658818,0.7576547129658818,1202,-0.6105906573838814,-0.02296254587382154,-0.6335532032577028
I,A9,td1,819,30,-0.01810877995889626,0.04280513879373087,0.024696358834834585,0.994815407170465,0.18135688558860455,0.1802462584109042,819,0.005622844585461378,-0.25381843682845867,-0.24819559224299725
I,A9,td3,819,30,-0.27041084515852265,-1.8641239465777513,-2.1345347917362734,0.994815407170465,0.6753618721261688,0.6753618721261688,819,0.43053292873928534,-1.617177817328502,-1.186644888589217
I,A9,td5,819,30,0.03414549041181324,-1.669581306233995,-1.6354358158221818,0.994815407170465,0.6770012163884639,0.6770012163884639,819,0.8731455377344834,-1.827605081308307,-0.9544595435738235
I,E9,td1,819,30,-0.027290305697169066,0.138806315474919,0.11151600977774996,1.0,0.17494442185757678,0.17464680280995773,819,-0.028786649343965336,-0.11441018338884361,-0.14319683273280892
I,E9,td3,819,30,-0.3457673915301641,-1.4023427222535625,-1.7481101137837267,1.0,0.6236192524249156,0.6236192524249156,819,-0.15416571572923773,-0.49328778815061236,-0.64745350387985
I,E9,td5,819,30,-0.2345030551320648,-0.8912713843228068,-1.1257744394548717,1.0,0.6294273332329964,0.6294273332329964,819,-0.04886877442492736,-0.20395999216377936,-0.2528287665887068
M,A9,td1,711,31,0.030314902442946403,0.5982899403377576,0.6286048427807039,0.9959349593495935,0.19983293903584742,0.17084203746430066,711,-0.014118519281384707,0.1449084450861568,0.13078992580477203
M,A9,td3,711,31,0.07570263404486137,2.289265837779152,2.3649684718240134,0.9959349593495935,0.3221823041020523,0.32198560858671005,711,-0.2424923447053489,0.9058029058979525,0.6633105611926038
M,A9,td5,711,31,1.3020218944796054,2.7589528586167935,4.060974753096398,0.9959349593495935,0.4237693480573103,0.4237693480573103,711,0.0096514089326598,1.8625641073295407,1.8722155162622003
M,E9,td1,711,31,0.03593603470082425,0.518278275323327,0.5542143100241512,0.9588906372934699,0.19706908325101982,0.17345452576549458,711,0.005290824446200812,0.1244389759892388,0.12972980043543958
M,E9,td3,711,31,0.22831213280335302,1.1880835973404507,1.4163957301438037,0.9588906372934699,0.359686078923443,0.35948938340810066,711,-0.06401955643824943,0.3733373714438976,0.3093178150056482
M,E9,td5,711,31,1.721542444651463,2.044963950895235,3.7665063955466977,0.9588906372934699,0.4308174760810481,0.4308174760810481,711,0.524384439552785,0.8839658520547403,1.408350291607525
MA,A9,td1,709,30,-0.007461149503053511,0.7071130977571002,0.6996519482540466,0.9924084076626449,0.13335769453459512,0.13250299367989427,709,0.007162901171667547,0.16787659351469028,0.17503949468635785
MA,A9,td3,709,30,0.5593884108233064,1.4503427564240972,2.0097311672474034,0.9924084076626449,0.4070942342830186,0.4070942342830186,709,0.19136735413735945,0.48476363401162886,0.6761309881489885
MA,A9,td5,709,30,0.3372454683279569,3.107385079949766,3.444630548277723,0.9924084076626449,0.4418215737860311,0.4418215737860311,709,-0.07895552313841452,1.4668177707434553,1.3878622476050408
MA,E9,td1,709,30,-0.03436259634386098,0.7596783389535674,0.7253157426097064,0.9941827094369468,0.12743793013938748,0.12487382757528492,709,-0.011016519064330297,0.2076032040328121,0.19658668496848178
MA,E9,td3,709,30,0.7866239992025857,0.5438660645543404,1.3304900637569268,0.9941827094369468,0.46432918086860897,0.46432918086860897,709,0.278737727569,0.3874168511158827,0.6661545786848829
MA,E9,td5,709,30,0.5962033534567852,2.004742886934428,2.6009462403912127,0.9941827094369468,0.502358396908792,0.502358396908792,709,-0.5504170517964482,2.098353118639491,1.5479360668430422
NI,A9,td1,973,35,0.15456075317512916,-0.45936859069992236,-0.3048078375247931,0.9914091845389555,0.331496505449273,0.30126524681824907,973,-0.005888442006233456,-0.2838408571470323,-0.28972929915326573
NI,A9,td3,973,35,-0.047198596886302936,-0.6900271919899026,-0.7372257888762054,0.9914091845389555,0.6596452833701524,0.6310738547987237,973,-0.1699612090023047,-0.9000725976009859,-1.0700338066032906
NI,A9,td5,973,35,0.23497788408067072,-1.5665445602862962,-1.3315666762056253,0.9914091845389555,0.7490387377486328,0.7490387377486328,973,0.678922734424473,-1.669321305409957,-0.990398570985484
NI,E9,td1,973,35,0.13192609666686111,-0.3309626055329373,-0.1990365088660762,0.9945837877135588,0.2846138490567271,0.2545636934012445,973,-0.027879484842777694,-0.16399586096026714,-0.19187534580304483
NI,E9,td3,973,35,-0.12285532872201554,-0.4380172955685218,-0.5608726242905374,0.9945837877135588,0.6105333581525765,0.5819619295811479,973,-0.16358182051204473,-0.7596262933469985,-0.9232081138590433
NI,E9,td5,973,35,-0.14017004778529069,-0.582359421087931,-0.7225294688732217,0.9945837877135588,0.6863929779445909,0.6863929779445909,973,0.6313275682367911,-1.179838525532036,-0.5485109572952448
P,A9,td1,813,27,0.2093665972951165,-0.18450080808147107,0.024865789213645424,0.9953703703703703,0.32055172116230635,0.3152799107261767,813,0.10650832616345668,0.07523245135307038,0.1817407775165271
P,A9,td3,813,27,0.03146561786356253,-0.547239590269298,-0.5157739724057355,0.9953703703703703,0.6902357018498616,0.6888112004253603,813,0.536933665562854,-0.46232291767728817,0.07461074788556579
P,A9,td5,813,27,-1.1834775319346242,0.7562022666092314,-0.4272752653253931,0.9953703703703703,0.7587251701169879,0.7582035217080156,813,-0.26115105932111965,0.20789934673862295,-0.05325171258249684
P,E9,td1,813,27,0.2549697731180092,0.06030079630701834,0.3152705694250276,0.9776198342317278,0.27477273779919653,0.26930496420414074,813,0.09419587020616747,0.21093305324035155,0.30512892344651904
P,E9,td3,813,27,0.5650745821051278,-0.0503963148879527,0.5146782672171752,0.9776198342317278,0.5850709004219015,0.5836463989974001,813,0.6346610182806143,-0.5008061155191964,0.13385490276141782
P,E9,td5,813,27,0.37687297288750304,-0.5270404342665075,-0.15016746137900472,0.9776198342317278,0.666051413815167,0.6655297654061947,813,-0.07327370203565409,0.017857130345839484,-0.0554165716898143
RB,A9,td1,903,27,0.10731688580802305,-0.6243507224168389,-0.5170338366088157,0.9877604031290427,0.3732376603643068,0.3672280475011114,903,0.03097787169955977,-0.16992635882269028,-0.1389484871231305
RB,A9,td3,903,27,-0.46853394933686077,-0.4845544399661089,-0.9530883893029696,0.9877604031290427,0.6349514697761678,0.6349514697761678,903,-0.747002673350107,0.25011674044610244,-0.49688593290400446
RB,A9,td5,903,27,-0.015229979499592984,-0.5796852136238276,-0.59491519312342,0.9877604031290427,0.6901770812883291,0.6901770812883291,903,-1.062868175760504,0.5427420047982818,-0.5201261709622222
RB,E9,td1,903,27,-0.1701946815027664,-0.15319031512648962,-0.323384996629256,0.9300675248754169,0.3509084455089948,0.32978038578444385,903,0.0711304515062952,-0.2479925564748532,-0.176862104968558
RB,E9,td3,903,27,-0.9266355690691485,0.48527513416185386,-0.44136043490729443,0.9300675248754169,0.5990099824264351,0.5990099824264351,903,-0.7654746771756786,0.269999376327554,-0.4954753008481247
RB,E9,td5,903,27,-1.2523152247650873,1.207462870603398,-0.04485235416168944,0.9300675248754169,0.6537956189615843,0.6537956189615843,903,-1.3374851444764564,0.9914095533572441,-0.3460755911192123
RU,A9,td1,834,47,-0.046703277003747955,0.3871890049251804,0.34048572792143245,0.9840425531914894,0.15593802748483893,0.1476389108990482,834,-0.09001102183452131,0.18588473485817655,0.09587371302365523
RU,A9,td3,834,47,0.09226265191352051,0.15438439007488625,0.24664704198840662,0.9840425531914894,0.5049851030873206,0.5049851030873206,834,-0.029842079800548812,0.7275367991134669,0.6976947193129179
RU,A9,td5,834,47,-0.6300557707629456,0.8821668273803448,0.2521110566173992,0.9840425531914894,0.6906414615992886,0.6906414615992886,834,-0.25748672973214337,1.3172742288644346,1.0597874991322913
RU,E9,td1,834,47,-0.013324082374434948,0.20391210107656207,0.1905880187021271,0.9828605200945626,0.16989141437999378,0.1615922977942031,834,-0.04973363687337223,0.0818577683712632,0.03212413149789095
RU,E9,td3,834,47,0.05609045151835777,0.32745926203619224,0.3835497135545499,0.9828605200945626,0.48406152094221633,0.48406152094221633,834,0.07416562097320668,0.42029691693832,0.4944625379115268
RU,E9,td5,834,47,-0.24995826977858907,0.24126205017707808,-0.008696219601510903,0.9828605200945626,0.7075796341769699,0.7075796341769699,834,0.06112431582802911,0.5552424390565267,0.616366754884556
SC,A9,td1,1082,76,-0.03624402498475807,-0.09841377353654733,-0.1346577985213054,0.9443779904306219,0.35151944092799053,0.3484340065570498,1082,0.01978990312009126,-0.04262007222400264,-0.022830169103911443
SC,A9,td3,1082,76,0.20961597919957714,-0.16889663527586782,0.04071934392370924,0.9443779904306219,0.65067129797941,0.65067129797941,1082,0.4890177966626452,0.09567916234030575,0.5846969590029509
SC,A9,td5,1082,76,0.09354130999418574,0.7677289860488221,0.861270296043008,0.9443779904306219,0.7087598391704443,0.7087598391704443,1082,0.2507861955605904,0.8133042348714499,1.0640904304320404
SC,E9,td1,1082,76,-0.07539965886056571,-0.1601958128926429,-0.23559547175320852,0.9482057416267943,0.35086201112367327,0.3467239451737852,1082,-0.006528961236478265,-0.014473814972586783,-0.021002776209065033
SC,E9,td3,1082,76,0.27583865205039804,0.26505322238315937,0.5408918744335575,0.9482057416267943,0.6433249111269185,0.6433249111269185,1082,0.6602449608750373,-0.13127656302451482,0.5289683978505225
SC,E9,td5,1082,76,-0.42524117037548165,2.0407678907859634,1.6155267204104824,0.9482057416267943,0.6920394739870985,0.6920394739870985,1082,0.2563698057110272,1.0326849697329996,1.2890547754440276
SN,A9,td1,1045,44,0.28333771728227153,-0.7364784258054814,-0.4531407085232098,0.9967532467532468,0.3440025737433983,0.32046625247722593,1045,0.12923068671494825,-0.5298002096238021,-0.400569522908854
SN,A9,td3,1045,44,0.8331037354511769,-1.1505135627733658,-0.3174098273221885,0.9967532467532468,0.6397992716335996,0.6397992716335996,1045,-0.011353506669989851,-0.7098151463247643,-0.7211686529947543
SN,A9,td5,1045,44,1.9402960907400073,-3.0697171335369533,-1.1294210427969456,0.9967532467532468,0.7207825966166184,0.7207825966166184,1045,0.21804884382663733,-1.0958514453575283,-0.8778026015308913
SN,E9,td1,1045,44,0.2717852485508916,-0.5913180195136187,-0.3195327709627271,0.9967532467532468,0.3336762550601294,0.3098032334572567,1045,0.14478981834699947,-0.49449768174725395,-0.3497078634002545
SN,E9,td3,1045,44,0.927236554905004,-1.227039748410899,-0.2998031935058947,0.9967532467532468,0.639908792288992,0.639908792288992,1045,0.023909675843906963,-0.7505789489837948,-0.7266692731398879
SN,E9,td5,1045,44,2.028481217337993,-3.1582086810231256,-1.129727463685132,0.9967532467532468,0.7215023866322802,0.7215023866322802,1045,0.16256604218431742,-1.076927711798294,-0.9143616696139768
TA,A9,td1,796,31,-0.049592521968590826,-0.05499207117751985,-0.10458459314611071,0.9921658986175115,0.1872527141801357,0.18151493519757494,796,-5.026155463545489e-05,0.08780036768448192,0.08775010612984652
TA,A9,td3,796,31,0.4729161178822323,-1.0895061806557977,-0.6165900627735652,0.9921658986175115,0.541167874955532,0.541167874955532,796,0.17936602820894026,-0.7418194865502534,-0.5624534583413133
TA,A9,td5,796,31,-0.09262788702633085,-0.8132184042151215,-0.9058462912414526,0.9921658986175115,0.6717813365695231,0.6717813365695231,796,-0.21709339632246696,-0.9870072939826168,-1.2041006903050837
TA,E9,td1,796,31,-0.06372042362857112,0.08177003855151214,0.01804961492294095,0.9996674426338543,0.1756601161043868,0.1677687875299463,796,-0.02853602808565957,0.22094399358669378,0.1924079655010342
TA,E9,td3,796,31,0.4151084045051838,-0.7513465367767431,-0.33623813227155946,0.9996674426338543,0.5592873668085105,0.5589548094423648,796,0.18761427641001482,-0.6431771226580585,-0.4555628462480437
TA,E9,td5,796,31,-0.062293361272009504,-0.7780835005097868,-0.840376861781796,0.9996674426338543,0.6857504766614382,0.6857504766614382,796,-0.44968655552334647,-0.6033892772666027,-1.0530758327899492
