architecture,population,symbol,decision_time,decision_bar,side,fold,actual_return,actual_abs_return,p_win,mu_win,mu_loss,predicted_rr,p_break_even,ev_margin,ev_c,probability_error_component,magnitude_error_component,total_ev_error,error_class
A0_V1_DISJOINT,ALL_TD5_OOF,RU,2025-08-04 23:00:00,3233,SHORT,1,-17.572910866309012,17.572910866309012,0.6424905744769164,2.343618921226061,2.7994656547600614,0.8371665204183152,0.5443164726147437,0.09817410186217268,0.5049177090486301,3.3043833638086917,14.773445211548951,18.077828575357643,SELECTED_LOSER
A0_V1_DISJOINT,ALL_TD5_OOF,RU,2025-08-04 22:45:00,3232,SHORT,1,-17.564188341764364,17.564188341764364,0.5194436769592014,2.4209481023328214,2.5796648637422557,0.9384738833170803,0.5158697306196454,0.003573946339555989,0.017871922405640506,2.597536786147896,14.984523478022108,17.582060264170003,SELECTED_LOSER
A0_V1_DISJOINT,ALL_TD5_OOF,RU,2025-08-04 21:30:00,3227,SHORT,1,-17.547491847481993,17.547491847481993,0.5340108791751329,2.36783133708891,2.569139594441651,0.9216437060141565,0.5203878309336462,0.013623048241486746,0.06725659316705879,2.6363961876087094,14.978352253040342,17.614748440649052,SELECTED_LOSER
A0_V1_DISJOINT,ALL_TD5_OOF,RU,2025-08-05 09:15:00,3234,SHORT,1,-17.52303458995106,17.52303458995106,0.5210871583535077,2.4209481023328214,2.5796648637422557,0.9384738833170803,0.5158697306196454,0.0052174277338623565,0.02609033677551209,2.6057552005177675,14.943369726208804,17.54912492672657,SELECTED_LOSER
A0_V1_DISJOINT,ALL_TD5_OOF,RU,2025-08-05 09:30:00,3235,SHORT,1,-17.390066171033983,17.390066171033983,0.5194436769592014,2.44444681740325,2.551899419564159,0.957893088835272,0.5107531180851599,0.008690558874041465,0.043421041127461146,2.59532046069162,14.838166751469824,17.433487212161445,SELECTED_LOSER
A0_V1_DISJOINT,ALL_TD5_OOF,RU,2025-08-05 11:30:00,3242,SHORT,1,-17.374333077175404,17.374333077175404,0.4613591745009233,2.7372229475029974,2.322385467029972,1.1786255926771485,0.45900498156325037,0.0023541929376729165,0.011911294396884209,2.334296761426856,15.051947610145431,17.38624437157229,SELECTED_LOSER
A0_V1_DISJOINT,ALL_TD5_OOF,RU,2025-08-05 11:15:00,3241,SHORT,1,-17.3588927977863,17.3588927977863,0.4613591745009233,2.7372229475029974,2.322385467029972,1.1786255926771485,0.45900498156325037,0.0023541929376729165,0.011911294396884209,2.334296761426856,15.036507330756328,17.370804092183185,SELECTED_LOSER
A0_V1_DISJOINT,ALL_TD5_OOF,RU,2025-08-04 22:30:00,3231,SHORT,1,-17.172013385211738,17.172013385211738,0.49626395805597884,2.4720085260585076,2.3922576975023735,1.0333370558863277,0.49180237831454954,0.0044615797414293,0.021702311639958394,2.4139600091423317,14.779755687709365,17.193715696851697,SELECTED_LOSER
A0_V1_DISJOINT,ALL_TD5_OOF,RU,2025-08-04 22:00:00,3229,SHORT,1,-17.166630486221095,17.166630486221095,0.49626395805597884,2.4720085260585076,2.3922576975023735,1.0333370558863277,0.49180237831454954,0.0044615797414293,0.021702311639958394,2.4139600091423317,14.774372788718722,17.188332797861055,SELECTED_LOSER
A0_V1_DISJOINT,ALL_TD5_OOF,RU,2025-08-05 13:45:00,3243,SHORT,1,-17.04702740223623,17.04702740223623,0.40825094251290867,2.9429109935659983,1.9638847217123576,1.498515142477408,0.4002377183947934,0.00801322411811528,0.039319253768332896,2.003203975480691,15.08314268052387,17.08634665600456,SELECTED_LOSER
A0_V1_DISJOINT,ALL_TD5_OOF,M,2025-12-03 11:15:00,5073,SHORT,4,29.696490539085495,29.696490539085495,0.5430489430369684,1.4300102744419056,1.8620730135399786,0.7679668112064626,0.5656214775421031,-0.022572534505134745,-0.07431066361174876,-1.5043209380536544,-28.26648026464359,-29.770801202697243,SKIPPED_WINNER
A0_V1_DISJOINT,ALL_TD5_OOF,M,2025-12-03 09:30:00,5067,SHORT,4,29.505042285095918,29.505042285095918,0.6122412276374671,1.4910751292352697,2.4452638306485563,0.6097808794888986,0.6212025579018541,-0.008961330264386946,-0.03527483345209215,-1.5263499626873618,-28.013967155860648,-29.54031711854801,SKIPPED_WINNER
A0_V1_DISJOINT,ALL_TD5_OOF,SC,2025-06-13 00:45:00,3789,LONG,0,29.01243126566957,29.01243126566957,0.41781077618332807,3.734626003045308,3.684220268475445,1.013681520348055,0.49660285894025336,-0.07879208275692529,-0.5845463493865697,-4.3191723524318775,-25.277805262624263,-29.59697761505614,SKIPPED_WINNER
A0_V1_DISJOINT,ALL_TD5_OOF,SC,2025-06-13 00:30:00,3788,LONG,0,28.954054325527704,28.954054325527704,0.4370124877512492,3.8638090108766368,3.684220268475445,1.0487453868971595,0.48810360057210805,-0.051091112820858875,-0.3856372154865231,-4.24944622636316,-25.090245314651067,-29.339691541014226,SKIPPED_WINNER
A0_V1_DISJOINT,ALL_TD5_OOF,SC,2025-06-13 01:15:00,3791,LONG,0,28.89513669224153,28.89513669224153,0.4379415122070525,3.8780266971383073,3.853918241430611,1.0062555700970832,0.49844098374346685,-0.06049947153641433,-0.4677785827320735,-4.345805279870381,-25.017109995103223,-29.362915274973602,SKIPPED_WINNER
A0_V1_DISJOINT,ALL_TD5_OOF,SC,2025-06-13 01:45:00,3793,LONG,0,28.807310867477735,28.807310867477735,0.46158054352075856,3.8283606540058908,3.853918241430611,0.9933684147343944,0.5016634118451428,-0.04008286832438429,-0.3079277733969781,-4.136288427402869,-24.978950213471844,-29.115238640874715,SKIPPED_WINNER
A0_V1_DISJOINT,ALL_TD5_OOF,SC,2025-06-13 00:15:00,3787,LONG,0,28.645329802619877,28.645329802619877,0.5079888485418885,3.6505564656414493,4.100595606687981,0.8902502991729963,0.5290304677838221,-0.021041619241933596,-0.16309679059228044,-3.81365325623373,-24.994773336978426,-28.808426593212157,SKIPPED_WINNER
A0_V1_DISJOINT,ALL_TD5_OOF,SC,2025-06-13 01:30:00,3792,LONG,0,28.590932812979524,28.590932812979524,0.5248371619100494,3.1357876753647402,4.100595606687981,0.7647151721692185,0.5666636836191433,-0.041826521709093956,-0.3026727424421025,-3.4384604178068425,-25.455145137614785,-28.893605555421626,SKIPPED_WINNER
A0_V1_DISJOINT,ALL_TD5_OOF,SC,2025-06-13 01:00:00,3790,LONG,0,28.585424334561587,28.585424334561587,0.5115655231935698,3.497844250752589,4.053266775254934,0.8629691665268169,0.5367775366160926,-0.025212013422522772,-0.19037871254266125,-3.6882229632952503,-25.087580083808998,-28.775803047104247,SKIPPED_WINNER
A0_V1_DISJOINT,ALL_TD5_OOF,SC,2025-06-13 00:00:00,3786,LONG,0,28.127688022272146,28.127688022272146,0.6766579675565741,3.0425962253686674,6.378729073567583,0.4769909789673764,0.6770522056262931,-0.00039423806971894404,-0.003714245100046476,-3.0463104704687134,-25.085091796903477,-28.13140226737219,SKIPPED_WINNER
A0_V1_DISJOINT,ALL_TD5_OOF,RU,2025-08-04 14:30:00,3223,LONG,1,19.260650702306705,19.260650702306705,0.38027544482516284,0.9010203100173575,0.789617190933504,1.1410849717597336,0.46705292559132366,-0.08677748076616082,-0.1467092632213135,-1.0477295732386709,-18.359630392289347,-19.40735996552802,SKIPPED_WINNER
