symbol,oracle_trade_id,n_candidates,return_atr_m0,return_atr_m1
CF,CF_LONG_8720,46,3.6148039233630773,6.322937368673755
CF,CF_LONG_8894,18,-15.609483655687159,-15.609483655687159
CF,CF_LONG_8984,3,0.8123991305698168,-0.08989468239723525
CF,CF_LONG_8990,13,2.8560740052073936,2.8560740052073936
CF,CF_LONG_9081,18,-1.8296935687006426,-1.311439243232615
CF,CF_LONG_9112,14,3.2410386689809814,3.2410386689809814
CF,CF_LONG_9138,3,3.882038720735502,3.882038720735502
CF,CF_LONG_9167,13,-0.7434405906960422,-0.7434405906960422
CF,CF_SHORT_7321,1,-3.9673584229014414,-3.9673584229014414
CF,CF_SHORT_7335,22,1.212114720065602,0.2467823424526567
CF,CF_SHORT_7424,29,-3.2209855673249255,-3.2209855673249255
CF,CF_SHORT_7496,4,-1.0538892902430204,-0.9477782281286957
CF,CF_SHORT_7517,3,0.25651187764700545,0.25651187764700545
CF,CF_SHORT_7533,1,2.170979573454871,-2.170979573454871
CF,CF_SHORT_7543,9,2.801485353943578,1.6864582132126393
CF,CF_SHORT_7718,2,-0.7805353132055464,-0.7805353132055464
CF,CF_SHORT_7764,35,6.682922590442082,6.825361045591336
CF,CF_SHORT_7994,4,-2.314557845956879,-2.185650348019712
CF,CF_SHORT_8035,52,1.1421771781318502,0.006892222878786042
CF,CF_SHORT_8296,112,-2.556360991906572,-4.013322408186022
CF,CF_SHORT_8477,104,-3.2051760470886554,-2.7536770514283875
CF,CF_SHORT_8943,1,0.0,0.0
CF,CF_SHORT_8978,2,-1.700318014892232,-0.06937574700150784
CF,CF_SHORT_8988,1,-0.8132819387470593,-0.8132819387470593
CF,CF_SHORT_9046,6,-0.9937978245798526,-0.9937978245798526
CF,CF_SHORT_9056,21,-5.546571524633392,-3.649317676993609
CF,CF_SHORT_9130,1,-1.9464650101220615,-1.9464650101220615
CF,CF_SHORT_9144,1,-2.59299985982862,-2.59299985982862
CF,CF_SHORT_9191,21,-3.7064310556033653,-3.0548645114566226
CF,CF_SHORT_9234,33,0.9980534256554211,1.8895210089753893
CU,CU_LONG_10093,14,-1.3407352499784362,-1.3407352499784362
CU,CU_LONG_10134,23,0.7649603301582774,0.7649603301582774
CU,CU_LONG_10362,69,5.373460413361284,5.726936090225297
