gid,teacher_direction,tr_A,tr_M9,tr_E9,tr_M33,tr_E33,delta_E9_minus_A,delta_E9_minus_M9,delta_E33_minus_E9,delta_E33_minus_M33,delta_M9_minus_A,delta_M33_minus_M9,delta_E33_minus_A
AG::AG_LONG_13895,LONG,-2.318752256838053,-2.4955330080640783,-2.4955330080640783,-2.318752256838053,-1.645448237601957,-0.17678075122602532,0.0,0.8500847704621213,0.673304019236096,-0.17678075122602532,0.17678075122602532,0.673304019236096
AG::AG_LONG_13931,LONG,-1.964344234352862,-1.964344234352862,-2.381289269705842,-1.964344234352862,-0.7882753579894757,-0.4169450353529798,-0.4169450353529798,1.5930139117163662,1.1760688763633864,0.0,0.0,1.1760688763633864
AG::AG_LONG_13958,LONG,1.0274565414050805,1.0274565414050805,1.0274565414050805,1.0274565414050805,1.0274565414050805,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AG::AG_LONG_13965,LONG,9.803218378490426,9.803218378490426,9.803218378490426,9.803218378490426,9.803218378490426,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AG::AG_LONG_14054,LONG,10.791625518891006,10.791625518891006,10.791625518891006,10.791625518891006,10.791625518891006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AG::AG_LONG_14101,LONG,-1.6925793553080402,-1.6925793553080402,0.7004533829102259,0.7004533829102259,0.7004533829102259,2.393032738218266,2.393032738218266,0.0,0.0,0.0,2.393032738218266,2.393032738218266
AG::AG_LONG_14257,LONG,2.7121048330196182,1.9905069657659922,2.3115276300746648,2.7121048330196182,1.5798172687527139,-0.40057720294495347,0.3210206643086726,-0.7317103613219509,-1.1322875642669044,-0.7215978672536261,0.7215978672536261,-1.1322875642669044
AG::AG_LONG_14300,LONG,2.029216451871234,0.0032333282493457174,2.029216451871234,2.029216451871234,2.029216451871234,0.0,2.0259831236218884,0.0,0.0,-2.0259831236218884,2.0259831236218884,0.0
AG::AG_LONG_14370,LONG,3.637439319709547,3.637439319709547,3.637439319709547,3.637439319709547,3.637439319709547,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AG::AG_LONG_14410,LONG,5.404781592333201,5.404781592333201,5.404781592333201,5.404781592333201,5.404781592333201,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AG::AG_LONG_14439,LONG,3.2688995861388994,3.2688995861388994,1.7684767071373404,3.2688995861388994,3.2688995861388994,-1.500422879001559,-1.500422879001559,1.500422879001559,0.0,0.0,0.0,0.0
AG::AG_LONG_14523,LONG,-4.635622609613091,-5.762770218044234,-3.2359574679401586,-4.635622609613091,-5.762770218044234,1.3996651416729327,2.5268127501040754,-2.5268127501040754,-1.1271476084311427,-1.1271476084311427,1.1271476084311427,-1.1271476084311427
AG::AG_LONG_14567,LONG,0.16444582202483435,-0.5319873563844089,1.5242380917065392,-0.2038274413835163,4.2316590608658595,1.3597922696817049,2.056225448090948,2.7074209691593203,4.4354865022493755,-0.6964331784092432,0.3281599150008926,4.067213238841025
AG::AG_SHORT_11719,SHORT,-1.9421094642027033,-1.9421094642027033,-1.8801588928306998,-1.9421094642027033,-1.9421094642027033,0.06195057137200344,0.06195057137200344,-0.06195057137200344,0.0,0.0,0.0,0.0
AG::AG_SHORT_11866,SHORT,0.3012689754850602,0.3012689754850602,1.5440326839277878,1.5440326839277878,0.3012689754850602,1.2427637084427277,1.2427637084427277,-1.2427637084427277,-1.2427637084427277,0.0,1.2427637084427277,0.0
AG::AG_SHORT_11874,SHORT,-6.609432474232304,-6.609432474232304,6.609432474232304,6.609432474232304,-6.609432474232304,13.218864948464608,13.218864948464608,-13.218864948464608,-13.218864948464608,0.0,13.218864948464608,0.0
AG::AG_SHORT_11900,SHORT,11.210604378475484,11.210604378475484,11.210604378475484,11.210604378475484,11.210604378475484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AG::AG_SHORT_11957,SHORT,-2.8773168234407174,-2.8773168234407174,-2.8773168234407174,-4.298173108683986,-2.8773168234407174,0.0,0.0,0.0,1.4208562852432682,0.0,-1.4208562852432682,0.0
AG::AG_SHORT_12155,SHORT,1.9355329008927613,6.317015770338947,6.50002190060062,2.3633386339754687,-0.8302987043644996,4.564488999707859,0.18300613026167323,-7.33032060496512,-3.1936373383399683,4.381482869446185,-3.953677136363478,-2.7658316052572607
AG::AG_SHORT_12549,SHORT,5.454421441467455,5.454421441467455,5.454421441467455,5.454421441467455,-5.454421441467455,0.0,0.0,-10.90884288293491,-10.90884288293491,0.0,0.0,-10.90884288293491
AG::AG_SHORT_12554,SHORT,3.0517767951385357,3.0517767951385357,3.0517767951385357,3.0517767951385357,3.0517767951385357,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AG::AG_SHORT_12649,SHORT,-0.9288979047384809,-0.9288979047384809,-0.9288979047384809,-0.9288979047384809,-0.9288979047384809,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AG::AG_SHORT_12730,SHORT,-1.4157153179958504,-1.4157153179958504,-1.4157153179958504,-1.4157153179958504,-1.4157153179958504,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AG::AG_SHORT_12786,SHORT,2.0606437290882518,3.6086632297953267,3.6086632297953267,3.6086632297953267,0.7392236495176276,1.548019500707075,0.0,-2.869439580277699,-2.869439580277699,1.548019500707075,0.0,-1.3214200795706241
AG::AG_SHORT_12820,SHORT,0.2795566421676971,0.2795566421676971,0.2795566421676971,0.2795566421676971,0.2795566421676971,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AG::AG_SHORT_12827,SHORT,8.486855820163074,8.486855820163074,8.486855820163074,8.486855820163074,8.486855820163074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AG::AG_SHORT_12890,SHORT,1.883587964839652,1.883587964839652,1.883587964839652,1.883587964839652,1.883587964839652,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AG::AG_SHORT_12915,SHORT,-3.1983294747871875,3.1983294747871875,3.1983294747871875,3.1983294747871875,3.1983294747871875,6.396658949574375,0.0,0.0,0.0,6.396658949574375,0.0,6.396658949574375
AG::AG_SHORT_12978,SHORT,-1.9431828803907636,-1.9431828803907636,-1.9431828803907636,-0.3042553055446878,-1.4436314462280726,0.0,0.0,0.499551434162691,-1.1393761406833849,0.0,1.6389275748460759,0.499551434162691
AG::AG_SHORT_13048,SHORT,-3.2985804628618776,-3.2985804628618776,-3.2985804628618776,-3.2985804628618776,-3.5912567004720555,0.0,0.0,-0.2926762376101779,-0.2926762376101779,0.0,0.0,-0.2926762376101779
AG::AG_SHORT_13101,SHORT,-1.4445852489124196,-1.4445852489124196,-1.4445852489124196,-1.4445852489124196,-1.4445852489124196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AG::AG_SHORT_13174,SHORT,-3.832226081189566,-3.16813707429255,-0.09648943979290636,-1.2211697185884878,-2.97971155666645,3.7357366413966595,3.0716476344996435,-2.8832221168735437,-1.758541838077962,0.664089006897016,1.9469673557040623,0.8525145245231163
AG::AG_SHORT_13304,SHORT,-1.3566646750256517,-1.3566646750256517,-0.9007833170756434,-1.3566646750256517,-1.3566646750256517,0.4558813579500083,0.4558813579500083,-0.4558813579500083,0.0,0.0,0.0,0.0
AG::AG_SHORT_13330,SHORT,4.605167607543576,4.605167607543576,-2.892613050828332,3.5354877469664157,3.024925529264849,-7.497780658371909,-7.497780658371909,5.917538580093181,-0.5105622177015667,0.0,-1.0696798605771605,-1.5802420782787272
AG::AG_SHORT_13374,SHORT,2.383221773625711,2.383221773625711,-2.383221773625711,2.383221773625711,2.383221773625711,-4.766443547251422,-4.766443547251422,4.766443547251422,0.0,0.0,0.0,0.0
AG::AG_SHORT_13433,SHORT,-2.381670100494512,-2.381670100494512,-2.381670100494512,-2.381670100494512,-1.732482779176207,0.0,0.0,0.649187321318305,0.649187321318305,0.0,0.0,0.649187321318305
AG::AG_SHORT_13449,SHORT,7.41249085784556,7.41249085784556,1.4910084177856655,7.41249085784556,7.41249085784556,-5.921482440059894,-5.921482440059894,5.921482440059894,0.0,0.0,0.0,0.0
AG::AG_SHORT_13661,SHORT,1.8115419697491226,1.8115419697491226,1.8115419697491226,1.8115419697491226,0.8381615253903472,0.0,0.0,-0.9733804443587755,-0.9733804443587755,0.0,0.0,-0.9733804443587755
AG::AG_SHORT_13733,SHORT,-0.3343506212265648,-0.3343506212265648,1.1254119490877985,4.158871366800642,2.5620254071562045,1.4597625703143633,1.4597625703143633,1.436613458068406,-1.5968459596444373,0.0,4.493221988027207,2.896376028382769
AG::AG_SHORT_13839,SHORT,-3.8229460665924826,-3.8229460665924826,-3.8229460665924826,-3.8229460665924826,-3.8229460665924826,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AG::AG_SHORT_13874,SHORT,-3.1196618300876136,-3.1196618300876136,-3.1196618300876136,-3.1196618300876136,-1.3080208065225873,0.0,0.0,1.8116410235650262,1.8116410235650262,0.0,0.0,1.8116410235650262
AG::AG_SHORT_13922,SHORT,-4.45755026125566,-4.45755026125566,-4.45755026125566,-4.45755026125566,-4.45755026125566,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AG::AG_SHORT_14214,SHORT,0.05193779859582076,0.05193779859582076,0.6875948663865118,0.05193779859582076,0.05193779859582076,0.635657067790691,0.635657067790691,-0.635657067790691,0.0,0.0,0.0,0.0
AG::AG_SHORT_14226,SHORT,3.476448642881973,3.476448642881973,0.5743462098107155,3.476448642881973,2.618675453091861,-2.9021024330712573,-2.9021024330712573,2.0443292432811457,-0.857773189790112,0.0,0.0,-0.857773189790112
AG::AG_SHORT_14287,SHORT,-1.7531280104825404,-1.7531280104825404,-1.7531280104825404,-1.7531280104825404,-1.3041391398825632,0.0,0.0,0.44898887059997716,0.44898887059997716,0.0,0.0,0.44898887059997716
AG::AG_SHORT_14322,SHORT,-3.2381679784068362,-3.2381679784068362,-2.14405774008144,-3.2381679784068362,-2.14405774008144,1.0941102383253964,1.0941102383253964,0.0,1.0941102383253964,0.0,0.0,1.0941102383253964
AG::AG_SHORT_14334,SHORT,5.427080897142366,5.427080897142366,5.523059142292962,5.427080897142366,6.932552436348008,0.09597824515059639,0.09597824515059639,1.4094932940550455,1.505471539205642,0.0,0.0,1.505471539205642
AG::AG_SHORT_14463,SHORT,-3.535553792361362,-3.535553792361362,3.535553792361362,3.535553792361362,3.535553792361362,7.071107584722724,7.071107584722724,0.0,0.0,0.0,7.071107584722724,7.071107584722724
AG::AG_SHORT_14485,SHORT,-2.25995931767563,-2.25995931767563,-2.25995931767563,-2.25995931767563,-0.9232532883368302,0.0,0.0,1.3367060293387998,1.3367060293387998,0.0,0.0,1.3367060293387998
AG::AG_SHORT_14518,SHORT,0.9857593579187888,1.9286404635103158,1.9286404635103158,0.9857593579187888,1.9286404635103158,0.942881105591527,0.0,0.0,0.942881105591527,0.942881105591527,-0.942881105591527,0.942881105591527
AG::AG_SHORT_14549,SHORT,-1.1276644989660987,-1.1276644989660987,-1.1276644989660987,-1.1276644989660987,-1.1276644989660987,0.0,0.0,0.0,0.0,0.0,0.0,0.0
