symbol,direction_system,evaluation_horizon,n_rows,n_gids,delta_ev_gross,baseline_gross_mean,tp_gross_mean,tp_eligible_rate,tp_signal_rate,tp_executable_rate,saved_giveback,lost_continuation,raw_n_rows,raw_delta_ev_gross,raw_baseline_gross_mean,raw_tp_gross_mean
M,E9,td3,711,31,-0.7990181390729115,1.1880835973404507,0.3890654582675394,0.7811539262140202,0.4230648338250281,0.4230648338250281,0.47969082348043157,1.2787089625533432,711,-0.04898318588749566,0.3733373714438976,0.324354185556402
M,E9,td5,711,31,-1.065101240838513,2.044963950895235,0.9798627100567219,0.7811539262140202,0.42410608211253914,0.42410608211253914,0.8783177690668788,1.9434190099053916,711,-0.1267328079318827,0.8839658520547403,0.7572330441228576
MA,A9,td1,709,30,-0.3864966282253168,0.7071130977571002,0.3206164695317836,0.7834322508573704,0.2572592947110558,0.2431472810678532,0.12498819509747741,0.5114848233227941,709,-0.08642051007438688,0.16787659351469028,0.08145608344030345
MA,A9,td3,709,30,-0.7629110839231396,1.4503427564240972,0.6874316725009577,0.7834322508573704,0.4078655684454453,0.4078655684454453,0.6085726959553712,1.3714837798785104,709,-0.28919368609369095,0.48476363401162886,0.195569947917938
MA,A9,td5,709,30,-1.8378941771270505,3.107385079949766,1.2694909028227155,0.7834322508573704,0.42293206512958903,0.42293206512958903,0.6952234689931511,2.5331176461202016,709,-1.0278514183428524,1.4668177707434553,0.4389663524006029
MA,E9,td1,709,30,-0.39408013383057494,0.7596783389535674,0.36559820512299235,0.7816579490830687,0.27426083201668094,0.2616231773478372,0.12089877496429412,0.5149789087948691,709,-0.08127149203868228,0.2076032040328121,0.12633171199412982
MA,E9,td3,709,30,-0.3734497932302451,0.5438660645543404,0.17041627132409548,0.7816579490830687,0.39331816993742863,0.39331816993742863,0.8845617434038742,1.2580115366341191,709,-0.12545612304980006,0.3874168511158827,0.2619607280660828
MA,E9,td5,709,30,-1.1266990812678956,2.004742886934428,0.8780438056665323,0.7816579490830687,0.40363533098988386,0.40363533098988386,1.0709984684310312,2.1976975496989266,709,-0.8960977012038982,2.098353118639491,1.2022554174355928
NI,A9,td1,973,35,0.21542331779399557,-0.45936859069992236,-0.24394527290592685,0.8816992016934624,0.23494989702088956,0.22937465165556786,0.3461148486073212,0.13069153081332566,973,0.08727506865620006,-0.2838408571470323,-0.1965657884908322
NI,A9,td3,973,35,0.7813245485729897,-0.6900271919899026,0.09129735658308717,0.8816992016934624,0.3981625092756967,0.3981625092756967,1.147022000494471,0.3656974519214811,973,0.6735766884623235,-0.9000725976009859,-0.2264959091386624
NI,A9,td5,973,35,1.2412591640915938,-1.5665445602862962,-0.3252853961947025,0.8816992016934624,0.42473645225001566,0.42473645225001566,1.7376393586483454,0.4963801945567521,973,1.0771913197045424,-1.669321305409957,-0.5921299857054146
NI,E9,td1,973,35,0.18785748111411443,-0.3309626055329373,-0.14310512441882292,0.8785245985188591,0.25686560453810087,0.25074353757332596,0.3495790188539705,0.1617215377398561,973,0.06393751218638669,-0.16399586096026714,-0.10005834877388045
NI,E9,td3,973,35,0.5617976789802601,-0.4380172955685218,0.12378038341173828,0.8785245985188591,0.39557678954403486,0.39557678954403486,1.0617307220003391,0.4999330430200793,973,0.6248003114140582,-0.7596262933469985,-0.13482598193294038
NI,E9,td5,973,35,0.6534014997590688,-0.582359421087931,0.07104207867113793,0.8785245985188591,0.41994778196014,0.41994778196014,1.4235708840775252,0.7701693843184564,973,0.8969902483572151,-1.179838525532036,-0.282848277174821
P,A9,td1,813,27,-0.09711479303783688,-0.18450080808147107,-0.281615601119308,0.8010188566919968,0.19759450183075727,0.1923637910314497,0.11356413748421995,0.2106789305220568,813,-0.0684262258517873,0.07523245135307038,0.006806225501283058
P,A9,td3,813,27,-0.31401863820549863,-0.547239590269298,-0.8612582284747967,0.8010188566919968,0.2988935611557194,0.2988935611557194,0.33930080318953276,0.6533194413950314,813,0.06366172551870723,-0.46232291767728817,-0.39866119215858103
P,A9,td5,813,27,0.16251158506289057,0.7562022666092314,0.9187138516721219,0.8010188566919968,0.44010688703814066,0.43898455258247293,0.8375459643843682,0.6750343793214776,813,0.16010773294177183,0.20789934673862295,0.3680070796803947
P,E9,td1,813,27,-0.13444877076641906,0.06030079630701834,-0.07414797445940072,0.8187693928306395,0.19430187596956885,0.18444153554063167,0.08496959649878441,0.21941836726520345,813,-0.1298664527690349,0.21093305324035155,0.08106660047131661
P,E9,td3,813,27,-0.2938891332129031,-0.0503963148879527,-0.3442854481008559,0.8187693928306395,0.3823986094879825,0.3823986094879825,0.42275716631686716,0.7166462995297702,813,0.12125411135661845,-0.5008061155191964,-0.379552004162578
P,E9,td5,813,27,0.7357997424768974,-0.5270404342665075,0.20875930821038977,0.8187693928306395,0.42169755637648615,0.4205752219208183,1.2669387477120873,0.5311390052351898,813,0.237783193321327,0.017857130345839484,0.25564032366716655
RB,A9,td1,903,27,0.0310637875575315,-0.6243507224168389,-0.5932869348593075,0.7324026791446314,0.16486158322035335,0.16418818254695267,0.1284516166167237,0.09738782905919222,903,0.12342917658598926,-0.16992635882269028,-0.04649718223670099
RB,A9,td3,903,27,-0.013364403722405225,-0.4845544399661089,-0.49791884368851413,0.7324026791446314,0.23043066898423423,0.23043066898423423,0.3355591667499415,0.34892357047234673,903,0.0641639340411163,0.25011674044610244,0.31428067448721875
