state_var,bin,horizon_min,n,mean,median,win_rate,instrument
prev_ret_30m,5,15,324,-0.0008175855910519977,-0.00043580437468715427,0.45987654320987653,AG
prev_ret_30m,1,30,323,-0.0012250637323726896,8.418642241370122e-05,0.5015479876160991,AG
prev_ret_30m,2,30,323,0.0006336911597831664,0.00043593120096963034,0.5386996904024768,AG
prev_ret_30m,3,30,323,0.00015216489447961734,0.0,0.4984520123839009,AG
prev_ret_30m,4,30,323,-0.00010050023138761059,-0.00024752475247524774,0.4551083591331269,AG
prev_ret_30m,5,30,324,-0.0016364859696957044,-0.0005267897215142092,0.4537037037037037,AG
prev_ret_15m,1,5,323,-8.216866411262517e-05,-9.76514818612495e-05,0.47368421052631576,AU
prev_ret_15m,2,5,323,-5.8443544852382554e-05,2.982114495564403e-05,0.5077399380804953,AU
prev_ret_15m,3,5,323,-1.249677868110287e-05,-2.5712422827339765e-05,0.47678018575851394,AU
prev_ret_15m,4,5,323,-3.14793660949671e-05,2.9098155886586596e-05,0.5108359133126935,AU
prev_ret_15m,5,5,324,-0.00021958206150121708,-5.851590711003496e-05,0.45987654320987653,AU
prev_ret_15m,1,15,323,-0.00022220321267258175,-0.00012719540195615942,0.4582043343653251,AU
prev_ret_15m,2,15,323,-4.046115634939703e-05,-2.5850332094012884e-05,0.49226006191950467,AU
prev_ret_15m,3,15,323,8.476499359151675e-06,2.5636458399258544e-05,0.5015479876160991,AU
prev_ret_15m,4,15,323,-5.089796246608537e-05,0.0,0.4953560371517028,AU
prev_ret_15m,5,15,324,-5.854412804807614e-05,-9.170408998193658e-05,0.48148148148148145,AU
prev_ret_15m,1,30,323,-0.0004098790757673681,-0.000282324704027892,0.43962848297213625,AU
prev_ret_15m,2,30,323,-0.0001202555744307422,-4.1895010974735136e-05,0.47058823529411764,AU
prev_ret_15m,3,30,323,-2.1581252533057896e-06,0.0,0.47987616099071206,AU
prev_ret_15m,4,30,323,-4.993183621541352e-05,-2.0910334948998077e-05,0.4984520123839009,AU
prev_ret_15m,5,30,324,-0.00021837039911677526,0.0,0.49382716049382713,AU
prev_ret_30m,1,5,323,-0.00019897699479358015,-8.971732677676147e-05,0.47058823529411764,AU
prev_ret_30m,2,5,323,7.495265034630243e-05,5.17942973690122e-05,0.5170278637770898,AU
prev_ret_30m,3,5,323,-5.6163525284873416e-05,0.0,0.48606811145510836,AU
prev_ret_30m,4,5,323,-1.8483411823084744e-05,0.0,0.4953560371517028,AU
prev_ret_30m,5,5,324,-0.00020554259951364578,-7.355873009312619e-05,0.45987654320987653,AU
prev_ret_30m,1,15,323,-0.00030306944127775684,0.0,0.4984520123839009,AU
prev_ret_30m,2,15,323,7.378188485324173e-05,3.0998623490985366e-05,0.5077399380804953,AU
prev_ret_30m,3,15,323,-5.0124394833332556e-05,-5.152604409464079e-05,0.47368421052631576,AU
prev_ret_30m,4,15,323,6.929037907210082e-06,-5.1568582435601584e-05,0.47678018575851394,AU
prev_ret_30m,5,15,324,-9.10464205338255e-05,-0.00013577248622176352,0.4722222222222222,AU
prev_ret_30m,1,30,323,-0.00039971119826388764,-5.2729230684778194e-05,0.49226006191950467,AU
prev_ret_30m,2,30,323,-0.00012726853391915565,-4.0325371654215125e-05,0.47058823529411764,AU
prev_ret_30m,3,30,323,-7.693566095067434e-05,-9.537349297994435e-05,0.4582043343653251,AU
prev_ret_30m,4,30,323,-8.303858358256895e-05,-0.0001717971146472097,0.46439628482972134,AU
prev_ret_30m,5,30,324,-0.00011396427284833515,0.0,0.49691358024691357,AU
prev_ret_15m,1,5,323,9.622580629781318e-05,0.00018477457501853145,0.5263157894736842,CU
prev_ret_15m,2,5,323,0.00017009342268012345,9.540164090826586e-05,0.5015479876160991,CU
prev_ret_15m,3,5,323,7.800061935445333e-05,0.0,0.4953560371517028,CU
prev_ret_15m,4,5,323,0.00013236389074392613,0.0,0.4953560371517028,CU
prev_ret_15m,5,5,324,7.596305329141745e-05,0.0,0.49074074074074076,CU
prev_ret_15m,1,15,323,2.583628936138291e-05,0.00012336540833945975,0.5170278637770898,CU
prev_ret_15m,2,15,323,0.0001708870492486975,0.00023266635644492162,0.5541795665634675,CU
prev_ret_15m,3,15,323,-8.257536342633179e-07,0.0,0.49226006191950467,CU
prev_ret_15m,4,15,323,2.90789883661176e-05,0.0,0.49226006191950467,CU
prev_ret_15m,5,15,324,-3.660896433297977e-05,-4.949514947533151e-05,0.45987654320987653,CU
prev_ret_15m,1,30,323,-7.591940101802234e-05,0.0,0.48297213622291024,CU
prev_ret_15m,2,30,323,8.864389019235779e-05,0.0,0.4891640866873065,CU
prev_ret_15m,3,30,323,-2.6785859500574014e-05,9.260974254488019e-05,0.5015479876160991,CU
prev_ret_15m,4,30,323,-4.317531776260815e-05,9.766578767456124e-05,0.5046439628482973,CU
prev_ret_15m,5,30,324,-6.091258591539789e-05,-0.000202978020657274,0.45987654320987653,CU
prev_ret_30m,1,5,323,0.0001221002552942585,0.00012515644555688432,0.5139318885448917,CU
prev_ret_30m,2,5,323,0.00016219906868807787,0.0,0.49226006191950467,CU
prev_ret_30m,3,5,323,8.687257976069814e-05,0.00011454753722794919,0.5108359133126935,CU
prev_ret_30m,4,5,323,5.2713106159667816e-05,0.0,0.48297213622291024,CU
prev_ret_30m,5,5,324,0.0001285988234243719,9.820263102633398e-05,0.5092592592592593,CU
prev_ret_30m,1,15,323,-5.848023385734086e-05,0.00011409013120355915,0.5139318885448917,CU
prev_ret_30m,2,15,323,6.28055015160703e-05,0.0,0.4984520123839009,CU
prev_ret_30m,3,15,323,0.0001687629566109674,0.00012756729174645542,0.5294117647058824,CU
prev_ret_30m,4,15,323,1.0643466760583295e-05,9.633911368012171e-05,0.5077399380804953,CU
prev_ret_30m,5,15,324,4.508618959194373e-06,0.0,0.4660493827160494,CU
prev_ret_30m,1,30,323,-1.4456427171521046e-05,0.0,0.48606811145510836,CU
prev_ret_30m,2,30,323,4.296973566401374e-05,0.0,0.48606811145510836,CU
prev_ret_30m,3,30,323,0.00017209584575746294,0.0,0.4953560371517028,CU
prev_ret_30m,4,30,323,-7.179735968899569e-05,0.0,0.4891640866873065,CU
prev_ret_30m,5,30,324,-0.0002463868448533224,0.0,0.48148148148148145,CU
prev_ret_15m,1,5,323,-5.8610254313031466e-05,0.0,0.48297213622291024,AL
prev_ret_15m,2,5,323,-6.342734675182795e-05,0.0,0.48297213622291024,AL
prev_ret_15m,3,5,323,-3.243915786992236e-05,0.0,0.4674922600619195,AL
prev_ret_15m,4,5,322,-7.759208301159384e-05,0.0,0.453416149068323,AL
