state_var,bin,horizon_min,n,mean,median,win_rate,gap_type
prev_ret_30m,5,5,297,-0.0002291173368939493,-0.0003903962149867102,0.44107744107744107,long_gap
prev_ret_30m,1,15,235,0.00046529377016513114,0.0001982160555005219,0.5063829787234042,long_gap
prev_ret_30m,2,15,274,-0.00014441265522397858,0.0002692284794741928,0.5109489051094891,long_gap
prev_ret_30m,3,15,297,0.00014626399405551918,0.0,0.494949494949495,long_gap
prev_ret_30m,4,15,273,0.0005693706582118904,0.0,0.48717948717948717,long_gap
prev_ret_30m,5,15,297,9.932708700661344e-05,-0.00017384984003621096,0.468013468013468,long_gap
prev_ret_30m,1,30,235,0.0008710414955103211,0.0,0.4978723404255319,long_gap
prev_ret_30m,2,30,274,0.0002225054725348946,0.00031251676921606464,0.5291970802919708,long_gap
prev_ret_30m,3,30,297,0.0002762169788351152,0.00024357569114608069,0.5016835016835017,long_gap
prev_ret_30m,4,30,273,0.000681487431048254,0.00034554250172780243,0.5201465201465202,long_gap
prev_ret_30m,5,30,297,0.0004708367166015872,0.0,0.494949494949495,long_gap
