action,h,scale,target_bin,risk_bin,WF1_n,WF1_E_R_lower,WF1_ambiguity_gap_R,WF2_n,WF2_E_R_lower,WF2_ambiguity_gap_R,WF3_n,WF3_E_R_lower,WF3_ambiguity_gap_R,sample_gate,positive_3_of_3,ambiguity_gate,robust_positive_geometry
OUTWARD,2,0.4,3-5,0.5-1,402,-0.16595591518868813,0.0,337,-0.08956927745280259,0.0,416,-0.6090638417408593,0.0,True,False,True,False
OUTWARD,2,0.4,>=5,<0.25,73,-1.0,0.0,68,0.5743455076502586,0.0,91,-0.31894699441957897,0.0,False,False,True,False
OUTWARD,2,0.4,>=5,1-2,207,-0.6002340930880197,0.0,100,-0.47273526339458843,0.0,130,-0.8000188826790797,0.0,False,False,True,False
OUTWARD,2,0.4,<0.5,0.25-0.5,228,-0.15226976091241165,0.09503304727517516,223,0.024113702825738523,0.01019160211985324,174,0.39216607184147656,0.03026819923371648,False,False,True,False
OUTWARD,2,0.4,1-2,0.25-0.5,1524,0.009622422127706195,0.0017531556802244039,1643,-0.17804398524640364,0.00983251212238248,1303,-0.17071747857757966,0.008723235527359239,True,False,True,False
OUTWARD,2,0.4,1-2,2-3,238,0.04204183808484008,0.0,353,-0.024912232209459376,0.0,232,-0.16583275193915079,0.0,True,False,True,False
OUTWARD,2,0.4,0.5-1,1-2,1022,0.03913612963307013,0.0033033903216459,897,0.010691317772484474,0.0015748031496062992,1048,0.033297753325151766,0.0,True,True,True,True
OUTWARD,2,0.4,2-3,<0.25,347,-0.5373086734693877,0.0,477,0.793454205370063,0.0,436,0.24014629218214323,0.0,True,False,True,False
OUTWARD,2,0.4,0.5-1,0.25-0.5,1079,-0.09094840557612188,0.0037313432835820895,1046,-0.07787508945180052,0.0,877,0.20276844925995205,0.02398704038968999,True,False,True,False
OUTWARD,2,0.4,3-5,>=3,37,-0.19132663629669358,0.0,83,-0.37454121622717196,0.0,73,0.19100883375744182,0.0,False,False,True,False
OUTWARD,2,0.4,1-2,<0.25,938,-0.3079158937045961,0.008547008547008548,1021,-0.1885983323171237,0.009300973695683766,850,0.0590488551733119,0.0,True,False,True,False
OUTWARD,2,0.4,3-5,2-3,120,-0.4380249878576178,0.0,112,0.010380883035764532,0.0,105,-0.6423887321503029,0.0,False,False,True,False
OUTWARD,2,0.4,>=5,0.5-1,173,-0.6218185222152951,0.0,149,-0.20581709561576075,0.0,130,-0.19720743843044272,0.0,False,False,True,False
OUTWARD,2,0.4,<0.5,0.5-1,735,-0.03400731632310693,0.009423251589464124,602,-0.020440033613998602,0.0,626,0.01137887722614726,0.024946751863684773,True,False,True,False
OUTWARD,2,0.4,2-3,1-2,555,-0.09714883364785251,0.0,433,-0.2096805966777454,0.00949239875419397,490,-0.20367516866796836,0.0,True,False,True,False
OUTWARD,2,0.4,0.5-1,<0.25,377,-0.6413437265845076,0.012201591511936338,341,-0.16262166360116984,0.04985337243401759,377,-0.22897891330275727,0.022553754693966706,True,False,True,False
OUTWARD,2,0.4,1-2,>=3,108,-0.2136167485692419,0.0,115,-0.002670834921328466,0.0,148,0.22924275209054898,0.0,False,False,True,False
OUTWARD,2,0.4,>=5,>=3,40,-0.4112369719760521,0.0,30,-0.532656995865681,0.0,40,0.4015109890109891,0.0,False,False,True,False
OUTWARD,2,0.4,2-3,2-3,133,0.37818463688792847,0.0,115,-0.07032049993477262,0.0,134,0.2659459402791697,0.0,False,False,True,False
OUTWARD,2,0.4,<0.5,1-2,698,-0.06093311080991365,0.0015705972287489557,603,0.02977381117959459,0.0,543,0.06585795259711569,0.013940520446096654,True,False,True,False
OUTWARD,2,0.4,2-3,>=3,89,0.49568653949482794,0.0,90,0.3171951887902831,0.0,79,-0.15762055892106785,0.0,False,False,True,False
OUTWARD,2,0.4,3-5,1-2,330,-0.2562181070589901,0.0,292,-0.23360366304875627,0.0,363,-0.1990367285688935,0.0,True,False,True,False
OUTWARD,2,0.4,<0.5,>=3,38,0.06141702444464358,0.0,29,0.006872380964102458,0.0,46,0.11102548008864997,0.0,False,True,True,False
OUTWARD,2,0.4,>=5,2-3,79,-0.1336826024814306,0.0,32,-0.10689433439059842,0.0,77,-0.7742448330683626,0.0,False,False,True,False
OUTWARD,2,0.4,3-5,<0.25,197,-0.5282386811759309,0.0,207,-0.046867569165269886,0.0,257,-0.8806558993159321,0.0,False,False,True,False
OUTWARD,2,0.4,0.5-1,2-3,210,0.033840326970752725,0.0,192,-0.015234852245288784,0.0,259,0.10949995387727149,0.0,False,False,True,False
OUTWARD,2,0.4,<0.5,2-3,90,0.004929335861576125,0.0,78,0.14186683987853832,0.0,106,-0.15472783263765033,0.0,False,False,True,False
OUTWARD,2,0.4,<0.5,<0.25,29,0.4080459770114943,0.0,17,-0.4014221073044602,0.17647058823529413,42,0.7714285714285714,0.0,False,False,True,False
OUTWARD,2,0.4,0.5-1,>=3,77,0.1294607418472079,0.0,102,0.13118430827226366,0.0,54,0.16094901090512337,0.0,False,True,True,False
OUTWARD,2,0.8,0.5-1,0.5-1,1303,-0.12892313890728274,0.025529718899884646,1032,-0.1501733470917275,0.0035852713178294577,1201,0.017015990315968343,0.03396880415944541,True,False,True,False
OUTWARD,2,0.8,2-3,0.25-0.5,294,0.1316036952927116,0.0,293,-0.4104715649464053,0.0,262,0.004429486165617889,0.0,True,False,True,False
OUTWARD,2,0.8,1-2,1-2,1254,-0.08368579166771466,0.004884004884004884,1277,-0.1022264942876044,0.0,1068,-0.004509424672991248,0.004849137931034483,True,False,True,False
OUTWARD,2,0.8,2-3,0.5-1,725,-0.1650493676737774,0.0,633,-0.01216214603826942,0.0,669,-0.1709627749047602,0.0,True,False,True,False
OUTWARD,2,0.8,>=5,0.25-0.5,50,-1.0,0.0,65,-0.6006762795361409,0.0,40,-1.0,0.0,False,False,True,False
OUTWARD,2,0.8,3-5,0.5-1,336,-0.09794299503655857,0.0,290,0.05221911376356418,0.0,357,-0.699249016657064,0.0,True,False,True,False
OUTWARD,2,0.8,>=5,1-2,207,-0.6002340930880197,0.0,100,-0.47273526339458843,0.0,130,-0.8000188826790797,0.0,False,False,True,False
OUTWARD,2,0.8,>=5,<0.25,22,-1.0,0.0,45,1.397298841194712,0.0,18,-1.0,0.0,False,False,True,False
OUTWARD,2,0.8,1-2,2-3,238,0.04204183808484008,0.0,353,-0.024912232209459376,0.0,232,-0.16583275193915079,0.0,True,False,True,False
OUTWARD,2,0.8,0.5-1,1-2,1022,0.03913612963307013,0.0033033903216459,897,0.010691317772484474,0.0015748031496062992,1048,0.033297753325151766,0.0,True,True,True,True
OUTWARD,2,0.8,1-2,0.5-1,1773,-0.05905164316907934,0.002015316404675534,1523,-0.06943013465715668,0.005220338983050848,1426,0.013546224508516362,0.007247437774524158,True,False,True,False
