wf,target,model,n_train,n_test,r2,mae,spearman
WF1,delta_risk_distance_atr,W4,511706,598325,0.4173158719345409,0.49859024495346554,0.6296931441485148
WF1,delta_risk_distance_atr,W5,511706,598325,0.4318436431724876,0.4982195326357501,0.6239473408304359
WF2,delta_E_R_lower,W0,1008061,527629,0.0012214657524809436,0.9218293156077805,0.12796430792706617
WF2,delta_E_R_lower,W1,1008061,527629,0.0023550378781144188,0.9285482866128761,0.12359797863781462
WF2,delta_E_R_lower,W2,1008061,527629,0.0020378951625544817,0.9250887954167769,0.1252502964787308
WF2,delta_E_R_lower,W3,1008061,527629,0.001202849995397326,0.9249146659841465,0.11140159621385287
WF2,delta_E_R_lower,W4,1008061,527629,0.0011162566186814216,0.9242481755144035,0.11787812213340255
WF2,delta_E_R_lower,W5,1008061,527629,0.0019240860472583554,0.9268868045260694,0.1174038732267226
WF2,delta_E_R_upper,W0,1008061,527629,-0.26439188720363327,2.581182306425504,-0.04444252384926924
WF2,delta_E_R_upper,W1,1008061,527629,-0.2640482012761649,3.201450361938007,-0.03512380655312329
WF2,delta_E_R_upper,W2,1008061,527629,-0.26438632318790933,2.827510882337518,-0.04080132131521161
WF2,delta_E_R_upper,W3,1008061,527629,-0.26469319504678435,3.014914071740886,-0.037692950180666776
WF2,delta_E_R_upper,W4,1008061,527629,-0.2644706277236726,2.7107989315209275,-0.03803021694909191
WF2,delta_E_R_upper,W5,1008061,527629,-0.26446162772697956,2.915847921682515,-0.039309360860276726
WF2,delta_RR,W0,1110031,577549,0.48322564424009096,25.50353713966276,0.2812942852519792
WF2,delta_RR,W1,1110031,577549,0.4831946806235513,26.170049140106073,0.19317508897671493
WF2,delta_RR,W2,1110031,577549,0.48322768941873495,25.920132724651506,0.19265031794988516
WF2,delta_RR,W3,1110031,577549,0.48323098617908367,26.147269003179435,0.2289765512355747
WF2,delta_RR,W4,1110031,577549,0.48323582880134364,25.656547484299217,0.25997239435064756
WF2,delta_RR,W5,1110031,577549,0.48324651150977904,26.396679982306573,0.1756470005517555
WF2,delta_target_distance_atr,W0,1110031,577549,0.07763972741235736,1.083964909067868,0.27271813706452985
WF2,delta_target_distance_atr,W1,1110031,577549,0.09897971756756152,1.0802896011274064,0.2835222558555239
WF2,delta_target_distance_atr,W2,1110031,577549,0.09073318682897125,1.0820274187222818,0.2828796350682729
WF2,delta_target_distance_atr,W3,1110031,577549,0.09285286434876105,1.088150164618457,0.26981376279358177
WF2,delta_target_distance_atr,W4,1110031,577549,0.0869320095850985,1.0858716870327507,0.27012200825398014
WF2,delta_target_distance_atr,W5,1110031,577549,0.09518312091164582,1.0846839288901082,0.2793358945017597
WF2,delta_risk_distance_atr,W0,1110031,577549,0.42020385940760197,0.49194436765112365,0.6294125939710158
WF2,delta_risk_distance_atr,W1,1110031,577549,0.4413251127386165,0.4839288016228626,0.6371577156120316
WF2,delta_risk_distance_atr,W2,1110031,577549,0.436188006907692,0.48445354787773953,0.6405139847436122
WF2,delta_risk_distance_atr,W3,1110031,577549,0.4252889049009021,0.4870425855854429,0.6255440866879977
WF2,delta_risk_distance_atr,W4,1110031,577549,0.42359560463045587,0.4901115290596195,0.6262501844633006
WF2,delta_risk_distance_atr,W5,1110031,577549,0.43615887507913864,0.48565166540194504,0.6368297965069278
WF3,delta_E_R_lower,W0,1535690,514289,0.0007976333274911651,0.9475675643353418,0.13820239768952378
WF3,delta_E_R_lower,W1,1535690,514289,0.001959704680553953,0.9553857744242876,0.13482219318820574
WF3,delta_E_R_lower,W2,1535690,514289,0.001492363156665455,0.953423373299271,0.13110871039361285
WF3,delta_E_R_lower,W3,1535690,514289,0.0006681503723479087,0.950890651399531,0.12393027973524638
WF3,delta_E_R_lower,W4,1535690,514289,0.000739186331736752,0.9485485684229645,0.13170022766529055
WF3,delta_E_R_lower,W5,1535690,514289,0.0014475379852243453,0.954296052561226,0.1262134607101704
WF3,delta_E_R_upper,W0,1535690,514289,-0.12288254878485483,1.4797293124872999,-0.05857805047126381
WF3,delta_E_R_upper,W1,1535690,514289,-0.3955750755683374,2.0088082897526887,-0.03232336738683468
WF3,delta_E_R_upper,W2,1535690,514289,-0.18035581520689092,1.620717505316742,-0.04615212374118737
WF3,delta_E_R_upper,W3,1535690,514289,-0.22513318069425758,1.7102271716257735,-0.03845443964626633
WF3,delta_E_R_upper,W4,1535690,514289,-0.1508639272312411,1.5537923251997015,-0.04583627689309983
WF3,delta_E_R_upper,W5,1535690,514289,-0.20109124998519357,1.6638255776949427,-0.03974498792498463
WF3,delta_RR,W0,1687580,567740,0.00154631068554556,18.36281592042898,0.2607999010987569
WF3,delta_RR,W1,1687580,567740,0.0014313594772181748,18.634316854978252,0.2046812193293335
WF3,delta_RR,W2,1687580,567740,0.001434869649606263,18.69043137906259,0.19330834511951864
WF3,delta_RR,W3,1687580,567740,0.0014641166053808163,17.884017479219533,0.22783540946336572
WF3,delta_RR,W4,1687580,567740,0.0014931639264545993,17.92508952012524,0.23827653569689916
WF3,delta_RR,W5,1687580,567740,0.0013234297653277327,18.69014613394601,0.162581320881748
WF3,delta_target_distance_atr,W0,1687580,567740,0.06370220016132366,1.0805909350788991,0.26480164205982176
WF3,delta_target_distance_atr,W1,1687580,567740,0.08143747842321847,1.0767285716305512,0.274362254777131
WF3,delta_target_distance_atr,W2,1687580,567740,0.07556390139381641,1.0788371979147082,0.2749370738454874
WF3,delta_target_distance_atr,W3,1687580,567740,0.08341856238506995,1.0903397810840338,0.2729653450595063
WF3,delta_target_distance_atr,W4,1687580,567740,0.07203092242087905,1.0944002385670857,0.26540809966357565
WF3,delta_target_distance_atr,W5,1687580,567740,0.0814906420668523,1.0876312333571685,0.275320556393974
WF3,delta_risk_distance_atr,W0,1687580,567740,0.38233337947996227,0.47571451036635304,0.6449545901198039
WF3,delta_risk_distance_atr,W1,1687580,567740,0.40985438262743157,0.46209848628907346,0.6560746670668781
WF3,delta_risk_distance_atr,W2,1687580,567740,0.4031162147349814,0.46507537666033477,0.6557963980096306
WF3,delta_risk_distance_atr,W3,1687580,567740,0.3872319099228624,0.4798470696639961,0.6390683757466218
WF3,delta_risk_distance_atr,W4,1687580,567740,0.3837030732508373,0.4833932692351849,0.6360925666039912
WF3,delta_risk_distance_atr,W5,1687580,567740,0.40292083905872156,0.46990376780707516,0.651682772217687
