wf,k,component,reconstruction_error,n_rows,density_0p5,density_1p0,density_2p0,density_4p0,liq_intensity_up_0p5,liq_intensity_up_1p0,liq_intensity_up_2p0,liq_intensity_up_4p0,liq_intensity_dn_0p5,liq_intensity_dn_1p0,liq_intensity_dn_2p0,liq_intensity_dn_4p0
WF2,2,2,17.914790254473267,150000,0.3173787901367508,0.6196600827075774,1.029419122016039,1.468523283123138,0.0,0.0,0.0,0.9666438351973634,0.5859230018680307,1.4050373684805713,3.15175711441004,6.115810070739023
WF2,3,1,14.054754953278309,150000,0.0,0.3083204103976884,1.0699109805354332,1.957269195379642,0.0,0.12164489175360822,1.983068517409647,6.817807458935974,0.0,0.0,0.0,0.9767030425234099
WF2,3,2,14.054754953278309,150000,0.35842532645700054,0.6491647834893495,0.9614981900532933,1.281143669196381,0.0,0.0,0.0,0.3783309449280652,0.6090180559680365,1.457799753566941,3.265402654506103,6.233520125810348
WF2,3,3,14.054754953278309,150000,0.6152472755786252,0.690710794765997,0.39351279741523226,0.0,1.3240207334666072,2.661632508219048,3.4678856027907323,3.089135301853044,0.0,0.0,0.0,0.24520874482359292
WF2,4,1,9.594448744374818,150000,0.0,0.3353872503838062,0.9857015426311903,1.7443143365343323,0.0,0.14262766773902313,2.0613806868255224,7.077053657012245,0.0,0.0,0.0,0.15909339786018734
WF2,4,2,9.594448744374818,150000,0.0,0.31837609680493045,0.9795286919396617,1.709589371205541,0.0,0.0,0.0,0.06737800716830869,0.0,0.14334145088565567,2.0908962829927127,7.045122912118965
WF2,4,3,9.594448744374818,150000,0.6880396120558622,0.7232512776679526,0.4118431414039022,0.0,1.3971401723563646,2.7812012417578122,3.556505335974591,2.9972057393404765,0.0,0.0,0.0,0.35807926164829423
WF2,4,4,9.594448744374818,150000,1.1074081731413579,1.1850741025431697,0.6541479140277231,0.0,0.0,0.0,0.0,0.857963257469111,2.084570817084208,4.149382506681133,4.836723953230638,2.7427772982111787
WF3,2,1,11.264341211935246,150000,0.24472970812319209,0.47070426448135994,0.7741793231888406,1.1092943765606453,0.4959751907320344,1.204323537268559,2.779973299122417,5.852119194137128,0.0,0.0,0.0,0.6351905584047857
WF3,2,2,11.264341211935246,150000,0.2566918368051975,0.48193589402817,0.7738967892492788,1.0840380961245142,0.0,0.0,0.0,0.6069818047664536,0.46698980559926556,1.1273874169620839,2.533328075401561,4.934648378712832
WF3,3,1,8.802462425866729,150000,0.0,0.19384030883023898,0.6599372241843162,1.200458510054024,0.0,0.1639078084362733,1.6570468277017838,5.8909521843599215,0.0,0.0,0.0,0.45200191070921486
WF3,3,2,8.802462425866729,150000,0.2817956584032659,0.5118402468064043,0.7673336987988105,1.0321775692627326,0.0,0.0,0.0,0.2325521849373289,0.4834262191068408,1.1668848961403706,2.621871150858071,5.092819541920374
WF3,3,3,8.802462425866729,150000,0.4537878797398723,0.5236233599362141,0.3469466761430828,0.1140642779637931,0.9937613088491927,1.9176196065985296,2.3054635606590494,1.2445120898774036,0.0,0.0,0.0,0.4265637521550496
WF3,4,1,6.255794356030186,150000,0.0,0.20748151950959917,0.5910156089862941,1.033701575797432,0.0,0.1600697346758534,1.6737419943240537,5.999261170772072,0.0,0.0,0.0,0.017731544013580073
WF3,4,2,6.255794356030186,150000,0.0,0.272594440591196,0.8410927090349938,1.4815876082600627,0.0,0.0,0.0,0.04886897411806171,0.0,0.07703365833938505,1.577385188684789,5.447226777625035
WF3,4,3,6.255794356030186,150000,0.491760057287711,0.5254280991208938,0.3372933511677519,0.09220257737190085,1.001045036164191,1.93832015540257,2.3239766472868255,1.2300697230793765,0.0,0.0,0.0,0.31177102159553344
WF3,4,4,6.255794356030186,150000,0.7927261193977629,0.8508516533942312,0.47698033983246796,0.0,0.0,0.0,0.0,0.5109239062649092,1.5294472014273,3.154072275490869,4.025358968263945,3.352516238267047
