block,wf,component,feature,loading
liquidity,WF1,5,density_1p0,0.22262675704870735
liquidity,WF1,5,density_2p0,0.04122699881771334
liquidity,WF1,5,density_4p0,-0.06708785692150578
liquidity,WF1,5,imbalance_0p5,-0.0283497751040025
liquidity,WF1,5,imbalance_1p0,0.03133680333291798
liquidity,WF1,5,imbalance_2p0,0.136727354368957
liquidity,WF1,5,imbalance_4p0,0.2682616593771111
liquidity,WF1,5,room_up_atr,0.7995178654768698
liquidity,WF1,5,room_down_atr,-0.13530567562566725
liquidity,WF1,5,depletion_share,-0.27021804581879116
liquidity,WF1,6,density_0p5,-0.5577299310673192
liquidity,WF1,6,density_1p0,-0.16180421212482185
liquidity,WF1,6,density_2p0,0.2955306854375156
liquidity,WF1,6,density_4p0,0.5708775246231881
liquidity,WF1,6,imbalance_0p5,-0.06490242293660013
liquidity,WF1,6,imbalance_1p0,-0.00987403144373395
liquidity,WF1,6,imbalance_2p0,0.08757690984645239
liquidity,WF1,6,imbalance_4p0,0.19107821414882406
liquidity,WF1,6,room_up_atr,0.3457025666387862
liquidity,WF1,6,room_down_atr,0.1723962055495649
liquidity,WF1,6,depletion_share,0.2275874566977716
liquidity,WF1,7,density_0p5,0.02862471419668075
liquidity,WF1,7,density_1p0,0.016058744593405037
liquidity,WF1,7,density_2p0,-0.04557528863698492
liquidity,WF1,7,density_4p0,-0.09855241734514499
liquidity,WF1,7,imbalance_0p5,-0.596543732196015
liquidity,WF1,7,imbalance_1p0,-0.32352456927218165
liquidity,WF1,7,imbalance_2p0,0.15966892466518984
liquidity,WF1,7,imbalance_4p0,0.6506578681689644
liquidity,WF1,7,room_up_atr,-0.27550149245919286
liquidity,WF1,7,room_down_atr,0.04001764503194238
liquidity,WF1,7,depletion_share,-0.01575354055953639
liquidity,WF1,8,density_0p5,-0.5091432162145286
liquidity,WF1,8,density_1p0,0.542963257269921
liquidity,WF1,8,density_2p0,0.39673686599775065
liquidity,WF1,8,density_4p0,-0.5215046215156894
liquidity,WF1,8,imbalance_0p5,0.07956366307108136
liquidity,WF1,8,imbalance_1p0,-0.02667020924793004
liquidity,WF1,8,imbalance_2p0,-0.08294999228264038
liquidity,WF1,8,imbalance_4p0,0.037477348150504915
liquidity,WF1,8,room_up_atr,-0.00163289967088345
liquidity,WF1,8,room_down_atr,-0.01756042827316165
liquidity,WF1,8,depletion_share,-0.030966290453510494
liquidity,WF2,1,density_0p5,-0.3002565323530808
liquidity,WF2,1,density_1p0,-0.33612935690167856
liquidity,WF2,1,density_2p0,-0.3384176593777481
liquidity,WF2,1,density_4p0,-0.3151966724606529
liquidity,WF2,1,imbalance_0p5,-0.3239659061002743
liquidity,WF2,1,imbalance_1p0,-0.3378464897353835
liquidity,WF2,1,imbalance_2p0,-0.33475598557366654
liquidity,WF2,1,imbalance_4p0,-0.29977274098474643
liquidity,WF2,1,room_up_atr,0.3754041340308673
liquidity,WF2,1,room_down_atr,0.09615722473706076
liquidity,WF2,1,depletion_share,-0.10859887165983767
liquidity,WF2,2,density_0p5,-0.31614098349338643
liquidity,WF2,2,density_1p0,-0.35438554891484064
liquidity,WF2,2,density_2p0,-0.3547554322934406
liquidity,WF2,2,density_4p0,-0.32315572536850373
liquidity,WF2,2,imbalance_0p5,0.3473189430907988
liquidity,WF2,2,imbalance_1p0,0.3646161267251735
liquidity,WF2,2,imbalance_2p0,0.3687415990616008
liquidity,WF2,2,imbalance_4p0,0.345952106225609
liquidity,WF2,2,room_up_atr,-0.0002670661920206943
liquidity,WF2,2,room_down_atr,0.10988931953040075
liquidity,WF2,2,depletion_share,-0.15126266243388709
liquidity,WF2,3,density_0p5,0.24694411615907153
liquidity,WF2,3,density_1p0,0.12931153898184886
liquidity,WF2,3,density_2p0,-0.042136740153429914
liquidity,WF2,3,density_4p0,-0.17884246311632787
liquidity,WF2,3,imbalance_0p5,0.030294344905234208
liquidity,WF2,3,imbalance_1p0,0.031258168897508855
liquidity,WF2,3,imbalance_2p0,0.023958858783420432
liquidity,WF2,3,imbalance_4p0,0.0002947113098542084
liquidity,WF2,3,room_up_atr,0.12472913835064733
liquidity,WF2,3,room_down_atr,0.8136131295911042
liquidity,WF2,3,depletion_share,0.4566665972835535
liquidity,WF2,4,density_0p5,0.007297408514609633
liquidity,WF2,4,density_1p0,-0.0641214655754647
liquidity,WF2,4,density_2p0,-0.14558703921400096
liquidity,WF2,4,density_4p0,-0.20438382678064276
liquidity,WF2,4,imbalance_0p5,0.018847117490625672
liquidity,WF2,4,imbalance_1p0,0.02059645169128328
liquidity,WF2,4,imbalance_2p0,0.027151016468869374
liquidity,WF2,4,imbalance_4p0,0.04799026398439998
liquidity,WF2,4,room_up_atr,0.10850693164170666
liquidity,WF2,4,room_down_atr,-0.5162269170315152
liquidity,WF2,4,depletion_share,0.8067113461270417
liquidity,WF2,5,density_0p5,0.39863660027058134
liquidity,WF2,5,density_1p0,0.23047101424055794
liquidity,WF2,5,density_2p0,0.009261311604163991
liquidity,WF2,5,density_4p0,-0.1198681617291946
liquidity,WF2,5,imbalance_0p5,-0.02553594857855648
liquidity,WF2,5,imbalance_1p0,0.04009818230005086
liquidity,WF2,5,imbalance_2p0,0.1449188957238048
liquidity,WF2,5,imbalance_4p0,0.27316016364727275
liquidity,WF2,5,room_up_atr,0.7661356125230675
liquidity,WF2,5,room_down_atr,-0.16783048131718095
liquidity,WF2,5,depletion_share,-0.2459859080521419
liquidity,WF2,6,density_0p5,-0.5306000500178992
liquidity,WF2,6,density_1p0,-0.1406026586459567
liquidity,WF2,6,density_2p0,0.2928352669889924
liquidity,WF2,6,density_4p0,0.5522012320851826
liquidity,WF2,6,imbalance_0p5,-0.11918087382066954
liquidity,WF2,6,imbalance_1p0,-0.027036804645986418
liquidity,WF2,6,imbalance_2p0,0.1170626637127454
liquidity,WF2,6,imbalance_4p0,0.25739294379291
liquidity,WF2,6,room_up_atr,0.38423268719087544
liquidity,WF2,6,room_down_atr,0.1443710200171996
liquidity,WF2,6,depletion_share,0.21130113919955404
liquidity,WF2,7,density_0p5,0.07628238763679877
liquidity,WF2,7,density_1p0,0.00175533398270665
liquidity,WF2,7,density_2p0,-0.08702216879047583
liquidity,WF2,7,density_4p0,-0.13322295494454692
liquidity,WF2,7,imbalance_0p5,-0.6001008261217391
liquidity,WF2,7,imbalance_1p0,-0.3200435891280026
liquidity,WF2,7,imbalance_2p0,0.1534738744646435
liquidity,WF2,7,imbalance_4p0,0.6205216643041291
liquidity,WF2,7,room_up_atr,-0.31125324284724887
liquidity,WF2,7,room_down_atr,0.026576742132658527
liquidity,WF2,7,depletion_share,-0.011024140813962384
liquidity,WF2,8,density_0p5,-0.5016036090883106
liquidity,WF2,8,density_1p0,0.5463052118223817
liquidity,WF2,8,density_2p0,0.3983326094843659
liquidity,WF2,8,density_4p0,-0.5361492714690151
liquidity,WF2,8,imbalance_0p5,0.02618187193450142
liquidity,WF2,8,imbalance_1p0,-0.01138621100797585
liquidity,WF2,8,imbalance_2p0,-0.036326496610922576
liquidity,WF2,8,imbalance_4p0,0.02692846207199661
liquidity,WF2,8,room_up_atr,-0.005162347867880725
liquidity,WF2,8,room_down_atr,-0.0158289292179522
liquidity,WF2,8,depletion_share,-0.026123329219475973
liquidity,WF3,1,density_0p5,-0.3239315048199763
liquidity,WF3,1,density_1p0,-0.36234960299133967
liquidity,WF3,1,density_2p0,-0.3649253708748916
liquidity,WF3,1,density_4p0,-0.3419999180575599
liquidity,WF3,1,imbalance_0p5,-0.2965044255125457
liquidity,WF3,1,imbalance_1p0,-0.3066923244749699
liquidity,WF3,1,imbalance_2p0,-0.30057779836395604
liquidity,WF3,1,imbalance_4p0,-0.26602186272306944
liquidity,WF3,1,room_up_atr,0.38355368893555497
liquidity,WF3,1,room_down_atr,0.0968840583565024
liquidity,WF3,1,depletion_share,-0.11852013129199136
liquidity,WF3,2,density_0p5,-0.291530959699846
liquidity,WF3,2,density_1p0,-0.3265416440827472
liquidity,WF3,2,density_2p0,-0.3257267007454807
liquidity,WF3,2,density_4p0,-0.2950226519040408
liquidity,WF3,2,imbalance_0p5,0.37067347645280413
liquidity,WF3,2,imbalance_1p0,0.3906958251020322
liquidity,WF3,2,imbalance_2p0,0.39629099105353804
liquidity,WF3,2,imbalance_4p0,0.37344433297258534
liquidity,WF3,2,room_up_atr,-0.025147056596133307
liquidity,WF3,2,room_down_atr,0.08391491536817071
liquidity,WF3,2,depletion_share,-0.14498498097112875
liquidity,WF3,3,density_0p5,0.21501940144119966
liquidity,WF3,3,density_1p0,0.10769461925551238
liquidity,WF3,3,density_2p0,-0.04493656057778564
liquidity,WF3,3,density_4p0,-0.17047036869048146
liquidity,WF3,3,imbalance_0p5,0.04029928328876688
liquidity,WF3,3,imbalance_1p0,0.03902038753873213
liquidity,WF3,3,imbalance_2p0,0.022026447014833767
liquidity,WF3,3,imbalance_4p0,-0.027534369051719364
liquidity,WF3,3,room_up_atr,0.07407405213571613
liquidity,WF3,3,room_down_atr,0.8394172756121105
liquidity,WF3,3,depletion_share,0.44338564296665267
liquidity,WF3,4,density_0p5,0.024166611814029553
liquidity,WF3,4,density_1p0,-0.055474623586756325
liquidity,WF3,4,density_2p0,-0.14157864383481944
liquidity,WF3,4,density_4p0,-0.20008462505504637
liquidity,WF3,4,imbalance_0p5,0.01904731296003984
liquidity,WF3,4,imbalance_1p0,0.021895580048177106
liquidity,WF3,4,imbalance_2p0,0.028875896915323045
liquidity,WF3,4,imbalance_4p0,0.054042823364862755
liquidity,WF3,4,room_up_atr,0.125227681232589
liquidity,WF3,4,room_down_atr,-0.4926618376151405
liquidity,WF3,4,depletion_share,0.8205277888725278
liquidity,WF3,5,density_0p5,0.43427253868916543
liquidity,WF3,5,density_1p0,0.24712481981793585
liquidity,WF3,5,density_2p0,0.005953694825843918
liquidity,WF3,5,density_4p0,-0.1335206623794292
liquidity,WF3,5,imbalance_0p5,-0.024833445504399105
liquidity,WF3,5,imbalance_1p0,0.0417925995968079
liquidity,WF3,5,imbalance_2p0,0.14441086092748284
liquidity,WF3,5,imbalance_4p0,0.2679334272532093
liquidity,WF3,5,room_up_atr,0.756033760629683
liquidity,WF3,5,room_down_atr,-0.10962065338832486
liquidity,WF3,5,depletion_share,-0.23208532343689495
liquidity,WF3,6,density_0p5,-0.5217638647311059
liquidity,WF3,6,density_1p0,-0.12828833993948693
liquidity,WF3,6,density_2p0,0.29617082703559233
liquidity,WF3,6,density_4p0,0.553322485449461
liquidity,WF3,6,imbalance_0p5,-0.11173561577212991
liquidity,WF3,6,imbalance_1p0,-0.019258185025959322
liquidity,WF3,6,imbalance_2p0,0.12092932133893375
liquidity,WF3,6,imbalance_4p0,0.25115976042595983
liquidity,WF3,6,room_up_atr,0.4055750426739642
liquidity,WF3,6,room_down_atr,0.14737261049631017
liquidity,WF3,6,depletion_share,0.20162089797895047
liquidity,WF3,7,density_0p5,0.07131329163092749
liquidity,WF3,7,density_1p0,-0.001623931335279688
liquidity,WF3,7,density_2p0,-0.0835899993226652
liquidity,WF3,7,density_4p0,-0.12265674028891756
liquidity,WF3,7,imbalance_0p5,-0.6059451326835749
liquidity,WF3,7,imbalance_1p0,-0.31704699201615855
liquidity,WF3,7,imbalance_2p0,0.15903860351071916
liquidity,WF3,7,imbalance_4p0,0.6193258397672574
liquidity,WF3,7,room_up_atr,-0.3078492506600992
liquidity,WF3,7,room_down_atr,0.03952824635355674
liquidity,WF3,7,depletion_share,0.000312709888991599
liquidity,WF3,8,density_0p5,-0.4974429396706293
liquidity,WF3,8,density_1p0,0.5487666015303878
liquidity,WF3,8,density_2p0,0.396791138802977
liquidity,WF3,8,density_4p0,-0.5400741739586121
liquidity,WF3,8,imbalance_0p5,0.016399284235730012
liquidity,WF3,8,imbalance_1p0,-0.007285641701984344
liquidity,WF3,8,imbalance_2p0,-0.02406523806258751
liquidity,WF3,8,imbalance_4p0,0.022852842100361245
liquidity,WF3,8,room_up_atr,-0.004275856349971632
liquidity,WF3,8,room_down_atr,-0.018180616768302554
liquidity,WF3,8,depletion_share,-0.022587489011876658
