decile,事件数,success_by_6bar,success_by_12bar,success_by_24bar,success_by_48bar,success_by_96bar,最终tradable率,维度,Lift_by_6bar,Lift_by_12bar,Lift_by_24bar,Lift_by_48bar,Lift_by_96bar,模型,source_tf
1,257,0.1907,0.3424,0.463,0.5253,0.5603,0.5681,15m,0.8583,0.9341,0.9674,0.9698,0.9843,Model2_LightGBM,15m
2,257,0.2296,0.3813,0.5097,0.5292,0.5681,0.5798,15m,1.0334,1.0403,1.065,0.977,0.998,Model2_LightGBM,15m
3,257,0.2335,0.3658,0.4669,0.5525,0.572,0.5837,15m,1.051,0.998,0.9756,1.0201,1.0048,Model2_LightGBM,15m
4,257,0.2257,0.3502,0.4591,0.5603,0.5875,0.5914,15m,1.0158,0.9554,0.9593,1.0345,1.032,Model2_LightGBM,15m
5,257,0.1907,0.323,0.4086,0.4942,0.5175,0.5214,15m,0.8583,0.8812,0.8537,0.9124,0.9091,Model2_LightGBM,15m
6,257,0.2451,0.3813,0.5058,0.5681,0.5875,0.5992,15m,1.1032,1.0403,1.0568,1.0489,1.032,Model2_LightGBM,15m
7,257,0.2685,0.393,0.5292,0.5914,0.6187,0.6226,15m,1.2085,1.0722,1.1057,1.0919,1.0868,Model2_LightGBM,15m
8,257,0.2763,0.4047,0.4864,0.537,0.5564,0.5564,15m,1.2436,1.1041,1.0163,0.9914,0.9774,Model2_LightGBM,15m
9,257,0.1868,0.3774,0.5214,0.5681,0.5914,0.5953,15m,0.8408,1.0296,1.0894,1.0489,1.0389,Model2_LightGBM,15m
10,257,0.1751,0.3463,0.4358,0.4903,0.5331,0.537,15m,0.7881,0.9448,0.9106,0.9052,0.9365,Model2_LightGBM,15m
1,105,0.181,0.3238,0.4667,0.581,0.6286,0.6571,1h,0.9466,0.889,0.9803,1.0588,1.0761,Model2_LightGBM,1h
2,105,0.219,0.3905,0.4667,0.5143,0.5333,0.5524,1h,1.1454,1.0721,0.9803,0.9372,0.913,Model2_LightGBM,1h
3,104,0.2212,0.3558,0.4904,0.5288,0.5769,0.5865,1h,1.1569,0.9768,1.03,0.9636,0.9876,Model2_LightGBM,1h
4,105,0.2381,0.4571,0.5524,0.6286,0.6381,0.6476,1h,1.2453,1.2549,1.1603,1.1455,1.0924,Model2_LightGBM,1h
5,104,0.1058,0.2788,0.4423,0.5,0.5288,0.5288,1h,0.5533,0.7654,0.929,0.9111,0.9053,Model2_LightGBM,1h
6,105,0.2667,0.4,0.4857,0.5524,0.5714,0.6,1h,1.3948,1.0982,1.0202,1.0066,0.9782,Model2_LightGBM,1h
7,104,0.2019,0.4135,0.5288,0.5769,0.6154,0.6154,1h,1.0559,1.1352,1.1107,1.0513,1.0535,Model2_LightGBM,1h
8,105,0.1524,0.3048,0.3905,0.4762,0.5429,0.5429,1h,0.7971,0.8368,0.8202,0.8678,0.9294,Model2_LightGBM,1h
9,104,0.1635,0.3462,0.4519,0.5865,0.6154,0.6154,1h,0.8551,0.9505,0.9492,1.0688,1.0535,Model2_LightGBM,1h
10,105,0.1619,0.3714,0.4857,0.5429,0.5905,0.6,1h,0.8467,1.0196,1.0202,0.9893,1.0109,Model2_LightGBM,1h
1,529,0.2495,0.3875,0.5198,0.5936,0.62,0.6238,5m,1.1093,1.0358,1.0291,1.043,1.05,Model2_LightGBM,5m
2,528,0.1818,0.3163,0.4527,0.5246,0.5436,0.5644,5m,0.8083,0.8455,0.8962,0.9218,0.9206,Model2_LightGBM,5m
3,528,0.2292,0.3712,0.4811,0.5568,0.5871,0.589,5m,1.0191,0.9922,0.9525,0.9784,0.9942,Model2_LightGBM,5m
4,528,0.2235,0.3845,0.5189,0.5625,0.5833,0.5871,5m,0.9937,1.0278,1.0273,0.9884,0.9878,Model2_LightGBM,5m
5,528,0.2367,0.4034,0.5398,0.6193,0.6383,0.642,5m,1.0524,1.0783,1.0687,1.0882,1.081,Model2_LightGBM,5m
6,528,0.2348,0.392,0.5133,0.572,0.5814,0.589,5m,1.044,1.0478,1.0162,1.0051,0.9846,Model2_LightGBM,5m
7,528,0.2216,0.3598,0.5057,0.5549,0.572,0.5795,5m,0.9853,0.9618,1.0012,0.975,0.9687,Model2_LightGBM,5m
8,528,0.2367,0.3807,0.4905,0.5644,0.5833,0.5833,5m,1.0524,1.0176,0.9711,0.9917,0.9878,Model2_LightGBM,5m
9,528,0.2121,0.375,0.5227,0.5758,0.6061,0.6061,5m,0.943,1.0024,1.0348,1.0118,1.0264,Model2_LightGBM,5m
10,529,0.2231,0.3705,0.5066,0.5671,0.5898,0.5992,5m,0.9919,0.9904,1.0029,0.9965,0.9988,Model2_LightGBM,5m
