kappa,model,symbol,test_episodes,selected_episodes,trade_coverage,selected_mean_entry_value,positive_rate,caev,weighted_row_regret
0.0,REG-M1,CU,162,37,0.22839506172839505,-0.747379081010531,0.43243243243243246,-0.17069769134191137,0.5438208039519664
0.0,REG-M1,I,126,2,0.015873015873015872,0.0021983320848482646,0.5,3.489416007695658e-05,0.3019700678188416
0.0,REG-M1,M,160,44,0.275,-0.4837921393482667,0.36363636363636365,-0.13304283832077335,0.48032122864860616
0.0,REG-M1,MA,161,38,0.2360248447204969,-0.8095093279521578,0.2894736842105263,-0.19106431342970184,0.523966387335168
0.0,REG-M1,NI,144,23,0.1597222222222222,-1.3922650759167754,0.34782608695652173,-0.2223756718478183,0.4812397181592809
0.0,REG-M1,P,130,23,0.17692307692307693,-2.1458809628388944,0.30434782608695654,-0.3796558626561121,0.3819346048283554
0.0,REG-M1,RB,138,15,0.10869565217391304,-2.1131979078276517,0.26666666666666666,-0.2296954247638752,0.4489038387422586
0.0,REG-M1,RU,174,37,0.21264367816091953,-0.4305772711543288,0.40540540540540543,-0.09155953467074808,0.486743360443318
0.0,REG-M1,SC,258,63,0.2441860465116279,-0.7969979694879855,0.2857142857142857,-0.19461578324706624,0.8119790851930978
0.0,REG-M1,SN,150,14,0.09333333333333334,-1.6201860128128014,0.5,-0.15121736119586146,0.38292248662618616
0.0,REG-M1,TA,150,12,0.08,-1.4425302307960362,0.25,-0.11540241846368289,0.5059077581667778
0.0,ACTION3-M0,AG,239,3,0.012552301255230125,-0.22870154564228518,0.3333333333333333,-0.002870730698438726,0.704116618004922
0.0,ACTION3-M0,AL,153,3,0.0196078431372549,-2.240056898929535,0.0,-0.04392268429273598,0.4493416791438782
0.0,ACTION3-M0,AU,314,33,0.10509554140127389,-1.7800226335131386,0.3333333333333333,-0.18707244237558465,0.8827589234587547
0.0,ACTION3-M0,CF,160,7,0.04375,0.39491803276245235,0.2857142857142857,0.01727766393335729,0.48361699270551606
0.0,ACTION3-M0,CU,162,14,0.08641975308641975,-1.424928989587361,0.42857142857142855,-0.12314201144582132,0.6062849562878816
0.0,ACTION3-M0,I,126,0,0.0,,,0.0,0.3019102210531498
0.0,ACTION3-M0,M,160,25,0.15625,-0.9225952655503927,0.24,-0.14415551024224887,0.5405323732895004
0.0,ACTION3-M0,MA,161,13,0.08074534161490683,-2.2792593061563378,0.23076923076923078,-0.184039571304549,0.5916265785363267
0.0,ACTION3-M0,NI,144,1,0.006944444444444444,-0.17871966341321205,0.0,-0.0012411087737028614,0.506531053735658
0.0,ACTION3-M0,P,130,11,0.08461538461538462,-1.3646720607250644,0.2727272727272727,-0.11547225129212083,0.43048125885632865
0.0,ACTION3-M0,RB,138,4,0.028985507246376812,-2.8530400464640038,0.5,-0.08269681294098562,0.468821121387807
0.0,ACTION3-M0,RU,174,22,0.12643678160919541,-0.6835680756202897,0.2727272727272727,-0.08642814749222054,0.5304418775246255
0.0,ACTION3-M0,SC,258,19,0.07364341085271318,-1.8092976622194061,0.15789473684210525,-0.1332428510936772,0.9867092199797889
0.0,ACTION3-M0,SN,150,2,0.013333333333333334,-1.3895215275221768,0.5,-0.018526953700295692,0.4050755369756592
0.0,ACTION3-M0,TA,150,1,0.006666666666666667,1.2284252222150724,1.0,0.008189501481433816,0.4958182714133064
0.0,ACTION3-M1,AG,239,113,0.47280334728033474,-1.112402786486965,0.40707964601769914,-0.5259477609750085,0.670552948900383
0.0,ACTION3-M1,AL,153,42,0.27450980392156865,-1.5874768620513773,0.19047619047619047,-0.43577796213175063,0.5042377107469932
0.0,ACTION3-M1,AU,314,130,0.4140127388535032,-0.3838014905787727,0.4461538461538462,-0.1588987062905747,0.6899965538090971
0.0,ACTION3-M1,CF,160,78,0.4875,-1.3556303155429035,0.3076923076923077,-0.6608697788271655,0.5221105128537851
0.0,ACTION3-M1,CU,162,78,0.48148148148148145,-1.1967530451114212,0.358974358974359,-0.5762144291277214,0.4553578608974635
0.0,ACTION3-M1,I,126,22,0.1746031746031746,-0.12082188503280782,0.45454545454545453,-0.02109588468826803,0.28703413775442715
0.0,ACTION3-M1,M,160,72,0.45,-0.5511646737640482,0.3333333333333333,-0.24802410319382168,0.4816120285635178
0.0,ACTION3-M1,MA,161,72,0.4472049689440994,-0.8317935698285309,0.3888888888888889,-0.37198221756306976,0.5135431862516644
0.0,ACTION3-M1,NI,144,32,0.2222222222222222,-0.5917108088260127,0.40625,-0.13149129085022504,0.472264934484631
0.0,ACTION3-M1,P,130,40,0.3076923076923077,-1.348550042612449,0.35,-0.41493847464998435,0.3659184866839043
0.0,ACTION3-M1,RB,138,47,0.34057971014492755,-1.3061578760191443,0.3191489361702128,-0.44485087081811436,0.4492342828917272
0.0,ACTION3-M1,RU,174,73,0.41954022988505746,-1.0003021016736866,0.3150684931506849,-0.4196669736906846,0.476252829685059
0.0,ACTION3-M1,SC,258,116,0.4496124031007752,-0.632842582590092,0.41379310344827586,-0.284533874342832,0.7307589592512291
0.0,ACTION3-M1,SN,150,23,0.15333333333333332,-1.3923752046924682,0.4782608695652174,-0.21349753138617847,0.39393434990382953
0.0,ACTION3-M1,TA,150,20,0.13333333333333333,-1.3455931796891902,0.25,-0.17941242395855872,0.5107104546214527
0.0,ACTION3-M1-MARGIN,AG,239,153,0.6401673640167364,-1.2871050871331948,0.39869281045751637,-0.8239626708425891,0.7036861482919594
0.0,ACTION3-M1-MARGIN,AL,153,83,0.5424836601307189,-1.9636218627981172,0.24096385542168675,-1.065232775243423,0.60194793185698
0.0,ACTION3-M1-MARGIN,AU,314,193,0.6146496815286624,-0.7649052204471252,0.41968911917098445,-0.47014875014743684,0.6870501872982315
0.0,ACTION3-M1-MARGIN,CF,160,93,0.58125,-1.150622733827579,0.3655913978494624,-0.6687994640372803,0.5298289603225385
0.0,ACTION3-M1-MARGIN,CU,162,92,0.5679012345679012,-1.4158928987797876,0.29347826086956524,-0.8040873252329658,0.49757935450896923
0.0,ACTION3-M1-MARGIN,I,126,42,0.3333333333333333,-1.4401522406625193,0.23809523809523808,-0.4800507468875065,0.3368527618157035
0.0,ACTION3-M1-MARGIN,M,160,88,0.55,-1.2398424251257678,0.26136363636363635,-0.6819133338191723,0.5482501086403204
