factor,bucket,horizon,split,bucket_candidate_n,bucket_analyzable_n,bucket_analyzable_weight,bucket_invalidated_n,bucket_invalidation_rate,bucket_survival_rate,bucket_mean_first_invalidation_step,bucket_median_first_invalidation_step,rest_candidate_n,rest_analyzable_n,rest_analyzable_weight,rest_invalidated_n,rest_invalidation_rate,rest_survival_rate,rest_mean_first_invalidation_step,rest_median_first_invalidation_step,delta_invalidation_pp,delta_mean_first_step
source_tf,15m,24,DISCOVERY,3927,750,478.0765873015873,296,0.3568540605418704,0.6431459394581296,7.841808146147781,6.0,9859,1798,1280.9123015873015,865,0.4759814356025391,0.5240185643974609,7.171952981606592,5.0,-11.912737506066867,0.6698551645411897
source_tf,15m,24,VALIDATION,1802,357,220.05357142857144,147,0.37741891855338255,0.6225810814466175,7.888739177799438,7.0,4425,803,565.9301587301587,374,0.4591219400004487,0.5408780599995513,6.792502451227446,4.941269841269856,-8.170302144706614,1.0962367265719912
source_tf,1h,6,DISCOVERY,1582,1222,842.1715728715728,121,0.0894951106438399,0.9105048893561601,2.7894046848099063,2.0,12204,9172,6502.9784632034625,2265,0.23344806209151703,0.766551937908483,3.0000261632387435,3.0,-14.395295144767712,-0.21062147842883716
source_tf,1h,6,VALIDATION,792,626,429.3555916305916,45,0.060303550649791704,0.9396964493502082,2.972320566462826,2.0,5435,4132,2925.2223665223664,1019,0.23104307853213366,0.7689569214678663,2.945608367564063,3.0,-17.073952788234195,0.02671219889876264
source_tf,1h,12,DISCOVERY,1582,801,515.8215728715729,134,0.1524359701883558,0.8475640298116442,5.183030780178351,4.0,12204,6095,4133.664177489178,2186,0.3478321291679182,0.6521678708320817,4.853741220607861,4.0,-19.539615897956242,0.32928955957048966
source_tf,1h,12,VALIDATION,792,427,277.9222582972583,54,0.1041958046496595,0.8958041953503405,5.097266187050359,4.0,5435,2742,1849.6890331890331,1002,0.35194332809734796,0.648056671902652,4.724266131214934,4.0,-24.774752344768846,0.3730000558354245
source_tf,1h,24,DISCOVERY,1582,304,214.60238095238094,76,0.23265063850088208,0.7673493614991179,8.922864159851214,7.0,12204,2244,1544.386507936508,1085,0.4729170210393298,0.5270829789606701,7.208730774496827,5.0,-24.026638253844773,1.714133385354387
source_tf,1h,24,VALIDATION,792,158,102.33571428571429,29,0.15595263023196296,0.8440473697680371,7.3780396837237054,5.1904761904761925,5435,1002,683.6480158730159,492,0.47820486848971405,0.521795131510286,7.042408308328719,5.0,-32.2252238257751,0.33563137539498644
source_ob_structure,internal,6,DISCOVERY,12300,9270,6754.8612914862915,2143,0.22010211714608507,0.7798978828539149,2.9889907222646688,3.0,1486,1124,590.2887445887445,243,0.18079065177337578,0.8192093482266243,3.00501547878774,3.0,3.93114653727093,-0.016024756523071115
source_ob_structure,internal,6,VALIDATION,5474,4196,3047.9858585858588,949,0.21319504300192654,0.7868049569980735,2.972867755498356,3.0,753,562,306.5920995670996,115,0.16937348190606763,0.8306265180939324,2.6178129298486925,2.0,4.382156109585892,0.3550548256496633
source_ob_structure,internal,12,DISCOVERY,12300,6144,4281.025577200578,2072,0.32797468179602446,0.6720253182039755,4.843960081462941,4.0,1486,752,368.46017316017316,248,0.3050071100469212,0.6949928899530788,5.206333283685193,5.0,2.2967571749103244,-0.3623732022222521
source_ob_structure,internal,12,VALIDATION,5474,2796,1931.1525252525253,940,0.3230491298327483,0.6769508701672518,4.731489962598274,4.0,753,373,196.45876623376626,116,0.2854894481784893,0.7145105518215107,4.836499479973681,4.0,3.755968165425899,-0.10500951737540731
source_ob_structure,internal,24,DISCOVERY,12300,2274,1619.570238095238,1027,0.44316797739553193,0.5568320226044681,7.291342056682418,5.0,1486,274,139.41865079365078,134,0.44866580329315325,0.5513341967068468,7.62899665042631,7.0,-0.5497825897621322,-0.33765459374389195
source_ob_structure,internal,24,VALIDATION,5474,1011,704.7480158730158,468,0.45331636603198827,0.5466836339680117,7.0956185394137705,5.0,753,149,81.23571428571428,53,0.2881678829977432,0.7118321170022568,6.545056956875509,5.0,16.514848303424507,0.5505615825382613
