offset,n_trades,mean_gross_return,mean_gross_bps,median_gross_return,win_rate,break_even_roundtrip_cost_bps,break_even_oneway_cost_bps,instrument,horizon,fold,model
2,320,0.000390421840337549,3.90421840337549,0.0006082187293768859,0.55625,3.90421840337549,1.952109201687745,AG,3,6,LASSO
0,300,0.0007891908857479768,7.891908857479767,0.000604377200814743,0.56,7.891908857479767,3.9459544287398836,AG,3,6,RF
1,300,0.0006346999495492337,6.346999495492337,0.00021161908669831142,0.52,6.346999495492337,3.1734997477461686,AG,3,6,RF
2,320,0.0008433076026359131,8.433076026359132,0.0005172217435345239,0.546875,8.433076026359132,4.216538013179566,AG,3,6,RF
0,195,-3.2426017884250136e-05,-0.32426017884250136,0.0,0.441025641025641,-0.32426017884250136,-0.16213008942125068,AG,3,7,LASSO
1,195,0.0001918267478406422,1.918267478406422,0.0,0.49230769230769234,1.918267478406422,0.959133739203211,AG,3,7,LASSO
2,208,-0.00031762411759041795,-3.1762411759041793,-0.00037322225161573463,0.3894230769230769,-3.1762411759041793,-1.5881205879520897,AG,3,7,LASSO
0,195,0.0006188380370683329,6.188380370683329,0.0001926596666987912,0.517948717948718,6.188380370683329,3.0941901853416645,AG,3,7,RF
1,195,0.0006230855531887434,6.230855531887434,0.0,0.49743589743589745,6.230855531887434,3.115427765943717,AG,3,7,RF
2,208,0.0007938395610623095,7.938395610623095,0.00030260487399913494,0.5288461538461539,7.938395610623095,3.9691978053115475,AG,3,7,RF
0,336,0.00018026671373732556,1.8026671373732557,-0.00012887054893018224,0.4851190476190476,1.8026671373732557,0.9013335686866278,AG,3,8,LASSO
1,336,4.337396911847098e-05,0.4337396911847098,-0.0003451982683027599,0.4732142857142857,0.4337396911847098,0.2168698455923549,AG,3,8,LASSO
2,359,1.756313130726628e-05,0.1756313130726628,5.75407100522618e-05,0.5041782729805014,0.1756313130726628,0.0878156565363314,AG,3,8,LASSO
0,336,9.69392226049354e-05,0.9693922260493539,5.6891509958134634e-05,0.5029761904761905,0.9693922260493539,0.48469611302467697,AG,3,8,RF
1,336,-0.000169100997195219,-1.69100997195219,-0.0004777704383050474,0.4642857142857143,-1.69100997195219,-0.845504985976095,AG,3,8,RF
2,359,-8.764313555626073e-05,-0.8764313555626073,-0.00013805798435351235,0.4763231197771588,-0.8764313555626073,-0.43821567778130366,AG,3,8,RF
0,279,-0.0001286493421112941,-1.2864934211129408,0.0,0.4874551971326165,-1.2864934211129408,-0.6432467105564704,AG,3,9,LASSO
1,279,0.00012162649170150203,1.2162649170150204,0.0001596848884866109,0.5232974910394266,1.2162649170150204,0.6081324585075102,AG,3,9,LASSO
2,297,-7.296535268160393e-06,-0.07296535268160394,-0.00011265701571561149,0.468013468013468,-0.07296535268160394,-0.03648267634080197,AG,3,9,LASSO
0,279,-8.201477064509038e-05,-0.8201477064509037,-0.00011235955056176916,0.45161290322580644,-0.8201477064509037,-0.41007385322545187,AG,3,9,RF
1,279,3.567939213618924e-05,0.35679392136189236,-0.00016754160616549996,0.4659498207885305,0.35679392136189236,0.17839696068094618,AG,3,9,RF
2,297,-0.00010925232546613255,-1.0925232546613255,-0.0002780867630700623,0.4511784511784512,-1.0925232546613255,-0.5462616273306627,AG,3,9,RF
0,276,0.0002635444892925071,2.6354448929250713,0.00024435741426054314,0.5362318840579711,2.6354448929250713,1.3177224464625357,AG,3,10,LASSO
1,276,0.00023461062570716304,2.3461062570716305,0.0001860924073706638,0.5289855072463768,2.3461062570716305,1.1730531285358152,AG,3,10,LASSO
2,295,0.00027424201727559665,2.7424201727559665,0.00016138576577540142,0.5389830508474577,2.7424201727559665,1.3712100863779833,AG,3,10,LASSO
0,276,0.00024320841778000744,2.4320841778000744,0.00024435741426054314,0.5362318840579711,2.4320841778000744,1.2160420889000372,AG,3,10,RF
1,276,0.000359246333163199,3.59246333163199,0.00016020338905209375,0.5217391304347826,3.59246333163199,1.796231665815995,AG,3,10,RF
2,295,0.00012660305958977594,1.2660305958977593,5.218661935080249e-05,0.5084745762711864,1.2660305958977593,0.6330152979488797,AG,3,10,RF
0,300,-0.0001557290942992362,-1.557290942992362,0.00011492686548986164,0.5266666666666666,-1.557290942992362,-0.778645471496181,AG,3,11,LASSO
1,300,-7.392575254253963e-05,-0.7392575254253964,-0.00011551049429886495,0.47,-0.7392575254253964,-0.3696287627126982,AG,3,11,LASSO
2,320,-0.00026138646674588246,-2.6138646674588246,-8.788510890944679e-05,0.475,-2.6138646674588246,-1.3069323337294123,AG,3,11,LASSO
0,300,-7.956406393952601e-05,-0.7956406393952601,0.00010984201329544696,0.5166666666666667,-0.7956406393952601,-0.39782031969763004,AG,3,11,RF
1,300,0.00010435474372847309,1.0435474372847309,-9.434424911414219e-05,0.4766666666666667,1.0435474372847309,0.5217737186423654,AG,3,11,RF
2,320,6.135585435102162e-05,0.6135585435102162,0.00011078185500656978,0.5125,0.6135585435102162,0.3067792717551081,AG,3,11,RF
0,339,6.91688197497638e-05,0.691688197497638,-6.82314365015868e-05,0.4896755162241888,0.691688197497638,0.345844098748819,AG,3,12,LASSO
1,339,9.060877614499101e-05,0.9060877614499101,0.0,0.49557522123893805,0.9060877614499101,0.45304388072495505,AG,3,12,LASSO
2,361,1.9704195107451784e-05,0.19704195107451783,0.0,0.49584487534626037,0.19704195107451783,0.09852097553725891,AG,3,12,LASSO
0,339,5.619410931548545e-05,0.5619410931548545,-0.00014638072583250672,0.471976401179941,0.5619410931548545,0.28097054657742726,AG,3,12,RF
1,339,0.00013104010559531355,1.3104010559531354,6.772314329306361e-05,0.5014749262536873,1.3104010559531354,0.6552005279765677,AG,3,12,RF
2,361,-0.00010214880711979418,-1.0214880711979417,-7.140306535313723e-05,0.46814404432132967,-1.0214880711979417,-0.5107440355989709,AG,3,12,RF
0,321,-8.28265166511338e-05,-0.8282651665113381,0.0,0.48598130841121495,-0.8282651665113381,-0.41413258325566904,AG,3,13,LASSO
1,321,-7.687010053546996e-05,-0.7687010053546997,0.0,0.48598130841121495,-0.7687010053546997,-0.3843505026773498,AG,3,13,LASSO
2,343,-6.200497214237552e-05,-0.6200497214237553,-0.0001263822986780072,0.4606413994169096,-0.6200497214237553,-0.3100248607118776,AG,3,13,LASSO
0,321,-3.80617441731787e-05,-0.380617441731787,0.0,0.48286604361370716,-0.380617441731787,-0.1903087208658935,AG,3,13,RF
