目标,视图,目标类型,模型,分层,状态数,真实有利比例,AUC,真实平均
2.0R,S0_CURRENT,A,线性,-0.50~-0.25,3890,0.6388,0.4868,-0.03789
2.0R,S0_CURRENT,A,线性,-0.25~0,3159,0.5856,0.4846,-0.005708
2.0R,S0_CURRENT,A,线性,0~0.25,6597,0.5418,0.4824,0.057042
2.0R,S0_CURRENT,A,线性,0.25~0.50,5331,0.4828,0.5285,0.011256
2.0R,S0_CURRENT,A,线性,0.50~1.00,7802,0.4437,0.5334,0.00977
2.0R,S0_CURRENT,A,线性,R>=1.00,5335,0.298,0.5348,-0.027832
2.0R,S0_CURRENT,B,LightGBM,R<-0.75,662,0.3323,0.5004,0.284336
2.0R,S0_CURRENT,B,LightGBM,-0.75~-0.50,2209,0.4649,0.4786,0.337952
2.0R,S0_CURRENT,B,LightGBM,-0.50~-0.25,3890,0.5943,0.4947,0.481696
2.0R,S0_CURRENT,B,LightGBM,-0.25~0,3159,0.6692,0.5056,0.546837
2.0R,S0_CURRENT,B,LightGBM,0~0.25,6597,0.6742,0.4987,0.535973
2.0R,S0_CURRENT,B,LightGBM,0.25~0.50,5331,0.6942,0.4366,0.562807
2.0R,S0_CURRENT,B,LightGBM,0.50~1.00,7802,0.7096,0.4585,0.498974
2.0R,S0_CURRENT,B,LightGBM,R>=1.00,5335,0.7565,0.4574,0.323515
2.0R,S1_PATH_ONLY,A,LightGBM,R<-0.75,662,0.8414,0.4046,-0.089396
2.0R,S1_PATH_ONLY,A,LightGBM,-0.75~-0.50,2209,0.7501,0.5129,-0.038849
2.0R,S1_PATH_ONLY,A,LightGBM,-0.50~-0.25,3890,0.6388,0.4938,-0.03789
2.0R,S1_PATH_ONLY,A,LightGBM,-0.25~0,3159,0.5856,0.4872,-0.005708
2.0R,S1_PATH_ONLY,A,LightGBM,0~0.25,6597,0.5418,0.4773,0.057042
2.0R,S1_PATH_ONLY,A,LightGBM,0.25~0.50,5331,0.4828,0.5207,0.011256
2.0R,S1_PATH_ONLY,A,LightGBM,0.50~1.00,7802,0.4437,0.5141,0.00977
2.0R,S1_PATH_ONLY,A,LightGBM,R>=1.00,5335,0.298,0.4935,-0.027832
2.0R,S1_PATH_ONLY,A,线性,R<-0.75,662,0.8414,0.3965,-0.089396
2.0R,S1_PATH_ONLY,A,线性,-0.75~-0.50,2209,0.7501,0.4666,-0.038849
2.0R,S1_PATH_ONLY,A,线性,-0.50~-0.25,3890,0.6388,0.4798,-0.03789
2.0R,S1_PATH_ONLY,A,线性,-0.25~0,3159,0.5856,0.4829,-0.005708
2.0R,S1_PATH_ONLY,A,线性,0~0.25,6597,0.5418,0.4748,0.057042
2.0R,S1_PATH_ONLY,A,线性,0.25~0.50,5331,0.4828,0.5159,0.011256
2.0R,S1_PATH_ONLY,A,线性,0.50~1.00,7802,0.4437,0.513,0.00977
2.0R,S1_PATH_ONLY,A,线性,R>=1.00,5335,0.298,0.514,-0.027832
2.0R,S1_PATH_ONLY,B,LightGBM,R<-0.75,662,0.3323,0.5097,0.284336
2.0R,S1_PATH_ONLY,B,LightGBM,-0.75~-0.50,2209,0.4649,0.4896,0.337952
2.0R,S1_PATH_ONLY,B,LightGBM,-0.50~-0.25,3890,0.5943,0.4763,0.481696
2.0R,S1_PATH_ONLY,B,LightGBM,-0.25~0,3159,0.6692,0.4855,0.546837
2.0R,S1_PATH_ONLY,B,LightGBM,0~0.25,6597,0.6742,0.4735,0.535973
2.0R,S1_PATH_ONLY,B,LightGBM,0.25~0.50,5331,0.6942,0.4436,0.562807
2.0R,S1_PATH_ONLY,B,LightGBM,0.50~1.00,7802,0.7096,0.4514,0.498974
2.0R,S1_PATH_ONLY,B,LightGBM,R>=1.00,5335,0.7565,0.4666,0.323515
2.0R,S2_CURRENT_PLUS_PATH,A,LightGBM,R<-0.75,662,0.8414,0.4759,-0.089396
2.0R,S2_CURRENT_PLUS_PATH,A,LightGBM,-0.75~-0.50,2209,0.7501,0.5309,-0.038849
2.0R,S2_CURRENT_PLUS_PATH,A,LightGBM,-0.50~-0.25,3890,0.6388,0.4867,-0.03789
2.0R,S2_CURRENT_PLUS_PATH,A,LightGBM,-0.25~0,3159,0.5856,0.4917,-0.005708
2.0R,S2_CURRENT_PLUS_PATH,A,LightGBM,0~0.25,6597,0.5418,0.4713,0.057042
2.0R,S2_CURRENT_PLUS_PATH,A,LightGBM,0.25~0.50,5331,0.4828,0.5283,0.011256
2.0R,S2_CURRENT_PLUS_PATH,A,LightGBM,0.50~1.00,7802,0.4437,0.5174,0.00977
2.0R,S2_CURRENT_PLUS_PATH,A,LightGBM,R>=1.00,5335,0.298,0.5185,-0.027832
2.0R,S2_CURRENT_PLUS_PATH,A,线性,R<-0.75,662,0.8414,0.4764,-0.089396
2.0R,S2_CURRENT_PLUS_PATH,A,线性,-0.75~-0.50,2209,0.7501,0.4636,-0.038849
2.0R,S2_CURRENT_PLUS_PATH,A,线性,-0.50~-0.25,3890,0.6388,0.4894,-0.03789
2.0R,S2_CURRENT_PLUS_PATH,A,线性,-0.25~0,3159,0.5856,0.4906,-0.005708
2.0R,S2_CURRENT_PLUS_PATH,A,线性,0~0.25,6597,0.5418,0.4838,0.057042
2.0R,S2_CURRENT_PLUS_PATH,A,线性,0.25~0.50,5331,0.4828,0.528,0.011256
2.0R,S2_CURRENT_PLUS_PATH,A,线性,0.50~1.00,7802,0.4437,0.5343,0.00977
2.0R,S2_CURRENT_PLUS_PATH,A,线性,R>=1.00,5335,0.298,0.5356,-0.027832
2.0R,S2_CURRENT_PLUS_PATH,B,LightGBM,R<-0.75,662,0.3323,0.4816,0.284336
2.0R,S2_CURRENT_PLUS_PATH,B,LightGBM,-0.75~-0.50,2209,0.4649,0.487,0.337952
2.0R,S2_CURRENT_PLUS_PATH,B,LightGBM,-0.50~-0.25,3890,0.5943,0.4821,0.481696
2.0R,S2_CURRENT_PLUS_PATH,B,LightGBM,-0.25~0,3159,0.6692,0.4808,0.546837
2.0R,S2_CURRENT_PLUS_PATH,B,LightGBM,0~0.25,6597,0.6742,0.4874,0.535973
2.0R,S2_CURRENT_PLUS_PATH,B,LightGBM,0.25~0.50,5331,0.6942,0.4295,0.562807
2.0R,S2_CURRENT_PLUS_PATH,B,LightGBM,0.50~1.00,7802,0.7096,0.4539,0.498974
2.0R,S2_CURRENT_PLUS_PATH,B,LightGBM,R>=1.00,5335,0.7565,0.4497,0.323515
2.5R,S0_CURRENT,A,LightGBM,R<-0.75,670,0.8418,0.5184,-0.089902
2.5R,S0_CURRENT,A,LightGBM,-0.75~-0.50,2241,0.751,0.4846,-0.050316
2.5R,S0_CURRENT,A,LightGBM,-0.50~-0.25,3957,0.6419,0.4982,-0.045093
2.5R,S0_CURRENT,A,LightGBM,-0.25~0,3217,0.5937,0.4771,-0.009098
2.5R,S0_CURRENT,A,LightGBM,0~0.25,6758,0.5546,0.4823,0.059078
2.5R,S0_CURRENT,A,LightGBM,0.25~0.50,5544,0.5051,0.5078,0.019707
2.5R,S0_CURRENT,A,LightGBM,0.50~1.00,8436,0.4732,0.5118,0.003844
2.5R,S0_CURRENT,A,LightGBM,R>=1.00,8398,0.3751,0.4947,-0.016623
2.5R,S0_CURRENT,A,线性,R<-0.75,670,0.8418,0.4913,-0.089902
2.5R,S0_CURRENT,A,线性,-0.75~-0.50,2241,0.751,0.4766,-0.050316
2.5R,S0_CURRENT,A,线性,-0.50~-0.25,3957,0.6419,0.4916,-0.045093
2.5R,S0_CURRENT,A,线性,-0.25~0,3217,0.5937,0.4886,-0.009098
2.5R,S0_CURRENT,A,线性,0~0.25,6758,0.5546,0.4808,0.059078
2.5R,S0_CURRENT,A,线性,0.25~0.50,5544,0.5051,0.5135,0.019707
2.5R,S0_CURRENT,A,线性,0.50~1.00,8436,0.4732,0.5307,0.003844
2.5R,S0_CURRENT,A,线性,R>=1.00,8398,0.3751,0.5068,-0.016623
2.5R,S0_CURRENT,B,LightGBM,R<-0.75,670,0.3328,0.5366,0.295949
2.5R,S0_CURRENT,B,LightGBM,-0.75~-0.50,2241,0.4659,0.5168,0.36341
2.5R,S0_CURRENT,B,LightGBM,-0.50~-0.25,3957,0.5936,0.4981,0.51602
2.5R,S0_CURRENT,B,LightGBM,-0.25~0,3217,0.6652,0.5011,0.578432
2.5R,S0_CURRENT,B,LightGBM,0~0.25,6758,0.6721,0.4878,0.583973
2.5R,S0_CURRENT,B,LightGBM,0.25~0.50,5544,0.6883,0.4234,0.622851
2.5R,S0_CURRENT,B,LightGBM,0.50~1.00,8436,0.7071,0.4347,0.587215
2.5R,S0_CURRENT,B,LightGBM,R>=1.00,8398,0.7241,0.4345,0.422431
2.5R,S1_PATH_ONLY,A,LightGBM,R<-0.75,670,0.8418,0.4111,-0.089902
2.5R,S1_PATH_ONLY,A,LightGBM,-0.75~-0.50,2241,0.751,0.5006,-0.050316
2.5R,S1_PATH_ONLY,A,LightGBM,-0.50~-0.25,3957,0.6419,0.5011,-0.045093
2.5R,S1_PATH_ONLY,A,LightGBM,-0.25~0,3217,0.5937,0.5095,-0.009098
2.5R,S1_PATH_ONLY,A,LightGBM,0~0.25,6758,0.5546,0.4837,0.059078
2.5R,S1_PATH_ONLY,A,LightGBM,0.25~0.50,5544,0.5051,0.4947,0.019707
2.5R,S1_PATH_ONLY,A,LightGBM,0.50~1.00,8436,0.4732,0.5177,0.003844
2.5R,S1_PATH_ONLY,A,LightGBM,R>=1.00,8398,0.3751,0.4936,-0.016623
2.5R,S1_PATH_ONLY,A,线性,R<-0.75,670,0.8418,0.382,-0.089902
2.5R,S1_PATH_ONLY,A,线性,-0.75~-0.50,2241,0.751,0.4704,-0.050316
2.5R,S1_PATH_ONLY,A,线性,-0.50~-0.25,3957,0.6419,0.4715,-0.045093
2.5R,S1_PATH_ONLY,A,线性,-0.25~0,3217,0.5937,0.476,-0.009098
2.5R,S1_PATH_ONLY,A,线性,0~0.25,6758,0.5546,0.4656,0.059078
2.5R,S1_PATH_ONLY,A,线性,0.25~0.50,5544,0.5051,0.5036,0.019707
2.5R,S1_PATH_ONLY,A,线性,0.50~1.00,8436,0.4732,0.5064,0.003844
2.5R,S1_PATH_ONLY,A,线性,R>=1.00,8398,0.3751,0.4963,-0.016623
2.5R,S1_PATH_ONLY,B,LightGBM,R<-0.75,670,0.3328,0.4964,0.295949
2.5R,S1_PATH_ONLY,B,LightGBM,-0.75~-0.50,2241,0.4659,0.5004,0.36341
2.5R,S1_PATH_ONLY,B,LightGBM,-0.50~-0.25,3957,0.5936,0.4814,0.51602
2.5R,S1_PATH_ONLY,B,LightGBM,-0.25~0,3217,0.6652,0.491,0.578432
2.5R,S1_PATH_ONLY,B,LightGBM,0~0.25,6758,0.6721,0.4725,0.583973
2.5R,S1_PATH_ONLY,B,LightGBM,0.25~0.50,5544,0.6883,0.4427,0.622851
2.5R,S1_PATH_ONLY,B,LightGBM,0.50~1.00,8436,0.7071,0.439,0.587215
2.5R,S1_PATH_ONLY,B,LightGBM,R>=1.00,8398,0.7241,0.4298,0.422431
2.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,R<-0.75,670,0.8418,0.5073,-0.089902
2.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,-0.75~-0.50,2241,0.751,0.4954,-0.050316
2.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,-0.50~-0.25,3957,0.6419,0.5068,-0.045093
2.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,-0.25~0,3217,0.5937,0.47,-0.009098
2.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,0~0.25,6758,0.5546,0.4831,0.059078
2.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,0.25~0.50,5544,0.5051,0.512,0.019707
2.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,0.50~1.00,8436,0.4732,0.5064,0.003844
2.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,R>=1.00,8398,0.3751,0.4925,-0.016623
2.5R,S2_CURRENT_PLUS_PATH,A,线性,R<-0.75,670,0.8418,0.4875,-0.089902
2.5R,S2_CURRENT_PLUS_PATH,A,线性,-0.75~-0.50,2241,0.751,0.4821,-0.050316
2.5R,S2_CURRENT_PLUS_PATH,A,线性,-0.50~-0.25,3957,0.6419,0.4935,-0.045093
2.5R,S2_CURRENT_PLUS_PATH,A,线性,-0.25~0,3217,0.5937,0.4931,-0.009098
2.5R,S2_CURRENT_PLUS_PATH,A,线性,0~0.25,6758,0.5546,0.4816,0.059078
2.5R,S2_CURRENT_PLUS_PATH,A,线性,0.25~0.50,5544,0.5051,0.5116,0.019707
2.5R,S2_CURRENT_PLUS_PATH,A,线性,0.50~1.00,8436,0.4732,0.5302,0.003844
2.5R,S2_CURRENT_PLUS_PATH,A,线性,R>=1.00,8398,0.3751,0.5058,-0.016623
2.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,R<-0.75,670,0.3328,0.4936,0.295949
2.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,-0.75~-0.50,2241,0.4659,0.5027,0.36341
2.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,-0.50~-0.25,3957,0.5936,0.4847,0.51602
2.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,-0.25~0,3217,0.6652,0.509,0.578432
2.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,0~0.25,6758,0.6721,0.4886,0.583973
2.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,0.25~0.50,5544,0.6883,0.4201,0.622851
2.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,0.50~1.00,8436,0.7071,0.4313,0.587215
2.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,R>=1.00,8398,0.7241,0.4391,0.422431
