目标,视图,目标类型,模型,预测十分位,状态数,预测平均,真实平均,真实中位数,真实有利比例
2.5R,S1_PATH_ONLY,A,线性,4,3922,-0.146582,-0.010244,0.147618,0.5278
2.5R,S1_PATH_ONLY,A,线性,5,3923,-0.120275,-0.051667,0.096076,0.5141
2.5R,S1_PATH_ONLY,A,线性,6,3921,-0.097507,0.011323,0.183477,0.5399
2.5R,S1_PATH_ONLY,A,线性,7,3923,-0.075521,0.019462,0.097649,0.5113
2.5R,S1_PATH_ONLY,A,线性,8,3921,-0.051492,-0.064996,-0.098567,0.4468
2.5R,S1_PATH_ONLY,A,线性,9,3922,-0.024217,0.011551,-0.085836,0.4342
2.5R,S1_PATH_ONLY,A,线性,10,3922,0.026091,0.017636,-0.138712,0.4161
2.5R,S1_PATH_ONLY,B,LightGBM,1,3923,0.089953,0.1233,0.093769,
2.5R,S1_PATH_ONLY,B,LightGBM,2,3923,0.306237,0.350102,0.307142,
2.5R,S1_PATH_ONLY,B,LightGBM,3,3921,0.432842,0.397753,0.324543,
2.5R,S1_PATH_ONLY,B,LightGBM,4,3924,0.527325,0.523308,0.498076,
2.5R,S1_PATH_ONLY,B,LightGBM,5,3920,0.60461,0.57197,0.509094,
2.5R,S1_PATH_ONLY,B,LightGBM,6,3922,0.674988,0.59023,0.514063,
2.5R,S1_PATH_ONLY,B,LightGBM,7,3922,0.74108,0.657748,0.57836,
2.5R,S1_PATH_ONLY,B,LightGBM,8,3922,0.80429,0.688314,0.59488,
2.5R,S1_PATH_ONLY,B,LightGBM,9,3922,0.872675,0.694256,0.64453,
2.5R,S1_PATH_ONLY,B,LightGBM,10,3922,0.995667,0.710595,0.63293,
2.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,1,3923,-0.6153,0.001925,0.280352,0.586
2.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,2,3922,-0.324931,-0.085344,0.178996,0.54
2.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,3,3922,-0.204149,-0.058504,0.198854,0.5367
2.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,4,3922,-0.111731,-0.034612,0.150459,0.5275
2.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,5,3922,-0.032626,0.069591,0.223447,0.5395
2.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,6,3922,0.04451,0.087591,0.225835,0.5421
2.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,7,3922,0.12607,0.091434,0.147622,0.5184
2.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,8,3922,0.218054,0.036332,0.0,0.4911
2.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,9,3922,0.347673,0.015033,0.022882,0.502
2.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,10,3922,0.641123,-0.118183,-0.234097,0.4146
2.5R,S2_CURRENT_PLUS_PATH,A,线性,1,3923,-0.532562,0.041624,0.304786,0.582
2.5R,S2_CURRENT_PLUS_PATH,A,线性,2,3922,-0.235345,0.016966,0.290658,0.5678
2.5R,S2_CURRENT_PLUS_PATH,A,线性,3,3922,-0.155033,-0.046796,0.258348,0.5467
2.5R,S2_CURRENT_PLUS_PATH,A,线性,4,3922,-0.095893,-0.089548,0.021064,0.5015
2.5R,S2_CURRENT_PLUS_PATH,A,线性,5,3922,-0.044989,-0.015165,0.149625,0.5178
2.5R,S2_CURRENT_PLUS_PATH,A,线性,6,3922,0.004265,-0.036791,0.0,0.4952
2.5R,S2_CURRENT_PLUS_PATH,A,线性,7,3922,0.056664,-0.04836,0.0,0.4735
2.5R,S2_CURRENT_PLUS_PATH,A,线性,8,3922,0.114908,0.030553,0.0,0.499
2.5R,S2_CURRENT_PLUS_PATH,A,线性,9,3922,0.192835,0.013204,0.0,0.4832
2.5R,S2_CURRENT_PLUS_PATH,A,线性,10,3922,0.419416,0.139565,0.119059,0.5314
2.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,1,3923,0.02079,0.169492,0.193823,
2.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,2,3922,0.224983,0.377016,0.325132,
2.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,3,3922,0.335506,0.486984,0.423596,
2.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,4,3924,0.423052,0.521159,0.453314,
2.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,5,3920,0.500025,0.499065,0.403392,
2.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,6,3922,0.57273,0.582816,0.52398,
2.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,7,3922,0.648236,0.629196,0.543211,
2.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,8,3922,0.729957,0.665291,0.568317,
2.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,9,3922,0.836891,0.696624,0.633639,
2.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,10,3922,1.082823,0.679875,0.580765,
