目标,退出方式,品种,折,opportunity_curve_cumulative_R,夏普率,最大回撤,利润因子,交易次数,trade_total_R,平均交易R,提前退出比例,平均持有K线数
1.5R,S1_PATH_ONLY-A-LightGBM,CU,F4,-0.2328,-0.8683,0.6575,0.8406551887394692,202,-21.8237,-0.108038,0.0792,0.9554
1.5R,S1_PATH_ONLY-A-LightGBM,M,F4,-0.5608,-1.904,0.9314,0.7418639086394179,202,-38.2327,-0.189271,0.0396,0.4158
1.5R,S1_PATH_ONLY-A-LightGBM,RB,F4,-0.5214,-1.7692,0.8747,0.760525564098308,202,-35.8792,-0.17762,0.0,0.0297
1.5R,S1_PATH_ONLY-A-线性,AG,F1,0.7626,2.1956,0.6819,1.0836931204672369,559,26.7366,0.047829,0.0215,1.161
1.5R,S1_PATH_ONLY-A-线性,CU,F1,0.5024,1.4654,0.719,1.0481579345060548,559,15.5772,0.027866,0.0215,0.8283
1.5R,S1_PATH_ONLY-A-线性,M,F1,0.6527,1.8559,0.66,1.0669236339599146,559,21.5133,0.038485,0.0125,0.4973
1.5R,S1_PATH_ONLY-A-线性,RB,F1,0.5693,1.7016,0.6433,1.0570225222712848,559,18.3875,0.032894,0.0107,0.6762
1.5R,S1_PATH_ONLY-A-线性,AG,F2,1.2843,3.024,0.9714,1.1805673523150337,714,69.0979,0.096776,0.0224,1.0798
1.5R,S1_PATH_ONLY-A-线性,CU,F2,1.121,2.6333,1.0842,1.1589801879854131,714,61.0661,0.085527,0.0434,1.465
1.5R,S1_PATH_ONLY-A-线性,M,F2,1.1506,2.6592,1.1121,1.1613689563932275,714,62.1236,0.087008,0.0126,0.6176
1.5R,S1_PATH_ONLY-A-线性,RB,F2,1.167,2.6913,1.0787,1.1620792155519821,714,62.5591,0.087618,0.0028,0.2577
1.5R,S1_PATH_ONLY-A-线性,AG,F3,0.5122,2.3613,0.3757,1.2212319305954114,139,16.4813,0.11857,0.0432,0.3741
1.5R,S1_PATH_ONLY-A-线性,CU,F3,0.0533,0.3279,0.5372,0.9352693635417227,139,-4.7576,-0.034227,0.1942,1.554
1.5R,S1_PATH_ONLY-A-线性,M,F3,0.4479,2.1089,0.4197,1.1795268753035728,139,13.5539,0.09751,0.0144,0.2158
1.5R,S1_PATH_ONLY-A-线性,RB,F3,0.51,2.3958,0.3822,1.2128987440126693,139,16.0734,0.115636,0.0,0.0791
1.5R,S1_PATH_ONLY-A-线性,AG,F4,-0.5248,-1.7825,0.8747,0.7589215744736088,202,-36.1195,-0.178809,0.005,1.3119
1.5R,S1_PATH_ONLY-A-线性,CU,F4,-0.5214,-1.7692,0.8747,0.760525564098308,202,-35.8792,-0.17762,0.0,1.104
1.5R,S1_PATH_ONLY-A-线性,M,F4,-0.5186,-1.7581,0.8719,0.7616862941028808,202,-35.7053,-0.176759,0.0099,0.6089
1.5R,S1_PATH_ONLY-A-线性,RB,F4,-0.5214,-1.7692,0.8747,0.760525564098308,202,-35.8792,-0.17762,0.0,0.0297
1.5R,S2_CURRENT_PLUS_PATH-A-LightGBM,AG,F1,0.7316,2.4304,0.583,1.083907555315629,559,23.9759,0.042891,0.1789,0.6172
1.5R,S2_CURRENT_PLUS_PATH-A-LightGBM,CU,F1,0.1866,0.5574,0.757,1.0136723152142566,559,4.0459,0.007238,0.1735,0.5009
1.5R,S2_CURRENT_PLUS_PATH-A-LightGBM,M,F1,0.8226,2.1982,0.5941,1.0900320166074924,559,27.0439,0.048379,0.0966,0.195
1.5R,S2_CURRENT_PLUS_PATH-A-LightGBM,RB,F1,0.423,1.221,0.7043,1.0357608449978526,559,11.2055,0.020046,0.0877,0.3936
1.5R,S2_CURRENT_PLUS_PATH-A-LightGBM,AG,F2,1.2874,3.085,1.0225,1.1928041348095444,714,68.3082,0.09567,0.1246,0.8123
1.5R,S2_CURRENT_PLUS_PATH-A-LightGBM,CU,F2,0.8421,2.0161,0.8275,1.1428283083405701,714,48.6335,0.068114,0.1891,0.9104
1.5R,S2_CURRENT_PLUS_PATH-A-LightGBM,M,F2,0.998,2.8117,0.9236,1.146807360766131,714,54.5239,0.076364,0.0686,0.3361
1.5R,S2_CURRENT_PLUS_PATH-A-LightGBM,RB,F2,1.114,2.5774,1.0819,1.151398585754156,714,58.0248,0.081267,0.028,0.1723
1.5R,S2_CURRENT_PLUS_PATH-A-LightGBM,AG,F3,0.5866,2.8038,0.3344,1.278324946525698,139,19.7951,0.142411,0.0791,0.2806
1.5R,S2_CURRENT_PLUS_PATH-A-LightGBM,CU,F3,0.257,1.3083,0.4774,1.0555862902678446,139,3.8456,0.027667,0.2374,1.6763
1.5R,S2_CURRENT_PLUS_PATH-A-LightGBM,M,F3,0.5575,2.7453,0.3336,1.270896022404924,139,19.0465,0.137025,0.0719,0.1295
1.5R,S2_CURRENT_PLUS_PATH-A-LightGBM,RB,F3,0.5382,2.5391,0.354,1.2443182043794896,139,18.0482,0.129843,0.0144,0.0144
1.5R,S2_CURRENT_PLUS_PATH-A-LightGBM,AG,F4,-0.5016,-1.7722,0.8121,0.7337171795459682,202,-36.2267,-0.17934,0.1733,0.7426
1.5R,S2_CURRENT_PLUS_PATH-A-LightGBM,CU,F4,-0.591,-2.1382,0.7721,0.7355840427858307,202,-37.6215,-0.186245,0.1139,0.7772
