目标,退出方式,品种,折,opportunity_curve_cumulative_R,夏普率,最大回撤,利润因子,交易次数,trade_total_R,平均交易R,提前退出比例,平均持有K线数
2.0R,S2_CURRENT_PLUS_PATH-A-LightGBM,CU,F1,0.4756,1.2138,0.817,1.0279390660625733,559,8.8133,0.015766,0.1628,0.6691
2.0R,S2_CURRENT_PLUS_PATH-A-LightGBM,M,F1,0.8564,2.3499,0.5898,1.0974643308914915,559,31.0439,0.055535,0.0859,0.297
2.0R,S2_CURRENT_PLUS_PATH-A-LightGBM,RB,F1,0.0957,0.2733,0.7383,0.98819491568856,559,-3.8301,-0.006852,0.127,0.4902
2.0R,S2_CURRENT_PLUS_PATH-A-LightGBM,AG,F2,1.9493,3.5781,0.9669,1.3126773496545114,714,113.0148,0.158284,0.1821,0.9132
2.0R,S2_CURRENT_PLUS_PATH-A-LightGBM,CU,F2,0.981,2.0464,0.9843,1.174152001619567,714,64.5916,0.090464,0.1835,1.2017
2.0R,S2_CURRENT_PLUS_PATH-A-LightGBM,M,F2,1.0776,2.2011,1.1805,1.1774552858031024,714,72.0831,0.100957,0.0518,0.5224
2.0R,S2_CURRENT_PLUS_PATH-A-LightGBM,RB,F2,0.9402,1.8254,1.3542,1.1446762077705563,714,59.4348,0.083242,0.0518,0.1359
2.0R,S2_CURRENT_PLUS_PATH-A-LightGBM,AG,F3,0.5537,2.8435,0.2735,1.325931532795689,139,23.8024,0.17124,0.1295,0.5971
2.0R,S2_CURRENT_PLUS_PATH-A-LightGBM,CU,F3,0.1584,0.7974,0.506,0.9776917444786454,139,-1.5802,-0.011368,0.3669,1.7842
2.0R,S2_CURRENT_PLUS_PATH-A-LightGBM,M,F3,0.3636,1.9127,0.4069,1.1802176430656428,139,13.4952,0.097087,0.0647,0.223
2.0R,S2_CURRENT_PLUS_PATH-A-LightGBM,RB,F3,0.3424,1.6653,0.4414,1.1474479007788847,139,11.7497,0.08453,0.0,0.0791
2.0R,S2_CURRENT_PLUS_PATH-A-LightGBM,AG,F4,-0.2486,-0.8607,0.745,0.8480422387245976,202,-20.9895,-0.103908,0.203,0.8663
2.0R,S2_CURRENT_PLUS_PATH-A-LightGBM,CU,F4,-0.3198,-1.2718,0.6346,0.8091701220408061,202,-26.4894,-0.131135,0.1881,0.9158
2.0R,S2_CURRENT_PLUS_PATH-A-LightGBM,M,F4,-0.3736,-1.2756,0.7319,0.8198509559234802,202,-27.2692,-0.134996,0.0297,0.6089
2.0R,S2_CURRENT_PLUS_PATH-A-LightGBM,RB,F4,-0.4317,-1.4849,0.7689,0.801435191314699,202,-30.6919,-0.15194,0.0099,0.0149
2.0R,S2_CURRENT_PLUS_PATH-A-线性,AG,F1,0.7009,2.0043,0.6331,1.0834176654882919,559,26.7099,0.047782,0.1002,1.0447
2.0R,S2_CURRENT_PLUS_PATH-A-线性,CU,F1,0.5883,1.619,0.6484,1.0694097669393599,559,22.0916,0.03952,0.1002,0.7674
2.0R,S2_CURRENT_PLUS_PATH-A-线性,M,F1,0.8394,2.4193,0.4946,1.1048194937270688,559,34.2985,0.061357,0.0519,0.3757
2.0R,S2_CURRENT_PLUS_PATH-A-线性,RB,F1,0.2105,0.5887,0.7506,1.001403790895098,559,0.4597,0.000822,0.1109,0.4991
2.0R,S2_CURRENT_PLUS_PATH-A-线性,AG,F2,1.3414,2.5647,1.1244,1.2180209308656682,714,78.2914,0.109652,0.1919,0.6499
2.0R,S2_CURRENT_PLUS_PATH-A-线性,CU,F2,0.8197,1.7192,0.7612,1.1632625073093212,714,57.7248,0.080847,0.2381,0.951
2.0R,S2_CURRENT_PLUS_PATH-A-线性,M,F2,0.9903,2.2311,1.0412,1.1582386208765751,714,63.6617,0.089162,0.0644,0.5518
2.0R,S2_CURRENT_PLUS_PATH-A-线性,RB,F2,1.0102,1.9988,1.2673,1.1572781007775628,714,64.6274,0.090515,0.0392,0.2437
2.0R,S2_CURRENT_PLUS_PATH-A-线性,AG,F3,0.4486,2.2307,0.3629,1.2639686002136836,139,19.2077,0.138185,0.1295,0.482
2.0R,S2_CURRENT_PLUS_PATH-A-线性,CU,F3,-0.1565,-1.0467,0.5057,0.7480289414221575,139,-16.3066,-0.117313,0.4245,0.9424
2.0R,S2_CURRENT_PLUS_PATH-A-线性,M,F3,0.4082,2.1101,0.3751,1.2014479445374364,139,15.1623,0.109082,0.0647,0.1942
2.0R,S2_CURRENT_PLUS_PATH-A-线性,RB,F3,0.3424,1.6653,0.4414,1.1474479007788847,139,11.7497,0.08453,0.0,0.0791
2.0R,S2_CURRENT_PLUS_PATH-A-线性,AG,F4,-0.3296,-1.1208,0.7468,0.8203017322076497,202,-26.7817,-0.132583,0.0842,1.3069
2.0R,S2_CURRENT_PLUS_PATH-A-线性,CU,F4,-0.639,-2.2929,0.73,0.7530297944619102,202,-37.0215,-0.183275,0.1188,1.1733
2.0R,S2_CURRENT_PLUS_PATH-A-线性,M,F4,-0.3554,-1.2213,0.7409,0.8168052841204095,202,-27.9967,-0.138597,0.0347,0.6287
2.0R,S2_CURRENT_PLUS_PATH-A-线性,RB,F4,-0.4665,-1.5976,0.8037,0.7897535896844092,202,-32.918,-0.16296,0.0,0.0297
2.5R,S0_CURRENT-A-LightGBM,AG,F1,1.3461,3.7069,0.7113,1.183156844122777,559,53.6347,0.095948,0.1878,0.814
2.5R,S0_CURRENT-A-LightGBM,CU,F1,0.5857,1.5353,0.8024,1.038644272305998,559,12.6188,0.022574,0.1592,0.7907
2.5R,S0_CURRENT-A-LightGBM,M,F1,1.3149,3.8035,0.4972,1.1760794304883206,559,57.3335,0.102564,0.0859,0.2039
2.5R,S0_CURRENT-A-LightGBM,RB,F1,0.3711,1.0699,0.7108,1.040839948564078,559,13.6621,0.02444,0.1091,0.4937
2.5R,S0_CURRENT-A-LightGBM,AG,F2,1.9266,3.2361,1.0828,1.2789456810357607,714,106.0473,0.148526,0.1807,0.9076
2.5R,S0_CURRENT-A-LightGBM,CU,F2,0.2848,0.521,1.1432,1.0898619818562048,714,35.729,0.050041,0.1821,1.2773
2.5R,S0_CURRENT-A-LightGBM,M,F2,1.6073,2.7791,1.0337,1.2382704670220266,714,99.0311,0.138699,0.0756,0.5224
2.5R,S0_CURRENT-A-LightGBM,RB,F2,1.3487,2.3347,1.1657,1.1883210155716695,714,79.7321,0.11167,0.0518,0.1737
2.5R,S0_CURRENT-A-LightGBM,AG,F3,0.2238,0.9197,0.7014,1.072989191439697,206,8.7887,0.042663,0.1311,0.568
2.5R,S0_CURRENT-A-LightGBM,CU,F3,0.349,1.3966,0.7287,1.1103501115955132,206,12.4909,0.060635,0.2282,2.0631
2.5R,S0_CURRENT-A-LightGBM,M,F3,0.3822,1.4367,0.715,1.145707641444711,206,17.9659,0.087213,0.034,0.2524
2.5R,S0_CURRENT-A-LightGBM,RB,F3,0.4728,1.7352,0.7122,1.1797919701175752,206,22.3421,0.108457,0.0146,0.1408
2.5R,S0_CURRENT-A-LightGBM,AG,F4,-0.549,-1.8127,1.1352,0.7393190501524622,202,-37.5351,-0.185817,0.2376,0.797
2.5R,S0_CURRENT-A-LightGBM,CU,F4,-0.5602,-2.0177,0.917,0.6854968298383415,202,-44.8404,-0.221982,0.2178,0.8515
2.5R,S0_CURRENT-A-LightGBM,M,F4,-0.4535,-1.5021,0.8618,0.7607793500414473,202,-37.8568,-0.18741,0.0644,0.5149
2.5R,S0_CURRENT-A-LightGBM,RB,F4,-0.5823,-1.8833,0.9906,0.7299924831426133,202,-44.0216,-0.217929,0.0099,0.0099
2.5R,S0_CURRENT-A-线性,AG,F1,0.9641,2.8595,0.6914,1.1320672410533208,559,43.6114,0.078017,0.0716,1.2665
2.5R,S0_CURRENT-A-线性,CU,F1,0.8751,2.2689,0.6001,1.1148410161739863,559,38.4719,0.068823,0.0841,1.0376
2.5R,S0_CURRENT-A-线性,M,F1,1.2851,3.8575,0.4653,1.1702308154584191,559,57.4642,0.102798,0.0394,0.4991
2.5R,S0_CURRENT-A-线性,RB,F1,0.8865,2.4813,0.5561,1.1145441954243038,559,38.4826,0.068842,0.0841,0.6279
2.5R,S0_CURRENT-A-线性,AG,F2,1.7792,3.0106,1.0543,1.2607106612711034,714,96.2659,0.134826,0.2059,0.6232
2.5R,S0_CURRENT-A-线性,CU,F2,1.1504,2.2217,0.6748,1.1932087352778284,714,69.6011,0.097481,0.2521,0.8936
2.5R,S0_CURRENT-A-线性,M,F2,1.1907,2.5023,0.9284,1.182119617726288,714,75.933,0.106349,0.063,0.5098
2.5R,S0_CURRENT-A-线性,RB,F2,1.3964,2.4385,1.1309,1.1924852047051204,714,81.8596,0.114649,0.0448,0.2451
2.5R,S0_CURRENT-A-线性,AG,F3,0.0962,0.4233,0.6357,1.0553896998051016,206,6.519,0.031646,0.1602,0.5437
2.5R,S0_CURRENT-A-线性,CU,F3,-0.0206,-0.0873,0.7305,0.9057283538748097,206,-9.39,-0.045582,0.3835,0.8883
2.5R,S0_CURRENT-A-线性,M,F3,0.434,1.6808,0.6677,1.1675675410775508,206,20.1913,0.098016,0.0583,0.1602
2.5R,S0_CURRENT-A-线性,RB,F3,0.4778,1.7568,0.7032,1.1814201953773806,206,22.5134,0.109288,0.0097,0.1262
2.5R,S0_CURRENT-A-线性,AG,F4,-0.6184,-2.0327,1.1151,0.7067551617734104,202,-46.0255,-0.227849,0.1238,1.396
2.5R,S0_CURRENT-A-线性,CU,F4,-0.5987,-2.1712,0.8676,0.7163552467103228,202,-42.1682,-0.208754,0.1782,1.2673
2.5R,S0_CURRENT-A-线性,M,F4,-0.6238,-1.9969,1.0322,0.7163859534833729,202,-46.8072,-0.231719,0.0248,0.6634
2.5R,S0_CURRENT-A-线性,RB,F4,-0.6136,-1.9796,1.0219,0.7211461495325757,202,-46.0216,-0.22783,0.0,0.0297
2.5R,S0_CURRENT-B-LightGBM,AG,F1,1.1454,3.2266,0.5995,1.1502930729772467,559,52.6041,0.094104,0.0465,1.542
2.5R,S0_CURRENT-B-LightGBM,CU,F1,1.0001,2.7017,0.6531,1.1256374387702692,559,43.6283,0.078047,0.0626,1.4061
2.5R,S0_CURRENT-B-LightGBM,M,F1,1.0831,3.1096,0.5498,1.1353920211736708,559,46.8435,0.083799,0.0465,0.6136
2.5R,S0_CURRENT-B-LightGBM,RB,F1,0.8187,2.2837,0.6003,1.1023890571732213,559,35.8402,0.064115,0.0447,0.941
2.5R,S0_CURRENT-B-LightGBM,AG,F2,1.5919,2.7575,1.0815,1.2271555347799903,714,97.5444,0.136617,0.0532,1.6989
2.5R,S0_CURRENT-B-LightGBM,CU,F2,1.4728,2.5907,1.1154,1.2105319612620484,714,90.3905,0.126597,0.0448,2.0308
2.5R,S0_CURRENT-B-LightGBM,M,F2,1.6289,2.7627,1.0144,1.228056148103152,714,97.7225,0.136866,0.0364,0.8389
2.5R,S0_CURRENT-B-LightGBM,RB,F2,1.4935,2.5899,1.1078,1.212051805927981,714,91.8016,0.128574,0.0224,0.3641
2.5R,S0_CURRENT-B-LightGBM,AG,F3,0.4534,1.653,0.7383,1.1692171805974605,206,21.203,0.102927,0.034,1.3786
2.5R,S0_CURRENT-B-LightGBM,CU,F3,0.3468,1.2879,0.7664,1.1276203279910262,206,15.916,0.077262,0.0825,2.9515
2.5R,S0_CURRENT-B-LightGBM,M,F3,0.4876,1.7923,0.727,1.1856378167548454,206,23.2605,0.112915,0.0049,0.3641
2.5R,S0_CURRENT-B-LightGBM,RB,F3,0.45,1.6552,0.727,1.1700543346535206,206,21.3079,0.103437,0.0,0.1408
2.5R,S0_CURRENT-B-LightGBM,AG,F4,-0.6851,-2.218,1.0892,0.6959336896052986,202,-50.1826,-0.248429,0.0644,1.8861
2.5R,S0_CURRENT-B-LightGBM,CU,F4,-0.6006,-1.9314,1.0219,0.7229550663846862,202,-45.7231,-0.226352,0.005,1.9158
2.5R,S0_CURRENT-B-LightGBM,M,F4,-0.6044,-1.9387,1.0127,0.7236116597066322,202,-45.6147,-0.225815,0.0198,0.7574
2.5R,S0_CURRENT-B-LightGBM,RB,F4,-0.6136,-1.9796,1.0219,0.7211461495325757,202,-46.0216,-0.22783,0.0,0.0297
2.5R,S1_PATH_ONLY-A-LightGBM,AG,F1,0.8377,2.6611,0.6602,1.1359035117203724,559,42.9688,0.076867,0.1664,0.8891
2.5R,S1_PATH_ONLY-A-LightGBM,CU,F1,0.7058,1.8747,0.6571,1.0810001918428385,559,26.6844,0.047736,0.1503,0.7853
2.5R,S1_PATH_ONLY-A-LightGBM,M,F1,1.3971,3.7671,0.5727,1.180499639158783,559,58.8689,0.105311,0.0716,0.3274
2.5R,S1_PATH_ONLY-A-LightGBM,RB,F1,0.2579,0.7685,0.6882,1.023471718389537,559,8.0128,0.014334,0.0948,0.5313
2.5R,S1_PATH_ONLY-A-LightGBM,AG,F2,1.7679,3.3244,0.8991,1.2459939592927938,714,98.8519,0.138448,0.1331,1.1835
2.5R,S1_PATH_ONLY-A-LightGBM,CU,F2,1.134,2.3331,0.8472,1.1669142493451037,714,68.2107,0.095533,0.1611,1.4664
2.5R,S1_PATH_ONLY-A-LightGBM,M,F2,1.0732,2.2581,1.0887,1.1736451767365732,714,72.814,0.10198,0.0714,0.465
2.5R,S1_PATH_ONLY-A-LightGBM,RB,F2,1.4268,2.4828,1.1351,1.2009991544365262,714,86.2576,0.120809,0.0364,0.2983
2.5R,S1_PATH_ONLY-A-LightGBM,AG,F3,0.2198,0.933,0.6362,1.1176517337295515,206,13.6555,0.066289,0.165,0.5922
2.5R,S1_PATH_ONLY-A-LightGBM,CU,F3,-0.3562,-1.5775,0.8537,0.8355860184971343,206,-18.3653,-0.089152,0.3155,1.5097
2.5R,S1_PATH_ONLY-A-LightGBM,M,F3,0.2775,1.061,0.7668,1.0997062070627972,206,12.4179,0.060281,0.0388,0.2282
2.5R,S1_PATH_ONLY-A-LightGBM,RB,F3,0.527,1.9384,0.67,1.2120760808074817,206,25.8263,0.12537,0.0194,0.0485
2.5R,S1_PATH_ONLY-A-LightGBM,AG,F4,-0.726,-2.3928,1.2522,0.6793622563653672,202,-50.3059,-0.249039,0.1584,1.3218
2.5R,S1_PATH_ONLY-A-LightGBM,CU,F4,-0.8188,-2.7575,0.9961,0.6403173072236942,202,-57.9843,-0.287051,0.1139,1.6535
2.5R,S1_PATH_ONLY-A-LightGBM,M,F4,-0.5382,-1.7315,0.9638,0.7309022847334222,202,-43.1348,-0.213539,0.0446,0.6485
2.5R,S1_PATH_ONLY-A-LightGBM,RB,F4,-0.6136,-1.9796,1.0219,0.7211461495325757,202,-46.0216,-0.22783,0.0,0.0297
2.5R,S1_PATH_ONLY-A-线性,AG,F1,1.0855,2.9362,0.6383,1.1421519516030392,559,49.373,0.088324,0.0555,1.4794
2.5R,S1_PATH_ONLY-A-线性,CU,F1,0.9051,2.5424,0.6318,1.1190812360098616,559,41.036,0.07341,0.0447,1.3292
2.5R,S1_PATH_ONLY-A-线性,M,F1,0.987,2.8461,0.584,1.1267583505691072,559,44.2858,0.079223,0.0304,0.6297
2.5R,S1_PATH_ONLY-A-线性,RB,F1,0.7512,2.1276,0.6452,1.0933761411553728,559,32.5297,0.058193,0.0358,0.9535
2.5R,S1_PATH_ONLY-A-线性,AG,F2,1.4902,2.6021,1.1564,1.213994021731944,714,92.1279,0.129031,0.0532,1.6303
2.5R,S1_PATH_ONLY-A-线性,CU,F2,1.3248,2.4264,1.049,1.1873191164258674,714,80.3663,0.112558,0.0742,1.979
2.5R,S1_PATH_ONLY-A-线性,M,F2,1.2957,2.5754,1.0596,1.1951670106916938,714,83.9309,0.11755,0.028,0.7969
2.5R,S1_PATH_ONLY-A-线性,RB,F2,1.512,2.6172,1.1263,1.2160200743664744,714,93.0108,0.130267,0.0168,0.381
2.5R,S1_PATH_ONLY-A-线性,AG,F3,0.3746,1.5335,0.6529,1.1565801964023068,206,19.1624,0.093021,0.1117,0.8932
2.5R,S1_PATH_ONLY-A-线性,CU,F3,0.1977,0.7965,0.677,1.0640203411543334,206,7.9793,0.038734,0.1699,2.5777
2.5R,S1_PATH_ONLY-A-线性,M,F3,0.4096,1.5231,0.7708,1.1592388196940624,206,19.9527,0.096858,0.0243,0.3495
2.5R,S1_PATH_ONLY-A-线性,RB,F3,0.45,1.6552,0.727,1.1700543346535206,206,21.3079,0.103437,0.0,0.1408
2.5R,S1_PATH_ONLY-A-线性,AG,F4,-0.6289,-2.0338,1.0289,0.7145124794763965,202,-47.1164,-0.23325,0.0396,1.9158
2.5R,S1_PATH_ONLY-A-线性,CU,F4,-0.6281,-2.0283,1.0329,0.7163779124284404,202,-46.8085,-0.231725,0.0099,1.9109
2.5R,S1_PATH_ONLY-A-线性,M,F4,-0.619,-1.9939,1.0273,0.7190277734228512,202,-46.3712,-0.22956,0.005,0.7574
2.5R,S1_PATH_ONLY-A-线性,RB,F4,-0.6136,-1.9796,1.0219,0.7211461495325757,202,-46.0216,-0.22783,0.0,0.0297
2.5R,S2_CURRENT_PLUS_PATH-A-LightGBM,AG,F1,1.2729,3.6128,0.7715,1.1796332547403687,559,53.4969,0.095701,0.1896,0.7299
2.5R,S2_CURRENT_PLUS_PATH-A-LightGBM,CU,F1,0.8099,2.1358,0.7162,1.0795206056933215,559,25.8115,0.046175,0.1574,0.814
2.5R,S2_CURRENT_PLUS_PATH-A-LightGBM,M,F1,1.2861,3.7557,0.5073,1.1700094792420703,559,55.6823,0.099611,0.0841,0.2343
2.5R,S2_CURRENT_PLUS_PATH-A-LightGBM,RB,F1,0.6073,1.8219,0.6184,1.0768240306778554,559,25.2393,0.045151,0.1145,0.4812
2.5R,S2_CURRENT_PLUS_PATH-A-LightGBM,AG,F2,2.3825,4.2628,1.0207,1.3526929931397074,714,130.9817,0.183448,0.1835,0.9496
2.5R,S2_CURRENT_PLUS_PATH-A-LightGBM,CU,F2,0.82,1.6012,0.9484,1.1628457674805501,714,62.0933,0.086965,0.2213,1.1611
2.5R,S2_CURRENT_PLUS_PATH-A-LightGBM,M,F2,1.6824,2.9159,0.988,1.2500086089775118,714,103.4584,0.1449,0.077,0.5448
2.5R,S2_CURRENT_PLUS_PATH-A-LightGBM,RB,F2,1.4355,2.4931,1.1212,1.1982652882247078,714,84.0387,0.117701,0.0504,0.1989
2.5R,S2_CURRENT_PLUS_PATH-A-LightGBM,AG,F3,0.0813,0.3496,0.7273,1.0334673211277652,206,4.088,0.019845,0.1165,0.699
2.5R,S2_CURRENT_PLUS_PATH-A-LightGBM,CU,F3,0.2671,1.0963,0.6322,1.089348489555538,206,9.802,0.047583,0.2961,1.8738
2.5R,S2_CURRENT_PLUS_PATH-A-LightGBM,M,F3,0.3583,1.3764,0.739,1.1368185938646562,206,17.0066,0.082557,0.0291,0.2864
2.5R,S2_CURRENT_PLUS_PATH-A-LightGBM,RB,F3,0.4817,1.7708,0.7032,1.1857666445377117,206,22.9683,0.111496,0.0194,0.1359
2.5R,S2_CURRENT_PLUS_PATH-A-LightGBM,AG,F4,-0.463,-1.5264,1.093,0.7580194277188722,202,-34.4483,-0.170536,0.2574,0.8317
2.5R,S2_CURRENT_PLUS_PATH-A-LightGBM,CU,F4,-0.6024,-2.0716,0.9429,0.7074115510674628,202,-43.5141,-0.215416,0.1832,1.104
2.5R,S2_CURRENT_PLUS_PATH-A-LightGBM,M,F4,-0.5021,-1.6445,0.9104,0.7453475687002584,202,-40.8193,-0.202076,0.0396,0.5792
2.5R,S2_CURRENT_PLUS_PATH-A-LightGBM,RB,F4,-0.5823,-1.8833,0.9906,0.7299924831426133,202,-44.0216,-0.217929,0.0099,0.0099
2.5R,S2_CURRENT_PLUS_PATH-A-线性,AG,F1,0.9114,2.7395,0.6914,1.1251915101661334,559,41.3877,0.074039,0.0733,1.2612
2.5R,S2_CURRENT_PLUS_PATH-A-线性,CU,F1,0.8697,2.2291,0.6001,1.111239389482463,559,37.3584,0.066831,0.0823,1.0483
2.5R,S2_CURRENT_PLUS_PATH-A-线性,M,F1,1.2603,3.7157,0.5076,1.1690317898998093,559,57.0922,0.102133,0.0394,0.4884
2.5R,S2_CURRENT_PLUS_PATH-A-线性,RB,F1,0.7971,2.2568,0.5647,1.099250251404256,559,33.3239,0.059613,0.0894,0.5939
2.5R,S2_CURRENT_PLUS_PATH-A-线性,AG,F2,1.8367,3.1152,1.0399,1.2712278475296233,714,99.2859,0.139056,0.2115,0.612
2.5R,S2_CURRENT_PLUS_PATH-A-线性,CU,F2,1.1669,2.2524,0.6748,1.199368422044534,714,71.4056,0.100008,0.2577,0.8824
2.5R,S2_CURRENT_PLUS_PATH-A-线性,M,F2,1.1762,2.4931,0.9284,1.1797043648526788,714,74.926,0.104938,0.0644,0.4762
2.5R,S2_CURRENT_PLUS_PATH-A-线性,RB,F2,1.4094,2.4586,1.1309,1.1949985245815122,714,82.9285,0.116146,0.0448,0.2423
2.5R,S2_CURRENT_PLUS_PATH-A-线性,AG,F3,0.1182,0.5131,0.6357,1.0651714055091914,206,7.6702,0.037234,0.1602,0.5388
2.5R,S2_CURRENT_PLUS_PATH-A-线性,CU,F3,-0.0032,-0.0137,0.713,0.9148734576607624,206,-8.4742,-0.041137,0.3883,0.8495
2.5R,S2_CURRENT_PLUS_PATH-A-线性,M,F3,0.4274,1.6505,0.6743,1.1645916917536465,206,19.8834,0.096521,0.0583,0.1553
2.5R,S2_CURRENT_PLUS_PATH-A-线性,RB,F3,0.4778,1.7568,0.7032,1.1814201953773806,206,22.5134,0.109288,0.0097,0.1262
2.5R,S2_CURRENT_PLUS_PATH-A-线性,AG,F4,-0.6195,-2.0422,1.1114,0.7066555156275076,202,-46.0411,-0.227926,0.1287,1.401
2.5R,S2_CURRENT_PLUS_PATH-A-线性,CU,F4,-0.6198,-2.2625,0.8696,0.7130834065692332,202,-42.9416,-0.212582,0.1683,1.2673
2.5R,S2_CURRENT_PLUS_PATH-A-线性,M,F4,-0.6187,-1.9744,1.027,0.7169914536632295,202,-46.7073,-0.231224,0.0297,0.6832
2.5R,S2_CURRENT_PLUS_PATH-A-线性,RB,F4,-0.6136,-1.9796,1.0219,0.7211461495325757,202,-46.0216,-0.22783,0.0,0.0297
