risk_ATR,wf,model,n_symbols,macro_median_delta,iqr_lo,iqr_hi,positive_symbols,eligible_symbols
0.75,WF1,M_B2mG1,15,0.2118477337745197,0.17224277355179474,0.25904810286603464,15,15
0.75,WF1,M_B2mG2,15,0.26152601952050847,0.2109036180025996,0.29226343946434197,15,15
0.75,WF1,M_B2mG3,15,0.2619257617507855,0.19195079019999467,0.2937835900937779,15,15
0.75,WF1,M_B2mG4,15,0.29345480002545704,0.22288084782144407,0.32276446253960334,15,15
0.75,WF1,M_B2mG5,15,0.2610900017497614,0.19321481205267416,0.29408728410840373,15,15
0.75,WF2,M_G1,15,0.25799833951189366,0.2232354196387611,0.3024266493993089,15,15
0.75,WF2,M_G2,15,0.018079892458892743,0.0030474906603931706,0.031159409334437504,12,15
0.75,WF2,M_G3,15,0.18446704712812956,0.16242136022839027,0.22210892685249883,15,15
0.75,WF2,M_G4,15,0.17116651692123386,0.15223867277081576,0.26157148234262523,15,15
0.75,WF2,M_G5,15,0.06261062194739431,0.02006268247804488,0.10103851979489309,14,15
0.75,WF2,M_simple,15,0.2582242431263515,0.22307124659937788,0.30312671340787545,15,15
0.75,WF2,M_field,15,0.2232420064874885,0.1875628696685066,0.2972819251311761,15,15
0.75,WF2,M_B2_full,15,0.22274772165585421,0.1886086263242598,0.2979128986074191,15,15
0.75,WF2,M_ob,15,0.002508329417632682,-0.0033905234960788233,0.009448654531931056,9,15
0.75,WF2,M_full,15,0.22152359437751,0.18799340003441084,0.29295605422301163,15,15
0.75,WF2,M_full_minus_ob,15,0.218507684584492,0.18328009035169268,0.29435606254634555,15,15
0.75,WF2,M_B2mG1,15,0.17978196802017787,0.1669719991002166,0.2624069012682857,15,15
0.75,WF2,M_B2mG2,15,0.22480595458758112,0.19394973025039242,0.2991883899829675,15,15
0.75,WF2,M_B2mG3,15,0.22176494439295646,0.18682186103743115,0.29791958995479717,15,15
0.75,WF2,M_B2mG4,15,0.25757935588507885,0.2184686325251574,0.30536453595431956,15,15
0.75,WF2,M_B2mG5,15,0.22238859283286994,0.19058229862762321,0.29593323184920334,15,15
0.75,WF3,M_G1,15,0.2870223228028721,0.22482604315749058,0.30949292223338287,15,15
0.75,WF3,M_G2,15,0.03241091263072937,0.013070167267526023,0.05926477892102269,12,15
0.75,WF3,M_G3,15,0.1904431868517924,0.1706039458112024,0.23456214975361947,15,15
0.75,WF3,M_G4,15,0.22551617702264914,0.1996993333123246,0.26598099924336327,15,15
0.75,WF3,M_G5,15,0.050626746490261554,0.030406433983404896,0.10013529578972,14,15
0.75,WF3,M_simple,15,0.2868143205398074,0.22456943910652874,0.30955618251991335,15,15
0.75,WF3,M_field,15,0.2783676172666355,0.21754039543705464,0.3138940425083814,15,15
0.75,WF3,M_B2_full,15,0.28330839956365905,0.21630179512676023,0.31550404312155644,15,15
0.75,WF3,M_ob,15,0.020704398404792268,0.002389013038684773,0.04306518815315985,11,15
0.75,WF3,M_full,15,0.27912731806139934,0.2170744097346693,0.30947898895080056,15,15
0.75,WF3,M_full_minus_ob,15,0.28048932522985814,0.21544491049434683,0.3109206221448601,15,15
0.75,WF3,M_B2mG1,15,0.23526827301419573,0.2029555729475856,0.2795161173816423,15,15
0.75,WF3,M_B2mG2,15,0.2820975533738507,0.2160458507492679,0.31499371413159827,15,15
0.75,WF3,M_B2mG3,15,0.27927536231884054,0.21748072434578744,0.3148130161969569,15,15
0.75,WF3,M_B2mG4,15,0.28440693519458304,0.222095368780289,0.31003175760135754,15,15
0.75,WF3,M_B2mG5,15,0.28219261337073387,0.2158734172384033,0.3143467163086777,15,15
1.0,WF1,M_G1,15,0.27159524692761494,0.23557602904187386,0.30388867648491974,15,15
1.0,WF1,M_G2,15,0.009346686241610835,0.0006111731298611978,0.020399178470608403,11,15
1.0,WF1,M_G3,15,0.2105177615116578,0.19648250062763634,0.2237321597978727,15,15
1.0,WF1,M_G4,15,0.2021419512338165,0.17080462763605014,0.2268609410482224,15,15
1.0,WF1,M_G5,15,0.07404903147601138,0.041218560075860666,0.09220661380268902,15,15
1.0,WF1,M_simple,15,0.2719901396484258,0.2357302617385153,0.3038922880081035,15,15
1.0,WF1,M_field,15,0.24849855975253288,0.21243327613323826,0.275013836277013,15,15
1.0,WF1,M_B2_full,15,0.2488014779822736,0.21496745572127812,0.27826134493464727,15,15
1.0,WF1,M_ob,15,-0.013130781289264926,-0.02797080730899809,-0.0009803633638550413,3,15
1.0,WF1,M_full,15,0.24673885082201075,0.2108105144020891,0.27984368225389544,15,15
1.0,WF1,M_full_minus_ob,15,0.24851675900774217,0.2167777171352983,0.2806949776506919,15,15
1.0,WF1,M_B2mG1,15,0.21610345942450682,0.18994054767482166,0.24239433004763394,15,15
1.0,WF1,M_B2mG2,15,0.24690577376053569,0.22654814841088367,0.2787853945651278,15,15
1.0,WF1,M_B2mG3,15,0.2489113912209724,0.2118011968089913,0.27536748131709565,15,15
1.0,WF1,M_B2mG4,15,0.27155456101092534,0.23606297987240749,0.30601292040735184,15,15
