risk_ATR,wf,model,dROC_vs_M0,dBottom20gain_vs_M0
0.5,WF2,M_field,0.17045501352926484,0.13859371467329867
0.5,WF2,M_B2_full,0.16976233336291457,0.13452407867962918
0.5,WF2,M_ob,-0.004165728308025751,-0.01062627176124803
0.5,WF2,M_full,0.16994561982470902,0.14266335066696811
0.5,WF2,M_full_minus_ob,0.17119347388852213,0.14334162333257972
0.5,WF2,M_B2mG1,0.1382145819209627,0.10852362649785213
0.5,WF2,M_B2mG2,0.17477331762678927,0.14695907754917475
0.5,WF2,M_B2mG3,0.17047379036734367,0.13836762378476147
0.5,WF2,M_B2mG4,0.1917284171823883,0.19014243725977842
0.5,WF2,M_B2mG5,0.17021820914380403,0.13746326023061267
0.5,WF3,M_G1,0.17184074799744142,0.18851546850656575
0.5,WF3,M_G2,0.0035091566456716405,-0.02448252837747611
0.5,WF3,M_G3,0.10906213296960565,0.13665702203427554
0.5,WF3,M_G4,0.13471448786142115,0.1575784553750278
0.5,WF3,M_G5,0.020131429588337024,0.01402181170709993
0.5,WF3,M_simple,0.1717043381182214,0.18718005786779435
0.5,WF3,M_field,0.16726607796171677,0.18517694190963718
0.5,WF3,M_B2_full,0.16676726470166026,0.1805030046739372
0.5,WF3,M_ob,0.0032336442974469914,0.007567326953038078
0.5,WF3,M_full,0.1645692512487935,0.16692632984642775
0.5,WF3,M_full_minus_ob,0.16489998769330438,0.17204540396171825
0.5,WF3,M_B2mG1,0.13567276576261267,0.15780102381482303
0.5,WF3,M_B2mG2,0.16668493866896605,0.18384153127086578
0.5,WF3,M_B2mG3,0.16719012532505118,0.18517694190963718
0.5,WF3,M_B2mG4,0.17110004175314564,0.18851546850656575
0.5,WF3,M_B2mG5,0.16676191152910136,0.18317382595148007
0.75,WF1,M_G1,0.19508124597957766,0.20785498489425985
0.75,WF1,M_G2,0.0007195975858697023,0.0018126888217523396
0.75,WF1,M_G3,0.134980747756427,0.14441087613293052
0.75,WF1,M_G4,0.12800455511073905,0.13494461228600202
0.75,WF1,M_G5,0.038408280358607216,0.023363544813695847
0.75,WF1,M_simple,0.1942554240871005,0.20785498489425985
0.75,WF1,M_field,0.16806462208598083,0.16878147029204432
0.75,WF1,M_B2_full,0.16872251638599778,0.16978851963746228
0.75,WF1,M_ob,-0.00444806804556841,0.006042296072507614
0.75,WF1,M_full,0.16652967950439346,0.17401812688821755
0.75,WF1,M_full_minus_ob,0.16971003146110952,0.16978851963746228
0.75,WF1,M_B2mG1,0.14262025458534855,0.16273917421953676
0.75,WF1,M_B2mG2,0.16963172495751067,0.1746223564954683
0.75,WF1,M_B2mG3,0.16885560848974823,0.16898288016112795
0.75,WF1,M_B2mG4,0.19504560754520628,0.2054380664652568
0.75,WF1,M_B2mG5,0.16845784928255947,0.1705941591137966
0.75,WF2,M_G1,0.17889401596206933,0.18498367791077253
0.75,WF2,M_G2,-0.028324763340805692,-0.01305767138193692
0.75,WF2,M_G3,0.12334470967387456,0.11904243743199122
0.75,WF2,M_G4,0.12130712074041705,0.10990206746463543
0.75,WF2,M_G5,0.021333502223126244,-0.0006528835690968737
0.75,WF2,M_simple,0.1785252617468328,0.18411316648531006
0.75,WF2,M_field,0.15619790174702608,0.14276387377584326
0.75,WF2,M_B2_full,0.1562667256314585,0.1438520130576713
0.75,WF2,M_ob,-0.00923337662535939,-0.009575625680087074
0.75,WF2,M_full,0.1557194726739679,0.14994559303590854
0.75,WF2,M_full_minus_ob,0.15432677017937602,0.14341675734494008
0.75,WF2,M_B2mG1,0.12670110966114312,0.1083786724700761
0.75,WF2,M_B2mG2,0.16061832036772083,0.15930359085962997
0.75,WF2,M_B2mG3,0.15551510998667428,0.14232861806311203
0.75,WF2,M_B2mG4,0.17854897791054347,0.1889009793253536
0.75,WF2,M_B2mG5,0.155987074151676,0.14537540805223065
0.75,WF3,M_G1,0.16382801088559895,0.20619888075764098
0.75,WF3,M_G2,0.004147472553387321,-0.005165733964700769
0.75,WF3,M_G3,0.1131317806054365,0.14722341799397332
0.75,WF3,M_G4,0.12928199929065676,0.17348256564786912
0.75,WF3,M_G5,0.01750819050212582,0.01721911321566938
0.75,WF3,M_simple,0.16385162335474734,0.20576840292724924
0.75,WF3,M_field,0.1597077854170995,0.18725785622040464
0.75,WF3,M_B2_full,0.15969731605268234,0.18316831683168316
0.75,WF3,M_ob,0.0015762576472315715,0.016142918639690085
0.75,WF3,M_full,0.15945919023368227,0.1889797675419716
0.75,WF3,M_full_minus_ob,0.1593265894249828,0.18661213947481703
0.75,WF3,M_B2mG1,0.13142150122363727,0.16788635385277662
0.75,WF3,M_B2mG2,0.1599002487647989,0.18316831683168316
0.75,WF3,M_B2mG3,0.15970627308273444,0.18532070598364186
0.75,WF3,M_B2mG4,0.16354782796700285,0.20232458028411537
0.75,WF3,M_B2mG5,0.15981999060046592,0.185105467068446
1.0,WF1,M_G1,0.19316855014370682,0.1893020481208988
1.0,WF1,M_G2,0.0020962072979902047,-0.0031815470272420487
1.0,WF1,M_G3,0.137940749460432,0.1252734141976536
1.0,WF1,M_G4,0.12527650411907565,0.12189302048120898
1.0,WF1,M_G5,0.030616910483309168,0.009544641081726035
1.0,WF1,M_simple,0.1933789469583168,0.1900974348777093
1.0,WF1,M_field,0.16779980534280803,0.1608669715649234
1.0,WF1,M_B2_full,0.1682712068176626,0.15331079737522368
1.0,WF1,M_ob,-0.007187377027249142,-0.006760787432889215
1.0,WF1,M_full,0.16935905090120118,0.1606681248757208
1.0,WF1,M_full_minus_ob,0.1696653219866917,0.15967389142970767
1.0,WF1,M_B2mG1,0.13773001463753765,0.13561344203619008
1.0,WF1,M_B2mG2,0.16883257186589817,0.16027043149731557
1.0,WF1,M_B2mG3,0.16766287640780453,0.15947504474050506
1.0,WF1,M_B2mG4,0.19385839391983584,0.1893020481208988
1.0,WF1,M_B2mG5,0.1680746461053262,0.1507257904155896
1.0,WF2,M_G1,0.18851856899696207,0.18939231264762718
1.0,WF2,M_G2,-0.030433168497774887,-0.017607902082885984
1.0,WF2,M_G3,0.1390188796029268,0.12110800944814248
1.0,WF2,M_G4,0.1374144288171687,0.13978956409705812
1.0,WF2,M_G5,0.018373321582213387,0.0038651492377066443
1.0,WF2,M_simple,0.1878938295728474,0.18982177367403902
1.0,WF2,M_field,0.1706920728706811,0.16319519003650412
1.0,WF2,M_B2_full,0.17212183171858464,0.16534249516856342
1.0,WF2,M_ob,-0.013084326551221936,-0.011810178226326018
1.0,WF2,M_full,0.16901612531152588,0.15353231694223746
1.0,WF2,M_full_minus_ob,0.1715778616199649,0.157826927206356
1.0,WF2,M_B2mG1,0.143424431006276,0.1417221387159115
1.0,WF2,M_B2mG2,0.1743618448120169,0.1756495598024479
1.0,WF2,M_B2mG3,0.17052129110426684,0.16319519003650412
1.0,WF2,M_B2mG4,0.18848450585981136,0.19218380931930423
1.0,WF2,M_B2mG5,0.1718572941476263,0.16491303414215153
1.0,WF3,M_G1,0.16830168127355682,0.2118824531516184
1.0,WF3,M_G2,0.00350009912632121,-0.007240204429301511
1.0,WF3,M_G3,0.11897194706122749,0.14735945485519591
1.0,WF3,M_G4,0.1328257904279675,0.1793015332197615
1.0,WF3,M_G5,0.015682932878187894,0.017461669505962507
1.0,WF3,M_simple,0.16812399449450144,0.21316013628620106
1.0,WF3,M_field,0.16470059483388566,0.2067717206132879
1.0,WF3,M_B2_full,0.16484250973412884,0.20038330494037482
1.0,WF3,M_ob,0.0020323934183161807,0.011925042589437829
1.0,WF3,M_full,0.1615862195803729,0.19995741056218058
1.0,WF3,M_full_minus_ob,0.16387907595279005,0.19804088586030666
1.0,WF3,M_B2mG1,0.1371180883128169,0.17866269165247023
1.0,WF3,M_B2mG2,0.16490363763214944,0.20208688245315165
1.0,WF3,M_B2mG3,0.16487697132248946,0.20783645655877342
1.0,WF3,M_B2mG4,0.1681652591488657,0.20528109028960823
1.0,WF3,M_B2mG5,0.1647648560351599,0.20166098807495741
1.5,WF1,M_G1,0.1990084739137794,0.15680473372781056
1.5,WF1,M_G2,-0.0009269436798130526,-0.0037475345167653495
1.5,WF1,M_G3,0.15564880162231565,0.11775147928994079
1.5,WF1,M_G4,0.12462602853761162,0.08895463510848123
1.5,WF1,M_G5,0.02344660886239347,0.0065088757396449815
1.5,WF1,M_simple,0.19960310395035108,0.16015779092702165
1.5,WF1,M_field,0.16908835436351044,0.13293885601577904
1.5,WF1,M_B2_full,0.16881461067180992,0.13353057199211038
1.5,WF1,M_ob,-0.0075149763561256355,-0.0063116370808679045
1.5,WF1,M_full,0.17251718994091936,0.13510848126232733
1.5,WF1,M_full_minus_ob,0.17243141117470795,0.1343195266272189
1.5,WF1,M_B2mG1,0.14411494268530145,0.11597633136094676
1.5,WF1,M_B2mG2,0.170464556423773,0.1396449704142011
1.5,WF1,M_B2mG3,0.16864698337628237,0.134516765285996
1.5,WF1,M_B2mG4,0.19921489883893262,0.16193293885601578
1.5,WF1,M_B2mG5,0.16815104670284342,0.1343195266272189
1.5,WF2,M_G1,0.17379841309700328,0.13650929288613545
1.5,WF2,M_G2,-0.04207090157773541,-0.03460798974578083
1.5,WF2,M_G3,0.14250576390454783,0.09762871181371502
1.5,WF2,M_G4,0.12443889122349083,0.09164708395641952
1.5,WF2,M_G5,0.01445956383940672,-0.0036317026276436737
1.5,WF2,M_simple,0.17160639265272282,0.14056825464644307
1.5,WF2,M_field,0.15821876701127668,0.11877803888058103
1.5,WF2,M_B2_full,0.16110668390855643,0.11706900234992523
1.5,WF2,M_ob,-0.013104405678663111,-0.01730399487289036
1.5,WF2,M_full,0.15938697907057786,0.11642811365092931
1.5,WF2,M_full_minus_ob,0.15987167945573022,0.11685537278359326
1.5,WF2,M_B2mG1,0.14250364995091636,0.10211493270668659
1.5,WF2,M_B2mG2,0.161250318872467,0.12219611194189273
1.5,WF2,M_B2mG3,0.15847123143991415,0.12134159367656483
1.5,WF2,M_B2mG4,0.17409153376517772,0.1437726981414228
1.5,WF2,M_B2mG5,0.16060541354342472,0.11706900234992523
1.5,WF3,M_G1,0.17511742557545085,0.18492569002123138
1.5,WF3,M_G2,0.0009833248153604535,-0.005520169851380152
1.5,WF3,M_G3,0.1322414023536186,0.13991507430997874
1.5,WF3,M_G4,0.14035300982399068,0.15074309978768574
1.5,WF3,M_G5,0.018487973527887225,0.014861995753715496
1.5,WF3,M_simple,0.17504783354910947,0.18343949044585983
1.5,WF3,M_field,0.1715457583415445,0.18110403397027597
1.5,WF3,M_B2_full,0.17189152132389718,0.17430997876857746
1.5,WF3,M_ob,-0.007589570142733759,0.011040339702760082
1.5,WF3,M_full,0.16348948822121634,0.17537154989384285
1.5,WF3,M_full_minus_ob,0.17017274765262724,0.1738853503184713
1.5,WF3,M_B2mG1,0.14935041681262973,0.15435244161358808
1.5,WF3,M_B2mG2,0.17147087440060027,0.17452229299363053
1.5,WF3,M_B2mG3,0.1715023043541659,0.18195329087048828
1.5,WF3,M_B2mG4,0.17479540252392445,0.18131634819532905
1.5,WF3,M_B2mG5,0.17188693946365874,0.17346072186836514
2.0,WF1,M_G1,0.19377832576866427,0.11437007874015748
2.0,WF1,M_G2,-0.0016588810698436873,0.008858267716535417
2.0,WF1,M_G3,0.16419817122376623,0.09133858267716533
2.0,WF1,M_G4,0.13372961371870562,0.07362204724409449
2.0,WF1,M_G5,0.024146828277881283,0.0047244094488189115
2.0,WF1,M_simple,0.19435591873162483,0.11948818897637792
2.0,WF1,M_field,0.16890829455713163,0.09586614173228347
2.0,WF1,M_B2_full,0.1738928304544417,0.10078740157480315
2.0,WF1,M_ob,-0.006858512946790629,-0.0033464566929133355
2.0,WF1,M_full,0.17148910227253755,0.0927165354330709
2.0,WF1,M_full_minus_ob,0.17338834604174114,0.09842519685039375
2.0,WF1,M_B2mG1,0.15281391015389223,0.09055118110236215
2.0,WF1,M_B2mG2,0.17456010661199794,0.09960629921259845
2.0,WF1,M_B2mG3,0.16873342092867594,0.09980314960629921
2.0,WF1,M_B2mG4,0.1963877191801926,0.12027559055118109
2.0,WF1,M_B2mG5,0.17408652510760114,0.10157480314960632
2.0,WF2,M_G1,0.20107088012938168,0.1293213828425096
2.0,WF2,M_G2,-0.05592582115031641,-0.03371745625266753
2.0,WF2,M_G3,0.17738419951481854,0.09944515578318391
2.0,WF2,M_G4,0.15610064049082906,0.08600085360648735
2.0,WF2,M_G5,0.01380103454029702,-0.0036278275714896058
2.0,WF2,M_simple,0.19647167849670766,0.12355953905249673
2.0,WF2,M_field,0.18847849670769745,0.10776781903542465
2.0,WF2,M_B2_full,0.19032923025581128,0.10499359795134444
2.0,WF2,M_ob,-0.013079680139650107,-0.013230900554844216
2.0,WF2,M_full,0.1869642788381316,0.10456679470763974
2.0,WF2,M_full_minus_ob,0.1883264834614743,0.10563380281690138
2.0,WF2,M_B2mG1,0.1746843727939006,0.09944515578318391
2.0,WF2,M_B2mG2,0.1911681987960312,0.10648740930431067
2.0,WF2,M_B2mG3,0.18792757704501406,0.10819462227912924
2.0,WF2,M_B2mG4,0.19823780051085238,0.12804097311139562
2.0,WF2,M_B2mG5,0.1904056065409644,0.10776781903542465
2.0,WF3,M_G1,0.17998934543877865,0.150795334040297
2.0,WF3,M_G2,0.000562939846065369,-0.008483563096500557
2.0,WF3,M_G3,0.14421324239881106,0.11580063626723225
2.0,WF3,M_G4,0.1408591569688119,0.11834570519618237
2.0,WF3,M_G5,0.01838244717613713,0.007635206786850479
2.0,WF3,M_simple,0.17978562756497085,0.15121951219512197
2.0,WF3,M_field,0.1715752671010441,0.1435843054082715
2.0,WF3,M_B2_full,0.1721859492646759,0.14146341463414636
2.0,WF3,M_ob,-0.004288293475970928,0.004029692470837731
2.0,WF3,M_full,0.16655014282669467,0.13404029692470842
2.0,WF3,M_full_minus_ob,0.17126327750221126,0.1378579003181336
2.0,WF3,M_B2mG1,0.15256183621148367,0.12704135737009548
2.0,WF3,M_B2mG2,0.17247727169338933,0.14188759278897134
2.0,WF3,M_B2mG3,0.17136859539984972,0.14294803817603396
2.0,WF3,M_B2mG4,0.1801269148979815,0.1503711558854719
2.0,WF3,M_B2mG5,0.17254645090808152,0.14146341463414636
3.0,WF1,M_G1,0.1812780117068714,0.06291781360597715
3.0,WF1,M_G2,0.0025375007281758233,-0.0009830908375934033
3.0,WF1,M_G3,0.1711988933659685,0.05996854109319705
3.0,WF1,M_G4,0.10795639010685976,0.03735745182854899
3.0,WF1,M_G5,0.014568745470043054,0.0017695635076681038
3.0,WF1,M_simple,0.18020619832092966,0.06409752261108925
3.0,WF1,M_field,0.14668660426129831,0.05053086905230042
3.0,WF1,M_B2_full,0.15193122786312385,0.05701926858041684
3.0,WF1,M_ob,-0.003551521331841001,-0.0019661816751868066
3.0,WF1,M_full,0.14421322254926305,0.050137632717263014
3.0,WF1,M_full_minus_ob,0.1476624258347926,0.053086905230043224
3.0,WF1,M_B2mG1,0.1380762045830225,0.04856468737711361
3.0,WF1,M_B2mG2,0.1484331280616885,0.05544632324026744
3.0,WF1,M_B2mG3,0.14361504199169517,0.05190719622493112
3.0,WF1,M_B2mG4,0.18121751709554867,0.06390090444357055
3.0,WF1,M_B2mG5,0.14718005050267635,0.05485646873771133
3.0,WF2,M_G1,0.18241412904254517,0.07436607713616028
3.0,WF2,M_G2,-0.03328768453257902,-0.011719582356701452
3.0,WF2,M_G3,0.1678962334223929,0.06925207756232687
3.0,WF2,M_G4,0.13148037352450792,0.04943532921372262
3.0,WF2,M_G5,0.012897548369091738,0.0019177498401875548
3.0,WF2,M_simple,0.17883215370428696,0.07521841039846577
3.0,WF2,M_field,0.15874309732628566,0.060515661623694816
3.0,WF2,M_B2_full,0.1621410518076256,0.061154911570424075
3.0,WF2,M_ob,-0.011336935220038868,0.00021308331557634563
3.0,WF2,M_full,0.16115667362927366,0.059024078414660175
3.0,WF2,M_full_minus_ob,0.16046097045455743,0.05987641167696567
3.0,WF2,M_B2mG1,0.1507112897930668,0.05817174515235457
3.0,WF2,M_B2mG2,0.16275591483095808,0.06158107820157677
3.0,WF2,M_B2mG3,0.1585505145814129,0.060089494992542125
3.0,WF2,M_B2mG4,0.18098102828991147,0.07372682718943102
3.0,WF2,M_B2mG5,0.16274225563296563,0.06200724483272957
3.0,WF3,M_G1,0.18256996847061924,0.0828214361364118
3.0,WF3,M_G2,-0.0018541423282373293,-0.0021181952976063734
3.0,WF3,M_G3,0.1628692826020044,0.06566405422579968
3.0,WF3,M_G4,0.15207324952721735,0.07053590341029448
3.0,WF3,M_G5,0.016503794112835646,0.005083668714255474
3.0,WF3,M_simple,0.1823749838136538,0.08197415801736918
3.0,WF3,M_field,0.1812664114165451,0.07858504554119894
3.0,WF3,M_B2_full,0.18382058983087446,0.07710230883287439
3.0,WF3,M_ob,0.005940004439445978,0.003389112476170353
3.0,WF3,M_full,0.17989016654409262,0.07519593306502859
3.0,WF3,M_full_minus_ob,0.18281464531463398,0.07773776742215632
3.0,WF3,M_B2mG1,0.17042914838070422,0.07456047447574665
3.0,WF3,M_B2mG2,0.18386770384587592,0.07583139165431052
3.0,WF3,M_B2mG3,0.18107737318865746,0.07837322601143826
3.0,WF3,M_B2mG4,0.18513682982808666,0.07752594789239575
3.0,WF3,M_B2mG5,0.18340051412077307,0.07646685024359245
