risk_ATR,block,symbol,geo_bin,n,delivery_rate,no_delivery_rate
0.25,TB1,P,"(1,2]",186,0.3225806451612903,0.6774193548387097
0.25,TB1,P,>2,862,0.21809744779582366,0.7819025522041764
0.25,TB1,RB,<=0.25,1,1.0,0.0
0.25,TB1,RB,"(0.25,0.5]",24,0.7916666666666666,0.20833333333333337
0.25,TB1,RB,"(0.5,1]",146,0.5136986301369864,0.48630136986301364
0.25,TB1,RB,"(1,2]",243,0.4403292181069959,0.5596707818930041
0.25,TB1,RB,>2,973,0.26515930113052416,0.7348406988694758
0.25,TB1,RU,"(0.25,0.5]",18,0.6666666666666666,0.33333333333333337
0.25,TB1,RU,"(0.5,1]",89,0.39325842696629215,0.6067415730337078
0.25,TB1,RU,"(1,2]",192,0.4427083333333333,0.5572916666666667
0.25,TB1,RU,>2,943,0.23223753976670203,0.767762460233298
0.25,TB1,SC,<=0.25,4,0.75,0.25
0.25,TB1,SC,"(0.25,0.5]",68,0.7647058823529411,0.23529411764705888
0.25,TB1,SC,"(0.5,1]",91,0.5714285714285714,0.4285714285714286
0.25,TB1,SC,"(1,2]",168,0.32142857142857145,0.6785714285714286
0.25,TB1,SC,>2,969,0.2002063983488132,0.7997936016511868
0.25,TB1,SN,<=0.25,20,0.25,0.75
0.25,TB1,SN,"(0.25,0.5]",35,0.5428571428571428,0.4571428571428572
0.25,TB1,SN,"(0.5,1]",26,0.5,0.5
0.25,TB1,SN,"(1,2]",120,0.45,0.55
0.25,TB1,SN,>2,1053,0.1623931623931624,0.8376068376068376
0.25,TB1,TA,"(0.25,0.5]",10,0.2,0.8
0.25,TB1,TA,"(0.5,1]",134,0.5149253731343284,0.4850746268656716
0.25,TB1,TA,"(1,2]",303,0.3927392739273927,0.6072607260726073
0.25,TB1,TA,>2,957,0.28213166144200624,0.7178683385579938
0.25,TB2,AG,<=0.25,7,0.2857142857142857,0.7142857142857143
0.25,TB2,AG,"(0.25,0.5]",33,0.2727272727272727,0.7272727272727273
0.25,TB2,AG,"(0.5,1]",41,0.36585365853658536,0.6341463414634146
0.25,TB2,AG,"(1,2]",130,0.38461538461538464,0.6153846153846154
0.25,TB2,AG,>2,1008,0.25892857142857145,0.7410714285714286
0.25,TB2,AL,"(0.5,1]",253,0.45849802371541504,0.541501976284585
0.25,TB2,AL,"(1,2]",571,0.3607705779334501,0.63922942206655
0.25,TB2,AL,>2,1222,0.3027823240589198,0.6972176759410802
0.25,TB2,AU,<=0.25,14,0.35714285714285715,0.6428571428571428
0.25,TB2,AU,"(0.25,0.5]",30,0.3,0.7
0.25,TB2,AU,"(0.5,1]",37,0.5405405405405406,0.45945945945945943
0.25,TB2,AU,"(1,2]",145,0.4413793103448276,0.5586206896551724
0.25,TB2,AU,>2,1081,0.20074005550416282,0.7992599444958371
0.25,TB2,CF,"(0.5,1]",182,0.6043956043956044,0.39560439560439564
0.25,TB2,CF,"(1,2]",802,0.33665835411471323,0.6633416458852868
0.25,TB2,CF,>2,1273,0.24666142969363708,0.7533385703063629
0.25,TB2,CU,"(0.25,0.5]",41,0.5853658536585366,0.41463414634146345
0.25,TB2,CU,"(0.5,1]",107,0.4392523364485981,0.5607476635514019
0.25,TB2,CU,"(1,2]",277,0.5342960288808665,0.46570397111913353
0.25,TB2,CU,>2,1091,0.2777268560953254,0.7222731439046746
0.25,TB2,I,"(0.25,0.5]",12,0.0,1.0
0.25,TB2,I,"(0.5,1]",272,0.5588235294117647,0.4411764705882353
0.25,TB2,I,"(1,2]",697,0.3486370157819225,0.6513629842180775
0.25,TB2,I,>2,1273,0.2992930086410055,0.7007069913589945
0.25,TB2,M,"(0.25,0.5]",21,0.47619047619047616,0.5238095238095238
0.25,TB2,M,"(0.5,1]",311,0.5530546623794212,0.44694533762057875
0.25,TB2,M,"(1,2]",423,0.34515366430260047,0.6548463356973995
0.25,TB2,M,>2,1066,0.31894934333958724,0.6810506566604128
0.25,TB2,MA,"(0.25,0.5]",8,1.0,0.0
0.25,TB2,MA,"(0.5,1]",243,0.6172839506172839,0.3827160493827161
0.25,TB2,MA,"(1,2]",340,0.2911764705882353,0.7088235294117646
0.25,TB2,MA,>2,1152,0.2960069444444444,0.7039930555555556
0.25,TB2,NI,<=0.25,39,0.41025641025641024,0.5897435897435898
0.25,TB2,NI,"(0.25,0.5]",43,0.5813953488372093,0.41860465116279066
0.25,TB2,NI,"(0.5,1]",95,0.4842105263157895,0.5157894736842106
0.25,TB2,NI,"(1,2]",218,0.3073394495412844,0.6926605504587156
0.25,TB2,NI,>2,1144,0.20017482517482518,0.7998251748251748
0.25,TB2,P,"(0.25,0.5]",62,0.532258064516129,0.467741935483871
0.25,TB2,P,"(0.5,1]",88,0.6136363636363636,0.38636363636363635
0.25,TB2,P,"(1,2]",268,0.5447761194029851,0.4552238805970149
0.25,TB2,P,>2,989,0.2780586450960566,0.7219413549039434
0.25,TB2,RB,"(0.25,0.5]",31,0.8387096774193549,0.16129032258064513
0.25,TB2,RB,"(0.5,1]",238,0.5168067226890757,0.4831932773109243
0.25,TB2,RB,"(1,2]",480,0.375,0.625
0.25,TB2,RB,>2,1200,0.22833333333333333,0.7716666666666667
0.25,TB2,RU,"(0.25,0.5]",26,0.8846153846153846,0.11538461538461542
0.25,TB2,RU,"(0.5,1]",161,0.5590062111801242,0.44099378881987583
0.25,TB2,RU,"(1,2]",209,0.49760765550239233,0.5023923444976077
0.25,TB2,RU,>2,1163,0.2295786758383491,0.7704213241616509
0.25,TB2,SC,"(0.25,0.5]",24,0.375,0.625
0.25,TB2,SC,"(0.5,1]",76,0.5263157894736842,0.4736842105263158
0.25,TB2,SC,"(1,2]",178,0.43820224719101125,0.5617977528089888
0.25,TB2,SC,>2,1254,0.23285486443381181,0.7671451355661882
0.25,TB2,SN,<=0.25,21,0.38095238095238093,0.6190476190476191
0.25,TB2,SN,"(0.25,0.5]",20,0.7,0.30000000000000004
0.25,TB2,SN,"(0.5,1]",66,0.19696969696969696,0.803030303030303
0.25,TB2,SN,"(1,2]",127,0.4015748031496063,0.5984251968503937
0.25,TB2,SN,>2,1207,0.27340513670256833,0.7265948632974317
0.25,TB2,TA,"(0.25,0.5]",20,0.15,0.85
0.25,TB2,TA,"(0.5,1]",268,0.48880597014925375,0.5111940298507462
0.25,TB2,TA,"(1,2]",409,0.4278728606356968,0.5721271393643033
0.25,TB2,TA,>2,1157,0.2938634399308557,0.7061365600691443
0.25,TB3,AG,<=0.25,23,0.8695652173913043,0.13043478260869568
0.25,TB3,AG,"(0.25,0.5]",33,0.21212121212121213,0.7878787878787878
0.25,TB3,AG,"(0.5,1]",38,0.18421052631578946,0.8157894736842105
0.25,TB3,AG,"(1,2]",103,0.44660194174757284,0.5533980582524272
0.25,TB3,AG,>2,906,0.24172185430463577,0.7582781456953642
0.25,TB3,AL,<=0.25,13,0.5384615384615384,0.46153846153846156
0.25,TB3,AL,"(0.25,0.5]",35,0.34285714285714286,0.6571428571428571
0.25,TB3,AL,"(0.5,1]",104,0.3076923076923077,0.6923076923076923
0.25,TB3,AL,"(1,2]",200,0.45,0.55
0.25,TB3,AL,>2,976,0.19774590163934427,0.8022540983606558
0.25,TB3,AU,<=0.25,4,0.5,0.5
0.25,TB3,AU,"(0.25,0.5]",6,0.16666666666666666,0.8333333333333334
0.25,TB3,AU,"(0.5,1]",55,0.5454545454545454,0.4545454545454546
0.25,TB3,AU,"(1,2]",93,0.3870967741935484,0.6129032258064516
0.25,TB3,AU,>2,1141,0.19982471516213848,0.8001752848378615
0.25,TB3,CF,"(0.25,0.5]",16,0.375,0.625
0.25,TB3,CF,"(0.5,1]",137,0.39416058394160586,0.6058394160583942
0.25,TB3,CF,"(1,2]",647,0.3554868624420402,0.6445131375579598
0.25,TB3,CF,>2,1052,0.2633079847908745,0.7366920152091254
0.25,TB3,CU,<=0.25,10,0.9,0.09999999999999998
0.25,TB3,CU,"(0.25,0.5]",26,0.6538461538461539,0.34615384615384615
0.25,TB3,CU,"(0.5,1]",42,0.30952380952380953,0.6904761904761905
0.25,TB3,CU,"(1,2]",152,0.3355263157894737,0.6644736842105263
0.25,TB3,CU,>2,996,0.2540160642570281,0.7459839357429718
0.25,TB3,I,"(0.25,0.5]",24,1.0,0.0
0.25,TB3,I,"(0.5,1]",250,0.612,0.388
0.25,TB3,I,"(1,2]",771,0.36186770428015563,0.6381322957198443
0.25,TB3,I,>2,1422,0.229957805907173,0.770042194092827
0.25,TB3,M,<=0.25,3,1.0,0.0
0.25,TB3,M,"(0.25,0.5]",27,1.0,0.0
0.25,TB3,M,"(0.5,1]",284,0.6654929577464789,0.3345070422535211
0.25,TB3,M,"(1,2]",488,0.38524590163934425,0.6147540983606558
0.25,TB3,M,>2,1092,0.27472527472527475,0.7252747252747253
0.25,TB3,MA,<=0.25,9,0.0,1.0
0.25,TB3,MA,"(0.25,0.5]",85,0.9058823529411765,0.09411764705882353
0.25,TB3,MA,"(0.5,1]",238,0.46218487394957986,0.5378151260504201
0.25,TB3,MA,"(1,2]",342,0.48830409356725146,0.5116959064327485
0.25,TB3,MA,>2,987,0.2624113475177305,0.7375886524822695
0.25,TB3,NI,<=0.25,37,0.5405405405405406,0.45945945945945943
0.25,TB3,NI,"(0.25,0.5]",22,0.13636363636363635,0.8636363636363636
0.25,TB3,NI,"(0.5,1]",69,0.2463768115942029,0.7536231884057971
0.25,TB3,NI,"(1,2]",157,0.39490445859872614,0.6050955414012739
0.25,TB3,NI,>2,1117,0.21128021486123547,0.7887197851387645
0.25,TB3,P,<=0.25,1,1.0,0.0
0.25,TB3,P,"(0.25,0.5]",40,0.65,0.35
0.25,TB3,P,"(0.5,1]",121,0.5206611570247934,0.47933884297520657
0.25,TB3,P,"(1,2]",232,0.5387931034482759,0.4612068965517241
0.25,TB3,P,>2,997,0.2678034102306921,0.7321965897693079
0.25,TB3,RB,"(0.25,0.5]",42,0.09523809523809523,0.9047619047619048
0.25,TB3,RB,"(0.5,1]",258,0.4806201550387597,0.5193798449612403
0.25,TB3,RB,"(1,2]",583,0.38078902229845624,0.6192109777015438
0.25,TB3,RB,>2,1173,0.2659846547314578,0.7340153452685422
0.25,TB3,RU,<=0.25,4,1.0,0.0
0.25,TB3,RU,"(0.25,0.5]",37,0.43243243243243246,0.5675675675675675
0.25,TB3,RU,"(0.5,1]",167,0.49700598802395207,0.5029940119760479
0.25,TB3,RU,"(1,2]",249,0.4779116465863454,0.5220883534136547
0.25,TB3,RU,>2,1105,0.24705882352941178,0.7529411764705882
0.25,TB3,SC,<=0.25,6,0.16666666666666666,0.8333333333333334
0.25,TB3,SC,"(0.25,0.5]",29,0.2413793103448276,0.7586206896551724
0.25,TB3,SC,"(0.5,1]",91,0.5604395604395604,0.43956043956043955
0.25,TB3,SC,"(1,2]",145,0.4,0.6
0.25,TB3,SC,>2,1307,0.22264728385615914,0.7773527161438408
0.25,TB3,SN,<=0.25,9,0.4444444444444444,0.5555555555555556
0.25,TB3,SN,"(0.25,0.5]",9,0.3333333333333333,0.6666666666666667
0.25,TB3,SN,"(0.5,1]",35,0.5428571428571428,0.4571428571428572
0.25,TB3,SN,"(1,2]",101,0.40594059405940597,0.594059405940594
0.25,TB3,SN,>2,956,0.2175732217573222,0.7824267782426778
0.25,TB3,TA,<=0.25,3,0.3333333333333333,0.6666666666666667
0.25,TB3,TA,"(0.25,0.5]",53,0.5094339622641509,0.49056603773584906
0.25,TB3,TA,"(0.5,1]",136,0.39705882352941174,0.6029411764705883
0.25,TB3,TA,"(1,2]",275,0.3527272727272727,0.6472727272727272
0.25,TB3,TA,>2,1072,0.2947761194029851,0.7052238805970149
0.25,TB4,AG,<=0.25,8,0.625,0.375
0.25,TB4,AG,"(0.25,0.5]",13,0.46153846153846156,0.5384615384615384
0.25,TB4,AG,"(0.5,1]",19,0.5789473684210527,0.42105263157894735
0.25,TB4,AG,"(1,2]",126,0.5634920634920635,0.4365079365079365
0.25,TB4,AG,>2,1279,0.21188428459734168,0.7881157154026583
0.25,TB4,AL,"(0.25,0.5]",53,0.5660377358490566,0.4339622641509434
0.25,TB4,AL,"(0.5,1]",140,0.4857142857142857,0.5142857142857142
0.25,TB4,AL,"(1,2]",269,0.4758364312267658,0.5241635687732342
0.25,TB4,AL,>2,1187,0.2780117944397641,0.7219882055602359
0.25,TB4,AU,<=0.25,39,0.28205128205128205,0.717948717948718
0.25,TB4,AU,"(0.25,0.5]",4,0.5,0.5
0.25,TB4,AU,"(0.5,1]",39,0.5641025641025641,0.4358974358974359
0.25,TB4,AU,"(1,2]",106,0.5566037735849056,0.44339622641509435
0.25,TB4,AU,>2,1256,0.18152866242038215,0.8184713375796179
0.25,TB4,CF,"(0.25,0.5]",10,0.2,0.8
0.25,TB4,CF,"(0.5,1]",188,0.5478723404255319,0.4521276595744681
0.25,TB4,CF,"(1,2]",325,0.20923076923076922,0.7907692307692308
0.25,TB4,CF,>2,978,0.29243353783231085,0.7075664621676891
0.25,TB4,CU,<=0.25,10,0.6,0.4
0.25,TB4,CU,"(0.25,0.5]",45,0.6222222222222222,0.37777777777777777
0.25,TB4,CU,"(0.5,1]",89,0.5168539325842697,0.4831460674157303
0.25,TB4,CU,"(1,2]",166,0.42168674698795183,0.5783132530120482
0.25,TB4,CU,>2,1213,0.2085737840065952,0.7914262159934048
0.25,TB4,I,"(0.25,0.5]",2,0.0,1.0
0.25,TB4,I,"(0.5,1]",230,0.3739130434782609,0.6260869565217391
0.25,TB4,I,"(1,2]",780,0.36666666666666664,0.6333333333333333
0.25,TB4,I,>2,1182,0.24196277495769883,0.7580372250423012
0.25,TB4,M,"(0.25,0.5]",8,1.0,0.0
0.25,TB4,M,"(0.5,1]",138,0.572463768115942,0.427536231884058
0.25,TB4,M,"(1,2]",459,0.355119825708061,0.644880174291939
0.25,TB4,M,>2,1079,0.2511584800741427,0.7488415199258573
0.25,TB4,MA,"(0.25,0.5]",30,0.7,0.30000000000000004
0.25,TB4,MA,"(0.5,1]",89,0.5168539325842697,0.4831460674157303
0.25,TB4,MA,"(1,2]",184,0.29891304347826086,0.7010869565217391
0.25,TB4,MA,>2,1053,0.23076923076923078,0.7692307692307692
0.25,TB4,NI,<=0.25,3,0.0,1.0
0.25,TB4,NI,"(0.25,0.5]",16,0.3125,0.6875
0.25,TB4,NI,"(0.5,1]",55,0.4909090909090909,0.509090909090909
0.25,TB4,NI,"(1,2]",150,0.4,0.6
0.25,TB4,NI,>2,1193,0.22715842414082146,0.7728415758591786
0.25,TB4,P,<=0.25,11,0.6363636363636364,0.36363636363636365
0.25,TB4,P,"(0.25,0.5]",29,0.41379310344827586,0.5862068965517242
0.25,TB4,P,"(0.5,1]",67,0.7014925373134329,0.29850746268656714
0.25,TB4,P,"(1,2]",137,0.48905109489051096,0.5109489051094891
0.25,TB4,P,>2,1061,0.2412818096135721,0.758718190386428
0.25,TB4,RB,"(0.25,0.5]",41,1.0,0.0
0.25,TB4,RB,"(0.5,1]",383,0.5404699738903395,0.45953002610966054
0.25,TB4,RB,"(1,2]",793,0.4337957124842371,0.5662042875157629
0.25,TB4,RB,>2,1235,0.3117408906882591,0.688259109311741
0.25,TB4,RU,"(0.25,0.5]",63,0.6984126984126984,0.3015873015873016
0.25,TB4,RU,"(0.5,1]",129,0.49612403100775193,0.5038759689922481
0.25,TB4,RU,"(1,2]",273,0.358974358974359,0.641025641025641
0.25,TB4,RU,>2,1020,0.2235294117647059,0.7764705882352941
0.25,TB4,SC,<=0.25,42,0.6190476190476191,0.38095238095238093
0.25,TB4,SC,"(0.25,0.5]",48,0.3541666666666667,0.6458333333333333
0.25,TB4,SC,"(0.5,1]",91,0.5054945054945055,0.4945054945054945
0.25,TB4,SC,"(1,2]",166,0.5,0.5
0.25,TB4,SC,>2,1084,0.24723247232472326,0.7527675276752768
0.25,TB4,SN,<=0.25,10,0.6,0.4
0.25,TB4,SN,"(0.25,0.5]",30,0.6333333333333333,0.3666666666666667
0.25,TB4,SN,"(0.5,1]",37,0.4864864864864865,0.5135135135135135
0.25,TB4,SN,"(1,2]",94,0.5,0.5
0.25,TB4,SN,>2,1173,0.24893435635123615,0.7510656436487638
0.25,TB4,TA,<=0.25,24,0.4583333333333333,0.5416666666666667
0.25,TB4,TA,"(0.25,0.5]",72,0.5416666666666666,0.45833333333333337
0.25,TB4,TA,"(0.5,1]",112,0.5446428571428571,0.4553571428571429
0.25,TB4,TA,"(1,2]",237,0.33755274261603374,0.6624472573839663
0.25,TB4,TA,>2,1010,0.2198019801980198,0.7801980198019802
0.5,TB1,AG,<=0.25,31,0.5483870967741935,0.4516129032258065
0.5,TB1,AG,"(0.25,0.5]",107,0.8878504672897196,0.11214953271028039
0.5,TB1,AG,"(0.5,1]",170,0.5411764705882353,0.45882352941176474
0.5,TB1,AG,"(1,2]",321,0.45482866043613707,0.5451713395638629
0.5,TB1,AG,>2,752,0.3550531914893617,0.6449468085106382
0.5,TB1,AL,<=0.25,20,1.0,0.0
0.5,TB1,AL,"(0.25,0.5]",155,0.7870967741935484,0.2129032258064516
0.5,TB1,AL,"(0.5,1]",367,0.7493188010899182,0.2506811989100818
0.5,TB1,AL,"(1,2]",451,0.6407982261640798,0.3592017738359202
0.5,TB1,AL,>2,665,0.32781954887218046,0.6721804511278195
0.5,TB1,AU,<=0.25,22,0.8181818181818182,0.18181818181818177
0.5,TB1,AU,"(0.25,0.5]",51,0.9019607843137255,0.0980392156862745
0.5,TB1,AU,"(0.5,1]",118,0.8050847457627118,0.19491525423728817
0.5,TB1,AU,"(1,2]",210,0.48095238095238096,0.519047619047619
0.5,TB1,AU,>2,725,0.3255172413793103,0.6744827586206896
0.5,TB1,CF,<=0.25,8,0.75,0.25
0.5,TB1,CF,"(0.25,0.5]",129,0.6744186046511628,0.32558139534883723
0.5,TB1,CF,"(0.5,1]",669,0.6965620328849028,0.3034379671150972
0.5,TB1,CF,"(1,2]",653,0.5712098009188361,0.4287901990811639
0.5,TB1,CF,>2,502,0.40836653386454186,0.5916334661354581
0.5,TB1,CU,<=0.25,94,0.8617021276595744,0.13829787234042556
0.5,TB1,CU,"(0.25,0.5]",76,0.6973684210526315,0.3026315789473685
0.5,TB1,CU,"(0.5,1]",162,0.7037037037037037,0.2962962962962963
0.5,TB1,CU,"(1,2]",234,0.5598290598290598,0.44017094017094016
0.5,TB1,CU,>2,653,0.36447166921898927,0.6355283307810107
0.5,TB1,I,<=0.25,2,0.0,1.0
0.5,TB1,I,"(0.25,0.5]",178,0.8258426966292135,0.1741573033707865
0.5,TB1,I,"(0.5,1]",498,0.6807228915662651,0.3192771084337349
0.5,TB1,I,"(1,2]",527,0.6299810246679317,0.3700189753320683
0.5,TB1,I,>2,478,0.40585774058577406,0.5941422594142259
0.5,TB1,M,<=0.25,53,0.7169811320754716,0.28301886792452835
0.5,TB1,M,"(0.25,0.5]",99,0.8383838383838383,0.16161616161616166
0.5,TB1,M,"(0.5,1]",244,0.8073770491803278,0.19262295081967218
0.5,TB1,M,"(1,2]",332,0.6656626506024096,0.3343373493975904
0.5,TB1,M,>2,569,0.3233743409490334,0.6766256590509666
0.5,TB1,MA,<=0.25,35,0.7428571428571429,0.2571428571428571
0.5,TB1,MA,"(0.25,0.5]",181,0.7790055248618785,0.22099447513812154
0.5,TB1,MA,"(0.5,1]",281,0.608540925266904,0.39145907473309605
0.5,TB1,MA,"(1,2]",476,0.5756302521008403,0.4243697478991597
0.5,TB1,MA,>2,490,0.3816326530612245,0.6183673469387755
0.5,TB1,NI,<=0.25,44,0.7045454545454546,0.2954545454545454
0.5,TB1,NI,"(0.25,0.5]",56,0.625,0.375
0.5,TB1,NI,"(0.5,1]",133,0.7669172932330827,0.23308270676691734
0.5,TB1,NI,"(1,2]",320,0.49375,0.50625
0.5,TB1,NI,>2,629,0.32273449920508746,0.6772655007949125
0.5,TB1,P,<=0.25,41,0.6097560975609756,0.3902439024390244
0.5,TB1,P,"(0.25,0.5]",117,0.7863247863247863,0.2136752136752137
0.5,TB1,P,"(0.5,1]",186,0.6827956989247311,0.31720430107526887
0.5,TB1,P,"(1,2]",278,0.4856115107913669,0.5143884892086331
0.5,TB1,P,>2,584,0.351027397260274,0.648972602739726
0.5,TB1,RB,<=0.25,25,0.92,0.07999999999999996
0.5,TB1,RB,"(0.25,0.5]",146,0.7945205479452054,0.20547945205479456
0.5,TB1,RB,"(0.5,1]",243,0.6460905349794238,0.3539094650205762
0.5,TB1,RB,"(1,2]",415,0.6337349397590362,0.36626506024096384
0.5,TB1,RB,>2,558,0.3763440860215054,0.6236559139784946
0.5,TB1,RU,<=0.25,18,0.7222222222222222,0.2777777777777778
0.5,TB1,RU,"(0.25,0.5]",89,0.7865168539325843,0.2134831460674157
0.5,TB1,RU,"(0.5,1]",192,0.6822916666666666,0.31770833333333337
0.5,TB1,RU,"(1,2]",324,0.5987654320987654,0.4012345679012346
0.5,TB1,RU,>2,619,0.3554119547657512,0.6445880452342487
0.5,TB1,SC,<=0.25,72,0.875,0.125
0.5,TB1,SC,"(0.25,0.5]",91,0.7802197802197802,0.21978021978021978
0.5,TB1,SC,"(0.5,1]",168,0.6369047619047619,0.36309523809523814
0.5,TB1,SC,"(1,2]",216,0.5555555555555556,0.4444444444444444
0.5,TB1,SC,>2,753,0.28286852589641437,0.7171314741035857
0.5,TB1,SN,<=0.25,55,0.7636363636363637,0.23636363636363633
0.5,TB1,SN,"(0.25,0.5]",26,0.8076923076923077,0.1923076923076923
0.5,TB1,SN,"(0.5,1]",120,0.65,0.35
0.5,TB1,SN,"(1,2]",284,0.5070422535211268,0.49295774647887325
0.5,TB1,SN,>2,769,0.32249674902470743,0.6775032509752925
0.5,TB1,TA,<=0.25,10,1.0,0.0
0.5,TB1,TA,"(0.25,0.5]",134,0.835820895522388,0.16417910447761197
0.5,TB1,TA,"(0.5,1]",303,0.7062706270627063,0.29372937293729373
0.5,TB1,TA,"(1,2]",413,0.6464891041162227,0.35351089588377727
0.5,TB1,TA,>2,544,0.3694852941176471,0.6305147058823529
0.5,TB2,AG,<=0.25,40,0.475,0.525
0.5,TB2,AG,"(0.25,0.5]",41,0.6097560975609756,0.3902439024390244
0.5,TB2,AG,"(0.5,1]",130,0.7076923076923077,0.29230769230769227
0.5,TB2,AG,"(1,2]",264,0.6325757575757576,0.36742424242424243
0.5,TB2,AG,>2,744,0.35618279569892475,0.6438172043010753
0.5,TB2,AL,"(0.25,0.5]",253,0.8181818181818182,0.18181818181818177
0.5,TB2,AL,"(0.5,1]",571,0.7285464098073555,0.2714535901926445
0.5,TB2,AL,"(1,2]",607,0.6688632619439868,0.3311367380560132
0.5,TB2,AL,>2,615,0.38699186991869916,0.6130081300813008
0.5,TB2,AU,<=0.25,44,0.5,0.5
0.5,TB2,AU,"(0.25,0.5]",37,0.7567567567567568,0.2432432432432432
0.5,TB2,AU,"(0.5,1]",145,0.7517241379310344,0.24827586206896557
0.5,TB2,AU,"(1,2]",256,0.48828125,0.51171875
0.5,TB2,AU,>2,825,0.26666666666666666,0.7333333333333334
0.5,TB2,CF,"(0.25,0.5]",182,0.8241758241758241,0.17582417582417587
0.5,TB2,CF,"(0.5,1]",802,0.7381546134663342,0.26184538653366585
0.5,TB2,CF,"(1,2]",709,0.6332863187588152,0.36671368124118475
0.5,TB2,CF,>2,564,0.3670212765957447,0.6329787234042553
0.5,TB2,CU,<=0.25,41,0.6585365853658537,0.3414634146341463
0.5,TB2,CU,"(0.25,0.5]",107,0.7476635514018691,0.25233644859813087
0.5,TB2,CU,"(0.5,1]",277,0.7436823104693141,0.2563176895306859
0.5,TB2,CU,"(1,2]",401,0.5985037406483791,0.4014962593516209
0.5,TB2,CU,>2,690,0.36666666666666664,0.6333333333333333
0.5,TB2,I,<=0.25,12,0.75,0.25
0.5,TB2,I,"(0.25,0.5]",272,0.8125,0.1875
0.5,TB2,I,"(0.5,1]",697,0.7604017216642754,0.23959827833572456
0.5,TB2,I,"(1,2]",815,0.6613496932515337,0.3386503067484663
0.5,TB2,I,>2,458,0.3646288209606987,0.6353711790393013
0.5,TB2,M,<=0.25,21,1.0,0.0
0.5,TB2,M,"(0.25,0.5]",311,0.8327974276527331,0.16720257234726688
0.5,TB2,M,"(0.5,1]",423,0.7163120567375887,0.2836879432624113
0.5,TB2,M,"(1,2]",544,0.6452205882352942,0.35477941176470584
0.5,TB2,M,>2,522,0.40229885057471265,0.5977011494252873
0.5,TB2,MA,<=0.25,8,1.0,0.0
0.5,TB2,MA,"(0.25,0.5]",243,0.7860082304526749,0.21399176954732513
