risk_ATR,wf,model,roc_auc_lo,roc_auc_hi,brier_lo,brier_hi,bottom20_gain_lo,bottom20_gain_hi
0.75,WF1,M0,0.5875561537442456,0.6119743706747699,0.2088054529703507,0.21495854090819763,0.08622189701747428,0.11905644953097617
0.75,WF1,M_G1,0.7690477004766052,0.7867522887624924,0.168428757836481,0.1760090311589638,0.2839112699799657,0.3152539588615394
0.75,WF1,M_G2,0.5384273989839388,0.5640104860201273,0.2237457915784407,0.23142873144109657,0.007941191407199075,0.04543811752410495
0.75,WF1,M_G3,0.7187393634510565,0.7368537844112102,0.1836032775723758,0.1906939345082458,0.2222352873158425,0.25562248012787087
0.75,WF1,M_G4,0.5875561537442456,0.6119743706747699,0.2088054529703507,0.21495854090819763,0.08622189701747428,0.11905644953097617
0.75,WF1,M_G5,0.6303418225516284,0.6491538859805727,0.2034911604036802,0.20970422480714726,0.10788217937798913,0.1432957349910382
0.75,WF1,M_simple,0.7425799904642412,0.761052531923717,0.17750183414122092,0.1857308032020886,0.2547622528531965,0.290011080739881
0.75,WF1,M_field,0.7425799904642412,0.761052531923717,0.17750183414122092,0.1857308032020886,0.2547622528531965,0.290011080739881
0.75,WF1,M_B2_full,0.7417078627390761,0.7602214477258521,0.17797534113566846,0.18612308965005303,0.25960114938609924,0.29360690266980366
0.75,WF1,M_ob,0.581119351964444,0.6064130580854936,0.21121203137294134,0.2168217127691067,0.08408518180510222,0.1214221127588056
0.75,WF1,M_full,0.7191406534188669,0.7367039780939726,0.19026916690219653,0.19855386451798918,0.2169555380871022,0.24856796972477208
0.75,WF1,M_full_minus_ob,0.721635759141847,0.7391245989928381,0.18921156775212403,0.1976072513621465,0.2196849857811518,0.2522756466269066
0.75,WF1,M_B2mG1,0.7033911990544375,0.7211628724229339,0.18797722717918777,0.19561856484507636,0.21672792577466302,0.2525236162655706
0.75,WF1,M_B2mG2,0.7671940897612405,0.7849562467191208,0.16892271855086113,0.17646472528277837,0.28199453131716556,0.31554118629278016
0.75,WF1,M_B2mG3,0.7406669051735275,0.7596559287112177,0.17809763651008279,0.1864198819414086,0.25679308350803987,0.29199193178379873
0.75,WF1,M_B2mG4,0.7417078627390761,0.7602214477258521,0.17797534113566846,0.18612308965005303,0.25960114938609924,0.29360690266980366
0.75,WF1,M_B2mG5,0.743189420499241,0.7609299784476685,0.1776775428786473,0.18581738837957987,0.2568845599069064,0.292186805739959
0.75,WF2,M0,0.5785253038281627,0.6047328522938497,0.21580684138548545,0.2253532610068662,0.12079592319840156,0.1558407494536601
0.75,WF2,M_G1,0.7591770427863889,0.7775080770859798,0.17615489719842642,0.18558976035729927,0.2992024282470471,0.3368228853387341
0.75,WF2,M_G2,0.5555482124465424,0.5818649925942354,0.22143336000432792,0.23195008691150673,0.08378631679474619,0.1257031656529178
0.75,WF2,M_G3,0.7091894898807791,0.7280396722264932,0.19095857413149253,0.19990879067664444,0.23836271101323836,0.27396689625272896
0.75,WF2,M_G4,0.5785253038281627,0.6047328522938497,0.21580684138548545,0.2253532610068662,0.12079592319840156,0.1558407494536601
0.75,WF2,M_G5,0.6082756829493362,0.6327518194047879,0.21250994061489856,0.22224926104978968,0.11472566065395257,0.15340450190337432
0.75,WF2,M_simple,0.744184060861153,0.7633258806994283,0.1823580639403093,0.1923017030630498,0.2700956154039763,0.309069949758914
0.75,WF2,M_field,0.744184060861153,0.7633258806994283,0.1823580639403093,0.1923017030630498,0.2700956154039763,0.309069949758914
0.75,WF2,M_B2_full,0.7449007821272948,0.7644473249591828,0.18200116736455077,0.19168064548336647,0.2748773394136353,0.3130926164914962
0.75,WF2,M_ob,0.5722093915422823,0.5987891675383117,0.21725499528291708,0.22718055944467722,0.10075782353012411,0.14317962114065913
0.75,WF2,M_full,0.7230323452864948,0.7431165787022151,0.19547657348756423,0.2056287292658452,0.24737341752895411,0.2909973645087725
0.75,WF2,M_full_minus_ob,0.7228245174445004,0.7427795442062074,0.19522086483965465,0.20539670585046665,0.24620326292958583,0.28966875666932546
0.75,WF2,M_B2mG1,0.701291987855754,0.7228536641228143,0.19384843548062736,0.2031107268356677,0.25718534692031436,0.29421600894137623
0.75,WF2,M_B2mG2,0.7589204985546623,0.7775795371495628,0.17620967612782928,0.18536477891148545,0.3086411684358349,0.34188103250847257
0.75,WF2,M_B2mG3,0.7438697161528555,0.7631582330295069,0.1824321558897823,0.19235648891511828,0.27131408054623396,0.31143277803992414
0.75,WF2,M_B2mG4,0.7449007821272948,0.7644473249591828,0.18200116736455077,0.19168064548336647,0.2748773394136353,0.3130926164914962
0.75,WF2,M_B2mG5,0.7438052506932635,0.763065427361287,0.1826234591788324,0.19243847785623394,0.272533679971852,0.3126319499606283
0.75,WF3,M0,0.5931053762707582,0.6186098890010143,0.21537546903286703,0.2235321843841179,0.090145963349064,0.13821787732656224
0.75,WF3,M_G1,0.7517619484495355,0.7678255678469641,0.18126963785331898,0.18842072123432843,0.2918756984239621,0.33217774348882206
0.75,WF3,M_G2,0.5694624501486254,0.5960397902851122,0.2216775464612977,0.2304879255272244,0.05470971389143709,0.10101102789164708
0.75,WF3,M_G3,0.7078801204917038,0.7248694100355985,0.19342024577468186,0.20096317892219887,0.23483684906353292,0.27569986926186607
0.75,WF3,M_G4,0.5931053762707582,0.6186098890010143,0.21537546903286703,0.2235321843841179,0.090145963349064,0.13821787732656224
0.75,WF3,M_G5,0.6136011358475384,0.6369840607374258,0.21195588658971548,0.22036651214781286,0.10832278441896326,0.1538612801303416
0.75,WF3,M_simple,0.7399931643574938,0.7568052848528751,0.18692769586667013,0.19429935543237442,0.27424654282072003,0.3122427606691681
0.75,WF3,M_field,0.7399931643574938,0.7568052848528751,0.18692769586667013,0.19429935543237442,0.27424654282072003,0.3122427606691681
0.75,WF3,M_B2_full,0.7384987943445412,0.7548307224273662,0.18763964884470874,0.1950353049592278,0.2714478304575041,0.3070592978356946
0.75,WF3,M_ob,0.5955153466269517,0.619439946505885,0.2151899555247052,0.22368301385261866,0.11113359237507743,0.1539002773147103
0.75,WF3,M_full,0.7332087854751427,0.7491289414787068,0.18929919373245785,0.19753300420402775,0.258387072614041,0.29644942560194404
0.75,WF3,M_full_minus_ob,0.732847192301439,0.7490425084560107,0.18970254631531666,0.19770129807326306,0.2586997459284593,0.29444487022692095
0.75,WF3,M_B2mG1,0.7021333884030041,0.720862544489397,0.19612188589038632,0.20422101552640673,0.23244935313597537,0.27341097864268865
0.75,WF3,M_B2mG2,0.7501853124953923,0.7660768054220045,0.18147790414979975,0.18895763063476131,0.28788372348074087,0.32741498252906787
0.75,WF3,M_B2mG3,0.7386529226660327,0.7548700027805046,0.18745911894532566,0.19480787509404335,0.27515759008517454,0.3110871662498293
0.75,WF3,M_B2mG4,0.7384987943445412,0.7548307224273662,0.18763964884470874,0.1950353049592278,0.2714478304575041,0.3070592978356946
0.75,WF3,M_B2mG5,0.7396507459866348,0.7566358113297089,0.1869280623636506,0.1944130193538963,0.27199123554925525,0.30846378017041726
1.0,WF1,M0,0.6016728329849595,0.6269511663304475,0.1740029516401206,0.1810854073210437,0.0948544236061201,0.12926667615515586
1.0,WF1,M_G1,0.7906318341237267,0.8086918619450879,0.1408437851743004,0.14908438298340998,0.27685984369703204,0.31236261428797024
1.0,WF1,M_G2,0.551669071584628,0.5775758279754346,0.1863706031655619,0.19486792702090097,0.019245817409423705,0.05157325677798565
1.0,WF1,M_G3,0.739596736778229,0.7572162281094046,0.15320421655482314,0.16114488123911908,0.21697401918995238,0.24872821746625334
1.0,WF1,M_G4,0.6016728329849595,0.6269511663304475,0.1740029516401206,0.1810854073210437,0.0948544236061201,0.12926667615515586
1.0,WF1,M_G5,0.6396387402818822,0.6604286663347122,0.17041220540619506,0.1777854994607831,0.10624100679665882,0.13743613308131555
1.0,WF1,M_simple,0.7653539031226015,0.7847187254753771,0.14891341157118124,0.1576509097289593,0.24103676218008718,0.27763072735077254
1.0,WF1,M_field,0.7653539031226015,0.7847187254753771,0.14891341157118124,0.1576509097289593,0.24103676218008718,0.27763072735077254
1.0,WF1,M_B2_full,0.7651644478475349,0.7832494116788226,0.14941553569675295,0.1581113184331296,0.23965414448558905,0.276550732629045
1.0,WF1,M_ob,0.5918287631296274,0.616870357409847,0.1761374192963552,0.18294370214873504,0.08020032850193547,0.11599540055243139
1.0,WF1,M_full,0.749963117702524,0.7673735854607667,0.15767191018723825,0.16632400175734366,0.22364847629501453,0.2600368524317691
1.0,WF1,M_full_minus_ob,0.7505000975056019,0.7681072164165827,0.1571103321632078,0.16582722380140683,0.225035695084481,0.262039464240158
