risk_ATR,wf,removed_block,dROC_Full_minus_block,dBottom20gain_Full_minus_block
1.5,WF3,G3,0.0005517994038924945,-0.006966434452185033
2.0,WF1,G3,0.004097657698880708,0.0025545293770878885
2.0,WF2,G3,0.002292999164071663,-0.001704303365999138
2.0,WF3,G3,0.002717882816164363,-0.004433185560481334
3.0,WF1,G3,0.004511482315841975,0.0011790135586559058
3.0,WF2,G3,0.002868183313516681,-0.0010651896037494613
3.0,WF3,G3,0.005132434281484355,-0.0016888325944690585
0.25,WF1,G4,0.0,0.0
0.25,WF2,G4,0.0,0.0
0.25,WF3,G4,0.0,0.0
0.5,WF1,G4,0.0,0.0
0.5,WF2,G4,0.0,0.0
0.5,WF3,G4,0.0,0.0
0.75,WF1,G4,0.0,0.0
0.75,WF2,G4,0.0,0.0
0.75,WF3,G4,0.0,0.0
1.0,WF1,G4,0.0,0.0
1.0,WF2,G4,0.0,0.0
1.0,WF3,G4,0.0,0.0
1.5,WF1,G4,0.0,0.0
1.5,WF2,G4,0.0,0.0
1.5,WF3,G4,0.0,0.0
2.0,WF1,G4,0.0,0.0
2.0,WF2,G4,0.0,0.0
2.0,WF3,G4,0.0,0.0
3.0,WF1,G4,0.0,0.0
3.0,WF2,G4,0.0,0.0
3.0,WF3,G4,0.0,0.0
0.25,WF1,G5,-0.0011886067958061242,-0.0023580271173118394
0.25,WF2,G5,0.001625966721591987,-0.0014912654452492458
0.25,WF3,G5,-0.004026385758917783,-0.004644289634789939
0.5,WF1,G5,0.0003197373840410078,-0.0007860090391039742
0.5,WF2,G5,0.000651458271508587,-0.0010651896037495168
0.5,WF3,G5,-0.001234809927471825,-0.000633312222925897
0.75,WF1,G5,-0.0009344974297631481,0.00196502259775988
0.75,WF2,G5,0.0012223571429987867,0.0019173412867490858
0.75,WF3,G5,-0.0013359856879159304,-0.0008444162972345293
1.0,WF1,G5,-0.0023586517319404976,-0.004323049715071747
1.0,WF2,G5,5.548616612394142e-06,0.0010651896037494613
1.0,WF3,G5,-0.0020808573464276003,-0.004222081486172702
1.5,WF1,G5,-0.003184750577678752,-0.005305561013951743
1.5,WF2,G5,-0.0012070437675427703,-0.0021303792074989225
1.5,WF3,G5,0.00010510834584331885,-0.0006333122229259525
2.0,WF1,G5,-0.00018301038111978585,0.0017685203379839143
2.0,WF2,G5,-0.0013986216023053055,-0.000852151682999569
2.0,WF3,G5,2.3171786593056964e-05,-0.00042220814861726463
3.0,WF1,G5,-0.0003567454348802901,-0.00098251129887994
3.0,WF2,G5,-0.0019165307659486652,-0.00021303792074989225
3.0,WF3,G5,0.0010461842879637695,-0.00042220814861726463
