variable,dimension,smd
level_age_log1p,PREV_CONTIG_SESSION_HIGH,0.2137
atr_rel_pre,PREV_CONTIG_SESSION_HIGH,0.146
pre_ret_3_R,PREV_CONTIG_SESSION_HIGH,0.178
pre_ret_12_R,PREV_CONTIG_SESSION_HIGH,0.1427
pre_rv_12_R,PREV_CONTIG_SESSION_HIGH,0.1661
pre_range_12_R,PREV_CONTIG_SESSION_HIGH,0.3123
volume_z_20_pre,PREV_CONTIG_SESSION_HIGH,0.0811
penetration_depth_R,PREV_CONTIG_SESSION_HIGH,0.2935
close_beyond_R,PREV_CONTIG_SESSION_HIGH,0.0726
bar_range_R,PREV_CONTIG_SESSION_HIGH,0.1572
abs_return_R,PREV_CONTIG_SESSION_HIGH,0.1297
gap_R,PREV_CONTIG_SESSION_HIGH,0.1337
volume_z_t0,PREV_CONTIG_SESSION_HIGH,0.1909
minute_from_session_open,PREV_CONTIG_SESSION_HIGH,0.0653
level_age_log1p,PREV_CONTIG_SESSION_LOW,0.2005
atr_rel_pre,PREV_CONTIG_SESSION_LOW,0.1211
pre_ret_3_R,PREV_CONTIG_SESSION_LOW,-0.0975
pre_ret_12_R,PREV_CONTIG_SESSION_LOW,-0.1409
pre_rv_12_R,PREV_CONTIG_SESSION_LOW,0.152
pre_range_12_R,PREV_CONTIG_SESSION_LOW,0.2492
volume_z_20_pre,PREV_CONTIG_SESSION_LOW,0.0497
penetration_depth_R,PREV_CONTIG_SESSION_LOW,0.2673
close_beyond_R,PREV_CONTIG_SESSION_LOW,0.081
bar_range_R,PREV_CONTIG_SESSION_LOW,0.1427
abs_return_R,PREV_CONTIG_SESSION_LOW,0.1268
gap_R,PREV_CONTIG_SESSION_LOW,0.1297
volume_z_t0,PREV_CONTIG_SESSION_LOW,0.1848
minute_from_session_open,PREV_CONTIG_SESSION_LOW,0.0545
level_age_log1p,PREV_TRADING_DAY_HIGH,0.0777
atr_rel_pre,PREV_TRADING_DAY_HIGH,0.1102
pre_ret_3_R,PREV_TRADING_DAY_HIGH,0.0839
pre_ret_12_R,PREV_TRADING_DAY_HIGH,0.1402
pre_rv_12_R,PREV_TRADING_DAY_HIGH,0.0857
pre_range_12_R,PREV_TRADING_DAY_HIGH,0.203
volume_z_20_pre,PREV_TRADING_DAY_HIGH,0.0346
penetration_depth_R,PREV_TRADING_DAY_HIGH,0.3393
close_beyond_R,PREV_TRADING_DAY_HIGH,0.0975
bar_range_R,PREV_TRADING_DAY_HIGH,0.1257
abs_return_R,PREV_TRADING_DAY_HIGH,0.0867
gap_R,PREV_TRADING_DAY_HIGH,0.0979
volume_z_t0,PREV_TRADING_DAY_HIGH,0.1592
minute_from_session_open,PREV_TRADING_DAY_HIGH,0.0213
level_age_log1p,PREV_TRADING_DAY_LOW,0.09
atr_rel_pre,PREV_TRADING_DAY_LOW,0.0485
pre_ret_3_R,PREV_TRADING_DAY_LOW,-0.0083
pre_ret_12_R,PREV_TRADING_DAY_LOW,-0.0701
pre_rv_12_R,PREV_TRADING_DAY_LOW,0.1074
pre_range_12_R,PREV_TRADING_DAY_LOW,0.1788
volume_z_20_pre,PREV_TRADING_DAY_LOW,0.1383
penetration_depth_R,PREV_TRADING_DAY_LOW,0.3502
close_beyond_R,PREV_TRADING_DAY_LOW,0.1244
bar_range_R,PREV_TRADING_DAY_LOW,0.1785
abs_return_R,PREV_TRADING_DAY_LOW,0.1245
gap_R,PREV_TRADING_DAY_LOW,0.0637
volume_z_t0,PREV_TRADING_DAY_LOW,0.2579
minute_from_session_open,PREV_TRADING_DAY_LOW,0.0338
level_age_log1p,AG,0.0897
atr_rel_pre,AG,0.128
pre_ret_3_R,AG,0.0564
pre_ret_12_R,AG,-0.1003
pre_rv_12_R,AG,0.2076
pre_range_12_R,AG,0.2995
volume_z_20_pre,AG,-0.0898
penetration_depth_R,AG,0.3133
close_beyond_R,AG,0.0554
bar_range_R,AG,0.2446
abs_return_R,AG,0.2159
gap_R,AG,0.1833
volume_z_t0,AG,0.3019
minute_from_session_open,AG,-0.0114
level_age_log1p,AL,0.2384
atr_rel_pre,AL,0.1683
pre_ret_3_R,AL,-0.0327
pre_ret_12_R,AL,0.0335
pre_rv_12_R,AL,0.1601
pre_range_12_R,AL,0.223
volume_z_20_pre,AL,0.0712
penetration_depth_R,AL,0.1115
close_beyond_R,AL,0.0188
bar_range_R,AL,0.0243
abs_return_R,AL,0.0842
gap_R,AL,0.1815
volume_z_t0,AL,0.15
minute_from_session_open,AL,0.0426
level_age_log1p,AU,0.2249
atr_rel_pre,AU,0.2987
pre_ret_3_R,AU,0.0369
pre_ret_12_R,AU,-0.0289
pre_rv_12_R,AU,-0.0262
pre_range_12_R,AU,0.2213
volume_z_20_pre,AU,0.1409
penetration_depth_R,AU,0.381
close_beyond_R,AU,0.0722
bar_range_R,AU,0.0431
abs_return_R,AU,-0.0414
gap_R,AU,-0.0037
volume_z_t0,AU,0.1766
minute_from_session_open,AU,0.0123
level_age_log1p,CF,0.1712
atr_rel_pre,CF,0.2461
pre_ret_3_R,CF,-0.1189
pre_ret_12_R,CF,-0.0244
pre_rv_12_R,CF,0.3219
pre_range_12_R,CF,0.3977
volume_z_20_pre,CF,0.0519
penetration_depth_R,CF,0.3379
close_beyond_R,CF,0.0295
bar_range_R,CF,0.2865
abs_return_R,CF,0.2772
gap_R,CF,0.1444
volume_z_t0,CF,0.2176
minute_from_session_open,CF,0.1097
level_age_log1p,CU,0.0421
atr_rel_pre,CU,-0.0372
pre_ret_3_R,CU,-0.0094
pre_ret_12_R,CU,0.0036
pre_rv_12_R,CU,0.1891
pre_range_12_R,CU,0.252
volume_z_20_pre,CU,-0.0571
penetration_depth_R,CU,0.2684
close_beyond_R,CU,0.1108
bar_range_R,CU,0.1308
abs_return_R,CU,0.1427
gap_R,CU,0.1483
volume_z_t0,CU,0.1586
minute_from_session_open,CU,0.0592
level_age_log1p,I,0.1858
atr_rel_pre,I,0.181
pre_ret_3_R,I,-0.0627
pre_ret_12_R,I,-0.0611
pre_rv_12_R,I,0.0275
pre_range_12_R,I,0.2564
volume_z_20_pre,I,0.1949
penetration_depth_R,I,0.3879
close_beyond_R,I,0.0995
bar_range_R,I,0.1719
abs_return_R,I,0.0876
gap_R,I,0.0949
volume_z_t0,I,0.1108
minute_from_session_open,I,0.1081
level_age_log1p,M,0.2569
atr_rel_pre,M,0.1177
pre_ret_3_R,M,0.1889
pre_ret_12_R,M,0.0508
pre_rv_12_R,M,0.1381
pre_range_12_R,M,0.2693
volume_z_20_pre,M,0.0572
penetration_depth_R,M,0.3498
close_beyond_R,M,0.1018
bar_range_R,M,0.2037
abs_return_R,M,0.114
gap_R,M,0.0773
volume_z_t0,M,0.2372
minute_from_session_open,M,0.123
level_age_log1p,MA,0.2877
atr_rel_pre,MA,0.2285
pre_ret_3_R,MA,0.0327
pre_ret_12_R,MA,0.0346
pre_rv_12_R,MA,0.2429
pre_range_12_R,MA,0.3332
volume_z_20_pre,MA,0.0541
penetration_depth_R,MA,0.2362
close_beyond_R,MA,0.0681
bar_range_R,MA,0.1354
abs_return_R,MA,0.0853
gap_R,MA,0.0993
volume_z_t0,MA,0.0728
minute_from_session_open,MA,0.0565
level_age_log1p,NI,0.304
atr_rel_pre,NI,0.1342
pre_ret_3_R,NI,0.0109
pre_ret_12_R,NI,0.111
pre_rv_12_R,NI,0.2012
pre_range_12_R,NI,0.3128
volume_z_20_pre,NI,0.0486
penetration_depth_R,NI,0.3239
close_beyond_R,NI,0.0873
bar_range_R,NI,0.2418
abs_return_R,NI,0.1942
gap_R,NI,0.1372
volume_z_t0,NI,0.2649
minute_from_session_open,NI,0.0557
level_age_log1p,P,0.033
atr_rel_pre,P,-0.0171
pre_ret_3_R,P,0.0386
pre_ret_12_R,P,-0.0431
pre_rv_12_R,P,0.006
pre_range_12_R,P,0.1645
volume_z_20_pre,P,0.0401
penetration_depth_R,P,0.2559
close_beyond_R,P,0.0944
bar_range_R,P,0.0578
abs_return_R,P,0.0021
gap_R,P,0.0108
volume_z_t0,P,0.0713
minute_from_session_open,P,0.0994
level_age_log1p,RB,0.1065
atr_rel_pre,RB,0.1626
pre_ret_3_R,RB,0.0434
pre_ret_12_R,RB,0.0157
pre_rv_12_R,RB,0.1411
pre_range_12_R,RB,0.2501
volume_z_20_pre,RB,0.2022
penetration_depth_R,RB,0.3176
close_beyond_R,RB,0.0718
bar_range_R,RB,0.1948
abs_return_R,RB,0.157
gap_R,RB,0.2317
volume_z_t0,RB,0.3284
minute_from_session_open,RB,0.0104
level_age_log1p,RU,0.1435
atr_rel_pre,RU,0.2771
pre_ret_3_R,RU,-0.0624
pre_ret_12_R,RU,-0.0774
pre_rv_12_R,RU,0.0492
pre_range_12_R,RU,0.3156
volume_z_20_pre,RU,0.1193
penetration_depth_R,RU,0.3657
close_beyond_R,RU,0.0827
bar_range_R,RU,0.0198
abs_return_R,RU,-0.0093
gap_R,RU,0.2087
volume_z_t0,RU,0.1462
minute_from_session_open,RU,0.0402
level_age_log1p,SC,0.1633
atr_rel_pre,SC,0.0599
pre_ret_3_R,SC,-0.0177
pre_ret_12_R,SC,0.0163
pre_rv_12_R,SC,0.3655
pre_range_12_R,SC,0.4242
volume_z_20_pre,SC,-0.1686
penetration_depth_R,SC,0.3637
close_beyond_R,SC,0.0742
bar_range_R,SC,0.3864
abs_return_R,SC,0.3209
gap_R,SC,0.258
volume_z_t0,SC,0.1845
minute_from_session_open,SC,0.0132
level_age_log1p,SN,0.1664
atr_rel_pre,SN,0.1486
pre_ret_3_R,SN,0.116
pre_ret_12_R,SN,-0.0404
pre_rv_12_R,SN,0.0291
pre_range_12_R,SN,0.1317
volume_z_20_pre,SN,0.1163
penetration_depth_R,SN,0.2719
close_beyond_R,SN,0.0964
bar_range_R,SN,0.1257
abs_return_R,SN,0.0431
gap_R,SN,0.0377
volume_z_t0,SN,0.2002
minute_from_session_open,SN,0.0306
level_age_log1p,TA,0.2079
atr_rel_pre,TA,-0.0198
pre_ret_3_R,TA,0.0973
pre_ret_12_R,TA,0.0429
pre_rv_12_R,TA,0.2103
pre_range_12_R,TA,0.2569
volume_z_20_pre,TA,0.1985
penetration_depth_R,TA,0.3287
close_beyond_R,TA,0.0944
bar_range_R,TA,0.2916
abs_return_R,TA,0.2157
gap_R,TA,0.1417
volume_z_t0,TA,0.2963
minute_from_session_open,TA,0.0618
