horizon,feature_set,model,quantile,fold,feature,effect_kind,value,abs_value
4,F1_DIRECTION,linear_qr,0.5,4,feat_time_bars_since_segment_start,standardized_coefficient,-6.421565773350543e-05,6.421565773350543e-05
4,F1_DIRECTION,linear_qr,0.5,4,feat_time_after_long_gap,standardized_coefficient,-0.0004877940589370889,0.0004877940589370889
4,F1_DIRECTION,linear_qr,0.9,4,feat_15m_ret_1,standardized_coefficient,-0.0007380163045614086,0.0007380163045614086
4,F1_DIRECTION,linear_qr,0.9,4,feat_15m_ret_4,standardized_coefficient,0.0005670910941628506,0.0005670910941628506
4,F1_DIRECTION,linear_qr,0.9,4,feat_15m_ret_8,standardized_coefficient,0.00034833821968933455,0.00034833821968933455
4,F1_DIRECTION,linear_qr,0.9,4,feat_15m_ret_16,standardized_coefficient,-0.002056053039103571,0.002056053039103571
4,F1_DIRECTION,linear_qr,0.9,4,feat_15m_location_32,standardized_coefficient,0.002040853888415875,0.002040853888415875
4,F1_DIRECTION,linear_qr,0.9,4,feat_time_bars_since_segment_start,standardized_coefficient,-0.0008684442168967049,0.0008684442168967049
4,F1_DIRECTION,linear_qr,0.9,4,feat_time_after_long_gap,standardized_coefficient,3.9602709833955576e-05,3.9602709833955576e-05
4,F1_DIRECTION,gbr_quantile,0.1,0,feat_15m_ret_1,tree_importance,0.06862701958319632,0.06862701958319632
4,F1_DIRECTION,gbr_quantile,0.1,0,feat_15m_ret_4,tree_importance,0.13241952505744647,0.13241952505744647
4,F1_DIRECTION,gbr_quantile,0.1,0,feat_15m_ret_8,tree_importance,0.04597996603223397,0.04597996603223397
4,F1_DIRECTION,gbr_quantile,0.1,0,feat_15m_ret_16,tree_importance,0.18493935114938018,0.18493935114938018
4,F1_DIRECTION,gbr_quantile,0.1,0,feat_15m_location_32,tree_importance,0.20937614065547303,0.20937614065547303
4,F1_DIRECTION,gbr_quantile,0.1,0,feat_time_bars_since_segment_start,tree_importance,0.3527120329002744,0.3527120329002744
4,F1_DIRECTION,gbr_quantile,0.1,0,feat_time_after_long_gap,tree_importance,0.005945964621995551,0.005945964621995551
4,F1_DIRECTION,gbr_quantile,0.5,0,feat_15m_ret_1,tree_importance,0.0846399155300822,0.0846399155300822
4,F1_DIRECTION,gbr_quantile,0.5,0,feat_15m_ret_4,tree_importance,0.1671824420969916,0.1671824420969916
4,F1_DIRECTION,gbr_quantile,0.5,0,feat_15m_ret_8,tree_importance,0.15957426776885147,0.15957426776885147
4,F1_DIRECTION,gbr_quantile,0.5,0,feat_15m_ret_16,tree_importance,0.27027944887313166,0.27027944887313166
4,F1_DIRECTION,gbr_quantile,0.5,0,feat_15m_location_32,tree_importance,0.12632131545420217,0.12632131545420217
4,F1_DIRECTION,gbr_quantile,0.5,0,feat_time_bars_since_segment_start,tree_importance,0.1433444441968951,0.1433444441968951
4,F1_DIRECTION,gbr_quantile,0.5,0,feat_time_after_long_gap,tree_importance,0.04865816607984574,0.04865816607984574
4,F1_DIRECTION,gbr_quantile,0.9,0,feat_15m_ret_1,tree_importance,0.08931626074655075,0.08931626074655075
4,F1_DIRECTION,gbr_quantile,0.9,0,feat_15m_ret_4,tree_importance,0.1123926270698078,0.1123926270698078
4,F1_DIRECTION,gbr_quantile,0.9,0,feat_15m_ret_8,tree_importance,0.21779749982808586,0.21779749982808586
4,F1_DIRECTION,gbr_quantile,0.9,0,feat_15m_ret_16,tree_importance,0.12863317061218116,0.12863317061218116
4,F1_DIRECTION,gbr_quantile,0.9,0,feat_15m_location_32,tree_importance,0.18981620938084665,0.18981620938084665
4,F1_DIRECTION,gbr_quantile,0.9,0,feat_time_bars_since_segment_start,tree_importance,0.24546893985197488,0.24546893985197488
4,F1_DIRECTION,gbr_quantile,0.9,0,feat_time_after_long_gap,tree_importance,0.016575292510552966,0.016575292510552966
4,F1_DIRECTION,gbr_quantile,0.1,1,feat_15m_ret_1,tree_importance,0.07975460718658516,0.07975460718658516
4,F1_DIRECTION,gbr_quantile,0.1,1,feat_15m_ret_4,tree_importance,0.11818035190889398,0.11818035190889398
4,F1_DIRECTION,gbr_quantile,0.1,1,feat_15m_ret_8,tree_importance,0.06813390090772942,0.06813390090772942
4,F1_DIRECTION,gbr_quantile,0.1,1,feat_15m_ret_16,tree_importance,0.19020318725360358,0.19020318725360358
4,F1_DIRECTION,gbr_quantile,0.1,1,feat_15m_location_32,tree_importance,0.2412159037067293,0.2412159037067293
4,F1_DIRECTION,gbr_quantile,0.1,1,feat_time_bars_since_segment_start,tree_importance,0.30177696679353555,0.30177696679353555
4,F1_DIRECTION,gbr_quantile,0.1,1,feat_time_after_long_gap,tree_importance,0.0007350822429230547,0.0007350822429230547
4,F1_DIRECTION,gbr_quantile,0.5,1,feat_15m_ret_1,tree_importance,0.10491930353232096,0.10491930353232096
4,F1_DIRECTION,gbr_quantile,0.5,1,feat_15m_ret_4,tree_importance,0.12797061576093594,0.12797061576093594
4,F1_DIRECTION,gbr_quantile,0.5,1,feat_15m_ret_8,tree_importance,0.2573323141890078,0.2573323141890078
