kappa,coverage,split,threshold,fc_selected_episodes,fc_selected_symbols,fc_row_coverage,fc_episode_coverage,fc_mean_actual_y,fc_median_actual_y,fc_positive_y_rate,fc_p25_actual_y,fc_p75_actual_y,fc_long_fraction,fc_short_fraction,fc_ci_lower,fc_ci_upper,rp_rows,rp_mean_actual_y,rp_positive_y_rate
0.02,0.01,validation,0.21079826915031064,380,15,0.004394130366909886,0.1342281879194631,-0.5158006964942196,-0.19897937075192207,0.45,-2.1048704932220703,1.0232236067533214,0.9289473684210526,0.07105263157894737,-0.9419363053744583,-0.07122763747338155,887,-0.8779353923173182,0.3416009019165727
0.02,0.01,test,0.21079826915031064,167,14,0.0018634025507414556,0.06376479572355861,-0.5707223971574068,-0.2564383216526408,0.4550898203592814,-2.0471805557280764,0.8256413356059755,0.7964071856287425,0.20359281437125748,-1.1939896239692673,0.09124991375491838,374,-1.329346798902467,0.31283422459893045
0.02,0.005,validation,0.5156006308075454,214,15,0.0024745892066281986,0.07559166372306605,-0.40934134325728,-0.18367798615563175,0.4532710280373832,-1.7965280979553693,1.1700550368303242,0.9719626168224299,0.028037383177570093,-1.061471103175334,0.22816054963232973,433,-0.6995546999827856,0.3810623556581986
0.02,0.005,test,0.5156006308075454,90,14,0.0010042289195612635,0.03436426116838488,0.03732114210623231,-0.07311016260423095,0.4444444444444444,-1.3900372984893454,1.0319011184032478,0.9222222222222223,0.07777777777777778,-0.7330276457258093,0.8134754251871741,156,-0.49728248098811917,0.33974358974358976
0.05,0.2,validation,-0.9889375217088646,2426,15,0.028053053342429954,0.8569410102437302,-1.69794704117804,-0.8430456396988429,0.2699917559769167,-2.9887045538304613,0.09015722022103921,0.669002473206925,0.33099752679307504,-1.83790691037832,-1.5598497068343988,17297,-2.0835772852340377,0.19309706885587097
0.05,0.2,test,-0.9889375217088646,2231,15,0.0248937191060131,0.8518518518518519,-1.7603167693685668,-0.9925904039709251,0.261317794710892,-2.8703259007411455,0.07838502365290612,0.6418646346929628,0.3581353653070372,-1.8950202937625598,-1.6217433527373781,16266,-2.0965134562368295,0.17963850977499077
0.05,0.1,validation,-0.5443738844140513,1801,15,0.020825865238959747,0.6361709643235606,-1.4023481997889273,-0.6482128019518507,0.31149361465852304,-2.64093410381235,0.25033994492070355,0.7368128817323709,0.2631871182676291,-1.5621113003734193,-1.2378700856977634,8648,-1.9548628148129126,0.21854764107308047
0.05,0.1,test,-0.5443738844140513,1515,15,0.016904520145947937,0.5784650630011455,-1.4151231113704834,-0.6730895041372363,0.31287128712871287,-2.5028023120157434,0.2717036453360214,0.6943894389438944,0.3056105610561056,-1.5935512321976217,-1.2516442141901232,7430,-1.9451112254664724,0.2100942126514132
0.05,0.05,validation,-0.2798058647685065,1192,15,0.013783693150938378,0.42105263157894735,-1.1505193451016031,-0.5059533376308183,0.3498322147651007,-2.3218234766888917,0.4838410742114939,0.7885906040268457,0.21140939597315436,-1.371571017510023,-0.9272502994237141,4325,-1.8197926782660516,0.2513294797687861
0.05,0.05,test,-0.2798058647685065,967,15,0.010789881835730465,0.36922489499809086,-1.1651244461105057,-0.5463892352648524,0.3422957600827301,-2.110962397026766,0.38597873081926204,0.717683557394002,0.2823164426059979,-1.3658792934022603,-0.949493977472632,3563,-1.8626737906541413,0.234914397979231
0.05,0.03,validation,-0.13359561381196278,840,15,0.009713340811063958,0.29671494171670787,-1.158060017853759,-0.5392165305612496,0.3523809523809524,-2.462580219875168,0.4918833748316576,0.8345238095238096,0.16547619047619047,-1.425567918845812,-0.9155859024422585,2597,-1.7236644988424834,0.2718521370812476
0.05,0.03,test,-0.13359561381196278,600,15,0.006694859463741757,0.2290950744558992,-1.149912671578594,-0.509975039914486,0.34833333333333333,-2.2093480690182323,0.5205206234451552,0.74,0.26,-1.431504106116539,-0.8506956709122944,1827,-1.7497198220567975,0.2627257799671593
0.05,0.02,validation,-0.009193390927792432,628,15,0.007261878606366863,0.22182974214058637,-1.1035297728214184,-0.47432353213760686,0.3837579617834395,-2.466668088954155,0.6952198621566301,0.856687898089172,0.14331210191082802,-1.4112034966517413,-0.7789390022593116,1730,-1.6095123625209538,0.29421965317919074
0.05,0.02,test,-0.009193390927792432,399,15,0.0044520815433882685,0.15234822451317298,-1.008664037174337,-0.49002026570900314,0.3684210526315789,-2.0888863160096074,0.5873905896668445,0.7669172932330827,0.23308270676691728,-1.356680754408978,-0.6486766208822008,1037,-1.7097617537935317,0.2796528447444552
0.05,0.01,validation,0.22473745271925075,378,15,0.004371003364978781,0.13352172377251856,-0.6469570829947833,-0.20303661026183722,0.4497354497354497,-1.9777240977262815,0.930670643058562,0.9153439153439153,0.08465608465608465,-1.073681164676039,-0.2235644625344491,865,-1.2151671259961387,0.34335260115606936
0.05,0.01,test,0.22473745271925075,187,14,0.002086564532866181,0.07140129820542192,-0.6710400133286774,-0.26118340127315,0.43315508021390375,-2.236130379304251,0.8106422128051318,0.8609625668449198,0.13903743315508021,-1.2365789580381061,-0.07975690020108661,371,-1.274764837119583,0.3423180592991914
0.05,0.005,validation,0.509883942712981,219,15,0.0025324067114559606,0.07735782409042741,-0.1413278778209498,-0.13755438002396334,0.4611872146118721,-1.6516844963353856,1.359557817162452,0.9680365296803652,0.0319634703196347,-0.6997032560389245,0.41755783997162027,434,-0.6157041199341818,0.3778801843317972
0.05,0.005,test,0.509883942712981,79,13,0.0008814898293926646,0.030164184803360063,-0.4255578646784474,-0.10008415273171359,0.45569620253164556,-1.8618920087031356,0.9068330534013753,1.0,0.0,-1.2573391078277614,0.5158487757832796,127,-0.6983815712209367,0.3700787401574803
