frozen_duration_bars,reconfigured_before_resolution,first_reconfig_bar_index,bars_to_first_reconfig,episode_fraction_to_first_reconfig,first_reconfig_side,upper_inward,lower_inward,upper_non_inward,lower_non_inward,any_upper_inward,any_lower_inward,any_inward_reconfig,n_upper_pair_changes,n_lower_pair_changes,n_any_pair_change_bars,new_upper_activation_bar,new_lower_activation_bar,provenance_upper_ok,provenance_lower_ok,frozen_upper_price,frozen_lower_price,first_upper_price,first_lower_price,first_reconfig_close,symbol,decision_bar_index,resolution_bar_index,frozen_outcome,block
51,True,8317,3,0.058823529411764705,1,True,False,False,False,True,True,True,5,5,9,8295,-1,False,True,20245.0,20100.0,20170.0,20100.0,20165.0,AL,8314,8365,1,TB1
50,True,8317,2,0.04,1,True,False,False,False,True,True,True,5,5,9,8295,-1,False,True,20245.0,20100.0,20170.0,20100.0,20165.0,AL,8315,8365,1,TB1
49,True,8317,1,0.02040816326530612,1,True,False,False,False,True,True,True,5,5,9,8295,-1,False,True,20245.0,20100.0,20170.0,20100.0,20165.0,AL,8316,8365,1,TB1
10,True,8543,1,0.1,1,True,False,False,False,True,True,True,4,1,4,8532,-1,False,True,20180.0,19965.0,20050.0,19965.0,20040.0,AL,8542,8552,0,TB1
6,True,8547,1,0.16666666666666666,1,True,False,False,False,True,True,True,2,1,2,8532,-1,False,True,20180.0,19965.0,20050.0,19965.0,20030.0,AL,8546,8552,0,TB1
5,True,9419,2,0.4,1,True,False,False,False,True,False,True,2,0,2,9414,-1,False,True,20280.0,20210.0,20260.0,20210.0,20250.0,AL,9417,9422,0,TB2
4,True,9419,1,0.25,1,True,False,False,False,True,False,True,2,0,2,9414,-1,False,True,20280.0,20210.0,20260.0,20210.0,20250.0,AL,9418,9422,0,TB2
20,True,9776,1,0.05,1,True,False,False,False,True,True,True,2,1,2,9774,-1,False,True,20440.0,20365.0,20425.0,20365.0,20415.0,AL,9775,9795,0,TB2
7,True,9966,1,0.14285714285714285,2,False,True,False,False,False,True,True,0,1,1,-1,9960,True,False,20695.0,20565.0,20695.0,20575.0,20585.0,AL,9965,9972,1,TB2
4,True,10055,2,0.5,2,False,True,False,False,False,True,True,0,2,2,-1,10053,True,False,20595.0,20505.0,20595.0,20530.0,20535.0,AL,10053,10057,1,TB2
3,True,10055,1,0.3333333333333333,2,False,True,False,False,False,True,True,0,2,2,-1,10053,True,False,20595.0,20505.0,20595.0,20530.0,20535.0,AL,10054,10057,1,TB2
21,True,10207,2,0.09523809523809523,1,True,False,False,False,True,False,True,3,0,3,10205,-1,False,True,20560.0,20330.0,20440.0,20330.0,20430.0,AL,10205,10226,1,TB2
20,True,10207,1,0.05,1,True,False,False,False,True,False,True,3,0,3,10205,-1,False,True,20560.0,20330.0,20440.0,20330.0,20430.0,AL,10206,10226,1,TB2
3,True,10270,1,0.3333333333333333,2,False,True,False,False,False,True,True,0,2,2,-1,10269,True,False,20320.0,20260.0,20320.0,20270.0,20285.0,AL,10269,10272,1,TB2
23,True,10393,1,0.043478260869565216,2,False,True,False,False,True,True,True,1,1,2,-1,10373,True,False,20395.0,20310.0,20395.0,20330.0,20340.0,AL,10392,10415,0,TB2
23,True,10448,1,0.043478260869565216,1,True,False,False,False,True,True,True,2,1,3,10269,-1,False,True,20560.0,20345.0,20450.0,20345.0,20435.0,AL,10447,10470,0,TB2
18,True,10903,1,0.05555555555555555,1,True,False,False,False,True,False,True,2,0,2,10902,-1,False,True,20730.0,20660.0,20705.0,20660.0,20700.0,AL,10902,10920,1,TB2
12,True,11283,1,0.08333333333333333,2,False,True,False,False,False,True,True,0,1,1,-1,11169,True,False,20560.0,20430.0,20560.0,20455.0,20480.0,AL,11282,11294,0,TB2
21,True,11429,1,0.047619047619047616,1,True,False,False,False,True,False,True,4,0,4,11424,-1,False,True,20865.0,20680.0,20765.0,20680.0,20760.0,AL,11428,11449,1,TB2
18,True,11432,1,0.05555555555555555,1,True,False,False,False,True,False,True,2,0,2,11424,-1,False,True,20865.0,20680.0,20765.0,20680.0,20760.0,AL,11431,11449,1,TB2
13,True,11514,1,0.07692307692307693,1,True,False,False,False,True,False,True,1,0,1,11505,-1,False,True,20730.0,20515.0,20670.0,20515.0,20665.0,AL,11513,11526,1,TB2
9,True,11636,1,0.1111111111111111,1,True,False,False,False,True,False,True,1,0,1,11634,-1,False,True,20610.0,20380.0,20435.0,20380.0,20425.0,AL,11635,11644,1,TB2
22,True,11665,1,0.045454545454545456,1,True,False,False,False,True,False,True,1,1,2,11664,-1,False,True,20440.0,20385.0,20435.0,20385.0,20415.0,AL,11664,11686,1,TB2
7,True,11844,1,0.14285714285714285,2,False,True,False,False,False,True,True,0,4,4,-1,11832,True,False,20465.0,20405.0,20465.0,20415.0,20425.0,AL,11843,11850,1,TB2
3,True,11848,1,0.3333333333333333,2,False,True,False,False,False,True,True,0,2,2,-1,11832,True,False,20465.0,20405.0,20465.0,20415.0,20425.0,AL,11847,11850,1,TB2
81,True,11980,1,0.012345679012345678,1,True,False,False,False,True,True,True,6,4,9,11919,-1,False,True,20865.0,20495.0,20795.0,20495.0,20785.0,AL,11979,12060,0,TB2
176,True,12564,1,0.005681818181818182,3,True,True,False,False,True,True,True,11,5,12,12564,12501,True,False,20695.0,20550.0,20655.0,20575.0,20585.0,AL,12563,12739,1,TB2
6,True,13148,2,0.3333333333333333,1,True,False,False,False,True,False,True,1,0,1,12687,-1,False,True,20695.0,20620.0,20675.0,20620.0,20665.0,AL,13146,13152,0,TB2
5,True,13148,1,0.2,1,True,False,False,False,True,False,True,1,0,1,12687,-1,False,True,20695.0,20620.0,20675.0,20620.0,20665.0,AL,13147,13152,0,TB2
19,True,13399,1,0.05263157894736842,1,True,False,False,False,True,True,True,2,2,4,13308,-1,False,True,20720.0,20625.0,20700.0,20625.0,20685.0,AL,13398,13417,0,TB2
13,True,13560,1,0.07692307692307693,1,True,False,False,False,True,False,True,4,0,4,13554,-1,False,True,20830.0,20685.0,20805.0,20685.0,20800.0,AL,13559,13572,0,TB2
10,True,13563,1,0.1,1,True,False,False,False,True,False,True,2,0,2,13554,-1,False,True,20830.0,20685.0,20805.0,20685.0,20800.0,AL,13562,13572,0,TB2
16,True,13743,1,0.0625,1,True,False,False,False,True,False,True,3,0,3,13738,-1,False,True,20790.0,20670.0,20765.0,20670.0,20760.0,AL,13742,13758,0,TB2
14,True,13745,1,0.07142857142857142,1,True,False,False,False,True,False,True,1,0,1,13738,-1,False,True,20790.0,20670.0,20765.0,20670.0,20755.0,AL,13744,13758,0,TB2
28,True,13776,1,0.03571428571428571,2,False,True,False,False,False,True,True,0,3,3,-1,13758,True,False,20800.0,20670.0,20800.0,20705.0,20710.0,AL,13775,13803,1,TB2
9,True,14162,1,0.1111111111111111,1,True,False,False,False,True,False,True,1,0,1,14145,-1,False,True,20680.0,20620.0,20660.0,20620.0,20645.0,AL,14161,14170,1,TB2
18,True,14440,1,0.05555555555555555,2,False,True,False,False,True,True,True,3,3,5,-1,14424,True,False,20755.0,20680.0,20755.0,20715.0,20725.0,AL,14439,14457,0,TB2
4,True,14717,1,0.25,1,True,False,False,False,True,False,True,2,0,2,14715,-1,False,True,20760.0,20720.0,20750.0,20720.0,20740.0,AL,14716,14720,0,TB2
5,True,14736,1,0.2,1,True,False,False,False,True,False,True,1,0,1,14733,-1,False,True,20845.0,20725.0,20780.0,20725.0,20760.0,AL,14735,14740,1,TB2
3,True,14745,1,0.3333333333333333,2,False,True,False,False,False,True,True,0,2,2,-1,14715,True,False,20780.0,20695.0,20780.0,20720.0,20725.0,AL,14744,14747,1,TB2
21,True,14766,1,0.047619047619047616,1,True,False,False,False,True,False,True,2,0,2,14763,-1,False,True,20780.0,20680.0,20725.0,20680.0,20715.0,AL,14765,14786,1,TB2
14,True,14823,2,0.14285714285714285,1,True,False,False,False,True,False,True,5,0,5,14808,-1,False,True,20725.0,20585.0,20645.0,20585.0,20635.0,AL,14821,14835,0,TB2
13,True,14823,1,0.07692307692307693,1,True,False,False,False,True,False,True,5,0,5,14808,-1,False,True,20725.0,20585.0,20645.0,20585.0,20635.0,AL,14822,14835,0,TB2
14,True,14906,1,0.07142857142857142,1,True,False,False,False,True,False,True,1,3,4,14901,-1,False,True,20780.0,20720.0,20755.0,20720.0,20745.0,AL,14905,14919,1,TB2
7,True,14913,1,0.14285714285714285,2,False,True,False,False,False,True,True,0,2,2,-1,14901,True,False,20755.0,20690.0,20755.0,20720.0,20725.0,AL,14912,14919,1,TB2
63,True,14998,1,0.015873015873015872,2,False,True,False,False,True,True,True,3,3,5,-1,14994,True,False,20765.0,20665.0,20765.0,20730.0,20735.0,AL,14997,15060,1,TB2
40,True,15021,1,0.025,1,True,False,False,False,True,False,True,1,0,1,15012,-1,False,True,20765.0,20700.0,20760.0,20700.0,20755.0,AL,15020,15060,1,TB2
53,True,15457,1,0.018867924528301886,1,True,False,False,False,True,True,True,6,1,6,15447,-1,False,True,20825.0,20735.0,20800.0,20735.0,20790.0,AL,15456,15509,0,TB2
3,True,15940,1,0.3333333333333333,2,False,True,False,False,False,True,True,0,1,1,-1,15939,True,False,20940.0,20875.0,20940.0,20905.0,20925.0,AL,15939,15942,1,TB2
92,True,16037,1,0.010869565217391304,1,True,False,False,False,True,True,True,5,7,9,16035,-1,False,True,20890.0,20775.0,20825.0,20775.0,20815.0,AL,16036,16128,1,TB2
16,True,16113,1,0.0625,2,False,True,False,False,False,True,True,0,2,2,-1,16098,True,False,20845.0,20780.0,20845.0,20810.0,20820.0,AL,16112,16128,1,TB2
27,True,16365,1,0.037037037037037035,1,True,False,False,False,True,True,True,2,2,4,16337,-1,False,True,20720.0,20620.0,20695.0,20620.0,20670.0,AL,16364,16391,0,TB2
15,True,16412,1,0.06666666666666667,1,True,False,False,False,True,False,True,2,0,2,16203,-1,False,True,20830.0,20695.0,20780.0,20695.0,20765.0,AL,16411,16426,0,TB2
17,True,16485,1,0.058823529411764705,1,True,False,False,False,True,False,True,2,0,2,16482,-1,False,True,20820.0,20760.0,20795.0,20760.0,20785.0,AL,16484,16501,0,TB2
5,True,16577,1,0.2,1,True,False,False,False,True,False,True,1,1,2,16575,-1,False,True,20800.0,20765.0,20790.0,20765.0,20785.0,AL,16576,16581,1,TB2
6,True,16819,1,0.16666666666666666,1,True,False,False,False,True,False,True,1,0,1,15849,-1,False,True,21125.0,21000.0,21095.0,21000.0,21090.0,AL,16818,16824,0,TB2
18,True,16993,1,0.05555555555555555,1,True,False,False,False,True,False,True,2,0,2,16992,-1,False,True,20905.0,20835.0,20870.0,20835.0,20860.0,AL,16992,17010,0,TB2
15,True,17074,1,0.06666666666666667,2,False,True,False,False,True,True,True,1,2,3,-1,17073,True,False,21035.0,20880.0,21035.0,20930.0,20935.0,AL,17073,17088,1,TB2
14,True,17741,1,0.07142857142857142,1,True,False,False,False,True,False,True,2,0,2,17724,-1,False,True,21180.0,21070.0,21155.0,21070.0,21150.0,AL,17740,17754,0,TB2
14,True,18255,2,0.14285714285714285,1,True,False,False,False,True,False,True,2,0,2,18253,-1,False,True,21280.0,21155.0,21225.0,21155.0,21220.0,AL,18253,18267,0,TB2
13,True,18255,1,0.07692307692307693,1,True,False,False,False,True,False,True,2,0,2,18253,-1,False,True,21280.0,21155.0,21225.0,21155.0,21220.0,AL,18254,18267,0,TB2
27,True,18524,1,0.037037037037037035,2,False,True,False,False,True,True,True,1,3,3,-1,18522,True,False,21475.0,21275.0,21475.0,21360.0,21365.0,AL,18523,18550,1,TB2
6,True,14277,1,0.16666666666666666,2,False,True,False,False,False,True,True,0,1,1,-1,14274,True,False,780.2000122070312,775.5800170898438,780.2000122070312,778.0999755859375,779.4400024414062,AU,14276,14282,0,TB2
11,True,104,1,0.09090909090909091,2,False,True,False,False,False,True,True,0,2,2,-1,96,True,False,13450.0009765625,13400.0009765625,13450.0009765625,13405.0009765625,13415.0009765625,CF,103,114,1,TB1
42,True,442,1,0.023809523809523808,2,False,True,False,False,False,True,True,0,6,6,-1,441,True,False,13560.0009765625,13485.0009765625,13560.0009765625,13525.0009765625,13530.0009765625,CF,441,483,1,TB1
18,True,466,1,0.05555555555555555,2,False,True,False,False,False,True,True,0,1,1,-1,429,True,False,13560.0009765625,13440.0,13560.0009765625,13485.0009765625,13495.0009765625,CF,465,483,1,TB1
19,True,534,1,0.05263157894736842,2,False,True,False,False,False,True,True,0,1,1,-1,528,True,False,13520.0009765625,13390.0009765625,13520.0009765625,13465.0009765625,13475.0009765625,CF,533,552,0,TB1
34,True,1000,1,0.029411764705882353,2,False,True,False,False,True,True,True,1,4,4,-1,993,True,False,13625.0009765625,13565.0009765625,13625.0009765625,13600.0009765625,13610.0009765625,CF,999,1033,1,TB1
54,True,1073,1,0.018518518518518517,2,False,True,False,False,True,True,True,8,5,10,-1,1062,True,False,13560.0009765625,13390.0009765625,13560.0009765625,13450.0009765625,13455.0009765625,CF,1072,1126,0,TB1
7,True,1112,1,0.14285714285714285,1,True,False,False,False,True,False,True,2,0,2,1104,-1,False,True,13495.0009765625,13390.0009765625,13460.0009765625,13390.0009765625,13455.0009765625,CF,1111,1118,0,TB1
57,True,1153,1,0.017543859649122806,1,True,False,False,False,True,True,True,9,2,10,1040,-1,False,True,13680.0009765625,13575.0009765625,13625.0009765625,13575.0009765625,13615.0009765625,CF,1152,1209,0,TB1
53,True,1157,1,0.018867924528301886,1,True,False,False,False,True,True,True,7,2,8,1040,-1,False,True,13680.0009765625,13575.0009765625,13625.0009765625,13575.0009765625,13620.0009765625,CF,1156,1209,0,TB1
30,True,1441,1,0.03333333333333333,1,True,False,False,False,True,True,True,7,1,8,1440,-1,False,True,13655.0009765625,13600.0009765625,13645.0009765625,13600.0009765625,13625.0009765625,CF,1440,1470,0,TB1
26,True,1446,2,0.07692307692307693,1,True,False,False,False,True,True,True,5,1,6,1440,-1,False,True,13655.0009765625,13600.0009765625,13645.0009765625,13600.0009765625,13640.0009765625,CF,1444,1470,0,TB1
25,True,1446,1,0.04,1,True,False,False,False,True,True,True,5,1,6,1440,-1,False,True,13655.0009765625,13600.0009765625,13645.0009765625,13600.0009765625,13640.0009765625,CF,1445,1470,0,TB1
20,True,1451,1,0.05,1,True,False,False,False,True,True,True,3,1,4,1440,-1,False,True,13655.0009765625,13600.0009765625,13645.0009765625,13600.0009765625,13635.0009765625,CF,1450,1470,0,TB1
3,True,1468,1,0.3333333333333333,1,True,False,False,False,True,False,True,1,0,1,1452,-1,False,True,13655.0009765625,13620.0009765625,13645.0009765625,13620.0009765625,13635.0009765625,CF,1467,1470,0,TB1
46,True,1570,1,0.021739130434782608,1,True,False,False,False,True,True,True,8,3,9,1563,-1,False,True,13800.0009765625,13740.0009765625,13775.0009765625,13740.0009765625,13765.0009765625,CF,1569,1615,1,TB1
5,True,1610,2,0.4,1,True,False,False,False,True,False,True,3,0,3,1608,-1,False,True,13785.0009765625,13745.0009765625,13780.0009765625,13745.0009765625,13770.0009765625,CF,1608,1613,0,TB1
4,True,1610,1,0.25,1,True,False,False,False,True,False,True,3,0,3,1608,-1,False,True,13785.0009765625,13745.0009765625,13780.0009765625,13745.0009765625,13770.0009765625,CF,1609,1613,0,TB1
7,True,1742,3,0.42857142857142855,2,False,True,False,False,False,True,True,0,2,2,-1,1728,True,False,13770.0009765625,13720.0009765625,13770.0009765625,13730.0009765625,13740.0009765625,CF,1739,1746,1,TB1
6,True,1742,2,0.3333333333333333,2,False,True,False,False,False,True,True,0,2,2,-1,1728,True,False,13770.0009765625,13720.0009765625,13770.0009765625,13730.0009765625,13740.0009765625,CF,1740,1746,1,TB1
5,True,1742,1,0.2,2,False,True,False,False,False,True,True,0,2,2,-1,1728,True,False,13770.0009765625,13720.0009765625,13770.0009765625,13730.0009765625,13740.0009765625,CF,1741,1746,1,TB1
5,True,1765,1,0.2,1,True,False,False,False,True,False,True,3,0,3,1746,-1,False,True,13770.0009765625,13650.0009765625,13765.0009765625,13650.0009765625,13755.0009765625,CF,1764,1769,0,TB1
41,True,2007,2,0.04878048780487805,1,True,False,False,False,True,True,True,4,1,4,1992,-1,False,True,13890.0009765625,13835.0009765625,13865.0009765625,13835.0009765625,13855.0009765625,CF,2005,2046,0,TB1
40,True,2007,1,0.025,1,True,False,False,False,True,True,True,4,1,4,1992,-1,False,True,13890.0009765625,13835.0009765625,13865.0009765625,13835.0009765625,13855.0009765625,CF,2006,2046,0,TB1
25,True,2022,1,0.04,3,True,True,False,False,True,True,True,1,1,1,1977,2022,False,True,13895.0009765625,13835.0009765625,13890.0009765625,13845.0009765625,13880.0009765625,CF,2021,2046,0,TB1
42,True,2143,1,0.023809523809523808,2,False,True,False,False,False,True,True,0,11,11,-1,2142,True,False,13870.0009765625,13815.0009765625,13870.0009765625,13835.0009765625,13850.0009765625,CF,2142,2184,1,TB1
38,True,2147,1,0.02631578947368421,2,False,True,False,False,False,True,True,0,9,9,-1,2142,True,False,13870.0009765625,13815.0009765625,13870.0009765625,13835.0009765625,13845.0009765625,CF,2146,2184,1,TB1
19,True,2166,1,0.05263157894736842,2,False,True,False,False,False,True,True,0,7,7,-1,2160,True,False,13870.0009765625,13815.0009765625,13870.0009765625,13830.0009765625,13835.0009765625,CF,2165,2184,1,TB1
15,True,2170,1,0.06666666666666667,2,False,True,False,False,False,True,True,0,5,5,-1,2160,True,False,13870.0009765625,13815.0009765625,13870.0009765625,13830.0009765625,13835.0009765625,CF,2169,2184,1,TB1
13,True,2172,1,0.07692307692307693,2,False,True,False,False,False,True,True,0,3,3,-1,2160,True,False,13870.0009765625,13815.0009765625,13870.0009765625,13830.0009765625,13835.0009765625,CF,2171,2184,1,TB1
11,True,2174,1,0.09090909090909091,2,False,True,False,False,False,True,True,0,1,1,-1,2160,True,False,13870.0009765625,13815.0009765625,13870.0009765625,13830.0009765625,13840.0009765625,CF,2173,2184,1,TB1
8,True,2234,1,0.125,1,True,False,False,False,True,False,True,1,1,2,2229,-1,False,True,13865.0009765625,13780.0009765625,13845.0009765625,13780.0009765625,13830.0009765625,CF,2233,2241,1,TB1
11,True,2313,2,0.18181818181818182,1,True,False,False,False,True,False,True,1,0,1,2298,-1,False,True,13820.0009765625,13765.0009765625,13810.0009765625,13765.0009765625,13800.0009765625,CF,2311,2322,1,TB1
10,True,2313,1,0.1,1,True,False,False,False,True,False,True,1,0,1,2298,-1,False,True,13820.0009765625,13765.0009765625,13810.0009765625,13765.0009765625,13800.0009765625,CF,2312,2322,1,TB1
10,True,2352,1,0.1,2,False,True,False,False,False,True,True,1,1,2,-1,2349,True,False,13745.0009765625,13700.0009765625,13745.0009765625,13705.0009765625,13715.0009765625,CF,2351,2361,0,TB1
28,True,2478,1,0.03571428571428571,1,True,False,False,False,True,True,True,1,2,3,2475,-1,False,True,13725.0009765625,13575.0009765625,13640.0009765625,13575.0009765625,13620.0009765625,CF,2477,2505,1,TB1
8,True,2636,1,0.125,2,False,True,False,False,False,True,True,0,3,3,-1,2625,True,False,13545.0009765625,13500.0009765625,13545.0009765625,13505.0009765625,13510.0009765625,CF,2635,2643,1,TB1
6,True,2638,1,0.16666666666666666,2,False,True,False,False,False,True,True,0,1,1,-1,2625,True,False,13545.0009765625,13500.0009765625,13545.0009765625,13505.0009765625,13510.0009765625,CF,2637,2643,1,TB1
7,True,2660,1,0.14285714285714285,2,False,True,False,False,False,True,True,0,3,3,-1,1302,True,False,13535.0009765625,13455.0009765625,13535.0009765625,13460.0009765625,13465.0009765625,CF,2659,2666,1,TB1
16,True,2787,2,0.125,2,False,True,False,False,False,True,True,0,1,1,-1,2751,True,False,13605.0009765625,13530.0009765625,13605.0009765625,13565.0009765625,13585.0009765625,CF,2785,2801,0,TB1
15,True,2787,1,0.06666666666666667,2,False,True,False,False,False,True,True,0,1,1,-1,2751,True,False,13605.0009765625,13530.0009765625,13605.0009765625,13565.0009765625,13585.0009765625,CF,2786,2801,0,TB1
21,True,3015,1,0.047619047619047616,1,True,False,False,False,True,True,True,7,1,7,2919,-1,False,True,13685.0009765625,13615.0009765625,13675.0009765625,13615.0009765625,13665.0009765625,CF,3014,3035,0,TB1
13,True,3023,1,0.07692307692307693,1,True,False,False,False,True,True,True,5,1,5,2919,-1,False,True,13685.0009765625,13615.0009765625,13675.0009765625,13615.0009765625,13670.0009765625,CF,3022,3035,0,TB1
9,True,3027,1,0.1111111111111111,3,True,True,False,False,True,True,True,2,1,2,2832,3027,False,True,13700.0009765625,13615.0009765625,13685.0009765625,13635.0009765625,13670.0009765625,CF,3026,3035,0,TB1
30,True,3090,1,0.03333333333333333,1,True,False,False,False,True,True,True,5,2,6,3081,-1,False,True,13705.0009765625,13650.0009765625,13685.0009765625,13650.0009765625,13680.0009765625,CF,3089,3119,0,TB1
15,True,3218,1,0.06666666666666667,2,False,True,False,False,True,True,True,2,2,4,-1,3038,True,False,13680.0009765625,13580.0009765625,13680.0009765625,13600.0009765625,13615.0009765625,CF,3217,3232,1,TB1
29,True,3346,1,0.034482758620689655,2,False,True,False,False,True,True,True,4,4,6,-1,3315,True,False,13650.0009765625,13575.0009765625,13650.0009765625,13590.0009765625,13605.0009765625,CF,3345,3374,0,TB1
24,True,3529,1,0.041666666666666664,1,True,False,False,False,True,True,True,3,2,4,3522,-1,False,True,13630.0009765625,13575.0009765625,13600.0009765625,13575.0009765625,13595.0009765625,CF,3528,3552,0,TB1
4,True,3604,1,0.25,2,False,True,False,False,False,True,True,0,3,3,-1,3540,True,False,13620.0009765625,13575.0009765625,13620.0009765625,13580.0009765625,13585.0009765625,CF,3603,3607,1,TB1
7,True,4016,1,0.14285714285714285,1,True,False,False,False,True,False,True,1,0,1,4005,-1,False,True,13690.0009765625,13660.0009765625,13675.0009765625,13660.0009765625,13670.0009765625,CF,4015,4022,1,TB1
88,True,4695,2,0.022727272727272728,2,False,True,False,False,True,True,True,8,6,12,-1,4689,True,False,12930.0009765625,12835.0009765625,12930.0009765625,12875.0009765625,12880.0009765625,CF,4693,4781,0,TB1
