window,comparison,symbol,n_episodes,n_rows,mean_delta_episode,mean_delta_row,mean_delta,n_negative,n_positive
A_TB1_to_TB2,K2-K1A,SC,803,10198,-0.09153861793292578,-0.1124655890558964,-0.09153861793292578,6704,3494
A_TB1_to_TB2,K2-K1A,SN,799,8462,-0.08038293389922954,-0.09161374473991227,-0.08038293389922954,5790,2672
A_TB1_to_TB2,K2-K1A,TA,701,6182,-0.05285524595419048,-0.05833483347032235,-0.05285524595419048,3822,2360
A_TB1_to_TB2,K2-K1,AG,805,9126,-0.07199583901325497,-0.09174740265802818,-0.07199583901325497,6144,2982
A_TB1_to_TB2,K2-K1,AL,688,8437,-0.06664376844651947,-0.07997202037615905,-0.06664376844651947,5563,2874
A_TB1_to_TB2,K2-K1,AU,794,9476,-0.06972171613824506,-0.08404414164392904,-0.06972171613824506,6340,3136
A_TB1_to_TB2,K2-K1,CF,690,6075,-0.0639314195743042,-0.06786836810330175,-0.0639314195743042,3762,2313
A_TB1_to_TB2,K2-K1,CU,756,8333,-0.06485342852829587,-0.08480481006051997,-0.06485342852829587,5517,2816
A_TB1_to_TB2,K2-K1,I,698,6188,-0.055472334156983175,-0.06473127135420854,-0.055472334156983175,3801,2387
A_TB1_to_TB2,K2-K1,M,721,6136,-0.05354975288080586,-0.057714185032379725,-0.05354975288080586,3817,2319
A_TB1_to_TB2,K2-K1,MA,674,6109,-0.04136256005361884,-0.0665091590661724,-0.04136256005361884,3809,2300
A_TB1_to_TB2,K2-K1,NI,815,8435,-0.0792594570362928,-0.10549623689714277,-0.0792594570362928,5693,2742
A_TB1_to_TB2,K2-K1,P,669,6107,-0.06152695456152891,-0.06925450215313762,-0.06152695456152891,3842,2265
A_TB1_to_TB2,K2-K1,RB,707,6142,-0.053768881227972104,-0.06263530697393434,-0.053768881227972104,3789,2353
A_TB1_to_TB2,K2-K1,RU,718,6151,-0.05880874044881396,-0.07395567094706605,-0.05880874044881396,3821,2330
A_TB1_to_TB2,K2-K1,SC,803,10198,-0.07470823873656429,-0.09148455391005678,-0.07470823873656429,6719,3479
A_TB1_to_TB2,K2-K1,SN,799,8462,-0.08031779829337304,-0.1110577544458982,-0.08031779829337304,5758,2704
A_TB1_to_TB2,K2-K1,TA,701,6182,-0.0561448647624384,-0.06662655376925171,-0.0561448647624384,3848,2334
B_TB1TB2_to_TB3,K1-K0,AG,741,8854,-1.6682091825378567,-1.8427798875556571,-1.6682091825378567,8181,673
B_TB1TB2_to_TB3,K1-K0,AL,724,7896,-1.7392964836130007,-1.7650749160599823,-1.7392964836130007,7266,630
B_TB1TB2_to_TB3,K1-K0,AU,821,9414,-1.7193739604782814,-1.7571191893351876,-1.7193739604782814,8610,804
B_TB1TB2_to_TB3,K1-K0,CF,680,5938,-1.5848882436182046,-1.502766396404889,-1.5848882436182046,5336,602
B_TB1TB2_to_TB3,K1-K0,CU,710,7877,-1.7667835864019361,-1.7979015834895897,-1.7667835864019361,7256,621
B_TB1TB2_to_TB3,K1-K0,I,679,6174,-1.6433631397371287,-1.6056663124304718,-1.6433631397371287,5559,615
B_TB1TB2_to_TB3,K1-K0,M,710,6141,-1.5506252539685499,-1.4288355420092653,-1.5506252539685499,5522,619
B_TB1TB2_to_TB3,K1-K0,MA,678,5786,-1.5451123491294347,-1.4595816479930657,-1.5451123491294347,5223,563
B_TB1TB2_to_TB3,K1-K0,NI,760,8058,-1.6549214909208585,-1.6970045888762462,-1.6549214909208585,7397,661
B_TB1TB2_to_TB3,K1-K0,P,681,6017,-1.644491975802211,-1.5203099757305176,-1.644491975802211,5498,519
B_TB1TB2_to_TB3,K1-K0,RB,704,6114,-1.571432929815991,-1.5525252037917525,-1.571432929815991,5522,592
B_TB1TB2_to_TB3,K1-K0,RU,722,6080,-1.5872028966509373,-1.4702539326774131,-1.5872028966509373,5512,568
B_TB1TB2_to_TB3,K1-K0,SC,787,9688,-1.6202851802885083,-1.655480910556343,-1.6202851802885083,8844,844
B_TB1TB2_to_TB3,K1-K0,SN,721,7662,-1.6984313542535743,-1.706204394036822,-1.6984313542535743,7023,639
B_TB1TB2_to_TB3,K1-K0,TA,691,5740,-1.6331237341559042,-1.575353287818071,-1.6331237341559042,5200,540
B_TB1TB2_to_TB3,K1A-K1,AG,741,8854,-0.005645667878305281,-0.012215861150369973,-0.005645667878305281,5208,3646
B_TB1TB2_to_TB3,K1A-K1,AL,724,7896,-0.00887811608192027,-0.017303137727077846,-0.00887811608192027,4781,3115
B_TB1TB2_to_TB3,K1A-K1,AU,821,9414,-0.0021274289357193824,-0.000881721645721705,-0.0021274289357193824,5494,3920
B_TB1TB2_to_TB3,K1A-K1,CF,680,5938,-0.004533619784931478,-0.005796790602614514,-0.004533619784931478,3445,2493
B_TB1TB2_to_TB3,K1A-K1,CU,710,7877,-0.00461426653453066,-0.006085683378539174,-0.00461426653453066,4571,3306
B_TB1TB2_to_TB3,K1A-K1,I,679,6174,-0.002339078203486167,-0.0015700040952703524,-0.002339078203486167,3451,2723
B_TB1TB2_to_TB3,K1A-K1,M,710,6141,0.0005318080787165092,-0.0037247676046768927,0.0005318080787165092,3541,2600
B_TB1TB2_to_TB3,K1A-K1,MA,678,5786,-0.004286997458920243,-0.004542310895538501,-0.004286997458920243,3302,2484
B_TB1TB2_to_TB3,K1A-K1,NI,760,8058,-0.006364345985459306,-0.010681154962408465,-0.006364345985459306,4817,3241
B_TB1TB2_to_TB3,K1A-K1,P,681,6017,-0.0029462784495692495,-0.002840309461659823,-0.0029462784495692495,3396,2621
B_TB1TB2_to_TB3,K1A-K1,RB,704,6114,-0.011899528932974886,-0.008312077334630357,-0.011899528932974886,3542,2572
B_TB1TB2_to_TB3,K1A-K1,RU,722,6080,0.005528074994170006,-0.0016379834056221378,0.005528074994170006,3429,2651
B_TB1TB2_to_TB3,K1A-K1,SC,787,9688,0.0008632733875780205,-0.003396803076626408,0.0008632733875780205,5505,4183
B_TB1TB2_to_TB3,K1A-K1,SN,721,7662,-0.0031680973284870678,-0.014833304967920144,-0.0031680973284870678,4515,3147
B_TB1TB2_to_TB3,K1A-K1,TA,691,5740,-0.004924541622330551,-0.006171391589845918,-0.004924541622330551,3274,2466
B_TB1TB2_to_TB3,K2-K1A,AG,741,8854,-0.09483754674312626,-0.09363615020280444,-0.09483754674312626,6032,2822
B_TB1TB2_to_TB3,K2-K1A,AL,724,7896,-0.04065170263378707,-0.07277953938303433,-0.04065170263378707,5251,2645
B_TB1TB2_to_TB3,K2-K1A,AU,821,9414,-0.07198107278359783,-0.08350911444161828,-0.07198107278359783,6233,3181
B_TB1TB2_to_TB3,K2-K1A,CF,680,5938,-0.05885362741593614,-0.05920815810674068,-0.05885362741593614,3617,2321
B_TB1TB2_to_TB3,K2-K1A,CU,710,7877,-0.06636693942574466,-0.06683475158817742,-0.06636693942574466,5239,2638
B_TB1TB2_to_TB3,K2-K1A,I,679,6174,-0.04693283601786086,-0.052431498617327994,-0.04693283601786086,3711,2463
B_TB1TB2_to_TB3,K2-K1A,M,710,6141,-0.04706301838333638,-0.05388468241850234,-0.04706301838333638,3710,2431
B_TB1TB2_to_TB3,K2-K1A,MA,678,5786,-0.061163933505012126,-0.060118263573936084,-0.061163933505012126,3552,2234
B_TB1TB2_to_TB3,K2-K1A,NI,760,8058,-0.08082992877665683,-0.07817635766000383,-0.08082992877665683,5389,2669
B_TB1TB2_to_TB3,K2-K1A,P,681,6017,-0.06100008101841245,-0.07286049263492814,-0.06100008101841245,3852,2165
B_TB1TB2_to_TB3,K2-K1A,RB,704,6114,-0.052823598573554405,-0.059456684561008895,-0.052823598573554405,3767,2347
B_TB1TB2_to_TB3,K2-K1A,RU,722,6080,-0.04768967990284901,-0.062168632739390765,-0.04768967990284901,3735,2345
B_TB1TB2_to_TB3,K2-K1A,SC,787,9688,-0.0726441038152317,-0.07926081711916658,-0.0726441038152317,6485,3203
B_TB1TB2_to_TB3,K2-K1A,SN,721,7662,-0.08680503207601031,-0.08545575265298005,-0.08680503207601031,5156,2506
B_TB1TB2_to_TB3,K2-K1A,TA,691,5740,-0.05205802854696983,-0.05641870386558294,-0.05205802854696983,3522,2218
B_TB1TB2_to_TB3,K2-K1,AG,741,8854,-0.10048321462143155,-0.10585201135317442,-0.10048321462143155,6046,2808
B_TB1TB2_to_TB3,K2-K1,AL,724,7896,-0.04952981871570735,-0.09008267711011217,-0.04952981871570735,5291,2605
B_TB1TB2_to_TB3,K2-K1,AU,821,9414,-0.07410850171931721,-0.08439083608733997,-0.07410850171931721,6313,3101
B_TB1TB2_to_TB3,K2-K1,CF,680,5938,-0.06338724720086761,-0.06500494870935519,-0.06338724720086761,3626,2312
B_TB1TB2_to_TB3,K2-K1,CU,710,7877,-0.07098120596027532,-0.07292043496671659,-0.07098120596027532,5229,2648
B_TB1TB2_to_TB3,K2-K1,I,679,6174,-0.049271914221347024,-0.05400150271259834,-0.049271914221347024,3688,2486
B_TB1TB2_to_TB3,K2-K1,M,710,6141,-0.046531210304619874,-0.05760945002317923,-0.046531210304619874,3733,2408
B_TB1TB2_to_TB3,K2-K1,MA,678,5786,-0.06545093096393237,-0.06466057446947458,-0.06545093096393237,3522,2264
B_TB1TB2_to_TB3,K2-K1,NI,760,8058,-0.08719427476211614,-0.08885751262241229,-0.08719427476211614,5405,2653
B_TB1TB2_to_TB3,K2-K1,P,681,6017,-0.0639463594679817,-0.07570080209658796,-0.0639463594679817,3839,2178
B_TB1TB2_to_TB3,K2-K1,RB,704,6114,-0.0647231275065293,-0.06776876189563925,-0.0647231275065293,3791,2323
B_TB1TB2_to_TB3,K2-K1,RU,722,6080,-0.042161604908679005,-0.0638066161450129,-0.042161604908679005,3734,2346
B_TB1TB2_to_TB3,K2-K1,SC,787,9688,-0.0717808304276537,-0.082657620195793,-0.0717808304276537,6461,3227
B_TB1TB2_to_TB3,K2-K1,SN,721,7662,-0.08997312940449738,-0.1002890576209002,-0.08997312940449738,5196,2466
B_TB1TB2_to_TB3,K2-K1,TA,691,5740,-0.05698257016930038,-0.06259009545542886,-0.05698257016930038,3530,2210
