window,bit,interaction,coefficient
A_TB1_to_TB2,NEW_UPPER,pp_UP_PEN_x_p_UP_PEN,-0.03804128333890574
A_TB1_to_TB2,NEW_UPPER,pp_UP_PEN_x_p_DOWN_PEN,-0.08581586241877891
A_TB1_to_TB2,NEW_UPPER,pp_UP_PEN_x_p_NEW_UPPER,0.023851647456780336
A_TB1_to_TB2,NEW_UPPER,pp_UP_PEN_x_p_NEW_LOWER,0.1266569870770792
A_TB1_to_TB2,NEW_UPPER,pp_DOWN_PEN_x_p_UP_PEN,-0.06363841492450185
A_TB1_to_TB2,NEW_UPPER,pp_DOWN_PEN_x_p_DOWN_PEN,-0.0670481960398324
A_TB1_to_TB2,NEW_UPPER,pp_DOWN_PEN_x_p_NEW_UPPER,0.0056679739284279445
A_TB1_to_TB2,NEW_UPPER,pp_DOWN_PEN_x_p_NEW_LOWER,0.07153406061126602
A_TB1_to_TB2,NEW_UPPER,pp_NEW_UPPER_x_p_UP_PEN,0.03164779322770364
A_TB1_to_TB2,NEW_UPPER,pp_NEW_UPPER_x_p_DOWN_PEN,-0.019636989580457846
A_TB1_to_TB2,NEW_UPPER,pp_NEW_UPPER_x_p_NEW_UPPER,-0.008989129499597273
A_TB1_to_TB2,NEW_UPPER,pp_NEW_UPPER_x_p_NEW_LOWER,0.09401385547116754
A_TB1_to_TB2,NEW_UPPER,pp_NEW_LOWER_x_p_UP_PEN,-0.11866150832315554
A_TB1_to_TB2,NEW_UPPER,pp_NEW_LOWER_x_p_DOWN_PEN,-0.14470707058910354
A_TB1_to_TB2,NEW_UPPER,pp_NEW_LOWER_x_p_NEW_UPPER,-0.1451956611581029
A_TB1_to_TB2,NEW_UPPER,pp_NEW_LOWER_x_p_NEW_LOWER,-0.08269395413542277
A_TB1_to_TB2,NEW_LOWER,pp_UP_PEN_x_p_UP_PEN,-0.10666763439534294
A_TB1_to_TB2,NEW_LOWER,pp_UP_PEN_x_p_DOWN_PEN,-0.09869042748841171
A_TB1_to_TB2,NEW_LOWER,pp_UP_PEN_x_p_NEW_UPPER,0.028644046726450084
A_TB1_to_TB2,NEW_LOWER,pp_UP_PEN_x_p_NEW_LOWER,-0.06008305509142476
A_TB1_to_TB2,NEW_LOWER,pp_DOWN_PEN_x_p_UP_PEN,-0.053103148689111715
A_TB1_to_TB2,NEW_LOWER,pp_DOWN_PEN_x_p_DOWN_PEN,-0.020144015437350667
A_TB1_to_TB2,NEW_LOWER,pp_DOWN_PEN_x_p_NEW_UPPER,0.048883138150971665
A_TB1_to_TB2,NEW_LOWER,pp_DOWN_PEN_x_p_NEW_LOWER,-0.04192694224003277
A_TB1_to_TB2,NEW_LOWER,pp_NEW_UPPER_x_p_UP_PEN,-0.08632564003950978
A_TB1_to_TB2,NEW_LOWER,pp_NEW_UPPER_x_p_DOWN_PEN,-0.1358374608824045
A_TB1_to_TB2,NEW_LOWER,pp_NEW_UPPER_x_p_NEW_UPPER,-0.04793943646537895
A_TB1_to_TB2,NEW_LOWER,pp_NEW_UPPER_x_p_NEW_LOWER,-0.11313478305323207
A_TB1_to_TB2,NEW_LOWER,pp_NEW_LOWER_x_p_UP_PEN,-0.050144871072131836
A_TB1_to_TB2,NEW_LOWER,pp_NEW_LOWER_x_p_DOWN_PEN,0.010339207540534133
A_TB1_to_TB2,NEW_LOWER,pp_NEW_LOWER_x_p_NEW_UPPER,0.0033670392431064842
A_TB1_to_TB2,NEW_LOWER,pp_NEW_LOWER_x_p_NEW_LOWER,-0.03744661115617447
B_TB1TB2_to_TB3,UP_PEN,pp_UP_PEN_x_p_UP_PEN,0.0362231140978131
B_TB1TB2_to_TB3,UP_PEN,pp_UP_PEN_x_p_DOWN_PEN,0.014944020038595998
B_TB1TB2_to_TB3,UP_PEN,pp_UP_PEN_x_p_NEW_UPPER,-0.05970458276506024
B_TB1TB2_to_TB3,UP_PEN,pp_UP_PEN_x_p_NEW_LOWER,0.08064038047965617
B_TB1TB2_to_TB3,UP_PEN,pp_DOWN_PEN_x_p_UP_PEN,-0.005320599045441727
B_TB1TB2_to_TB3,UP_PEN,pp_DOWN_PEN_x_p_DOWN_PEN,-0.06452795220933158
B_TB1TB2_to_TB3,UP_PEN,pp_DOWN_PEN_x_p_NEW_UPPER,-0.10909414542617614
B_TB1TB2_to_TB3,UP_PEN,pp_DOWN_PEN_x_p_NEW_LOWER,0.038589872299726165
B_TB1TB2_to_TB3,UP_PEN,pp_NEW_UPPER_x_p_UP_PEN,0.04040241957167557
B_TB1TB2_to_TB3,UP_PEN,pp_NEW_UPPER_x_p_DOWN_PEN,0.061082969673151
B_TB1TB2_to_TB3,UP_PEN,pp_NEW_UPPER_x_p_NEW_UPPER,-0.0018444828713962374
B_TB1TB2_to_TB3,UP_PEN,pp_NEW_UPPER_x_p_NEW_LOWER,0.03523083923169085
B_TB1TB2_to_TB3,UP_PEN,pp_NEW_LOWER_x_p_UP_PEN,0.017526982822871906
B_TB1TB2_to_TB3,UP_PEN,pp_NEW_LOWER_x_p_DOWN_PEN,-0.00019754592825875337
B_TB1TB2_to_TB3,UP_PEN,pp_NEW_LOWER_x_p_NEW_UPPER,0.009285845141711185
B_TB1TB2_to_TB3,UP_PEN,pp_NEW_LOWER_x_p_NEW_LOWER,0.07423577848819576
B_TB1TB2_to_TB3,DOWN_PEN,pp_UP_PEN_x_p_UP_PEN,-0.0073012305726555095
B_TB1TB2_to_TB3,DOWN_PEN,pp_UP_PEN_x_p_DOWN_PEN,0.03144713783393636
B_TB1TB2_to_TB3,DOWN_PEN,pp_UP_PEN_x_p_NEW_UPPER,-0.03588617898413233
B_TB1TB2_to_TB3,DOWN_PEN,pp_UP_PEN_x_p_NEW_LOWER,-0.023949230334888008
B_TB1TB2_to_TB3,DOWN_PEN,pp_DOWN_PEN_x_p_UP_PEN,0.04828850205980661
B_TB1TB2_to_TB3,DOWN_PEN,pp_DOWN_PEN_x_p_DOWN_PEN,-0.030375293539446534
B_TB1TB2_to_TB3,DOWN_PEN,pp_DOWN_PEN_x_p_NEW_UPPER,0.048085488712975064
B_TB1TB2_to_TB3,DOWN_PEN,pp_DOWN_PEN_x_p_NEW_LOWER,-0.06054390916024838
B_TB1TB2_to_TB3,DOWN_PEN,pp_NEW_UPPER_x_p_UP_PEN,0.01841313176331063
B_TB1TB2_to_TB3,DOWN_PEN,pp_NEW_UPPER_x_p_DOWN_PEN,-0.0342276625886153
B_TB1TB2_to_TB3,DOWN_PEN,pp_NEW_UPPER_x_p_NEW_UPPER,0.02579914965383541
B_TB1TB2_to_TB3,DOWN_PEN,pp_NEW_UPPER_x_p_NEW_LOWER,-0.026864688013408522
B_TB1TB2_to_TB3,DOWN_PEN,pp_NEW_LOWER_x_p_UP_PEN,0.06839969636144509
B_TB1TB2_to_TB3,DOWN_PEN,pp_NEW_LOWER_x_p_DOWN_PEN,0.03695976906446765
B_TB1TB2_to_TB3,DOWN_PEN,pp_NEW_LOWER_x_p_NEW_UPPER,-0.0007717642100728865
B_TB1TB2_to_TB3,DOWN_PEN,pp_NEW_LOWER_x_p_NEW_LOWER,-0.0038336867238535086
B_TB1TB2_to_TB3,NEW_UPPER,pp_UP_PEN_x_p_UP_PEN,-0.026120907202403256
B_TB1TB2_to_TB3,NEW_UPPER,pp_UP_PEN_x_p_DOWN_PEN,-0.04449086249326198
B_TB1TB2_to_TB3,NEW_UPPER,pp_UP_PEN_x_p_NEW_UPPER,0.012013932260392357
B_TB1TB2_to_TB3,NEW_UPPER,pp_UP_PEN_x_p_NEW_LOWER,0.10274263312283148
B_TB1TB2_to_TB3,NEW_UPPER,pp_DOWN_PEN_x_p_UP_PEN,-0.026902358679589518
B_TB1TB2_to_TB3,NEW_UPPER,pp_DOWN_PEN_x_p_DOWN_PEN,-0.0009501193815375516
B_TB1TB2_to_TB3,NEW_UPPER,pp_DOWN_PEN_x_p_NEW_UPPER,0.002298604164033938
B_TB1TB2_to_TB3,NEW_UPPER,pp_DOWN_PEN_x_p_NEW_LOWER,0.10985979898305105
B_TB1TB2_to_TB3,NEW_UPPER,pp_NEW_UPPER_x_p_UP_PEN,0.020307247337481592
B_TB1TB2_to_TB3,NEW_UPPER,pp_NEW_UPPER_x_p_DOWN_PEN,-0.011821524635059312
B_TB1TB2_to_TB3,NEW_UPPER,pp_NEW_UPPER_x_p_NEW_UPPER,-0.02816991212025708
B_TB1TB2_to_TB3,NEW_UPPER,pp_NEW_UPPER_x_p_NEW_LOWER,0.042810208699440425
B_TB1TB2_to_TB3,NEW_UPPER,pp_NEW_LOWER_x_p_UP_PEN,-0.05153436250683962
B_TB1TB2_to_TB3,NEW_UPPER,pp_NEW_LOWER_x_p_DOWN_PEN,-0.05447320656102033
B_TB1TB2_to_TB3,NEW_UPPER,pp_NEW_LOWER_x_p_NEW_UPPER,-0.09106301450534969
B_TB1TB2_to_TB3,NEW_UPPER,pp_NEW_LOWER_x_p_NEW_LOWER,-0.031077209694299415
B_TB1TB2_to_TB3,NEW_LOWER,pp_UP_PEN_x_p_UP_PEN,-0.07571147854113293
B_TB1TB2_to_TB3,NEW_LOWER,pp_UP_PEN_x_p_DOWN_PEN,-0.07361010920577507
B_TB1TB2_to_TB3,NEW_LOWER,pp_UP_PEN_x_p_NEW_UPPER,0.0395964431476747
B_TB1TB2_to_TB3,NEW_LOWER,pp_UP_PEN_x_p_NEW_LOWER,-0.038062495959434894
B_TB1TB2_to_TB3,NEW_LOWER,pp_DOWN_PEN_x_p_UP_PEN,-0.019297431080183412
B_TB1TB2_to_TB3,NEW_LOWER,pp_DOWN_PEN_x_p_DOWN_PEN,0.024543971270378436
B_TB1TB2_to_TB3,NEW_LOWER,pp_DOWN_PEN_x_p_NEW_UPPER,0.07582026323780527
B_TB1TB2_to_TB3,NEW_LOWER,pp_DOWN_PEN_x_p_NEW_LOWER,-0.016967734355663778
B_TB1TB2_to_TB3,NEW_LOWER,pp_NEW_UPPER_x_p_UP_PEN,-0.06241517615625578
B_TB1TB2_to_TB3,NEW_LOWER,pp_NEW_UPPER_x_p_DOWN_PEN,-0.10230699665210016
B_TB1TB2_to_TB3,NEW_LOWER,pp_NEW_UPPER_x_p_NEW_UPPER,-0.04116639404517344
B_TB1TB2_to_TB3,NEW_LOWER,pp_NEW_UPPER_x_p_NEW_LOWER,-0.0875483264731359
B_TB1TB2_to_TB3,NEW_LOWER,pp_NEW_LOWER_x_p_UP_PEN,-0.003978905036044801
B_TB1TB2_to_TB3,NEW_LOWER,pp_NEW_LOWER_x_p_DOWN_PEN,0.030454297700732214
B_TB1TB2_to_TB3,NEW_LOWER,pp_NEW_LOWER_x_p_NEW_UPPER,0.0058949467528328445
B_TB1TB2_to_TB3,NEW_LOWER,pp_NEW_LOWER_x_p_NEW_LOWER,-0.03148992279777013
