symbol,group,t,ok
AL,1220,36897,True
M,601,4674,True
AL,353,4584,True
CF,575,17991,True
MA,1420,27654,True
I,398,13680,True
SN,2636,33708,True
AL,888,32655,True
TA,9,4602,True
RU,1055,25671,True
TA,308,15707,True
AG,846,12683,True
SC,2272,44419,True
CF,545,25405,True
AG,2183,42896,True
CF,1083,23224,True
AU,1527,19428,True
SN,2655,33417,True
RB,75,7999,True
AU,1475,18967,True
RB,490,9936,True
M,276,2427,True
AL,1450,28329,True
NI,261,5702,True
MA,48,15708,True
P,723,9246,True
MA,25,14484,True
M,78,18100,True
TA,600,26644,True
P,1154,2092,True
AL,525,15878,True
P,50,5877,True
NI,679,16776,True
CF,904,22713,True
AL,1398,29642,True
RU,1412,22236,True
I,471,19800,True
NI,291,19816,True
SC,1299,5418,True
AL,1163,35991,True
RU,1267,21864,True
SN,487,7323,True
CF,658,16831,True
RU,288,5522,True
AL,828,21881,True
MA,1179,23100,True
P,1442,20098,True
TA,757,15447,True
AL,308,12826,True
SC,67,40319,True
AG,1908,41550,True
P,1741,20463,True
RU,389,14770,True
NI,127,19242,True
SC,262,27156,True
SC,1695,555,True
AG,38,223,True
SC,696,29609,True
TA,796,24616,True
SC,1262,40555,True
P,822,18048,True
AU,2549,37162,True
TA,284,15627,True
SN,1795,20955,True
CU,2071,32493,True
P,854,3463,True
AL,1184,37133,True
CU,2261,36551,True
CF,1059,21817,True
AL,173,7359,True
MA,322,6183,True
SC,2004,31042,True
AU,2548,25223,True
MA,373,18168,True
I,46,6899,True
NI,1186,33096,True
I,419,19522,True
AG,2477,34912,True
SN,1228,16484,True
M,298,4029,True
AG,2084,25693,True
MA,424,17137,True
SN,200,1653,True
CF,681,19531,True
MA,161,25847,True
AL,1046,34889,True
I,390,11909,True
RU,1032,22809,True
CF,693,20628,True
P,863,19142,True
AL,95,85,True
NI,1709,4215,True
MA,547,16326,True
P,1077,23605,True
SC,599,39620,True
RB,362,10469,True
CU,1878,33942,True
RU,428,15639,True
CF,1062,23387,True
RB,461,3966,True
CU,1465,28056,True
P,162,4689,True
I,550,2073,True
I,478,9177,True
I,146,6084,True
RU,1174,18878,True
SC,1152,13610,True
AL,659,18916,True
RU,1060,24786,True
CU,1136,17895,True
CU,1392,27516,True
P,494,8507,True
SN,2619,29539,True
AU,1105,11772,True
TA,1389,20811,True
AL,801,20981,True
AU,259,4130,True
SC,211,28320,True
AL,910,33418,True
SN,1750,20356,True
SN,1379,26662,True
NI,1063,2490,True
CF,231,13138,True
TA,1184,27208,True
I,446,2337,True
NI,1722,3797,True
CF,762,20234,True
CF,469,10825,True
MA,830,2147,True
AU,3050,33258,True
P,808,18568,True
AG,2642,26262,True
M,210,18737,True
P,1577,19800,True
P,1237,26283,True
CU,2082,32948,True
AG,424,9171,True
SC,1426,4471,True
NI,910,12315,True
SN,1965,22108,True
CF,205,14450,True
TA,859,27722,True
I,438,11787,True
SN,176,1297,True
AG,2760,41709,True
P,965,24731,True
RU,1279,2517,True
CF,34,5302,True
SC,1239,40418,True
RU,1094,18814,True
SC,2466,31948,True
P,769,9729,True
AG,2853,34020,True
SN,2355,28855,True
SC,1205,13450,True
MA,439,17987,True
I,535,2115,True
SN,2159,36175,True
CU,1587,33304,True
SN,2405,24176,True
P,778,9352,True
RU,1160,24109,True
NI,1033,2276,True
P,12,5386,True
NI,925,2297,True
P,614,15381,True
SN,236,3403,True
RU,1143,22702,True
I,271,25212,True
AU,1645,39898,True
P,1108,24216,True
TA,1217,27758,True
AU,3055,32890,True
AL,224,9357,True
AL,904,33492,True
CU,2062,31183,True
RB,439,22650,True
RB,389,3461,True
M,966,27427,True
SN,2050,27316,True
I,134,27802,True
AU,2686,35578,True
NI,0,24195,True
SC,107,25782,True
TA,679,1977,True
MA,1364,20849,True
RU,917,19171,True
CF,131,12690,True
SC,1712,36838,True
RB,507,3634,True
RU,239,5094,True
TA,28,4393,True
SC,1181,13959,True
I,281,25983,True
SC,179,26176,True
AL,792,21838,True
I,255,25172,True
CU,2064,34807,True
AG,148,3846,True
MA,410,7077,True
I,413,9786,True
CF,1198,27565,True
M,701,11040,True
I,454,9129,True
MA,1009,26808,True
SC,1577,2988,True
CF,530,8878,True
CF,689,20592,True
CU,1245,21117,True
RU,829,18462,True
RB,453,23125,True
TA,885,24522,True
AU,3466,30961,True
RU,1017,21241,True
P,812,3174,True
AG,1098,17396,True
CF,35,4843,True
I,388,9305,True
SC,1809,36722,True
AG,1871,39066,True
AL,643,23346,True
RU,399,20049,True
RB,366,19381,True
RU,1423,27316,True
TA,842,27369,True
TA,1042,24077,True
TA,386,7831,True
CU,1390,27702,True
RU,1500,27801,True
NI,1526,4926,True
AL,800,20628,True
RB,650,1594,True
AG,623,6480,True
I,3,4248,True
I,93,7908,True
CF,763,20785,True
NI,1451,34651,True
AL,855,33079,True
TA,1134,27764,True
MA,546,24547,True
TA,413,9483,True
P,852,2461,True
AU,1861,39466,True
MA,734,25021,True
SN,1409,17754,True
RU,1480,27488,True
CU,1413,27915,True
RB,532,2988,True
RU,394,9400,True
RU,1184,1401,True
M,220,1197,True
RB,507,8972,True
RB,685,1219,True
CU,1647,23794,True
P,1254,26207,True
RB,632,51,True
RU,901,21198,True
CU,148,1303,True
I,25,7455,True
I,217,18823,True
RB,280,18993,True
CU,1589,25704,True
RB,536,2954,True
RU,912,3969,True
AU,2730,35748,True
MA,133,14074,True
MA,832,27404,True
CU,1159,33754,True
RB,436,23501,True
MA,1474,20065,True
RB,235,11944,True
RB,641,9271,True
AU,312,4754,True
RB,359,16536,True
SC,1033,38426,True
NI,2483,29808,True
AL,1369,29134,True
P,1031,25539,True
TA,707,1563,True
NI,1353,5160,True
AL,1415,26651,True
AL,1254,31249,True
CF,1128,26814,True
SC,482,39769,True
CF,1083,23213,True
TA,509,4158,True
AU,3199,33729,True
M,549,21525,True
AG,2703,36319,True
CF,430,8781,True
AG,193,3741,True
NI,822,9937,True
AL,1466,28647,True
RU,498,15374,True
AG,454,9141,True
CF,547,16485,True
NI,1318,37293,True
SN,1529,17874,True
AU,463,5729,True
NI,1407,4514,True
RU,55,7571,True
NI,2137,25898,True
AG,2138,38458,True
TA,1240,23361,True
RB,377,22989,True
M,452,23882,True
SN,1954,21549,True
TA,1495,21870,True
I,136,4989,True
RU,872,26187,True
M,911,27721,True
MA,598,10579,True
MA,1082,22944,True
NI,201,12256,True
RB,658,5511,True
NI,2242,28566,True
AL,20,5995,True
RU,710,11800,True
TA,163,12603,True
AU,2440,24125,True
AU,3379,41518,True
TA,1430,20099,True
CU,234,6534,True
I,52,6322,True
RU,1251,2253,True
TA,1179,23056,True
RB,144,8035,True
M,743,25363,True
AG,3142,27936,True
RB,607,1542,True
M,893,25721,True
CF,233,14624,True
SN,1851,21821,True
M,57,20846,True
CU,1650,25501,True
RB,36,7507,True
RB,700,9384,True
AL,12,6948,True
AL,220,7882,True
AG,3175,42310,True
P,936,12477,True
AL,248,4130,True
M,822,26543,True
I,539,25484,True
SC,182,20558,True
AU,1963,21693,True
SC,736,6682,True
TA,699,16806,True
NI,2142,24492,True
TA,38,4535,True
RU,1308,26766,True
TA,1298,23658,True
P,1412,22461,True
I,519,1407,True
RB,211,27267,True
RB,367,19790,True
P,1050,25041,True
M,978,27559,True
AU,2032,22452,True
M,42,84,True
I,329,13105,True
SC,1186,12621,True
AU,525,6177,True
AL,654,19386,True
I,482,11814,True
SC,1518,42436,True
M,744,25567,True
AU,1691,41758,True
SC,1643,137,True
SC,1666,239,True
I,510,20008,True
SN,2802,34307,True
NI,995,6154,True
NI,97,31354,True
RB,176,12864,True
M,62,15848,True
CF,1186,27030,True
CU,220,4708,True
SN,201,5692,True
NI,1260,33250,True
P,733,3052,True
AG,285,9266,True
I,99,5085,True
I,365,16416,True
AL,895,22299,True
CU,1075,19125,True
AL,513,17507,True
SC,1954,1554,True
CU,2198,35259,True
NI,162,20667,True
AL,1212,37029,True
TA,351,15144,True
M,863,9442,True
TA,553,7494,True
AU,2962,34470,True
RB,340,19489,True
RB,75,8002,True
RU,1274,1663,True
AU,1576,39209,True
NI,2059,26184,True
MA,81,14803,True
AG,1820,40727,True
CF,452,10644,True
CF,792,20970,True
AU,1105,11788,True
RB,339,16302,True
M,531,22392,True
NI,1014,3131,True
P,1062,25600,True
CF,1135,26768,True
MA,1469,20296,True
RB,175,6252,True
MA,17,14417,True
SN,3199,29634,True
TA,503,3548,True
AG,1759,41314,True
SC,429,8703,True
RB,67,6877,True
M,144,15917,True
SC,174,27954,True
CU,1940,33667,True
RB,720,1072,True
CU,271,2769,True
CF,809,21091,True
AL,1087,36095,True
AL,208,1671,True
MA,1010,25503,True
CF,355,2177,True
SC,462,29175,True
SN,1291,14335,True
AL,784,21101,True
MA,317,6097,True
AU,1883,38415,True
TA,1499,19980,True
AL,189,7871,True
M,376,2031,True
SN,830,2450,True
SN,2349,24838,True
P,91,7149,True
TA,788,17926,True
TA,805,17883,True
CF,194,6789,True
M,426,24097,True
P,1450,12576,True
SN,2353,24841,True
TA,1160,26430,True
M,284,3580,True
M,203,16798,True
AL,38,6089,True
TA,468,1608,True
RU,994,20577,True
M,935,27286,True
RU,1452,27234,True
NI,1528,37228,True
I,351,10837,True
RU,1169,994,True
I,45,4299,True
MA,414,18927,True
SC,542,10871,True
AL,166,9294,True
M,609,9708,True
NI,1016,3673,True
TA,323,15227,True
RU,683,11525,True
RU,543,16248,True
SN,2949,30587,True
CU,480,10494,True
CF,1065,26679,True
M,38,16468,True
AG,1518,23576,True
SN,1939,21624,True
AL,207,8192,True
I,430,22461,True
RU,388,13983,True
AL,225,799,True
M,212,3806,True
CF,1076,23425,True
SC,1824,36410,True
MA,7,20890,True
CU,1432,22293,True
NI,2447,28676,True
I,154,8280,True
AU,1265,8280,True
AL,630,18512,True
P,159,5006,True
MA,377,18033,True
P,868,13295,True
AU,1226,11676,True
AL,1580,23991,True
AG,3232,28575,True
AG,827,11863,True
SC,580,8604,True
MA,991,25380,True
I,448,19876,True
AG,79,1887,True
AU,91,801,True
TA,279,14898,True
MA,118,13981,True
SC,1145,20378,True
I,122,27538,True
NI,53,19383,True
I,458,17132,True
SN,3162,35000,True
AU,811,16934,True
P,949,2160,True
TA,1221,22988,True
MA,157,15817,True
AU,3039,34593,True
AG,973,16063,True
SC,1138,4414,True
SN,2048,27105,True
AU,3050,33258,True
SC,402,29815,True
TA,573,138,True
I,176,24724,True
P,1215,10099,True
CF,250,13189,True
P,260,16027,True
SN,837,4078,True
SN,1959,22624,True
M,348,3053,True
RU,310,12730,True
RU,937,24669,True
I,518,1608,True
M,556,21147,True
TA,636,2107,True
SN,2399,26091,True
NI,415,12942,True
RU,1246,1841,True
M,694,11110,True
P,1434,20732,True
RB,393,23358,True
TA,928,25098,True
NI,2134,23110,True
TA,122,18592,True
SC,1747,43897,True
AG,187,4094,True
M,18,464,True
SN,1048,16128,True
I,189,25741,True
SC,828,16433,True
P,681,4037,True
NI,2024,26229,True
SN,1463,17888,True
CF,719,18947,True
P,1490,20272,True
AG,226,2532,True
MA,1015,27,True
NI,2300,31002,True
RU,70,7539,True
AG,1801,43305,True
AG,2031,40667,True
AL,1366,22616,True
AU,2458,43164,True
NI,179,10269,True
CU,1018,19755,True
P,1269,26547,True
P,1401,20760,True
TA,152,5352,True
AU,2139,38163,True
RB,152,13887,True
SC,2175,36192,True
AG,3212,28731,True
AL,1460,22989,True
NI,311,11448,True
MA,1088,27336,True
SN,304,8439,True
RB,30,6460,True
P,729,2848,True
SC,999,12879,True
AL,112,5779,True
AG,2895,33243,True
AL,1083,32296,True
MA,955,25332,True
I,485,1967,True
MA,323,5310,True
CF,720,19060,True
I,523,1494,True
I,464,20412,True
CF,918,22302,True
CU,1717,33016,True
NI,84,19770,True
P,574,16046,True
MA,279,17460,True
SC,553,22981,True
AL,512,4071,True
RU,465,16011,True
P,507,14427,True
SC,1847,2194,True
RU,1349,23297,True
MA,845,7557,True
RU,361,5867,True
RB,158,14139,True
M,387,12762,True
AL,182,8055,True
MA,1480,20336,True
M,275,18813,True
RU,1406,26862,True
NI,2417,31151,True
CU,761,15942,True
SC,148,26235,True
SC,2159,34618,True
AG,1262,18828,True
SN,1912,22015,True
RB,172,13932,True
RU,57,7350,True
SN,1155,16176,True
AG,2174,44349,True
AL,918,33484,True
MA,590,11542,True
AL,772,21612,True
CF,439,16042,True
SN,2913,29776,True
P,1083,25224,True
CF,929,22737,True
TA,257,6811,True
CU,1968,30117,True
MA,976,25378,True
CU,758,15461,True
RB,534,9012,True
P,1336,20991,True
SC,1816,2475,True
CF,1134,26858,True
AG,2616,33404,True
I,384,22768,True
MA,1323,21765,True
CF,18,4378,True
SN,1309,17355,True
AL,1128,26945,True
RB,352,4865,True
M,472,24280,True
NI,1894,26586,True
RU,1240,2369,True
RB,100,8022,True
MA,1160,21583,True
RB,649,629,True
RU,1187,21726,True
AU,1069,11801,True
RU,1289,2401,True
P,1008,19266,True
CU,313,6715,True
RB,139,14018,True
M,309,20732,True
NI,1633,34498,True
M,79,18210,True
P,1625,19789,True
AL,1263,29494,True
SC,285,23544,True
CF,1110,25502,True
SN,2208,28139,True
TA,1125,19248,True
CU,320,2662,True
I,544,2091,True
AU,1106,14120,True
TA,341,15117,True
AU,3374,28397,True
P,1412,21465,True
P,1348,22457,True
AU,1707,41880,True
SC,737,16536,True
AG,2605,34742,True
MA,201,16095,True
SN,132,1612,True
RU,1280,2430,True
M,985,27612,True
SC,245,24320,True
AU,1684,40300,True
M,451,1263,True
NI,795,13533,True
SC,1561,42519,True
RU,660,16623,True
AL,1364,28327,True
CF,380,15463,True
AU,526,6795,True
RU,430,15825,True
RB,480,10231,True
SN,1652,19662,True
SN,2566,26894,True
M,309,20759,True
CU,1875,33312,True
CU,1304,22661,True
NI,1766,32242,True
MA,355,13197,True
AU,2155,21205,True
TA,1507,19966,True
RU,229,6928,True
M,643,9919,True
P,215,1050,True
AL,360,10630,True
AU,3115,33683,True
AL,196,9015,True
M,118,16293,True
CU,335,7248,True
RU,289,5389,True
M,773,14346,True
RU,416,14442,True
RU,367,5879,True
SC,437,9822,True
CF,1197,27153,True
AL,262,10326,True
AL,909,33678,True
TA,61,5134,True
P,1014,25485,True
I,473,11442,True
P,1343,22439,True
RB,530,9730,True
SN,1534,4711,True
SC,127,39505,True
SC,2438,32194,True
AL,1258,31413,True
MA,1128,21688,True
CU,2022,31408,True
SC,2224,31087,True
RB,35,6779,True
NI,2202,22617,True
M,119,15750,True
RU,487,12603,True
I,428,906,True
SC,932,11325,True
CF,620,17083,True
TA,287,10077,True
AG,2744,35605,True
CU,382,2064,True
AG,661,10631,True
TA,519,3764,True
AU,454,5843,True
RU,1413,27104,True
AU,3424,30996,True
RB,65,7210,True
RB,268,4257,True
I,311,15661,True
I,414,12166,True
CF,72,4748,True
M,282,1809,True
NI,1222,1330,True
P,718,9039,True
CU,84,1424,True
CU,516,10169,True
P,545,14418,True
AG,2631,34468,True
TA,977,25044,True
AG,660,10752,True
AU,785,11074,True
SC,1291,13709,True
RB,212,18753,True
NI,20,21388,True
SC,2014,1502,True
CF,1125,21942,True
SC,2339,32966,True
AG,3220,28370,True
I,259,15829,True
RB,612,22034,True
TA,514,7434,True
MA,6,14466,True
MA,956,23934,True
SC,904,19761,True
NI,1176,37032,True
CU,1416,22049,True
P,1211,10210,True
TA,1426,21655,True
I,96,4465,True
RB,679,2202,True
AG,657,6184,True
AG,515,10393,True
TA,1134,27767,True
M,860,10212,True
AG,557,9809,True
M,255,1218,True
CU,2337,36642,True
CU,181,5980,True
M,385,3109,True
AG,465,8608,True
I,21,5443,True
I,547,2070,True
AG,122,1810,True
AG,2822,33687,True
M,670,12427,True
TA,1344,20852,True
CF,534,18790,True
AU,2848,26068,True
AG,775,11629,True
RU,1413,27178,True
RU,1212,22415,True
MA,595,11309,True
CU,1408,34836,True
SN,528,10344,True
SC,1398,3736,True
SC,144,26581,True
SC,669,12654,True
AL,758,21370,True
RB,665,2435,True
RB,392,16943,True
MA,1107,22869,True
CU,519,11262,True
AG,962,16068,True
RU,149,4810,True
AL,1071,26910,True
CF,604,18072,True
M,651,7515,True
AG,2453,26596,True
TA,316,10199,True
CU,1612,24675,True
AG,2693,26663,True
SC,1808,2093,True
AG,2156,42408,True
NI,907,285,True
M,858,25692,True
RB,297,10744,True
CU,1068,18963,True
M,238,15294,True
M,146,16716,True
CF,221,277,True
AU,407,43363,True
SC,314,20250,True
P,399,16371,True
AG,844,13545,True
CU,1505,25550,True
SN,1625,19029,True
CU,466,7683,True
NI,526,9406,True
SC,754,7431,True
P,1221,24634,True
AU,3219,30888,True
CF,128,4171,True
CF,281,24122,True
AU,216,3711,True
AL,340,13041,True
I,98,4868,True
AG,1529,20546,True
AL,178,573,True
AG,2812,26826,True
M,480,21265,True
AU,2140,21249,True
MA,1189,23283,True
I,362,12227,True
P,841,3505,True
AG,1900,41398,True
SN,198,2354,True
RU,41,7595,True
MA,39,15570,True
MA,404,5050,True
P,103,6081,True
NI,722,14882,True
CF,461,10903,True
MA,757,10426,True
SC,526,9574,True
RB,286,14584,True
AG,2531,28007,True
MA,133,14108,True
AL,853,22083,True
P,842,3790,True
RB,48,26134,True
SN,2762,37141,True
CU,1320,27285,True
P,1483,22553,True
MA,1186,23250,True
CU,2009,30024,True
M,398,23435,True
I,429,15089,True
AG,1368,21831,True
CU,268,2865,True
P,1782,27455,True
RU,1078,26646,True
RU,688,10255,True
AU,37,22346,True
NI,1384,3617,True
SN,102,1038,True
P,997,2451,True
TA,365,11166,True
RU,393,15422,True
AU,827,16578,True
RU,661,17270,True
TA,433,10728,True
AG,2738,36418,True
CF,616,16926,True
I,524,1410,True
SN,2770,34218,True
AL,1180,25395,True
TA,1516,19448,True
RB,116,26722,True
TA,35,4713,True
TA,1094,27594,True
TA,925,24940,True
RB,719,8150,True
I,193,24063,True
I,284,8684,True
SC,1967,35480,True
AL,1023,24915,True
CU,662,16015,True
SN,69,1374,True
TA,293,8529,True
RU,816,16806,True
P,97,4782,True
SN,1878,21115,True
AU,618,9513,True
AG,1762,39019,True
P,377,8152,True
P,178,6508,True
M,509,21060,True
AL,334,2130,True
I,345,21282,True
MA,412,12908,True
CU,2361,36546,True
AG,2214,43699,True
AG,3049,30951,True
RB,452,21622,True
I,145,25189,True
CU,1823,33678,True
AG,978,15099,True
SN,1300,4908,True
SC,2029,34253,True
CF,175,21947,True
M,855,7457,True
CF,110,18936,True
P,1030,16158,True
NI,541,14640,True
AU,1934,21441,True
MA,322,16850,True
I,307,531,True
CU,1633,29205,True
RB,541,8964,True
RU,698,10989,True
CF,674,18307,True
MA,49,15506,True
CF,1006,27150,True
