window,model,pair,actual_joint_freq,mean_pred_joint_prob,abs_diff
B_TB1TB2_to_TB3,B_MULTINOMIAL_15_MASK,UP_PEN x DOWN_PEN,0.000639028676411854,0.0005094707778053601,0.00012955789860649388
B_TB1TB2_to_TB3,B_MULTINOMIAL_15_MASK,UP_PEN x NEW_UPPER,0.004792715073088905,0.005563991991499007,0.0007712769184101019
B_TB1TB2_to_TB3,B_MULTINOMIAL_15_MASK,UP_PEN x NEW_LOWER,0.05096253694384535,0.04671579908743485,0.0042467378564104985
B_TB1TB2_to_TB3,B_MULTINOMIAL_15_MASK,DOWN_PEN x NEW_UPPER,0.04105759245946162,0.04563850288390463,0.004580910424443009
B_TB1TB2_to_TB3,B_MULTINOMIAL_15_MASK,DOWN_PEN x NEW_LOWER,0.005751258087706686,0.006126204877168534,0.0003749467894618476
B_TB1TB2_to_TB3,B_MULTINOMIAL_15_MASK,NEW_UPPER x NEW_LOWER,0.2196661075165748,0.22200111596486158,0.0023350084482867683
B_TB1TB2_to_TB3,C_PAIRWISE_CRF,UP_PEN x DOWN_PEN,0.000639028676411854,0.000568154866067463,7.087381034439092e-05
B_TB1TB2_to_TB3,C_PAIRWISE_CRF,UP_PEN x NEW_UPPER,0.004792715073088905,0.005658289154089294,0.0008655740810003887
B_TB1TB2_to_TB3,C_PAIRWISE_CRF,UP_PEN x NEW_LOWER,0.05096253694384535,0.04729777784450674,0.0036647590993386103
B_TB1TB2_to_TB3,C_PAIRWISE_CRF,DOWN_PEN x NEW_UPPER,0.04105759245946162,0.04503204070395598,0.003974448244494361
B_TB1TB2_to_TB3,C_PAIRWISE_CRF,DOWN_PEN x NEW_LOWER,0.005751258087706686,0.006240620749623507,0.000489362661916821
B_TB1TB2_to_TB3,C_PAIRWISE_CRF,NEW_UPPER x NEW_LOWER,0.2196661075165748,0.22065801097756205,0.0009919034609872368
