block,policy,symbol,trade_count,net_total_ATR0
TB3,GATEA,SN,4245,-106.19439199179956
TB3,GATEA,TA,3165,50.336706453404034
TB3,FLIPA,AG,7682,-157.4983875649124
TB3,FLIPA,AL,6673,-21.845413594497757
TB3,FLIPA,AU,8044,-83.94553614255688
TB3,FLIPA,CF,5249,-55.11368063090911
TB3,FLIPA,CU,6670,-80.5243754590076
TB3,FLIPA,I,5383,0.543163516686306
TB3,FLIPA,M,5483,-42.40270689417397
TB3,FLIPA,MA,5083,-49.80488385173641
TB3,FLIPA,NI,6874,46.88854219471591
TB3,FLIPA,P,5188,-4.09038717155801
TB3,FLIPA,RB,5408,49.142044775894064
TB3,FLIPA,RU,5344,-60.31209806577089
TB3,FLIPA,SC,8283,-264.7639310685466
TB3,FLIPA,SN,6418,-123.89326653471939
TB3,FLIPA,TA,5111,60.6865959356812
