trading_day,n,logloss_b0,logloss_b1,delta_logloss
2025-09-15,1203,0.6928371168698301,0.6086254372560028,-0.08421167961382725
2025-09-16,1179,0.6928563961030296,0.5747831360538563,-0.11807326004917329
2025-09-17,1208,0.6943800828293929,0.5949893753683715,-0.09939070746102141
2025-09-18,1202,0.6946179882411333,0.5833103730593425,-0.11130761518179078
2025-09-19,1257,0.6920990097934197,0.5778309432534865,-0.11426806653993316
2025-09-22,1191,0.6940086051799741,0.5931487809181254,-0.1008598242618487
2025-09-23,1117,0.6932195402893673,0.6311121403468568,-0.062107399942510466
2025-09-24,1153,0.6915313092899443,0.5869436330962564,-0.10458767619368792
2025-09-25,1257,0.6932264460944385,0.6405234041816996,-0.05270304191273889
2025-09-26,1167,0.6941248304815566,0.45297665805831266,-0.24114817242324393
2025-09-29,1109,0.6937934443787688,0.72287307199229,0.02907962761352123
2025-09-30,1105,0.6937848054670003,0.5433993847212173,-0.15038542074578298
2025-10-09,585,0.691386622253841,0.5394940430281702,-0.1518925792256708
2025-10-10,1096,0.6947984755659112,0.625037458313575,-0.06976101725233619
2025-10-13,1205,0.6938277654471142,0.6378073708827062,-0.056020394564407994
2025-10-14,1070,0.6947762274726114,0.5545129676234538,-0.14026325984915755
2025-10-15,1165,0.692234214472459,0.6464896002486845,-0.045744614223774516
2025-10-16,1110,0.6920823547803797,0.5887762186893339,-0.10330613609104577
2025-10-17,1061,0.6941307147275693,0.6046933917741728,-0.08943732295339646
2025-10-20,1256,0.6935616303779942,0.6006668672398706,-0.09289476313812361
2025-10-21,1241,0.6919927125610884,0.5725392788555506,-0.11945343370553785
2025-10-22,1257,0.6924410951668057,0.5630201311755235,-0.12942096399128222
2025-10-23,1257,0.6915208373313586,0.5259762621102839,-0.16554457522107469
2025-10-24,1208,0.6933121987705859,0.6015358346453415,-0.09177636412524437
2025-10-27,1209,0.6932795050147577,0.6961987346972335,0.0029192296824758213
2025-10-28,1256,0.694092043769244,0.6007649655126683,-0.09332707825657571
2025-10-29,1251,0.691692139987684,0.5664760180610701,-0.1252161219266139
2025-10-30,1212,0.6944060109398402,0.6916792851577515,-0.002726725782088768
2025-10-31,1245,0.6929158351295795,0.5731491981019907,-0.11976663702758883
2025-11-03,1139,0.6938775711631773,0.5953411555184303,-0.09853641564474702
2025-11-04,1216,0.695786479801949,0.5927405321153713,-0.10304594768657771
2025-11-05,1250,0.6923571715066961,0.6500207619111802,-0.04233640959551588
2025-11-06,1240,0.6922481961622424,0.6001197206812381,-0.09212847548100433
