window,event_pair_code,n,mean_sample_loss_Q3_minus_Q1
A_TB1_to_TB2,9>6,12,0.10316559110585172
A_TB1_to_TB2,6>9,11,0.1993656098925884
A_TB1_to_TB2,6>6,10,0.008051331447536291
A_TB1_to_TB2,2>13,8,0.00883469800417036
A_TB1_to_TB2,5>1,8,0.09709716232082727
A_TB1_to_TB2,10>2,8,0.00825739446324706
A_TB1_to_TB2,12>13,8,0.012020351224600042
A_TB1_to_TB2,13>2,7,-0.03945700980636414
A_TB1_to_TB2,12>14,7,-0.014502252835171465
A_TB1_to_TB2,4>14,6,0.05613559763410867
A_TB1_to_TB2,8>13,5,0.008010826812333805
A_TB1_to_TB2,4>13,5,0.015757643061682633
A_TB1_to_TB2,1>5,4,-9.001943916598504e-05
A_TB1_to_TB2,14>4,4,0.06266273113437608
A_TB1_to_TB2,2>10,4,-0.0373511501752461
A_TB1_to_TB2,8>14,3,0.004046209822116897
A_TB1_to_TB2,13>8,3,0.0769541565756245
A_TB1_to_TB2,12>5,3,0.00331984818420585
A_TB1_to_TB2,8>7,2,0.04390667656644545
A_TB1_to_TB2,9>13,2,-0.0062172032927851825
A_TB1_to_TB2,9>5,2,-0.026225496822047528
A_TB1_to_TB2,10>1,2,0.05791766327791417
A_TB1_to_TB2,6>13,2,-0.022141636488088146
A_TB1_to_TB2,5>2,2,-0.04561637205422936
A_TB1_to_TB2,4>10,2,0.03383822627825684
A_TB1_to_TB2,7>2,2,0.010021040677181348
A_TB1_to_TB2,1>10,2,-0.1501810807752841
A_TB1_to_TB2,13>9,2,-0.022570811183508323
A_TB1_to_TB2,8>10,1,-0.24437151138036217
A_TB1_to_TB2,14>6,1,-0.016928803121834757
A_TB1_to_TB2,10>5,1,0.0405714465051199
A_TB1_to_TB2,12>10,1,0.06872156283637715
A_TB1_to_TB2,13>10,1,0.31822314759636605
A_TB1_to_TB2,1>3,1,0.09159136963879122
A_TB1_to_TB2,9>14,1,0.009193764614272223
A_TB1_to_TB2,5>9,1,-0.0806497539169228
A_TB1_to_TB2,6>14,1,0.11402835921739762
A_TB1_to_TB2,8>5,1,-0.013868272966755107
A_TB1_to_TB2,3>12,1,0.5247821506061292
B_TB1TB2_to_TB3,1>1,931,-0.0006445168914586029
B_TB1TB2_to_TB3,12>1,927,-0.0003630263683074188
B_TB1TB2_to_TB3,2>2,923,0.0009931686620552424
B_TB1TB2_to_TB3,2>12,891,-0.0008510427105316667
B_TB1TB2_to_TB3,1>12,850,-0.0014105280391486547
B_TB1TB2_to_TB3,12>2,827,7.117790745795028e-05
B_TB1TB2_to_TB3,1>8,406,-0.0010095637469931037
B_TB1TB2_to_TB3,8>1,373,-7.636677561991165e-05
B_TB1TB2_to_TB3,12>12,358,-0.011312085138143038
B_TB1TB2_to_TB3,4>2,354,-4.093218451793401e-05
B_TB1TB2_to_TB3,4>1,353,-0.0001511811506960392
B_TB1TB2_to_TB3,2>4,350,-0.0014841040266834523
B_TB1TB2_to_TB3,8>2,336,0.0001809094600163563
B_TB1TB2_to_TB3,2>8,320,0.002634749286979392
B_TB1TB2_to_TB3,1>4,307,0.002374790040435494
B_TB1TB2_to_TB3,8>4,224,-0.0010285477455783958
B_TB1TB2_to_TB3,9>1,212,-0.0007695724188848079
B_TB1TB2_to_TB3,4>8,208,-0.0011571945946347454
B_TB1TB2_to_TB3,1>9,207,0.00030824295646789894
B_TB1TB2_to_TB3,12>4,195,0.0009487598985044507
B_TB1TB2_to_TB3,8>12,194,-0.008301491165729011
B_TB1TB2_to_TB3,6>2,193,-0.0005946298530592044
B_TB1TB2_to_TB3,12>8,192,-0.00306089362158405
B_TB1TB2_to_TB3,2>6,189,-0.0020082218998873653
B_TB1TB2_to_TB3,1>2,162,-0.0014926511024506422
B_TB1TB2_to_TB3,2>1,144,-0.0013263891201756475
B_TB1TB2_to_TB3,4>12,142,-0.0022275009428779787
B_TB1TB2_to_TB3,9>12,124,0.0030532674311789113
B_TB1TB2_to_TB3,8>8,107,-0.002955060822986326
B_TB1TB2_to_TB3,2>9,96,0.002838649775973683
B_TB1TB2_to_TB3,4>9,94,0.004192810386006782
B_TB1TB2_to_TB3,6>12,88,0.005909747957683781
B_TB1TB2_to_TB3,12>9,86,0.0005139337722947785
B_TB1TB2_to_TB3,1>6,77,0.0024825908218672186
B_TB1TB2_to_TB3,4>4,77,-0.0042021676665267025
B_TB1TB2_to_TB3,8>6,71,-0.00045745642299896747
B_TB1TB2_to_TB3,12>6,69,0.0005222659858863945
B_TB1TB2_to_TB3,9>2,62,-0.01327571883071781
B_TB1TB2_to_TB3,9>8,58,-0.00027666840503193333
B_TB1TB2_to_TB3,9>4,55,0.001824093908899498
B_TB1TB2_to_TB3,6>8,50,0.012117341290042707
B_TB1TB2_to_TB3,6>1,48,-0.029322440948877527
B_TB1TB2_to_TB3,6>4,45,0.0007997461502783687
B_TB1TB2_to_TB3,14>2,39,0.005119978184968496
B_TB1TB2_to_TB3,8>9,35,0.0015494401665640724
B_TB1TB2_to_TB3,13>1,34,-0.0055881690150409394
B_TB1TB2_to_TB3,1>13,28,0.013021464698948262
B_TB1TB2_to_TB3,4>6,26,0.014701156492267043
B_TB1TB2_to_TB3,2>14,23,0.00652922629227775
B_TB1TB2_to_TB3,9>9,18,0.051511429469162366
B_TB1TB2_to_TB3,6>9,17,-0.019526913279022978
B_TB1TB2_to_TB3,1>14,15,0.009147429070620959
B_TB1TB2_to_TB3,10>2,13,0.06414523006704102
B_TB1TB2_to_TB3,6>6,13,0.042353690204318756
B_TB1TB2_to_TB3,9>6,10,0.003993782001958135
B_TB1TB2_to_TB3,14>1,10,-0.018269505384007883
B_TB1TB2_to_TB3,2>13,9,0.012100423786416653
B_TB1TB2_to_TB3,13>2,8,-0.13222349266971314
B_TB1TB2_to_TB3,12>13,7,0.01425633857912487
B_TB1TB2_to_TB3,13>8,6,-0.028425521592679328
B_TB1TB2_to_TB3,5>1,6,0.03221006892452181
B_TB1TB2_to_TB3,12>14,5,0.00886948177594295
B_TB1TB2_to_TB3,1>10,4,0.08007214885994371
B_TB1TB2_to_TB3,2>10,4,0.001979413680695652
B_TB1TB2_to_TB3,11>2,3,-0.0817905759475638
B_TB1TB2_to_TB3,12>10,3,0.07078246454736072
B_TB1TB2_to_TB3,8>14,3,0.0006419536936655054
B_TB1TB2_to_TB3,1>5,3,0.0009254044760993637
B_TB1TB2_to_TB3,4>14,3,0.01043051199661521
B_TB1TB2_to_TB3,14>6,3,0.02480174689735733
B_TB1TB2_to_TB3,4>10,3,0.014606345086981623
B_TB1TB2_to_TB3,9>14,2,-0.0030949802753207183
B_TB1TB2_to_TB3,8>13,2,0.01601530030819564
B_TB1TB2_to_TB3,10>1,2,-0.019467953253731296
B_TB1TB2_to_TB3,5>2,2,0.05615651715984979
B_TB1TB2_to_TB3,12>5,2,-0.0235697018954623
B_TB1TB2_to_TB3,4>3,2,0.022219599506250645
B_TB1TB2_to_TB3,4>13,2,0.04646622763365715
B_TB1TB2_to_TB3,14>4,2,0.04870344097162131
B_TB1TB2_to_TB3,6>14,2,-0.0018274821483639583
B_TB1TB2_to_TB3,6>5,1,0.029431034940362866
B_TB1TB2_to_TB3,2>11,1,-0.024349577015367774
B_TB1TB2_to_TB3,11>1,1,-0.033807467051357454
B_TB1TB2_to_TB3,12>11,1,0.02337314835424653
B_TB1TB2_to_TB3,9>5,1,0.0609500500200188
B_TB1TB2_to_TB3,13>9,1,0.09008112534670598
B_TB1TB2_to_TB3,9>13,1,-0.007770878557121774
B_TB1TB2_to_TB3,1>11,1,0.026441646852392142
B_TB1TB2_to_TB3,9>10,1,0.08106529453863849
B_TB1TB2_to_TB3,3>1,1,0.07225125750683448
B_TB1TB2_to_TB3,2>5,1,0.01836722097926949
B_TB1TB2_to_TB3,3>12,1,-0.034504831505567005
B_TB1TB2_to_TB3,8>5,1,0.023053726586144532
B_TB1TB2_to_TB3,4>11,1,0.006798526961783402
B_TB1TB2_to_TB3,8>3,1,0.050100052896576236
B_TB1TB2_to_TB3,4>7,1,0.03204392510634435
B_TB1TB2_to_TB3,5>8,1,-0.12445448775075463
B_TB1TB2_to_TB3,7>8,1,0.023854166665422172
B_TB1TB2_to_TB3,6>13,1,-0.012135248787131236
B_TB1TB2_to_TB3,3>2,1,0.03214749443606313
